DAVEid	wikidataID	Multivariate (Parts used)	Multivariate (Preparation)	QualiferCat1	QualiferCat2	term	"Qs for Gita
Recategorize, Replace, or Omit?"	FALSE	Description				Qs for Peter	
						joint		FALSE	the part of a plant stem from which a branch or leaf grows					
						keel		FALSE						
						lamina		FALSE						
						late wood		FALSE						
						latex		FALSE						
						leaf		FALSE	"the main organ of photosynthesis and transpiration in higher plants, usually consisting of a flat green blade attached to the stem directly or by a stalk"					
						leaflet		FALSE						
						lemma		FALSE	the outer of two bracts surrounding each floret in a grass spikelet					
						lenticel		FALSE						
						ligule		FALSE						
						lip		FALSE	"a lip-shaped corolla, calyx, or petal, as in a mint or an orchid"					
						lodicule		FALSE						
						micropyle		FALSE	a small opening in the integuments of a plant ovule through which the male gametes pass					
						monochasium		FALSE	"a cymose inflorescence in which each branch gives rise to one other branch only, as in the forget-me-not and buttercup"					
						nectary		FALSE	"any of various glandular structures secreting nectar that occur in the flowers, leaves, stipules, etc, of a plant"					
						needle		FALSE						
						nucellus		FALSE	the central part of a plant ovule containing the embryo sac					
						offshoot		FALSE	a shoot or branch growing from the main stem of a plant					
						oil gland		FALSE						
						oleo-gum resin		FALSE						
	Q60777361					oleo-resin		FALSE						
						ovary		FALSE	the hollow basal region of a carpel containing one or more ovules. In some plants the carpels are united to form a single compound ovary					
						ovule		FALSE	"a small body in seed-bearing plants that consists of the integument(s), nucellus, and embryosac (containing the egg cell) and develops into the seed after fertilization"					
						palea		FALSE	the inner of two bracts surrounding each floret in a grass spikelet					
						panicle		FALSE	"a compound raceme, occurring esp in grasses"					
						parent roots		FALSE						
						pedicel		FALSE	the stalk bearing a single flower of an inflorescence					
						peduncle		FALSE	the stalk of a plant bearing an inflorescence or solitary flower					
						peel		FALSE						
						perianth		FALSE	"the outer part of a flower, consisting of the calyx and corolla"					
						periblem		FALSE						
	Q876445					pericarp		FALSE						
						pericyclic lateral root		FALSE						
						perigynium		FALSE						
						petal		FALSE	any of the separate parts of the corolla of a flower: often brightly coloured					
						petal spur		FALSE						
						petiole		FALSE						
						phloem		FALSE	tissue in higher plants that conducts synthesized food substances to all parts of the plant					
						pistil		FALSE	"the female reproductive part of a flower, consisting of one or more separate or fused carpels; gynoecium"					
						pistillode		FALSE						
						pith		FALSE						
						placenta		FALSE	the part of the ovary of flowering plants to which the ovules are attached					
						plerome		FALSE						
						plumule		FALSE						
						pod		FALSE	"the fruit of any leguminous plant, consisting of a long two-valved case that contains seeds and splits along both sides when ripe"					
						pollen		FALSE	"a fine powdery substance produced by the anthers of seed-bearing plants, consisting of numerous fine grains containing the male gametes"					
						pollen grain		FALSE	a single granule of pollen					
						pollinium		FALSE	"a mass of cohering pollen grains, produced by plants such as orchids and transported as a whole during pollination"					
	Q927202					pomace		FALSE						
						pulvinus		FALSE						
						raceme		FALSE	"an inflorescence in which the flowers are borne along the main stem, with the oldest flowers at the base. It can be simple, as in the foxglove, or compound"					
						rachilla		FALSE						
						rachis		FALSE	the main axis or stem of an inflorescence or compound leaf					
						radicle		FALSE						
						raphe		FALSE						
						"receptacle, thalamus, or torus"		FALSE	the part of lower plants that bears the reproductive organs or spores					
	Q145205					resin		FALSE						
	Q184208					rhizome		FALSE						
						root		FALSE	"the organ of a higher plant that anchors the rest of the plant in the ground, absorbs water and mineral salts from the soil, and does not bear leaves or buds"					
	Q59243260					root bark		FALSE						
						root cap		FALSE	"the loose cells at the tip of a growing root, rubbed off by the motion of the root tip through the soil and constantly renewed from within"					
						root hair		FALSE	"any of the hollow hairlike outgrowths of the outer cells of a root, just behind the tip, that absorb water and salts from the soil"					
	Q58696517					root wood		FALSE						
						rosette		FALSE						
						rosette leaf		FALSE						
						salt gland		FALSE						
						sapwood		FALSE						
						secundine		FALSE	one of the two integuments surrounding the ovule of a plant					
						seed (commercial plants)		FALSE						
	Q58261300					seed (fresh)		FALSE						
						seed (market)		FALSE						
						seed (wild plants)		FALSE						
						seed pod		FALSE	"a carpel or pistil enclosing the seeds of a plant, esp a flowering plant"					
						seed trichome		FALSE						
						semi-ripe fruits		FALSE						
						sepal		FALSE	any of the separate parts of the calyx of a flower					
						septum		FALSE						
						sheath		FALSE	"an enclosing or protective structure, such as a leaf base encasing the stem of a plant"					
						shoot		FALSE						
						shoot culture		FALSE						
						silk		FALSE						
						small branch		FALSE						
						spadix		FALSE	"a racemose inflorescence having many small sessile flowers borne on a fleshy stem, the whole usually being surrounded by a spathe: typical of aroid plants"					
						spathe		FALSE	"a large bract, often coloured, that surrounds the inflorescence of aroid plants and palms"					
						spike		FALSE	"an inflorescence consisting of a raceme of sessile flowers, as in the gladiolus and sedges"					
						spikelet		FALSE	"the small inflorescence of plants of other families, esp the sedges"					
						spur		FALSE	a tubular extension at the base of the corolla in flowers such as larkspur					
						stalk		FALSE						
						stamen		FALSE	"the male reproductive organ of a flower, consisting of a stalk (filament) bearing an anther in which pollen is produced"					
	Q134267					stem		FALSE	"the main axis of a plant, which bears the leaves, axillary buds, and flowers and contains a hollow cylinder of vascular tissue"					
						stem wood chips		FALSE						
						stigma		FALSE	"the receptive surface of a carpel, where deposited pollen germinates"					
						stipel		FALSE						
						stipule		FALSE						
						stolon		FALSE						
						stoma		FALSE	"an epidermal pore, present in large numbers in plant leaves, that controls the passage of gases into and out of a plant"					
						style		FALSE	"the stalk of a carpel, bearing the stigma"					
						synergid		FALSE						
						taproot		FALSE	"the large single root of plants such as the dandelion, which grows vertically downwards and bears smaller lateral roots"					
						tassel		FALSE	"anything resembling this tuft, esp the tuft of stamens at the tip of a maize inflorescence"					
						tassel branch		FALSE						
						tepal		FALSE	any of the subdivisions of a perianth that is not clearly differentiated into calyx and corolla					
						terminal branch		FALSE						
						terminal branchlet		FALSE						
						thallus		FALSE						
	Q11162356					thin branch		FALSE						
						thorn		FALSE						
						top		FALSE						
						trace		FALSE					???	
						tracheid		FALSE						
						trichome		FALSE						
	Q193472					trunk		FALSE						
						trunk wood		FALSE						
	Q7850807					tuber		FALSE						
						tuberous root		FALSE						
						tuberous root tuber	tuberous root tuber?	FALSE						
						twig		FALSE						
						umbel		FALSE	"an inflorescence, characteristic of umbelliferous plants, in which the flowers arise from the same point in the main stem and have stalks of the same length, to give a cluster with the youngest flowers at the centre"					
						umbel rays		FALSE						
						unripe fruit		FALSE						
	Q60286656					unripe seed		FALSE						
						vascular bundle		FALSE	a longitudinal strand of vascular tissue in the stems and leaves of higher plants					
						vascular leaf		FALSE						
						vegetative bud		FALSE						
						vegetative material	what does this mean? Cat1 Cat2 would be???	FALSE						
						whole fruit		FALSE						
						whole herb	"whole ""herb"" what part of the plant is the ""herb""? Does herb = plant?"	FALSE						
						whole plant		FALSE						
						whole plant biomass		FALSE						
	Q287					wood		FALSE						
						xylem		FALSE	"a plant tissue that conducts water and mineral salts from the roots to all other parts, provides mechanical support, and forms the wood of trees and shrubs. It is of two types (protoxylem and metaxylem), both of which are made up mainly of vessels and tracheids"					
								TRUE					"Is herb a plant part? If not, what Category and Sub-category?"	
														What about qualifiers such as Fresh?
