id,"name","description","chebi_name","chebi_id","created_at","updated_at",creator_id,updater_id,"chebi_definition"
53,"amphitensive",NULL,NULL,NULL,"2012-04-10 10:05:14","2012-04-10 10:05:14",NULL,NULL,NULL
54,"anabolic",NULL,"anabolic agent","36413","2012-04-10 10:05:14","2015-10-29 22:41:03",NULL,NULL,"A compound which stimulates anabolism and inhibits catabolism. Anabolic agents stimulate the development of muscle mass, strength, and power."
55,"analeptic",NULL,"central nervous system stimulant","35337","2012-04-10 10:05:14","2015-10-29 22:41:03",NULL,NULL,"Any drug that enhances the activity of the central nervous system."
56,"analgesic",NULL,"analgesic","35480","2012-04-10 10:05:14","2015-10-27 17:47:54",NULL,NULL,"An agent capable of relieving pain without the loss of consciousness or without producing anaesthesia. In addition, analgesic is a role played by a compound which is exhibited by a capability to cause a reduction of pain symptoms."
57,"anaphrodisiac","An agent that quells or blunts the libido.
",NULL,NULL,"2012-04-10 10:05:14","2015-11-11 02:32:14",NULL,NULL,NULL
58,"anaphylactic","Allergent causing anaphylaxis, an allergic reaction with symptoms such as itchy rash, throat swelling, low blood pressure.
",NULL,NULL,"2012-04-10 10:05:14","2015-11-11 02:32:11",NULL,NULL,NULL
59,"ancylostomicide","An agent destructive to Ancylostoma genus of nematodes.
",NULL,NULL,"2012-04-10 10:05:14","2015-11-11 02:32:11",NULL,NULL,NULL
60,"androgenic","An agent, usually a steroid hormone, that stimulates or controls the development and maintenance of male characteristics in vertebrates by binding to androgen receptors. This includes the activity of the accessory male sex organs and development of male secondary sex characteristics.
",NULL,NULL,"2012-04-10 10:05:14","2015-11-11 02:32:17",NULL,NULL,NULL
61,"anemiagenic","An agent causing anemia. For example, arsenic can cause hemolytic anemia.
",NULL,NULL,"2012-04-10 10:05:14","2015-11-11 02:32:11",NULL,NULL,NULL
62,"anesthetic","A drug that causes anesthesia, a reversible loss of sensation.
",NULL,NULL,"2012-04-10 10:05:14","2015-11-11 02:32:10",NULL,NULL,NULL
63,"angiogenic",NULL,"angiogenesis inducing agent","50927","2012-04-10 10:05:14","2015-10-27 17:47:55",NULL,NULL,"An agent that induces or stimulates the physiologic angiogenesis process."
64,"angiotensin receptor blocker",NULL,"angiotensin receptor antagonist","61016","2012-04-10 10:05:14","2015-10-27 17:47:55",NULL,NULL,"A hormone antagonist that blocks angiotensin receptors."
65,"anhydrotic","An agent that suppresses sweating. Denoting a reduction or absence of sweat glands, characteristic of congenital ectodermal defect and anhidrotic ectodermal dysplasia.
",NULL,NULL,"2012-04-10 10:05:14","2015-11-11 02:32:16",NULL,NULL,NULL
66,"ankylostomacide",NULL,"pharmaceutical","52217","2012-04-10 10:05:14","2015-10-27 17:47:56",NULL,NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
67,"anorectic",NULL,"appetite regulator","50780","2012-04-10 10:05:14","2015-10-27 17:47:56",NULL,NULL,"An agent which regulates the physiologic mechanisms that control the appetite and food intake."
68,"anorexic",NULL,"appetite regulator","50780","2012-04-10 10:05:14","2015-10-27 17:47:57",NULL,NULL,"An agent which regulates the physiologic mechanisms that control the appetite and food intake."
69,"autonomic nervous system paralytic",NULL,"pharmaceutical","52217","2012-04-10 10:05:14","2015-10-27 17:47:57",NULL,NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
70,"autonomic nervous system stimulant",NULL,"pharmaceutical","52217","2012-04-10 10:05:14","2015-10-27 17:47:58",NULL,NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
71,"ant repellent",NULL,"insecticide","24852","2012-04-10 10:05:14","2015-10-27 17:47:58",NULL,NULL,"Strictly, a substance intended to kill members of the class Insecta.  In common usage, any substance used for preventing, destroying, repelling or controlling insects."
72,"anti helmintic",NULL,"antimicrobial agent","33281","2012-04-10 10:05:14","2015-10-27 17:47:59",NULL,NULL,"A substance that kills or slows the growth of microorganisms, including bacteria, viruses, fungi and protozoans."
73,"anti 5-hydroxytryptamine",NULL,"serotonergic antagonist","48279","2012-04-10 10:05:14","2015-10-27 17:48:00",NULL,NULL,"Drugs that bind to but do not activate serotonin receptors, thereby blocking the actions of serotonin or serotonergic agonists."
74,"anti LDL",NULL,"inhibitor","35222","2012-04-10 10:05:14","2015-10-27 17:48:01",NULL,NULL,"A substance that diminishes the rate of a chemical reaction."
75,"anti acetylcholine",NULL,"cholinergic drug","38323","2012-04-10 10:05:14","2015-10-27 17:48:01",NULL,NULL,"Any drug used for its actions on cholinergic systems. Included here are agonists and antagonists, drugs that affect the life cycle of acetylcholine, and drugs that affect the survival of cholinergic neurons."
76,"anti acetylcholinesterase",NULL,"acetylcholinesterase inhibitor","38462","2012-04-10 10:05:14","2015-10-27 17:48:02",NULL,NULL,"An EC 3.1.1.* (carboxylic ester hydrolase) inhibitor that interferes with the action of enzyme acetylcholinesterase (EC 3.1.1.7), which helps breaking down of acetylcholine into choline and acetic acid."
77,"anti acid","A substance that neutralizes acidity, such as stomach acidity that causes heartburn.
",NULL,NULL,"2012-04-10 10:05:15","2015-11-11 02:32:10",NULL,NULL,NULL
78,"anti acne",NULL,"dermatologic drug","50177","2012-04-10 10:05:15","2015-10-27 17:48:02",NULL,NULL,"A drug used to treat or prevent skin disorders or for the routine care of skin."
79,"anti acrocyanotic",NULL,"pharmaceutical","52217","2012-04-10 10:05:15","2015-10-27 17:48:03",NULL,NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
80,"anti acrodermatitic",NULL,"dermatologic drug","50177","2012-04-10 10:05:15","2015-10-27 17:48:03",NULL,NULL,"A drug used to treat or prevent skin disorders or for the routine care of skin."
81,"anti acrodynic",NULL,"dermatologic drug","50177","2012-04-10 10:05:15","2015-10-27 17:48:04",NULL,NULL,"A drug used to treat or prevent skin disorders or for the routine care of skin."
82,"anti acromegalic","An agent that suppresses the over production of growth hormone related to acromegaly.
",NULL,NULL,"2012-04-10 10:05:15","2015-11-11 02:32:16",NULL,NULL,NULL
83,"anti ADD","A drug used to treat attention deficit disorder, often a stimulant that promotes concentration and attention.
",NULL,NULL,"2012-04-10 10:05:15","2015-11-11 02:32:10",NULL,NULL,NULL
84,"anti Addisonian","An agent, often a steroid, used to manage addison's disease characterized by underactivity of the adrenal glands.
",NULL,NULL,"2012-04-10 10:05:15","2015-11-11 02:32:16",NULL,NULL,NULL
85,"anti adenoma carcinogenic",NULL,"antineoplastic agent","35610","2012-04-10 10:05:15","2015-10-27 17:48:08",NULL,NULL,"A substance that inhibits or prevents the proliferation of neoplasms."
86,"anti adenomic",NULL,"antineoplastic agent","35610","2012-04-10 10:05:15","2015-10-27 17:48:09",NULL,NULL,"A substance that inhibits or prevents the proliferation of neoplasms."
87,"anti adenoviral",NULL,"antiviral agent","22587","2012-04-10 10:05:15","2015-10-27 17:48:10",NULL,NULL,"A substance that destroys or inhibits replication of viruses."
88,"anti adenovirus",NULL,"antiviral agent","22587","2012-04-10 10:05:15","2015-10-27 17:48:10",NULL,NULL,"A substance that destroys or inhibits replication of viruses."
89,"anti adhesive","An agent that prevents adhesion, or the clinging together of dissimilar particles or surfaces.
",NULL,NULL,"2012-04-10 10:05:15","2015-11-11 02:32:13",NULL,NULL,NULL
90,"anti adrenalinic",NULL,"adrenergic agent","37962","2012-04-10 10:05:15","2015-10-27 17:48:11",NULL,NULL,"Any agent that acts on an adrenergic receptor or affects the life cycle of an adrenergic transmitter."
91,"anti adrenergic",NULL,"adrenergic agent","37962","2012-04-10 10:05:15","2015-10-27 17:48:12",NULL,NULL,"Any agent that acts on an adrenergic receptor or affects the life cycle of an adrenergic transmitter."
92,"anti aflatoxin",NULL,"inhibitor","35222","2012-04-10 10:05:15","2015-10-27 17:48:12",NULL,NULL,"A substance that diminishes the rate of a chemical reaction."
93,"anti advanced glycation end products",NULL,"pharmaceutical","52217","2012-04-10 10:05:15","2015-10-27 17:48:13",NULL,NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
94,"anti aggregant","An agent that prevents the conjugation or collection of particulars into a whole.
",NULL,NULL,"2012-04-10 10:05:15","2015-11-11 02:32:13",NULL,NULL,NULL
95,"anti aging",NULL,"pharmaceutical","52217","2012-04-10 10:05:15","2015-10-27 17:48:13",NULL,NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
96,"anti AIDS",NULL,"antiviral agent","22587","2012-04-10 10:05:15","2015-10-27 17:48:14",NULL,NULL,"A substance that destroys or inhibits replication of viruses."
97,"anti akathisic",NULL,"pharmaceutical","52217","2012-04-10 10:05:15","2015-10-27 17:48:14",NULL,NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
98,"anti alcoholic",NULL,"pharmaceutical","52217","2012-04-10 10:05:15","2015-10-27 17:48:15",NULL,NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
99,"anti aldosteronic",NULL,"pharmaceutical","52217","2012-04-10 10:05:15","2015-10-27 17:48:15",NULL,NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
100,"anti alkali","An agent that reduces the pH of a solution.
",NULL,NULL,"2012-04-10 10:05:15","2015-11-11 02:32:14",NULL,NULL,NULL
101,"anti alkalotic","An agent that relieves excessively alkiline conditions of body fluids or tissues that may cause weakness or cramps.
",NULL,NULL,"2012-04-10 10:05:15","2015-11-11 02:32:14",NULL,NULL,NULL
102,"anti allergenic",NULL,"anti-allergic drug","50857","2012-04-10 10:05:15","2015-10-27 17:48:16",NULL,NULL,"A drug used to treat allergic reactions."
103,"anti allergic",NULL,"anti-allergic drug","50857","2012-04-10 10:05:15","2015-10-27 17:48:17",NULL,NULL,"A drug used to treat allergic reactions."
104,"anti alopecic",NULL,"pharmaceutical","52217","2012-04-10 10:05:15","2015-10-27 17:48:17",NULL,NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
105,"anti Alzheimeran",NULL,"pharmaceutical","52217","2012-04-10 10:05:15","2015-10-27 17:48:18",NULL,NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
106,"anti amblyopic",NULL,"pharmaceutical","52217","2012-04-10 10:05:15","2015-10-27 17:48:18",NULL,NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
107,"anti amebic",NULL,"antimicrobial agent","33281","2012-04-10 10:05:15","2015-10-27 17:48:19",NULL,NULL,"A substance that kills or slows the growth of microorganisms, including bacteria, viruses, fungi and protozoans."
108,"anti amnesic",NULL,"pharmaceutical","52217","2012-04-10 10:05:15","2015-10-27 17:48:19",NULL,NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
109,"anti amyloid-beta","An agent, such as an antibody, that lowers amyloid levels in an an Alzheimer affected brain.
",NULL,NULL,"2012-04-10 10:05:15","2015-11-11 02:32:17",NULL,NULL,NULL
110,"anti anacarditic",NULL,NULL,NULL,"2012-04-10 10:05:15","2012-04-10 10:05:15",NULL,NULL,NULL
111,"anti anaphylactic",NULL,"pharmaceutical","52217","2012-04-10 10:05:15","2015-10-27 17:48:20",NULL,NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
112,"anti androgenic",NULL,"androgen antagonist","35497","2012-04-10 10:05:15","2015-10-27 17:48:20",NULL,NULL,"A compound which inhibits or antagonises the biosynthesis or actions of androgens."
113,"anti anemic",NULL,"pharmaceutical","52217","2012-04-10 10:05:15","2015-10-27 17:48:21",NULL,NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
114,"anti anginal",NULL,"pharmaceutical","52217","2012-04-10 10:05:15","2015-10-27 17:48:21",NULL,NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
115,"anti angiogenic",NULL,"angiogenesis inhibitor","48422","2012-04-10 10:05:15","2015-10-27 17:48:22",NULL,NULL,"An agent and endogenous substances that antagonize or inhibit the development of new blood vessels."
116,"anti angiotensic",NULL,"hormone antagonist","49020","2012-04-10 10:05:15","2015-10-27 17:48:22",NULL,NULL,"A chemical substance which inhibits the function of the endocrine glands, the biosynthesis of their secreted hormones, or the action of hormones upon their specific sites."
117,"anti anorectic",NULL,"appetite regulator","50780","2012-04-10 10:05:15","2015-10-27 17:48:23",NULL,NULL,"An agent which regulates the physiologic mechanisms that control the appetite and food intake."
118,"anti anorexic",NULL,"appetite regulator","50780","2012-04-10 10:05:15","2015-10-27 17:48:23",NULL,NULL,"An agent which regulates the physiologic mechanisms that control the appetite and food intake."
119,"anti anoxic",NULL,"pharmaceutical","52217","2012-04-10 10:05:15","2015-10-27 17:48:24",NULL,NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
120,"anti anxiety",NULL,"pharmaceutical","52217","2012-04-10 10:05:15","2015-10-27 17:48:25",NULL,NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
121,"anti apertif",NULL,"pharmaceutical","52217","2012-04-10 10:05:15","2015-10-27 17:48:25",NULL,NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
122,"anti aphthic",NULL,"pharmaceutical","52217","2012-04-10 10:05:15","2015-10-27 17:48:26",NULL,NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
123,"anti apneic",NULL,"pharmaceutical","52217","2012-04-10 10:05:15","2015-10-27 17:48:26",NULL,NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
124,"anti apoplectic",NULL,"pharmaceutical","52217","2012-04-10 10:05:15","2015-10-27 17:48:27",NULL,NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
125,"anti apoptotic","An agent that inhibits the process of apoptosis, or programmed cell death.
",NULL,NULL,"2012-04-10 10:05:15","2015-11-11 02:32:13",NULL,NULL,NULL
126,"anti appetant",NULL,"appetite regulator","50780","2012-04-10 10:05:15","2015-10-27 17:48:27",NULL,NULL,"An agent which regulates the physiologic mechanisms that control the appetite and food intake."
127,"anti arabiflavinotic",NULL,NULL,NULL,"2012-04-10 10:05:15","2012-04-10 10:05:15",NULL,NULL,NULL
128,"anti arachidonate",NULL,"inhibitor","35222","2012-04-10 10:05:15","2015-10-27 17:48:28",NULL,NULL,"A substance that diminishes the rate of a chemical reaction."
129,"anti arrhythmic",NULL,"cardiovascular drug","38070","2012-04-10 10:05:15","2015-10-27 17:48:29",NULL,NULL,"A drug used for the treatment or prevention of cardiac arrhythmias. Anti-arrhythmia drugs may affect the polarisation-repolarisation phase of the action potential, its excitability or refractoriness, or impulse conduction or membrane responsiveness within cardiac fibres."
130,"anti arteriosclerotic",NULL,"cardiovascular drug","38070","2012-04-10 10:05:15","2015-10-27 17:48:29",NULL,NULL,"A drug used for the treatment or prevention of cardiac arrhythmias. Anti-arrhythmia drugs may affect the polarisation-repolarisation phase of the action potential, its excitability or refractoriness, or impulse conduction or membrane responsiveness within cardiac fibres."
131,"anti arthritic",NULL,"pharmaceutical","52217","2012-04-10 10:05:15","2015-10-27 17:48:30",NULL,NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
132,"anti asphyctic","An agent that can enhance the blood's ability to carry oxygen.
",NULL,NULL,"2012-04-10 10:05:15","2015-11-11 02:32:11",NULL,NULL,NULL
133,"ant iasthenic",NULL,"pharmaceutical","52217","2012-04-10 10:05:15","2015-10-27 17:48:30",NULL,NULL,"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
134,"anti asthmatic",NULL,"anti-asthmatic drug","49167","2012-04-10 10:05:15","2015-10-27 17:48:31",NULL,NULL,"A drug used to treat asthma."
135,"anti ataxic","A drug used to treat ataxia, a stimulant of movement coordination centres, such as the cerebellum.
",NULL,NULL,"2012-04-10 10:05:15","2015-11-11 02:32:10",NULL,NULL,NULL
136,"anti atherogenic",NULL,"cardiovascular drug","38070","2012-04-10 10:05:16","2015-10-27 17:48:31",NULL,NULL,"A drug used for the treatment or prevention of cardiac arrhythmias. Anti-arrhythmia drugs may affect the polarisation-repolarisation phase of the action potential, its excitability or refractoriness, or impulse conduction or membrane responsiveness within cardiac fibres."
137,"anti atheromic",NULL,"cardiovascular drug","38070","2012-04-10 10:05:16","2015-10-27 17:48:32",NULL,NULL,"A drug used for the treatment or prevention of cardiac arrhythmias. Anti-arrhythmia drugs may affect the polarisation-repolarisation phase of the action potential, its excitability or refractoriness, or impulse conduction or membrane responsiveness within cardiac fibres."
138,"anti atherosclerotic",NULL,"cardiovascular drug","38070","2012-04-10 10:05:16","2015-10-27 17:48:33",NULL,NULL,"A drug used for the treatment or prevention of cardiac arrhythmias. Anti-arrhythmia drugs may affect the polarisation-repolarisation phase of the action potential, its excitability or refractoriness, or impulse conduction or membrane responsiveness within cardiac fibres."
