compound	frequency
selina-4,11-diene	2
sesquicineole	2
sesquisabinene a	2
sesquisabinene	2
spathulenol	78
spirolepechinene	2
squalene	2
stearic acid	2
styrene	4
sulcatone	2
sylvestrene	2
tau-anethole	2
tau-cadinol	9
tau-muurolol	4
terpin-4-ol	4
terpinen-4-ol acetate	2
terpinen-4-ol	55
alpha-terpinene	2
gamma-terpinene	6
terpinene	2
terpinen‐4‐ol	10
alpha-terpineol	4
terpineol	6
terpinolene	57
terpinyl acetate	2
tetracosane	2
tetradecanal	3
tetradecane	4
tetradecanoic acid	4
theaspirane	2
thuj-3-en-10-al	2
thuja-2,4(10)-diene	6
alpha-thujene	2
thujopsan-2-alpha-ol	2
thunbergol	2
thymol acetate	2
thymol methyl ether	6
thymol	41
toluene	3
torreyol	2
trans-alpha-bergamotene	9
trans-alpha-bergamotol	2
trans-anethole	4
trans-benzyl cinnamate	2
trans-beta-bergamotene	2
trans-beta-caryophyllene	2
trans-beta-farnesene	4
trans-beta-guaiene	3
trans-beta-ocimene	7
trans-cadina-1(6),4-diene	5
trans-cadina-1,4-diene	4
trans-cadinalpha-1(6),4-diene	2
trans-calamenene	3
trans-calamenene	5
trans-carveol	10
trans-carveol	6
trans-carvyl acetate	2
trans-caryophyllene	3
trans-chrysanthenyl acetate	2
trans-cinnamaldehyde	3
trans-dihydrocarvone	2
trans-epoxy-ocimene	2
trans-gamma-bisabolene	2
trans-geraniol	2
trans-linalool oxide (furanoid)	2
trans-linalool oxide	6
trans-muurola-3,5-diene	2
trans-muurola-4(14),5-diene	4
trans-nerolidol	3
trans-p-menth-2-en-1-ol	5
trans-p-mentha-2,8-dien-1-ol	3
trans-pinocamphone	2
trans-pinocarveol	21
trans-piperitol	5
trans-sabinene hydrate	14
trans-sabinol	2
trans-sesquisabinene hydrate	3
trans-thujone	2
trans-verbenol	9
tricosane	4
tricyclene	17
tricyclo[5.2.2.0(1.6)]undecan-3-ol, 2-methylene-6,8,8-trimethyl-	2
tridecane	3
undecanal	3
undecane	2
undecanoic acid	2
valencene	13
valeranone	3
valerianol	3
verbenene	19
viridiflorene	13
viridiflorol	21
viridiflorol	7
(z)-beta-ocimene	2
zingiberene	5
zonarene	3
p-cymene	6
tau-cadinol	13
tau-muurolol	10
