"CustomerKey","MaritalStatus","Gender","EstimatedYearlyIncome","SentimentRating","WebActivity","NumberOfContracts","Age","Target","Available401K","CustomerValueSegment","ChurnScore","CallActivity"
11094,"S","M",70000,1,0,1,48,0,0,1,0.0,3
11095,"S","M",70000,1,0,1,48,1,1,1,0.5,3
11096,"M","M",60000,1,0,1,48,1,1,1,0.5,4
11097,"M","M",60000,1,0,1,48,1,1,1,0.5,3
11098,"S","F",60000,1,0,1,49,0,0,1,0.0,3
11099,"M","M",60000,1,0,1,49,1,1,1,0.0,4
11100,"S","F",60000,1,0,1,50,1,1,1,0.5,3
11101,"S","F",70000,0,0,1,45,1,0,1,0.0,4
11102,"S","F",80000,5,5,4,45,0,1,1,0.1,4
11103,"S","F",70000,0,0,1,45,1,1,1,0.5,4
11104,"M","M",70000,0,0,1,46,1,0,1,0.0,4
11105,"S","F",70000,0,0,1,45,1,0,1,0.5,4
11106,"S","M",70000,0,0,1,46,1,0,1,0.5,4
11107,"M","F",90000,1,0,1,51,1,1,1,0.5,4
11108,"S","F",70000,0,0,2,47,1,0,1,0.0,4
11109,"S","M",70000,0,0,2,46,1,0,1,0.0,4
11110,"M","M",60000,1,0,1,48,1,1,1,0.5,3
11111,"M","F",60000,1,0,1,48,1,1,1,0.0,3
11112,"M","F",60000,1,0,1,48,1,1,1,0.0,3
11113,"M","M",70000,5,4,2,48,0,1,1,0.5,4
11114,"S","F",70000,5,4,2,48,0,1,1,0.5,3
11115,"M","M",70000,5,4,2,48,0,1,1,0.0,3
11116,"M","M",70000,5,4,2,48,0,1,1,0.5,3
11117,"M","F",70000,5,4,3,49,1,1,1,1.0,3
11118,"S","M",80000,1,0,1,53,0,0,1,0.0,3
11119,"S","M",30000,2,0,2,75,0,0,1,0.0,2
11120,"S","F",40000,2,0,1,74,1,1,1,0.5,5
11121,"M","M",70000,5,4,3,49,0,1,1,1.0,3
11122,"M","M",70000,5,4,3,50,0,1,1,0.5,3
11123,"M","M",70000,5,4,3,50,0,1,1,1.0,3
11124,"S","M",80000,1,0,1,53,1,1,1,0.5,3
11125,"S","F",70000,1,0,1,54,0,1,1,0.5,3
11126,"M","M",10000,2,1,2,61,1,0,1,0.0,3
11127,"M","F",40000,0,0,1,34,0,1,2,0.5,3
11128,"M","F",40000,0,0,1,34,0,1,2,0.5,3
11129,"S","F",40000,0,0,1,35,1,1,2,0.5,3
11130,"M","F",30000,0,0,2,30,0,1,2,0.5,3
11131,"M","F",30000,0,0,2,30,0,0,2,0.0,3
11132,"S","F",30000,0,0,2,29,1,0,2,0.5,3
11133,"S","F",30000,0,0,2,30,0,0,2,0.0,2
11134,"S","M",10000,5,0,2,64,1,1,1,0.5,3
11135,"S","M",30000,0,0,2,30,1,0,2,0.5,2
11136,"S","F",40000,0,0,2,31,1,0,2,0.0,3
11137,"M","F",40000,0,0,2,32,0,1,2,0.5,3
11138,"M","F",40000,0,0,2,32,0,0,2,0.0,3
11139,"S","F",30000,2,0,2,71,0,0,1,0.5,2
11140,"S","M",30000,0,0,2,33,0,0,2,0.5,2
11141,"M","F",40000,0,0,2,33,0,0,2,0.0,3
11142,"S","M",40000,0,0,2,33,0,0,2,0.0,3
11143,"M","M",40000,0,0,2,33,0,1,2,0.5,3
11144,"S","M",40000,0,0,2,31,1,0,2,0.0,3
11145,"S","F",40000,0,0,2,30,1,0,2,0.0,3
11146,"S","F",40000,2,0,2,71,0,1,1,0.5,5
11147,"M","M",60000,2,0,1,71,1,1,1,0.0,5
11148,"M","M",40000,2,0,2,69,0,1,1,0.5,5
11149,"M","M",40000,2,0,2,69,0,1,1,0.0,5
11150,"S","M",40000,2,0,2,69,0,1,1,0.5,5
11151,"S","F",60000,2,0,1,68,1,0,1,0.0,5
11152,"S","M",40000,0,0,2,34,1,1,2,0.5,3
11153,"M","F",40000,0,0,2,34,0,1,2,0.5,3
11154,"S","F",40000,0,0,1,34,1,1,2,0.5,3
11155,"S","M",40000,0,0,1,34,1,0,2,0.1,3
11156,"S","F",40000,0,0,1,34,1,0,2,0.1,3
11157,"M","F",40000,0,0,2,35,0,1,2,0.5,3
11158,"S","M",40000,0,0,2,35,1,1,2,0.5,3
11159,"S","F",40000,0,0,2,35,0,0,2,0.1,3
11160,"S","M",40000,0,0,1,36,1,0,2,0.5,3
11161,"S","F",40000,0,0,1,36,0,0,2,0.1,3
11162,"S","M",40000,0,0,1,36,1,1,2,0.5,3
11163,"M","M",40000,0,0,1,35,0,1,2,0.5,3
11164,"S","M",40000,0,0,1,36,0,0,2,0.1,3
11165,"M","F",60000,0,0,1,37,0,0,2,0.1,3
11166,"S","F",70000,0,0,2,38,0,0,2,0.0,3
11167,"S","F",80000,0,0,1,38,1,0,2,0.0,5
11168,"S","M",80000,0,0,1,42,1,0,2,0.0,5
11169,"M","M",90000,4,4,1,42,0,1,2,0.0,5
11170,"M","F",90000,4,4,1,42,0,1,2,0.0,5
11171,"S","M",100000,1,0,2,43,1,1,2,0.1,5
11172,"M","F",100000,1,0,2,42,0,1,2,0.1,5
11173,"S","F",110000,0,0,4,43,0,0,2,0.0,5
11174,"M","M",110000,0,1,0,43,0,1,2,0.2,5
11175,"S","M",70000,0,0,2,47,1,1,2,0.5,3
11176,"M","M",90000,4,4,1,42,0,1,2,0.1,5
11177,"M","M",110000,2,4,2,68,0,1,2,0.5,5
11178,"M","M",100000,2,3,3,67,0,1,2,0.1,5
11179,"M","F",120000,2,4,3,67,0,1,2,0.5,5
11180,"M","F",160000,1,3,4,67,0,1,2,0.0,5
11181,"M","M",170000,2,3,2,67,0,1,2,0.0,5
11182,"S","F",70000,4,0,2,66,0,1,2,1.0,5
11183,"S","F",70000,4,0,2,66,0,1,2,1.0,5
11184,"S","F",70000,4,0,2,65,0,1,2,1.0,5
11185,"S","F",70000,4,0,2,66,0,1,2,1.0,5
11186,"S","F",70000,4,0,2,66,0,1,2,1.0,5
11187,"M","F",60000,4,0,2,66,0,1,2,1.0,5
11188,"M","F",60000,4,0,2,66,0,0,2,0.1,5
11189,"S","M",60000,4,0,2,66,1,1,2,1.0,5
11190,"M","M",70000,5,0,2,66,0,1,2,1.0,5
11191,"S","F",70000,5,0,3,64,1,1,2,1.0,5
11192,"M","M",60000,4,0,2,65,0,1,2,0.2,5
11193,"M","M",60000,4,0,2,65,0,1,2,0.2,5
11194,"M","F",60000,4,0,2,65,0,1,2,0.2,5
11195,"M","F",60000,5,0,3,64,0,1,2,1.0,5
11196,"M","M",60000,5,0,3,64,0,1,2,1.0,5
11197,"M","F",70000,3,1,1,64,0,0,2,0.1,5
11198,"S","F",70000,4,1,1,63,0,1,2,1.0,5
11199,"M","F",70000,4,1,1,63,0,1,2,1.0,5
11200,"M","M",70000,4,1,1,62,0,1,2,0.1,5
11201,"M","F",70000,4,1,1,63,0,1,2,1.0,5
11202,"M","F",80000,5,0,2,63,0,0,2,0.1,5
11203,"M","M",40000,2,1,2,62,0,1,2,1.0,4
11204,"M","F",40000,2,1,2,62,0,1,2,0.2,4
11205,"M","F",40000,2,1,2,62,0,1,2,1.0,4
11206,"M","M",60000,2,1,1,62,0,1,2,1.0,4
11207,"S","F",60000,2,1,1,62,0,1,2,1.0,4
11208,"M","F",60000,2,1,0,62,0,1,2,1.0,5
11209,"M","F",60000,2,1,0,62,0,1,2,1.0,5
11210,"M","M",70000,4,1,2,62,0,1,2,1.0,4
11211,"M","F",40000,2,1,2,61,0,1,2,0.2,4
11212,"M","F",40000,2,1,2,60,0,1,2,0.2,4
11213,"S","F",60000,2,1,2,61,0,1,2,1.0,4
11214,"S","M",60000,2,1,2,60,0,1,2,1.0,4
11215,"M","F",40000,2,1,2,60,0,1,2,1.0,3
11216,"S","F",60000,2,1,2,60,1,1,2,1.0,4
11217,"S","F",60000,2,1,2,60,1,1,2,1.0,4
11218,"S","F",60000,2,1,2,60,0,0,2,0.2,4
11219,"M","M",60000,2,1,2,59,0,1,2,1.0,4
11220,"M","F",60000,2,1,1,60,0,1,2,1.0,4
11221,"M","M",70000,4,2,1,60,0,1,2,0.1,4
11222,"M","F",80000,3,1,1,60,0,1,2,0.1,5
11223,"S","F",70000,2,1,2,59,0,1,2,0.2,4
11224,"S","F",70000,2,1,2,59,1,1,2,1.0,4
11225,"M","F",60000,2,1,1,59,0,1,2,1.0,4
11226,"M","F",60000,2,1,1,59,0,1,2,0.2,4
11227,"S","M",60000,2,1,2,59,1,1,2,1.0,4
11228,"M","F",60000,2,1,2,59,0,1,2,1.0,4
11229,"S","M",70000,4,2,1,58,0,1,2,1.0,4
11230,"M","F",70000,4,2,2,59,0,0,2,0.2,4
11231,"M","M",60000,2,1,2,57,0,1,2,1.0,4
11232,"M","F",60000,3,1,2,58,0,0,2,0.2,4
11233,"M","M",70000,4,2,2,58,0,1,2,1.0,4
11234,"S","F",70000,4,2,2,57,0,1,2,1.0,4
11235,"M","M",70000,4,2,2,58,0,1,2,1.0,4
11236,"S","M",70000,5,2,2,58,0,1,2,1.0,4
11237,"S","M",130000,2,3,4,52,1,0,3,0.0,5
11238,"S","F",130000,2,3,4,52,1,0,3,0.0,5
11239,"M","F",130000,2,4,2,52,1,0,3,0.5,4
11240,"M","F",160000,2,3,4,51,1,1,3,0.5,4
11241,"S","F",100000,2,3,4,53,1,1,3,0.5,4
11242,"M","M",110000,2,4,3,52,1,1,3,0.5,4
11243,"M","F",150000,2,3,3,53,1,1,3,0.0,4
11244,"S","F",170000,2,3,3,52,1,0,3,0.0,5
11245,"M","M",120000,3,4,4,53,1,0,3,0.5,4
11246,"M","F",120000,3,4,4,54,1,0,3,0.5,4
11247,"S","F",130000,3,4,3,54,1,0,3,0.0,4
11248,"M","M",110000,3,4,4,55,0,1,3,1.0,4
11249,"M","F",130000,3,4,3,55,1,1,3,0.0,4
11250,"M","F",170000,3,4,2,55,1,1,3,0.5,4
11251,"S","M",30000,4,0,2,78,1,0,2,0.5,4
11252,"S","M",90000,3,0,1,78,1,1,2,0.2,5
11253,"M","M",60000,2,0,2,77,0,1,2,0.1,5
11254,"M","M",70000,4,0,2,77,0,1,2,0.5,5
11255,"M","M",70000,4,0,2,77,0,1,2,0.5,5
11256,"M","F",70000,4,0,2,77,0,1,2,0.5,5
11257,"S","F",120000,1,2,4,77,1,1,2,0.2,5
11258,"M","M",120000,1,2,4,77,0,1,2,0.2,5
11259,"M","F",100000,4,1,4,45,1,1,2,0.2,4
11260,"M","F",110000,2,2,3,45,0,1,2,0.2,5
11261,"M","F",130000,1,2,1,45,1,1,2,0.0,5
11262,"M","F",80000,4,3,0,46,0,1,2,0.0,5
11263,"M","F",90000,5,5,3,46,1,1,2,0.2,4
11264,"S","M",90000,5,5,3,46,1,0,2,0.0,4
11265,"M","F",90000,5,5,3,46,1,1,2,0.0,4
11266,"S","F",90000,0,0,1,46,1,0,2,0.5,4
11267,"S","M",120000,4,2,4,46,1,1,2,0.2,4
11268,"M","F",130000,2,2,2,46,0,1,2,0.1,5
11269,"M","M",130000,2,2,2,46,0,1,2,0.0,5
11270,"M","M",130000,2,2,3,46,1,1,2,0.0,5
11271,"S","F",150000,2,0,4,46,1,0,2,0.1,5
11272,"S","F",70000,4,3,0,53,1,1,2,0.5,4
11273,"M","M",90000,2,1,0,54,0,1,2,1.0,4
11274,"M","M",50000,2,0,2,76,1,1,2,0.5,5
11275,"M","F",80000,4,0,2,76,1,1,2,0.0,5
11276,"M","F",80000,4,3,2,47,0,1,2,0.2,4
11277,"M","M",80000,4,3,2,47,0,1,2,0.0,4
11278,"S","M",90000,0,0,1,47,1,0,2,1.0,4
11279,"M","F",90000,0,0,1,47,0,1,2,1.0,4
11280,"M","M",90000,0,0,1,47,0,1,2,1.0,4
11281,"S","F",110000,4,2,4,47,1,1,2,0.5,5
11282,"M","M",90000,5,4,4,48,1,1,2,0.1,4
11283,"M","M",110000,1,3,2,47,0,1,2,0.1,5
11284,"M","F",110000,1,3,2,48,0,1,2,0.1,5
11285,"M","M",120000,1,3,4,48,0,0,2,0.2,4
11286,"M","M",170000,0,0,4,48,1,1,2,0.2,5
11287,"M","M",70000,5,4,3,49,0,0,2,0.5,4
11288,"M","F",110000,1,3,3,49,0,1,2,0.2,5
11289,"M","F",130000,1,3,1,49,1,1,2,0.0,5
11290,"M","F",130000,1,3,3,49,1,1,2,0.2,5
11291,"M","F",130000,1,3,3,49,1,1,2,0.2,5
11292,"S","M",150000,1,2,3,48,1,0,2,0.0,4
11293,"S","M",60000,2,0,2,55,0,0,2,0.1,4
11294,"M","M",60000,2,0,2,55,0,0,2,0.1,4
11295,"S","F",80000,2,0,2,56,1,1,2,0.5,3
11296,"S","F",50000,2,0,2,75,1,1,2,0.5,5
11297,"S","M",70000,4,0,2,75,1,1,2,0.5,5
11298,"M","M",70000,4,0,2,75,1,1,2,0.1,5
11299,"M","M",70000,4,0,2,74,1,1,2,0.1,5
11300,"M","M",80000,5,4,3,50,0,0,2,0.1,4
11301,"M","M",80000,5,4,4,50,0,1,2,0.5,4
11302,"S","M",90000,4,3,3,49,1,0,2,0.1,4
11303,"S","F",90000,4,3,3,50,1,0,2,0.1,4
11304,"M","F",100000,0,3,0,50,0,1,2,0.5,4
11305,"M","M",110000,3,3,4,50,0,0,2,0.2,4
11306,"M","M",110000,3,3,4,50,0,0,2,0.2,4
11307,"M","M",80000,2,0,2,55,1,1,2,0.5,3
11308,"M","M",60000,2,0,2,56,0,0,2,0.1,4
11309,"S","F",60000,2,0,2,56,0,1,2,0.5,4
11310,"S","F",70000,3,0,2,57,0,1,2,0.5,5
11311,"S","F",70000,3,0,2,57,0,0,2,0.1,5
11312,"S","F",70000,3,0,2,57,0,1,2,0.5,5
11313,"S","M",70000,3,0,2,57,0,1,2,0.5,5
11314,"S","F",70000,3,0,2,56,0,0,2,0.1,5
11315,"S","F",70000,3,0,2,57,0,0,2,0.1,5
11316,"M","M",60000,3,0,2,56,1,1,2,0.5,5
11317,"S","F",40000,3,0,2,58,1,0,2,0.5,4
11318,"S","F",40000,3,0,2,57,0,0,2,0.1,4
11319,"M","F",70000,4,0,2,73,1,0,2,0.1,5
11320,"M","F",80000,4,0,2,73,0,1,2,0.5,5
11321,"M","M",90000,5,0,2,72,0,1,2,0.5,5
11322,"M","F",90000,5,0,2,72,0,1,2,0.5,5
11323,"S","M",120000,2,4,3,72,1,1,2,0.5,5
11324,"M","M",90000,5,0,2,71,1,1,2,0.1,5
11325,"S","M",90000,5,0,2,71,1,1,2,0.5,5
11326,"M","M",130000,2,3,4,71,1,1,2,0.0,5
11327,"M","M",90000,5,0,2,70,1,1,2,0.5,5
11328,"M","M",90000,5,0,2,70,1,1,2,0.5,5
11329,"S","M",90000,5,0,2,70,1,1,2,0.5,5
11330,"M","M",110000,2,4,1,70,0,1,2,0.2,5
11331,"M","F",90000,4,4,2,42,0,1,2,0.1,3
11332,"S","F",10000,1,0,0,48,1,1,3,0.0,1
11333,"M","F",20000,1,0,0,48,1,1,3,0.0,2
11334,"M","F",10000,1,0,0,49,1,1,3,0.0,1
11335,"M","F",10000,1,0,0,49,1,1,3,0.0,1
11336,"M","M",20000,1,0,0,48,1,1,3,0.0,2
11337,"M","M",10000,1,0,0,49,1,1,3,0.0,1
11338,"M","M",20000,1,0,0,49,1,1,3,0.0,2
11339,"S","M",20000,1,0,0,49,1,1,3,0.0,2
11340,"M","F",10000,1,0,0,74,1,1,3,0.0,2
11341,"M","M",20000,1,0,0,74,1,1,3,0.0,2
11342,"M","M",30000,5,0,0,48,0,1,3,0.0,2
11343,"M","M",10000,1,0,0,52,1,1,3,0.0,1
11344,"M","F",10000,1,0,0,53,1,1,3,0.0,1
11345,"S","F",10000,1,0,0,53,1,1,3,0.0,1
11346,"S","F",10000,2,0,1,55,1,1,3,0.0,1
11347,"M","M",10000,2,0,1,54,0,1,3,0.0,1
11348,"M","M",10000,2,0,1,55,0,1,3,0.0,1
11349,"M","F",10000,2,0,1,56,0,1,3,0.2,1
11350,"M","F",30000,1,0,0,73,0,1,3,0.0,2
11351,"S","F",20000,1,0,0,71,1,1,3,0.0,2
11352,"M","M",10000,2,0,1,70,0,1,3,0.0,1
11353,"S","F",30000,1,0,0,69,1,1,3,0.0,2
11354,"M","F",20000,1,0,0,68,0,1,3,0.0,1
11355,"M","M",40000,1,0,0,67,0,1,3,0.0,2
11356,"S","M",10000,0,0,1,30,1,0,1,0.2,1
11357,"S","M",10000,0,0,1,31,1,0,1,0.2,1
11358,"S","F",10000,0,0,1,31,1,0,1,0.0,1
11359,"S","M",10000,0,0,1,32,1,0,1,0.0,1
11360,"S","M",10000,0,0,1,32,1,1,1,0.2,1
11361,"M","F",10000,0,0,2,33,0,1,1,0.0,1
11362,"M","M",10000,0,0,2,32,0,0,1,0.0,1
11363,"S","M",10000,0,0,2,32,1,0,1,0.0,1
11364,"S","F",10000,1,1,0,31,1,0,1,0.2,1
11365,"S","F",10000,1,1,0,31,1,0,1,0.1,1
11366,"M","F",20000,0,0,0,30,0,1,1,0.0,2
11367,"M","M",20000,0,0,0,31,0,1,1,0.0,2
11368,"S","M",10000,1,1,0,31,1,0,1,0.1,1
11369,"M","F",20000,0,0,0,32,0,0,1,0.0,2
11370,"M","F",20000,0,0,0,32,0,1,1,0.0,2
11371,"M","F",20000,0,0,0,32,0,1,1,0.0,2
11372,"S","F",20000,0,0,0,32,1,1,1,0.0,2
11373,"M","F",30000,1,0,0,67,0,1,3,0.0,2
11374,"S","M",30000,1,0,0,67,0,1,3,0.0,2
11375,"M","M",30000,1,0,0,67,0,1,3,0.0,2
11376,"S","M",40000,1,0,0,67,0,1,3,0.0,2
11377,"M","M",30000,4,0,0,49,0,1,3,0.0,2
11378,"S","F",10000,1,1,1,50,1,0,3,0.2,1
11379,"M","M",10000,1,1,1,50,1,1,3,0.2,1
11380,"S","M",20000,2,0,1,51,1,1,3,0.1,1
11381,"M","F",20000,2,0,1,51,1,1,3,0.2,1
11382,"M","M",20000,2,0,1,52,1,1,3,0.2,1
11383,"M","F",30000,3,0,0,50,0,1,3,0.0,2
11384,"M","F",30000,3,0,0,49,0,1,3,0.0,2
11385,"S","M",30000,3,0,0,50,0,1,3,0.0,2
11386,"M","F",30000,3,0,0,49,0,1,3,0.0,2
11387,"S","F",40000,3,0,0,51,1,1,3,0.0,2
11388,"M","M",40000,3,0,0,51,1,1,3,0.0,2
11389,"S","M",10000,1,1,1,40,0,0,3,0.2,1
11390,"S","F",10000,1,1,1,39,0,0,3,0.2,1
11391,"S","F",10000,2,2,0,39,0,1,3,0.0,1
11392,"S","M",10000,2,2,0,40,0,1,3,0.0,1
11393,"S","M",10000,2,2,0,41,0,1,3,0.0,1
11394,"S","M",10000,2,2,0,40,1,1,3,0.0,1
11395,"S","F",30000,0,0,0,39,1,1,3,0.0,2
11396,"M","M",10000,2,2,1,41,0,0,3,0.0,1
11397,"S","F",20000,0,0,1,41,0,0,3,0.0,1
11398,"S","M",30000,0,0,0,41,1,1,3,0.0,2
11399,"S","F",30000,1,0,0,41,0,1,3,0.0,2
11400,"S","M",40000,0,0,0,41,1,1,3,0.0,2
11401,"M","F",40000,0,0,0,41,1,1,3,0.0,2
11402,"M","F",40000,0,0,0,40,1,1,3,0.0,2
11403,"S","F",40000,0,0,0,41,1,1,3,0.0,2
11404,"S","F",10000,3,0,2,58,0,0,3,0.0,1
11405,"S","F",10000,3,0,2,58,0,0,3,0.0,1
11406,"M","F",20000,2,0,1,58,1,1,3,0.2,1
11407,"M","M",20000,2,0,1,58,0,1,3,0.0,1
11408,"M","M",10000,2,1,2,57,0,0,3,0.0,1
11409,"S","F",10000,2,2,1,42,1,1,3,0.0,1
11410,"M","M",20000,1,1,0,42,1,1,3,0.2,1
11411,"M","M",80000,3,2,1,56,0,0,3,0.2,4
11412,"S","F",80000,4,2,1,56,1,1,3,1.0,4
11413,"M","F",80000,4,2,1,56,1,0,3,0.2,4
11414,"S","M",80000,4,2,1,56,1,1,3,1.0,4
11415,"S","M",90000,5,0,2,66,0,0,3,1.0,4
11416,"M","F",60000,3,1,4,65,1,1,3,0.2,3
11417,"M","F",70000,5,1,2,65,1,1,3,1.0,4
11418,"S","M",90000,5,0,2,65,0,0,3,1.0,4
11419,"M","M",150000,3,4,4,65,0,1,3,0.0,5
11420,"M","M",100000,2,3,4,64,1,1,3,1.0,5
11421,"M","F",110000,3,4,4,64,1,1,3,0.5,5
11422,"M","M",170000,4,4,3,64,1,1,3,0.5,5
11423,"M","F",80000,4,2,1,55,1,0,3,0.2,4
11424,"M","F",80000,4,2,2,56,0,1,3,1.0,4
11425,"M","F",90000,4,2,2,56,1,1,3,1.0,4
11426,"M","M",110000,3,4,4,57,0,1,3,1.0,5
11427,"M","F",110000,2,5,2,56,1,1,3,1.0,4
11428,"S","F",120000,2,5,2,57,1,1,3,1.0,5
11429,"M","M",80000,4,1,2,58,1,1,3,1.0,4
11430,"M","F",90000,4,1,2,58,0,1,3,1.0,4
11431,"M","M",110000,4,5,2,57,1,1,3,1.0,4
11432,"M","F",80000,4,2,2,59,1,1,3,1.0,4
11433,"M","M",80000,5,2,2,59,1,0,3,0.2,4
11434,"M","M",170000,5,5,4,59,0,1,3,0.0,4
11435,"S","F",100000,3,4,4,60,0,1,3,1.0,5
11436,"M","F",160000,3,5,4,60,0,0,3,1.0,5
11437,"M","M",90000,4,1,3,60,0,1,3,1.0,5
11438,"M","F",130000,4,5,4,60,0,1,3,0.0,5
11439,"M","F",90000,4,1,3,62,1,0,3,0.5,5
11440,"M","M",80000,5,0,2,63,0,0,3,0.5,3
11441,"M","F",90000,5,0,2,63,0,0,3,0.5,3
11442,"M","M",90000,5,0,2,62,0,1,3,1.0,3
11443,"S","F",60000,0,0,4,34,1,0,1,0.2,4
11444,"M","F",70000,0,0,3,34,1,1,1,1.0,4
