Article	Table type	Table Image	"paragraphs just before the table (with title, if any)"	Table_Caption	Keywords_Phrases	Table_Footnote_KEY_Abbreviations	Measurements	Measurement Unit	Method	Plant Material	Targets	"Non-Plant Control Substances, Solvents, Media, Substrate"	Notes	Table Type	Col1	Col2	Col3	Col4	Col5	Col6
PMC5412227	antibacterial_MIC_MBC_DD		"Antimicrobial activity
The antimicrobial behavior of D. kotschy essential oils against a panel of twelve bacteria strains was studied by agar disk diffusion and broth microdilution susceptibility assays. Bacteria selction was made based on their relevance as food contaminants. Their potency was qualitatively and quantitatively determined from the diameters of the inhibition zones (DDs), minimum inhibitory concentrations (MICs) and minimum bactericidal concentrations (MBCs), as shown in Table 3.
"	Antimicrobial activity of D. kotschy essential oils.	[ACTIVITY(S)] activity of [PLANT(S)] [EXTRACT(S)]	"DD: diameter of inhibition zone (mm) including disk diameter of 6 mm. 
MIC, MBC: values given as μg/ml (for the essential oils and antibiotics)."	"DD: diameter of inhibition zone (mm) 
MIC, MBC"	μg/ml				"Gentamycin
Vancomycin"			Microorganisms	DD	MIC	MBC		
PMC5423258	antibacterial_MIC_MBC		"The antibacterial activities of C. decurrens, C. sempervirens and T. articulata essential oils against the tested Gram-positive and Gram- negative baeteria are shown in Table 4. The essential oils under investigation inhibited the growth of S. epidermidis at concentrations 0.023- 0.442 µL/mL. Essential oil of C. sempervirens showed inhibition of the growth of S. pyogenes at concentration 0.84 µL/mL, while essential oils of C. decurrens and T. articulata at concentrations up to 64 µL/mL showed no inhibition of the growth of S. pyogenes. E. coli showed no susceptibility to essential oil of C. decurrens, while all the tested Gram-negative microorganisms showed growth inhibition by the effect of essential oils of C. sempervirens and T. articulata at concentrations range 0.037- 3.031 µL/mL. In addition, all the tested essential oils excreted bactericidal activities against all the susceptible Gram-positive and gram-negative microorganisms at concentration range 0.155- 6.72 µL/mL. C. sempervirens showed the highest antibacterial activities against most of the tested bacterial strains.

"	"Antibacterial activities (MIC and MBC) of C. decurrens, C. sempervirens and T. articulata essential oils"	[ACTIVITY(S)] of [PLANT(S)] [EXTRACT(S)]	-Not done	"MIC
MBC

Mean (µL/mL) ± Standard Deviation"								Microorganism	MIC90	MBC			
PMC5423258			"The antifungal activities of the essential oils of C. decurrens, C. sempervirens and T. articulata against tested yeast strains are shown in Table 5. Essential oil of C. decurrens showed no activities against all the tested yeast strains except C. parapsilosis which showed growth inhibition at concentration 0.824 µL/mL. C. glabrata and C. krusei showed no susceptibility to any of the studied essential oils, while essential oils of C. sempervirens and T. articulata inhibited the growth of C. albicans and C. parapsilosis at concentration range 0.42- 0.757 µL/mL. The tested essential oils showed MFC against the susceptible Candida species ranging from 1.148 µL/mL to 2.828 µL/mL. C. sempervirens essential oil showed the highest fungicidal activities followed by T. articulata and C. decurrens.

"	"Antifungal activities (MIC and MFC) of C. decurrens, C. sempervirens and T. articulata essential oils"	[ACTIVITY(S)] of [PLANT(S)] [EXTRACT(S)]	-Not done	"MIC
MBC

Mean (µL/mL) ± Standard Deviation"								Microorganism	MIC90	MBC			
PMC5454990			"2.2. Antimicrobial and Cytotoxic Activities
All essential oils displayed high antimicrobial activity against E. coli (minimum inhibitory concentration (MIC) < 19.5 μg·mL−1). Cau-L and Cuj-L oils showed notable activity against S. epidermis and B. cereus (Table 3). It is not obvious what component(s) are responsible for the activity against E. coli. Most essential oil components show only marginal activity against this organism. The antibacterial activities against the other bacteria are consistent with the activities of the essential oil components (Table 3). On the other hand, the cytotoxic activity against MCF-7 cells did not display variation in the median inhibitory concentration (IC50) values among all samples with an average of 63.0 μg·mL−1 (Table 3). The main compounds germacrene D, bicyclogermacrene, β-caryophyllene, α-pinene, β-pinene, caryophyllene oxide, β-selinene, 7-epi-α-selinene have been reported as antimicrobial and cytotoxic [29,30,31,32,33]. The observed cytotoxicities of some of the essential oil components are consistent with the cytotoxicities of the essential oils themselves (Table 3).
"	"Antimicrobial and cytotoxic activities of Ocotea essential oils and some major essential oil components. MIC, minimum inhibitory concentration; IC50, median inhibitory concentration."	[ACTIVITY(S)] of [PLANT(S)] [EXTRACT(S)] and some major [EXTRACT(S)] [COMPONENT(S)]	"P. aer (Pseudomonas aeruginosa), E. coli (Escherichia coli), S. epi (Staphylococcus epidermidis), S. aur (Staphylococcus aureus), B. cer (Bacillus cereus)."	"MIC (μg·mL−1)
IC50 (μg·mL−1)
"	μg·mL−1							Material	MIC (μg·mL−1)	IC50 (μg·mL−1)			
PMC5485486	antiBacterial_DD		"3.3. Antibacterial Assays

3.3.1. Disc Diffusion Assay
Inhibition zone diameters of the disc diffusion assays were recorded in Table 3. The results indicate that E. coli ATCC 25922 and S. aureus ATCC 25923 were sensitive to essential oils of A. citriodora, while P. aeruginosa ATCC 27583 was resistant."	Inhibition zone diameters (mm) of A. citriodora essential oils on bacterial strains. 	[MEASUREMENT(S)] [UNIT(S)] of [PLANT(S)] [EXTRACT(S)] on [TARGET(S)]	∗AG: Agadir. BM: Beni Mellal. BE: Berkane. DE: Demnate. MA: Marrakech.	Mean Inhibition zone diameters	(mm)		"[x] essential oil(s) oil(s) of [x]"	"Contains “ATCC” Bacterial strains"	"Ceftriaxone Ofloxacin"	"Find single/plural version of words: • diameter/diameters  If column heading contains an asterisk (*) check footer or elsewhere for unabbreviated terms"		Bacterial strains	EO samples from different regions				
PMC5485486	antibacterial_MIC_MBC		"3.3.2. Determination of MIC and MBC
The obtained values of MIC and MBC are shown in Table 4. The MIC on E. coli ranged from 2.84 to 3.73 mg/ml for MA and BM essential oils, respectively. S. aureus MICs were 3.51 mg/mL for BM and 3.87 mg/ml for DE essential oils."	Minimal inhibitory concentrations (MIC) and minimal bactericidal concentrations (MBC) of A. citriodora essential oils.	[MEASUREMENT(S)] [UNIT(S)] of [PLANT(S)] [EXTRACT(S)] 	∗AG: Agadir. BM: Beni Mellal. BE: Berkane. DE: Demnate. MA: Marrakech.	"MIC
MBC"	mg/mL							EO samples from different regions	MIC	MBC			
PMC5486035			"2.4. Antimicrobial Activities
The minimal inhibitory concentrations (MICs) and minimal bactericidal concentrations (MBCs) values of HEO against the American Type Culture Collection (ATCC) and clinical isolates tested bacteria are reported in Table 2. Results of negative controls indicated the complete absence of inhibition of all the strains tested (data not shown). A concentration of 7.11 mg/mL inhibited the growth of all the tested strains with the exception of Pseudomonas aeruginosa ATCC 9027. The same concentration was found to be bactericidal against all strains. Several studies have previously demonstrated the antimicrobial activity of plant essential oils [32,33,34]. The compound 4-carene, also identified amongst the main constituents of the Iranian Cymbobogon Olivieri essential oil, has been implicated in the antimicrobial activity against Gram-positive bacteria, Gram-negative bacteria, and the yeast Candida albicans [35]."	Minimal inhibitory concentrations (MICs) and minimal bactericidal concentrations (MBCs) of HEO (expressed as mg/mL) against Gram-positive and Gram-negative bacteria.	[MEASUREMENT(S)] [UNIT(S)] of [PLANT(S)] (expressed as [UNIT(S)]) against [TARGET(S)]	"HEO, hull essential oil; na, not active."	"MIC
MBC"	mg/mL							Bacterial Strain	MIC	MBC			
PMC5497343	antiBacterial_MIC		"MIC of the essential oil of T. muinuta flower
The essential oil of T. minuta flower demonstrated good antibacterial activity against all the test bacteria strains. The minimum inhibitory concentration (MIC) value of 0.06 mg/mL was exhibited for Vibrio spp., E. coli, E. cloacae and L. ivanovii, while the MIC (0.125 mg/mL) for the EO against S. aurius, M. smegatis and S. uberis was higher as shown in Table 
Table3
3."	Minimum inhibitory concentrations (MIC) of essential oil of T. minuta flower	[MEASUREMENT(S)] of [EXTRACT(S)] of [PLANT(S)] [PART(S)]	"Key: A = Essential oil, B = ciprofloxacin, + = Growth, − = no growth"				[Plant Name] [Part]	"Gram positive S. aureus L. ivanovii M. smegatis S. uberis  Gram negative E. cloacae E. coli Vibro spp."		"This table has two columns (A, B) for each measurement heading (o.5, 0.25,…)  It also sub-sorts the targets by Gram Positive and Negative"		Bacteria	0.5	0.25	0.125	0.06	0.03
PMC5497343	antiBacterial_MBC		"MBC of the essential oil
The essential oil of T. minuta flower displayed incredible antibacterial activities against Gram-negative bacteria test strains (E. cloacae, Vibrio spp. and E. coli) and Gram-positive bacteria (S. uberis) at varied concentrations as showed in Table 
Table4.
4. The minimum bactericidal concentration of the EO and positive control are shown in Table 
Table4
4 below."	Minimum bactericidal concentrations (MBC) of essential oil of T. minuta flower	[MEASUREMENT(S)] of [EXTRACT(S)] of [PLANT NAME] [PART(S)]	"Key:  A = oil,  B = ciprofloxacin,  + = Growth,  − = no growth"	"Minimum bactericidal concentrations (MBC)  Concentrations of essential oil (mg/mL) and MBC (mg/mL)"	"Concentrations (mg/mL)  MBC (mg/mL)"	Titration		Bacteria	Ciprofloxacin			Bacteria	"Concentrations of essential oil (mg/mL)  (0.5
0.25
0.125
0.06
0.03
) A
B
A
B
A
B
A
B
A
B"	"MBC (mg/mL)  (Oil
Ciprofloxacin
)"			
PMC5527698		"Images instead of tables
"																		
PMC5543433	antiBacterial_MIC		"Antimicrobial activities
The antibacterial activity of C. limon essential oil was evaluated against Gram + positive (B. cereus, E. faecalis, S. aureus, S. epidermis, B. subtilis, L. monocytogenes and M. luteus) and Gram-negative (P. aeruginosa, E.coli, S. enteritidis and K. pneumoniae) bacteria. The antibacterial activity was assessed by evaluating the inhibition zone (IZ) and the determination of MIC values. As can be seen in Table 
Table2,
2, ClEO showed varying degrees of antibacterial activity against all strains tested. The inhibition zones were in the range of 13–26 mm. Among Gram positive bacteria, highest inhibitory zone was observed against L. monocytogenes (26 mm) followed by B. cereus (24 mm) and S. aureus (22 mm). Among Gram negative, highest inhibitory zone was observed against S. enteritidis (18 mm). The inhibition zone for Gentamicin (10 μg/well), which was used as positive controls for bacteria, ranged from 12 to 25 mm. Negative control did not show any inhibitory effect against the tested bacteria.

"	"Antibacterial activity of ClEO against foodborne, spoiling bacteria and determination of the Minimum Inhibitory Concentrations (MICs) expressed in mg/ml "	[ACTIVITY(S)] activity of [PLANT(S)] [EXTRACT(S)] against [SUBSTRATE(S)] [SUBSTRATE EFFECT(S)] [TARGET(S)] and determination of the [MEASUREMENT(S)] expressed in [UNIT(S)] 	"Values are given as mean ± S.D. of triplicate experiments
aDiameter of inhibition zones of including diameter of disc 6 mm
b EO Lemon citrus essential oil (50 μl/well)
cThe used concentration of Gentamicin was 10 μg/well"	"(MICs)
Inhibition zones diameter (mm)
(50 μl/well)"	"mg/ml
(mm)
± S.D."	Diffusion Disk 6 mm			Gentamicin	"Note that Plant/Extract has been abbreviated to ITALICIZED first to letters of the plant name connected to CAPITALIZED “EO”

ClEO"		Strains (Bacterial Strains)	Inhibition zones diameter (mm)	MIC (mg/ml)			
PMC5543433	antiFungal_MFC_Zone		"The antifungal activity was evaluated against Aspergillus sp., Fusarium sp. and Alternaria alternata. Results showed a strong inhibitory effect of ClEO on the growth of A. niger and A. flavus with inhibition zone diameters of 26 mm and MIC values of 0.625 and 0.312 mg/ml respectively (Table 
(Table3).
3). Also, the ClEO exhibited an antifungal activity against Fusarium sp. and Aspergillus sp., which are responsible for spoilage of many foods. The maximal inhibition zone diameters were 17–21 mm and MIC values ranged from 0.625 to 1.25 mg/ml (Table 
(Table3).
3). The high antifungal activity may be attributed to the presence of the said chemical components in the essential oil. The antimicrobial activity of the essential oils of C. limon apparently related to its terpenes type components such as pinene, myrcene and limonene (Table 
(Table1),
1), since there is a relationship between the chemical structures of the most abundant oils and their antimicrobial activities. Limonene has been shown to have strong antifungal properties [38]. Although the mechanism of action of terpenes is not fully understood, it is thought to involve membrane disruption by the lipophilic compounds [39]. The essential oils containing terpenes are also reported to possess antimicrobial activity [40], which are consistent with our present studies."	Antifungal activity of ClEO and determination of the Minimum Fungicidal Concentrations (MFCs) expressed in mg/ml	[ACTIVITY(S)] activity of [PLANT(S)] [EXTRACT(S)] and determination of the [MEASUREMENT(S)] expressed in [UNIT(S)] 	"Values are given as mean ± SD of triplicate experiments
aDiameter of inhibition zones including diameter of disc 6 mm
b EO Lemon citrus essential oil (50 μl/well)
cThe used concentration of amphotericin B was 20 μg/well
"	Minimum Fungicidal Concentrations (MFCs)	mg/ml							Fungal strains	Inhibition zones diameter (mm)	MIC (mg/ml)			
PMC5568258	antibacterial_MIC_MBC		"MIC and MBC determination
The MIC and MBC results are shown in Table 
Table2.
2. The controls validated the tests. The positive control (PC) showed no bacterial growth at higher concentrations, demonstrating the effectiveness of gentamicin as a positive control in the test, since the antibiotic’s inhibitory effect on the bacteria occurred up to a concentration of 0.004 mg/mL (4 μg/mL), with equivalence between the MIC and MBC. Bacterial growth occurred in all assays for both the negative control (NC) and for the growth control (GC), confirming the non-bacterial inhibition of Tween 80 and the viability of the strains used and demonstrating the antibacterial effect of M. urundeuva oil."	Minimum Inhibitory Concentration (MIC) and Minimum Bactericidal Concentration (MBC) of the Myracrodruon urundeuva essential oil	[MEASUREMENT(S)] of the [PLANT(S)] [EXTRACT(S)] 	"ATCC American Type Culture Collection, INCQS Instituto Nacional de Controle de Qualidade em Saúde (Fiocruz - Brazil)"	MIC and MBC (mg/mL)	mg/mL		Myracrodruon urundeuva essential oil		Gentamicin			Bacteria	MIC	MBC			
PMC5590062			"3.3. Antimicrobial Activity
The antimicrobial activities of the essential oils from the leaves of both A. schaueriana specimens were evaluated against C. albicans, A. brasiliensis, S. aureus, P. aeruginosa, and E. coli. The growth inhibitions obtained for both oils, at the highest dose tested (217 µg/mL), are presented in Table 3. P. aeruginosa was the most sensitive organism for both oils, presenting the highest growth inhibition."	Antimicrobial activity of the essential oil from the leaves of A. schaueriana collected at Estação Ecológica Jureia-Itatins (1) and Parque Estadual da Ilha do Cardoso (2).	[ACTIVITY(S)] of the [EXTRACT(S)] from the [PART(S)] of [PLANT(S)] collected at [COLLECTION LOCATION(S)].	a Concentration in each microplate well. N.A. = not applicable. − no inhibition; + total inhibition.	"Growth Inhibition (%) for 217 μg/mL (Mean ± CI95, n = 3)"					"Ciprofloxacin (50 µg/mL) a
Nystatin (50 µ g/mL) a"			Sample	"Growth Inhibition (%) for 217 μg/mL (Mean ± CI95, n = 3)"				
PMC5590063	antiFungal_MFC		"All tested Candida species were sensitive to the essential oils and MIC values ranged from 0.625 to 1.25 μL/mL (Table 2). C. albicans and C. krusei were more sensitive to the V. guianensis oil, while C. glabrata and C. parapsilosis were more sensitive to the H. courbaril oil. All the oils showed fungicidal activity and all Candida strains were sensitive to the positive control fluconazole (Table 2). According to MFC/MIC ratios, the effect of all oils on the Candida species can be considered fungicidal."	"Minimum inhibitory concentrations (MICs) and minimal fungicidal concentrations (MFCs) on Candida species of the essential oils from leaves of H. courbaril var. courbaril, M. peruiferum, and V. guianensis as well as of positive control fluconazole."	[MEASUREMENT(S)] on [TARGET(S)] species of the [EXTRACT(S)] from the [PART(S)] of [PLANT(S)]  as well as of positive control [CONTROL(S)]		"MIC (µL/mL)
MFC (µL/mL)
MFC/MIC"	(µL/mL)				fluconazole	RotGrid		Sample					
