PMCID	activity	activity_method	activity_result	table_no	table_title	notes
PMC5858457	antibacterial
PMC5324201	anti-bacterial
PMC5592951	anti-bacterial
PMC5876267	aphrodisiac
PMC6011056	aphrodisiac
PMC5622390	aphrodisiac
PMC5694587	astringent
PMC6011056	astringent
PMC5852288	astringent
PMC5237462	astringent
PMC5884000	astringent
PMC5423258	astringent
PMC5761127	astringent
PMC5674267	procollagen
PMC5876267	ache inhibitor
PMC5748641	ache inhibitor
PMC5778779	analgesic
PMC5750605	analgesic
PMC5622390	analgesic
PMC5750654	analgesic
PMC5615139	analgesic
PMC5905578	analgesic
PMC5761127	analgesic
PMC5485486	analgesic
PMC5717781	analgesic
PMC5702920	analgesic
PMC5938542	analgesic
PMC5694611	analgesic
PMC5237462	analgesic
PMC5694587	analgesic
PMC5958191	analgesic
PMC5132230	analgesic
PMC5838999	analgesic
PMC5964621	analgesic
PMC5669111	analgesic
PMC5884000	analgesic
PMC5674267	analgesic
PMC5507808	analgesic
PMC5811758	analgesic
PMC5344628	analgesic
PMC5668225	analgesic
PMC5933010	analgesic
PMC5546729	analgesic
PMC5569441	analgesic
PMC5248495	analgesic
PMC5568258	analgesic
PMC5830750	analgesic
PMC5822514	analgesic
PMC5603114	analgesic
PMC5885327	analgesic
PMC5806308	analgesic
PMC5543433	anesthetic
PMC5838999	anesthetic
PMC5964621	anesthetic
PMC5694611	anesthetic
PMC5877547	anti-allergic
PMC5958191	anti-allergic
PMC5937106	antiallergic
PMC5964621	antiallergenic
PMC5694875	allergenicity
PMC5694875	allergenicity
PMC5878871	anaphylactic	Discussion >> induces anaphylactic reactions
PMC5750605	anti-angiogenic
PMC5622398	anti-angiogenic
PMC5877547	anti-angiogenic
PMC5625792	anti-angiogenic
PMC5625792	anti-cancer
PMC5938542	anti-cancer
PMC5789316	anti-cancer
PMC5974043	anti-cancer
PMC5568258	anti-cancer
PMC5958191	anti-cancer
PMC5590067	anti-cancer
PMC5905184	anti-cancer
PMC5830750	anti-cancer
PMC5745743	anti-cancer
PMC5745743	anticancer
PMC5750605	anticancer
PMC5871294	anticancer
PMC5813356	anticancer
PMC5590067	anticancer
PMC5750654	anticancer
PMC5954905	anticancer
PMC5905578	anticancer
PMC5625792	anticancer
PMC5485486	anticancer
PMC5717781	anticancer
PMC5920425	anticancer
PMC5938542	anticancer
PMC5551175	anticancer
PMC5613177	anticancer
PMC5859817	anticancer
PMC5694587	anticancer
PMC5958191	anticancer
PMC5622398	anticancer
PMC5535876	anticancer
PMC5877547	anticancer
PMC5838999	anticancer
PMC5964621	anticancer
PMC5397855	anticancer
PMC5203915	anticancer
PMC5674267	anticancer
PMC5324201	anticancer
PMC5507808	anticancer
PMC5344628	anticancer
PMC5615285	anticancer
PMC5668225	anticancer
PMC5412227	anticancer
PMC5569441	anticancer
PMC5603114	anticancer
PMC5568258	anticancer
PMC5867545	anticancer
PMC5822514	anticancer
PMC5947909	anticancer
PMC5858069	anticancer
PMC5364420	anticancer
PMC5933692	anticancer
PMC5811758	Anti-nociceptive
PMC5921405	Anti-nociceptive
PMC5486035	Anti-nociceptive
PMC5524814	Anti-nociceptive
PMC5905578	Antinociceptive
PMC5615139	Antinociceptive
PMC5454990	Antinociceptive
PMC5668225	Antinociceptive
PMC5884000	Antinociceptive
PMC5794096	Antinociceptive
PMC5702920	Antinociceptive
PMC5964621	Antinociceptive
PMC6011056	Antinociceptive
PMC5937106	Antinociceptive
PMC5902937	Antinociceptive
PMC5811758	Antinociceptive
PMC5750594	Antinociceptive
PMC5750605	anti-proliferative
PMC5590060	anti-proliferative
PMC5535876	anti-proliferative
PMC5896384	anti-proliferative
PMC5668225	anti-proliferative
PMC5963643	anti-proliferative
PMC5625792	antiproliferative
PMC5622390	antiproliferative
PMC5426739	antiproliferative
PMC5324201	antiproliferative
PMC5694587	antiproliferative
PMC5568258	antiproliferative
PMC5877547	antiproliferative
PMC5750605	antiproliferative
PMC5958191	antiproliferative
PMC5806308	antiproliferative
PMC5806308	proliferative
PMC5897738	cyclooxygenase inhibitor
PMC5282690	cyclooxygenase inhibitor
PMC5535876	transdermal
PMC5535876	transmucosal
PMC5622390	anxiolytic
PMC5842484	anxiolytic
PMC5723952	anxiolytic
PMC5364420	anxiolytic
PMC5964621	anxiolytic
PMC5597067	anxiolytic
PMC5615139	anxiolytic
PMC5668225	anxiolytic
PMC5684592	anxiolytic
PMC5954905	anxiolytic
PMC5878871	anxiolytic
PMC5486035	free-radical scavenging
PMC5896386	free-radical scavenging
PMC5622398	free-radical scavenging
PMC5745743	free radical scavenging
PMC5750605	free radical scavenging
PMC5778779	free radical scavenging
PMC5622390	free radical scavenging
PMC5622403	free radical scavenging
PMC5653886	free radical scavenging
PMC5905578	free radical scavenging
PMC5597067	free radical scavenging
PMC5694611	free radical scavenging
PMC5080681	free radical scavenging
PMC5902937	free radical scavenging
PMC5613177	free radical scavenging
PMC5958191	free radical scavenging
PMC5535876	free radical scavenging
PMC5684592	free radical scavenging
PMC5282690	free radical scavenging
PMC5877547	free radical scavenging
PMC5960548	free radical scavenging
PMC5497343	free radical scavenging
PMC5871051	free radical scavenging
PMC5674267	free radical scavenging
PMC5324201	free radical scavenging
PMC5590065	free radical scavenging
PMC5789270	free radical scavenging
PMC5486035	free radical scavenging
PMC5590060	free radical scavenging
PMC5412227	free radical scavenging
PMC5846372	free radical scavenging
PMC5723952	free radical scavenging
PMC5248495	free radical scavenging
PMC5822514	free radical scavenging
PMC5543433	free radical scavenging
PMC5427463	free radical scavenging
PMC5933692	free radical scavenging
PMC5497343	insect repellent
PMC5694497	insect repellent
PMC5997812	insect repellent
PMC5750594	insect repellent
PMC5797122	insect repellent
PMC5813356	repellent
PMC5585972	repellent
PMC5872290	repellent
PMC5602041	repellent
PMC5551175	repellent
PMC5080681	repellent
PMC5905380	repellent
PMC5964621	repellent
PMC5651092	repellent
PMC5694611	repellent
PMC5957362	repellent
PMC5307902	repellent
PMC5622403	repellent
PMC5397855	repellent
PMC5952513	repellent
PMC5237462	repellent
PMC5933692	repellent
PMC5674267	repellent
PMC5486035	repellent
PMC5940754	repellent
PMC5858457	repellent
PMC5884000	abortifacient
PMC5590070	emmenagogue
PMC5524814	emmenagogue
PMC5884000	emmenagogue
PMC5761127	emmenagogue
PMC4391421	anthelmintic
PMC5952513	anthelmintic
PMC5590070	anthelmintic
PMC5958191	anthelmintic
PMC5590067	anthelmintic
PMC5884000	anthelmintic
PMC5964621	anthelmintic
PMC5237462	anthelmintic
PMC5918559	anthelmintic
PMC5694611	anthelmintic
PMC5551175	anthelmintic
PMC5080681	anthelmintic
PMC5876267	anthelmintic
PMC5694497	acaricide
PMC5970210	acaricide
PMC5651092	acaricide
PMC5602041	acaricide
PMC5838999	adaptogen
PMC5203915	adaptogen
PMC5964621	adaptogen
PMC5772139	allelochemic
PMC5874608	allelochemic
PMC5874608	allelopathic
PMC5622398	allelopathic
PMC5427463	allelopathic
PMC5795983	allelopathic
PMC5878871	anaphylactic
PMC5535876	androgenic
PMC5282690	anti-aggregant	"Discussion >> This results seems to be very considerable, by reference to a previous study conducted by our team, where the pharmaceutical anti-aggregant reference acetylsalicylic acid (1 mg/ml) induced a total inhibition of the aggregability caused by thrombin but at a quite high dose (1 mg/ml), if compared with our study when thrombin is tested at the dose 0.1 mg/ml [Ê78].Ê"
PMC5485486	antiasthmatic	"Introduction >> It is well established that sesquiterpenoids and their derivatives are credited with many biological activities such as anti-inflammatory, antibacterial, antiasthmatic, and antifungal properties"
PMC5625792	anti-biofilm
PMC5602841	antibiofilm
PMC6011056	antibiofilm
PMC5788217	antibiofilm
PMC5876267	anti-cholinesterase
PMC5878871	anticholinesterase
PMC5748641	anticholinesterase
PMC5954905	anticholinesterase
PMC5974043	anticoagulant
PMC5964621	anticoagulant
PMC5344628	anticoagulant
PMC5669111	anticoagulant
PMC5622403	anticonvulsant
PMC5938542	anticonvulsant
PMC5535876	anticonvulsant
PMC5615139	anticonvulsant
PMC5964621	anticonvulsant
PMC5132230	anticonvulsant
PMC5750605	anticonvulsant
PMC5668225	anticonvulsant
PMC5878871	anticonvulsant
PMC5964621	antiedematogenic
PMC5878871	antiedematogenic
PMC5897738	anti-emetic
PMC5761127	antiemetic
PMC5964621	antiemetic
PMC5237462	antiemetic
PMC5954905	antiestrogenic
PMC5877547	antiestrogenic
PMC5830750	antifeedant
PMC5858457	antifeedant
PMC5651092	antifeedant
PMC5622403	antifeedant
PMC5602041	antifeedant
PMC5745743	anti-fibrosis
PMC5237462	antiflu
PMC6006875	anti-fungal
PMC5590065	anti-fungal
PMC5977410	anti-fungal
PMC5324201	anti-fungal
PMC5248495	antifungal
PMC5905578	antifungal
PMC5772139	antifungal
PMC5964621	antifungal
PMC5830750	antifungal
PMC5423258	antifungal
PMC5933692	antifungal
PMC5237462	antifungal
PMC5849899	antifungal
PMC6011056	antifungal
PMC5575638	antifungal
PMC5568258	antifungal
PMC5203915	antifungal
PMC5957362	antifungal
PMC5806308	antifungal
PMC5748641	antifungal
PMC5393100	antifungal
PMC5535876	antifungal
PMC5080681	antifungal
PMC5590062	antifungal
PMC5858457	antifungal
PMC5874608	antifungal
PMC5921405	antifungal
PMC5933022	antifungal
PMC5978029	antifungal
PMC5723952	antifungal
