						IRREG	"O = Essential Oil(s) tested
C = Control(s) used (if any)
A = Activity(ies) tested
S = Species being tested
P = Parameters values = number of measurement types T = Time Sol = Solution Or = Origin Stg = Insect Stage ?? = Concentration"	ROTGRID = Columns with a values in it.																	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5203915/		PMC5203915	Cytotoxicity	Material and Methods >> Cell Culture of Human Normal Astrocytes and Cytotoxicity of HR and SGR Essential Oils and LPS >> Cytotoxicity of HR and SGR Essential Oils and LPS:	Results >> R. carthamoides HR and SGR Essential Oils Did Not Induce Cytotoxic Effect in Astrocytes	FIGURE 1				3.3. R. carthamoides HR and SGR Essential Oils Did Not Induce Cytotoxic Effect in Astrocytes														https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5203915/	https://htmlpreview.github.io/?https://github.com/petermr/CEVOpen/blob/master/searches/oil186/PMC5203915/scholarly.html
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5237462/		PMC5237462	 cytotoxic 	Material and Methods >> Toxicity Test	"3. Results and Discussion >> 3,2 Toxicity Test"	[no]				[table_title]														https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5237462/	https://htmlpreview.github.io/?https://github.com/petermr/CEVOpen/blob/master/searches/oil186/PMC5237462/scholarly.html
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5237462/		PMC5237462	Antibacterial	2. Material and Methods >> 2.7. Antimicrobial Activity >> 2.7.3. Evaluation of Antimicrobial Activity	"3. Results and Discussion >> 3,3 Antimicrobial Activity"	4	ROTGRID(O*A*S*P4)			Measurement results of the inhibition halos (mm) of the essential oil of M. piperita against strains of Staphylococcus aureus.	NA: did not present an inhibition halo.		Species	"Concentration (100 mg·mL−1, 50 mg·mL −1, 10 mg·mL −1, 1 mg·mL −1)"										https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5237462/	https://htmlpreview.github.io/?https://github.com/petermr/CEVOpen/blob/master/searches/oil186/PMC5237462/scholarly.html
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5237462/		PMC5237462	Antibacterial	2. Material and Methods >> 2.7. Antimicrobial Activity >> 2.7.3. Evaluation of Antimicrobial Activity	"3. Results and Discussion >> 3,3 Antimicrobial Activity"	5	ROTGRID(O*A*S*P4)			Measurement results of the inhibition halos (mm) of the M. piperita essential oil against Escherichia coli strains.			Species	"Concentration (100 mg·mL−1, 50 mg·mL −1, 10 mg·mL −1, 1 mg·mL −1)"										https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5237462/	https://htmlpreview.github.io/?https://github.com/petermr/CEVOpen/blob/master/searches/oil186/PMC5237462/scholarly.html
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5237462/		PMC5237462	Antioxidant	2. Material and Methods >> 2.5. Analysis of Antioxidant Activity	3. Results and Discussion >> 3.1 Antioxidant Activity	2	ROTGRID(O*A*P5+X)			Percentages results of antioxidant activity (% AA) of essential oil.	Values (% AA) that followed the same characters do not show statistically significant differences for ANOVA (p < 0.05).		Species	"Concentration ( μg·mL −1) (5, 1, 0.75, 0.5, 0.25, IC 50)
"										https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5237462/	https://htmlpreview.github.io/?https://github.com/petermr/CEVOpen/blob/master/searches/oil186/PMC5237462/scholarly.html
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5237462/		PMC5237462	Larvicidal 	2. Material and Methods >>  2.7. Antimicrobial Activity >> 2.8. Larvicidal Activity	3. Results and Discussion >> 3.4 Larvacidal Activity	6	ROTGRID(O*A*S5+X)			Mortality percentage and lethal concentration (LC 50) of M. piperita essential oil front Aedes aegypti larvae.			Species	"Concentration (ppm) (500, 400, 300, 200, 130, LC50)"										https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5237462/	https://htmlpreview.github.io/?https://github.com/petermr/CEVOpen/blob/master/searches/oil186/PMC5237462/scholarly.html
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5237462/		PMC5237462	Toxicity (Larvicidal)	2. Material and Methods >>  2.7. Antimicrobial Activity >> 2.8. Larvicidal Activity	3. Results and Discussion >> 3.4 Larvacidal Activity	3	ROTGRID(O*A*S*P7+X)	ROTGRID		Results of the mortality of M. piperita front toxicity test against larvae of A. salina.	Different lowercase characters represent significant differences in mortality between the concentrations of the oils.		Species	"Concentration ( μg·mL −1) (1250, 1000, 500, 250, 100, 10, 1, LC 5)
"	1000	500	250	100	10	1	LC50		LC50	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5237462/	https://htmlpreview.github.io/?https://github.com/petermr/CEVOpen/blob/master/searches/oil186/PMC5237462/scholarly.html
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5248495/		PMC5248495	antibacterial	Methods >> Investigation of antimicrobial activity by agar diffusion method : 	Results >> Antimicrobial activity of essential oils : 	[no]		"Article has a chart image, no activity table"		[table_title]														https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5248495/	https://htmlpreview.github.io/?https://github.com/petermr/CEVOpen/blob/master/searches/oil186/PMC5248495/scholarly.html
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5248495/		PMC5248495	antifungal	Methods >> Investigation of antimicrobial activity by agar diffusion method : 	Results >> Antimicrobial activity of essential oils : 	[no]		"Article has a chart image, no activity table"																https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5248495/	https://htmlpreview.github.io/?https://github.com/petermr/CEVOpen/blob/master/searches/oil186/PMC5248495/scholarly.html
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5248495/		PMC5248495	Free radical scavenging ability	Methods >> Determination of radical scavenging activity : 	Results >> Radical scavenging activity	[no]		"Article has a chart image, no activity table"		[table_title]														https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5248495/	https://htmlpreview.github.io/?https://github.com/petermr/CEVOpen/blob/master/searches/oil186/PMC5248495/scholarly.html
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5248495/		PMC5248495	Tyrosinase inhibition	Methods >> Tyrosinase inhibition colorimetric assay	Results >> Tyrosinase inhibition activity	[no]		"Article has a chart image, no activity table"		[table_title]														https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5248495/	https://htmlpreview.github.io/?https://github.com/petermr/CEVOpen/blob/master/searches/oil186/PMC5248495/scholarly.html
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5282690/		PMC5282690	Acute toxicity	Methods >> Acute toxicity	[result]	[no]		"Article has a chart image, no activity table"		[table_title]														https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5282690/	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5282690/		PMC5282690	radical scavenging	Methods >> DPPH radical scavenging assay : 	[result]	[no]		"Article has a chart image, no activity table"		[table_title]														https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5282690/	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5324201/		PMC5324201	Antifungal	Methods >> Antifungal activity test 	Results >> Antifungal activity of Anethum sowa L. root essential oil 	[no]		No such table		[table_title]														https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5324201/	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5324201/		PMC5324201	antifungal	Methods >> Antimicrobial activity test 	Results >> Antifungal activity of Anethum sowa L. root essential oil 	15	APA			Anti-fungal activity of Anethum sowa L. root essential oil	Std. CP Standard Ciprofloxacin		Fungi	400 μg/well	600 μg/well	800 μg/ well	100 μg/well	Essential oil	Fluconazole					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5324201/	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5324201/		PMC5324201	Antimicrobial	Methods >> Antimicrobial activity test 	Results >> Antimicrobial activity of Anethum sowa L. root essential oil 	13	APA(O*C2*A*S10*P5)			Anti-bacterial activity (Zone of Inhibition) of Anethum sowa L. root essential oil by diffusion method	"CP Standard Ciprofloxacin (5 μg/disc), TE Standard Tetracycline (30 μg/disc)"		"Test organisms (Gram-Positive, Gram-Negative)"	Organism	"Zone of Inhibition in mm (400 μg/well, 600 μg/well, 800 μg/well)
"			CP	TE					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5324201/	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5324201/		PMC5324201	Antimicrobial	Methods >> Antimicrobial activity test 	Results >> Antimicrobial activity of Anethum sowa L. root essential oil 	14	APA(O*C*A*P2)	I'm treating MIC and MBC as two parameters tested against one oil and one Control. I hope that’s correct.		Minimum inhibitory concentration (MIC) and Minimum bactericidal concentration (MBC) of Anethum sowa L. root essential oil and standard ciprofloxacin	Std. CP Standard Ciprofloxacin		Test organisms	Essential Oil	Std. CP	MIC (μg/mL)	MBC (μg/mL)	MIC (μg/mL)	MBC (μg/mL)					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5324201/	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5324201/		PMC5324201	Antioxidant	Methods >> Antioxidant activity	Results >> Antioxidant activity on DPPH radical	11	IRREG(O*C2*A*P8) ??	"CHECK P VALUE because the Standard antioxidants seem to share values in their Dose and Log columns, but have individual columns for each of their Average percent values"		Antioxidant activity of Anethum sowa L. root essential oil and standards	"ASA Ascorbic acid, BHT Tert-butyl-1-hydroxytoluene, Mean ± SD"		Dose Concentration (mg/mL)	Log Dose	Average percent of Inhibition ± SD	Dose Concentration (μg/mL)	Log Dose	Average percent of Inhibition ± SD of BHT	Average percent of Inhibition ± SD of ASA					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5324201/	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5324201/		PMC5324201	Cytotoxicity	Methods >> Cytotoxic activity of brine shrimp lethality bioassay 	Results >> Brine shrimp cytotoxicity assay	12	APA(O*C*A*P8)			Effect of vincristine sulphate and essential oil of Anethum sowa L root on brine shrimp cytotoxicity assay	"ASA Ascorbic acid, BHT Tert-butyl-1-hydroxytoluene, Mean ± SD"		Dose (μg/mL)	Log Dose (μg/mL)	% of mortality Vincristine sulphate	% of mortality Root essential oil	Probit Vincristine sulphate	Probit Root essential oil	LC50 (μg/mL) Vincristine sulphate	"LC50 (μg/mL)
 Root essential oil"				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5324201/	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5330108/		PMC5330108	Antifungal	MATERIALS AND METHODS >> Minimum inhibitory concentration 	RESULTS >> Minimum inhibitory concentration	[no]		No Table		[table_title]														https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5330108/	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5344628/		PMC5344628	anti-bacterial	Methods of Investigation >> Determination of the Minimum Inhibitory Concentration (MIC) of Bacteria >> Agar MIC Testing	Results and Discussion >>  Antibacterial Inhibition 	5	APA(O3*C3*A*P3)	Confusing!		Mean inhibition zone diameter (mm) by the vapor disc diffusion method.			"Essential Oil - 
Vapor Phase Method"	S. aureus	E. coli	L. monocytogenes								https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5344628/	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5344628/		PMC5344628	anti-bacterial	Methods of Investigation >> Determination of the Minimum Inhibitory Concentration (MIC) of Bacteria >> Agar MIC Testing	Results and Discussion >>  Antibacterial Inhibition 	6	APA(O3*Sol3*A*S2*P3)	"In this case, there were no controls, but the oils were tested in 3 different solvents. Hence, “Sol3”"		The minimal inhibitory concentration (MIC) (%) of essential oils in three different solvents ( v/ v).			EO	Method	MICs Value for S. aureus	MICs Value for E. coli	"Concentration of Oil ( v/ v) - (0.5%, 5%, 100%)"	"Concentration of Oil ( v/ v) - (0.5%, 5%, 100%)"						https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5344628/	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5344628/		PMC5344628	antifungal	Methods of Investigation >> Antifungal Assay	Results and Discussion >> Antifungal Activity of the Tested Essential Oils 	4	GRID(O4*A*P3)			"Minimum inhibitory concentration (MIC) of essential oils tested against Fusarium graminearum G87, Penicillium corylophilum CBMF1, and Aspergillus brasiliensis ATCC 16404."	NA—not applicable.		Essential Oil Fungal Strain	Thyme (ppm)	Clove (ppm)	Rosemary (ppm)	"Tea Tree (ppm)

"							https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5344628/	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5344628/		PMC5344628	Dynamic Light Scattering (DLS) Analysis	3. Experimental Section >> 3.12. The Dynamic Light Scattering (DLS) Analysis	??	7	GRID(O3C*A*P3)	"I’m not sure what section this table was in. It’s after References, but there is no label."		DLS results for essential oil/chitosan emulsions used to obtain films for food packaging.			Sample	"Z First Peak, d (nm)"	Z Average (nm)	PDI								https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5344628/	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5364420/		PMC5364420	Antibacterial	Methods >> Antibacterial activity 	[result]	[no]		"Formatting error. Besides the column headings being misplaced, a hyperlinked “a” appears in column two. I think it should be in one of the results fields. Moreover, there seems to be two sub-sections of the results to separate Gram-Positive from Gram-Negative bacterial strains’ results."		"ZOI, MIC, and MBC of essential oil from C. rotundus rhizomes."			"Bacterial
Strains"	ZOI (mm)	MIC (mg/mL)	MBC (mg/mL)								https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5364420/	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5364420/		PMC5364420	antioxidant	Methods >> Ferric reducing antioxidant power (FRAP) assay	Results and Discussion >> Ferric reducing antioxidant power (FRAP)	[no]				[table_title]														https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5364420/	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5364420/		PMC5364420	Cytotoxicity	Methods >> Cytotoxicity activity 	Results and Discussion >> Cytotoxicity of the essential oil	3	GRID(O*A*S6*P3)	"S6 = 6 Species, P3 = ZOI, MIC and MBC parameters. Note also that there are row breaks for Gram-positive and Gram-negative. This seems to be the way other tables are sorted too."		"ZOI, MIC, and MBC of essential oil from C. rotundus rhizomes."	"aValues represent means of three independent replicates ± SD.
bNT, not tested. Different letters within a column indicate statistically significant differences between the means (p < 0.05) for ZOI."		Bacterial strains	ZOI (mm)a	MIC (mg/mL)	MBC (mg/mL)								https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5364420/	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5364420/		PMC5364420	DNA damage protective	Methods >> Protection of DNA oxidative damage induced by Fe 2+	Results and Discussion >> DNA damage protective effect	[no]				[table_title]														https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5364420/	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5364420/		PMC5364420	DNA damage protective	Methods >> Protection of DNA oxidative damage induced AAPH	Results and Discussion >> DNA damage protective effect	[no]				[table_title]														https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5364420/	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5364420/		PMC5364420	DPPH and ABTS radicals scavenging capacity	Methods >> DPPH assay	Results and Discussion >> DPPH and ABTS radicals scavenging activity	2	APA(O*A*P2)	"Irregular table: Here, I’m treating DPPH as an activity. Not sure how to interpret this."		DPPH and ABTS radicals scavenging capacity of essential oil from C. rotundus rhizomes.	Values represent means of three independent replicates ± SD. R2 refers to the regression coefficients.		Scavenging capacity	Regression equation	EC 50 (μg/mL)									https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5364420/	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5393100/		PMC5393100	Ferric-reducing ability	MATERIALS AND METHODS >> Ferric-reducing ability of plasma	[result]	Tables are Images				[table_title]														https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5393100/	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5393100/		PMC5393100	Lipid peroxidation	MATERIALS AND METHODS >> Lipid peroxidation	[result]	Tables are Images				[table_title]														https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5393100/	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5393100/		PMC5393100	oxidative damage	MATERIALS AND METHODS >> Assessment of oxidative damage biomarkers	Effect of anise fruit on oxidative damage biomarkers	Tables are Images				[table_title]														https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5393100/	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5397855/		PMC5397855	Insecticidal (EO Constituents: diallyl sulfide and diallyl disulfide)	MATERIALS AND METHODS >> Repellency test	METHODS >> Mortality test	3	GRID(O2*A*S3*???	"Notes:  O = EO constituents in this case, not a whole EO.   S = Different life stages of the same species,"		Lethal concentrations of the diallyl sulfide and diallyl disulfide on different developmental stages of Tenebrio molitor after 48 hours exposure.	"1IS, insect stage; 2LC50 and 99, lethal concentration causing 50, 90 and 99% mortality; 3EV, estimated value; 4CI, confidential interval; 5X2, chi-squared value for the lethal concentrations and fiducial limits based on a log scale with significance level at P < 0.001."		Compounds	1IS	2LC	3VE mg mL −1	4IC mg mL −1	5 X 2						https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5397855/	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5397855/		PMC5397855	Insecticidal (EO Test)	MATERIALS AND METHODS >> Repellency test	METHODS >> Mortality test	1	GRID(O*C2*A*S3*P4???	"In this case S = Instect stage (Larva, Pupa, Adult).   Also note the footnote says 2LC50 and 99 but the table results is 90, not 99).   I don’t konw how to account for the two concentrations. Perhaps as two controls??"		Lethal concentrations of the garlic essential oil against different developmental stages of Tenebrio molitor after 48 hours exposure.	"1IS, insect stage; 2LC50 and 99, lethal concentration causing 50, 90 and 99% mortality; 3EV, estimated value; 4CI, confidential interval; 5X2, chi-squared value for the lethal concentrations and fiducial limits based on a log scale with significance level at P < 0.001."		1IS	2LC	3VE	4IC	5 X 2							https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5397855/	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5397855/		PMC5397855	Repellency test	MATERIALS AND METHODS >> Repellency test	MATERIALS AND METHODS >> Repellency test	[no]				[table_title]														https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5397855/	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411863/		PMC5411863	antimicrobial	???	Results and Discussion 	[no]				[table_title]														https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411863/	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5412227/		PMC5412227	Antimicrobial	Material and methods >> Minimum inhibition concentration (MIC) and minimal bactericidal concentration (MBC)	Results and Discussion >> Antimicrobial activity	3	APA(O*C2*A*S12*P3)	??		Antimicrobial activity of D. kotschy essential oils.	"DD: diameter of inhibition zone (mm) including disk diameter of 6 mm. MIC, MBC: values given as μg/ml (for the essential oils and antibiotics)."		Microorganisms	DD (Essential oil)	MIC (Essential oil)	MBC (Essential oil)	DD (Gentamycin)	MIC (Gentamycin)	MBC (Gentamycin)	DD (Vancomycin)	MIC (Vancomycin)	MBC (Vancomycin)		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5412227/	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5412227/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5412227/		PMC5412227	Free radical scavenging	Material and methods >> Antioxidant activity	Results and Discussion >> Antioxidant activity and Cytotoxicity	[no]				[table_title]														https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5412227/	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5412227/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5423258/		PMC5423258	antimicrobial 	Experimental >> Testing for antimicrobial activities	Results and Discussion >> 	4	APA(O3C*A2*S8*P2)	Gram positive and negative separation rows		"Antibacterial activities (MIC and MBC) of C. decurrens, C. sempervirens and T. articulata essential oils"	-Not done		"Microorganism {C. decurrens, C. sempervirens, T. articulata}"	MIC	MBC	MIC	MBC	MIC	MBC	MIC	MBC			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5423258/	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5423258/		PMC5423258	antimicrobial 	Experimental >> Testing for antimicrobial activities	Results and Discussion >> 	5	APA(O3C*A2*S8*P2)	Gram positive and negative separation rows		"Antifungal activities (MIC and MFC) of C. decurrens, C. sempervirens and T. articulata essential oils"	-Not done		"Microorganism {C. decurrens, C. sempervirens, T. articulata}"	MIC	MBC	MIC	MBC	MIC	MBC	MIC	MBC			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5423258/	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5427463/		PMC5427463	Antimicrobial	Antimicrobial activity >> Determination of MIC and MMC	Results and Discussion >> Antimicrobial activity of S. officinalis essential oil	[no]				[table_title]														https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5427463/	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5427463/		PMC5427463	Antioxidant	Materials and Methods >> Antioxidant activity >> DPPH free radical scavenging activity	Results and Discussion >> Antioxidant activity of S. officinalis essential oil	[no]				[table_title]														https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5427463/	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5427463/		PMC5427463	Antioxidant	Materials and Methods >> Antioxidant activity >> Linoleic acid peroxidation	[result]	[no]				[table_title]														https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5427463/	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5427463/		PMC5427463	Insecticidal	Insecticidal activity >> Bioassays >> Insecticidal activity	Results and Discussion >> Insecticidal activity	[no]				[table_title]														https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5427463/	
