Text,Label
"
 This research was supported by “Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES), Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq)”, and “Fundação de Amparo à Pesquisa do Estado de Minas Gerais (FAPEMIG)”. To Asia Science for correction and English editing this manuscript.
",Acknowledgment
"
 Acknowledgements
 The authors would like to thank to Dr. Hasan ÖZÇELİK from Süleyman Demirel University Biology Department for identifying the plants. This work is funded by TUBİTAK (Turkey Bilimsel ve Teknolojik Araştırma Kurumu, grant number: 113O284).
",Acknowledgment
"
 Acknowledgements
 We are grateful to the Borujerd Branch, Islamic Azad University for financial support for this work. Mrs. Rashidipour is acknowledged for her kind cooperation.
",Acknowledgment
"
 Acknowledgment
 This research project was supported by a grant from the Research Centre of the Female Centre for Scientific and Medical Colleges of King Saud University.
",Acknowledgment
"
 Acknowledgments
 We express our greatest appreciation to the French cooperation at Congo and to Marien Ngouabi University of Brazzaville (Congo) for financial support.
",Acknowledgment
"
 Acknowledgments
 The authors are grateful to CNPq-Programa “Ciências sem fronteiras” (Grant No. 233761/2014-4) for financial support.
",Acknowledgment
"
 Acknowledgments
 The authors would like to thank the National Centre for Scientific and Technical Research staff in Rabat, Morocco, for their support and analysis of the samples using GC-MS. They would like also to express their gratitude to the members of the Laboratory of Bioprocess and Biointerfaces directed by Professor Hassan Latrache of the Faculty of Science and Technology of Beni Mellal, Morocco, for their donation of bacterial strains.
",Acknowledgment
"
 Acknowledgments
 The authors’ research funds covered the cost of the study and open access fee.
",Acknowledgment
"
 Acknowledgements
 We would like to acknowledge South Africa National Research Foundation (NRF) for Funding this research and the University of Fort Hare for providing conducive environment.
 
  Funding
  The author’s are grateful to National Research Foundation for financing the project.
 
 
  Availability of data and materials
  All data were provided in the paper.
 
",Acknowledgment
"
 Acknowledgements
 The authors are grateful to the Food Engineering Technology Department of Polytechnic School of Abomey- Calavi University (UAC) for their financial support. They also like to thank Ariane AGOSSOU for her technical assistance.
",Acknowledgment
"
 The authors are grateful to the help of Fundación Maria Francisca de Roviralta for the acquisition of laboratory equipment.
",Acknowledgment
"
 Acknowledgements
 Not applicable.
 
  Availability of data and materials
  All data generated or analyzed during this study are included within the article.
 
 
  Funding
  Not applicable.
 
 
  Authors’ contributions
  ABH, NBH, SS and NH designed and wrote the paper. All authors have read and approved the final manuscript.
 
 
  Competing interests
  The authors declare that they have no competing interests.
 
 
  Consent for publication
  Not applicable.
 
 
  Ethics approval and consent to participate
  Not applicable.
 
 
  Publisher’s Note
  Springer Nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations.
 
",Acknowledgment
"
 Acknowledgments
 The authors would like to thank the University of Camerino (FAR 2014/15, Fondo di Ateneo per la Ricerca, FPI000044) for financial support. Gustavo Daniel Campagnaro received a scholarship from Science without Borders (206385/2014-5, CNPq, Brazil).
",Acknowledgment
"
 This work was supported by grants from FAPERN (Fundação de Apoio à Pesquisa do RN), CNPQ (Conselho Nacional de Pesquisa), CAPES (Coordenação de Aperfeiçoamento de Pessoal de Nível Superior), UFRN (Federal University of Rio Grande do Norte) and by Paulo Roberto Medeiros de Azevedo, who performed the statistical analysis in this study.
 
  Funding
  FAPERN (Fundação de Apoio à Pesquisa do RN) provided funding for the study design and CAPES (Coordenação de Aperfeiçoamento de Pessoal de Nível Superior) funded the work during its development.
 
 
  Availability of data and materials
  All the details of data and materials of this study are included in the manuscript.
 
",Acknowledgment
"
 Acknowledgment
 We are grateful for the financial support of Vice-chancellor for Research and Technology, Sabzevar University of Medical Sciences, Sabzever, Iran.
",Acknowledgment
"
 Acknowledgments
 The authors are grateful Puri Castillo for providing samples of 
  Allium sativum from Spain.
 
",Acknowledgment
"
 Not applicable.
 
  Funding
  This study was supported financially by China Agriculture Research System CARS-36 (2017YFD0502004) and the Key Technology Research and Development Program of Hubei Province (No. 2016ABA113).
 
 
  Availability of data and materials
  All data generated or analysed during this study are included in the supplementary information files of this article.
 
",Acknowledgment
"
 Acknowledgements
 Authors wish to thank everyone involved in the accomplishment of this study. Authors are thankful to the staff members of National Institute of Medical Research (NIMR) Insectary for their assistance. Thanks to Mr. Joseph Malulu for his assistance in operating GC-MS for chemical analysis of essential oils. Authors sincerely thank the Higher Education Students’ Loans Board for financing AT studies at CUHAS.
 
  Funding
  This study was supported by the Higher Education Students’ Loans Board granted to AT.
 
 
  Availability of data and materials
  The data supporting the conclusions of this article are included within the article. The raw data used in the present study are available from the corresponding author on request (kwekae@tpri.or.tz).
 
",Acknowledgment
"
 Acknowledgments
 The GC-MS analysis was facilitated by funding through the ICCBS-TWAS Post-doctoral Fellowship awarded to Emmanuel Essien and utilized at the H.E.J Research Institute of Chemistry, International Centre for Chemical and Biological Sciences (ICCBS), University of Karachi, Karachi, Pakistan.
",Acknowledgment
"
 Acknowledgments
 The authors wish to thank FAPESP (Fundação de Amparo à Pesquisa do Estado de São Paulo) for financial support and CAPES (Coordenação de Aperfeiçoamento de Pessoal de Nível Superior) for scholarship.
",Acknowledgment
"
 Acknowledgments
 The authors would like to thank the Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq; 472546/2012-0), the Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES), the Fundação de Amparo à Ciência e Tecnologia do Estado de Pernambuco (FACEPE; APQ-0318-2.08/13) and the Brazilian Ministry for Science, Technology and Innovation (MCTI; 01200.003711/2011-11) for research grants. They are also grateful to the NANOBIOTEC research network CAPES for financial support.
",Acknowledgment
"
 Acknowledgments
 The GC-MS analysis was facilitated by funding through the ICCBS-TWAS Post-Doctoral Fellowship awarded to Emmanuel Essien and utilized at the H.E.J. Research Institute of Chemistry, International Centre for Chemical and Biological Sciences (ICCBS), University of Karachi, Karachi, Pakistan.
",Acknowledgment
"
 Acknowledgments
 This study was performed in the framework of bilateral French-Lithuanian program “Gilibert” (grant n°19981WG/2009/2010), supported by Research Council of Lithuania (grant no. TAP-47/2010 and TAP-11/2010) and the French Research Minister.
",Acknowledgment
"
 Acknowledgments
 The authors wish to thank to Fundação de Amparo à Pesquisa do Estado de São Paulo (FAPESP) (2016/24985-4) and Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq) for providing financial support to this study. FBS and NOdS obtained a fellowship from Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES). PS received a scientific research award from CNPq.
",Acknowledgment
"
 Acknowledgments
 The authors are grateful to Catherine Dussault and Karl Girard-Lalancette for their help with biological assays and Laboratoire PhytoChemia for advice regarding gas chromatography-flame ionization detection (GC-FID) system. We also thank Mammoud Rouhabia (Laval University) for providing 
  HaCaT cells used in this study. This work was supported by funds from the 
  Fonds de Recherche Nature et Technologies.
 
",Acknowledgment
"
 Acknowledgments
 This work was financially supported by Science and Technology Key Project (No. 2013C02032) and Public Technical Project (No. 2012C22084) of Zhejiang province in China. We thank Professor Joyce Kelly for her assistance with GC-MS measurements.
",Acknowledgment
"
 Acknowledgements
 We are grateful to Sida SRL, who supported the chemical analyses and travel to Egypt for both H.R. El-Seedi and A.-K. Borg-Karlson; to HEC Pakistan for financial support to M. Azeem, to EU Mobilitas MTT2 “Chemical ecology” for support to A-.K. Borg-Karlson, to UM, Malaysia for support to H.R. El-Seedi and the Alexander von Humboldt foundation, Germany to M. A. Farag for support his laboratory. M. F. AlAjmi is very grateful to the generous support provided by deanship of research, King Saud University under research group number RGP-150.
",Acknowledgment
"
 
  Funding
  The first author received a Scholarship from the from the National Foundation - Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES).
 
 
  Availability of data and materials
  All data has been provided in the paper.
 
",Acknowledgment
"
 Acknowledgments
 The authors would like to thank CNPq and UFPI for the financial support and LAGO-UFPI for the chromatographic analyses, as well as Boris Timah and Lorenna Fonseca for grammatical revision.
",Acknowledgment
"
 The study was funded by the deanship of Scientific Research at King Saud University through research group No (RG1435-011). Also, the study was supported by the Botanical Gardens Research Department, Horticultural Research Institute (ARC), and the Faculty of Agriculture—Elshatby, Alexandria, Egypt.
",Acknowledgment
"
 Acknowledgements
 IAO is grateful to Obafemi Awolowo University for study leave and Walter Sisulu University for post-doctoral fellowship.
",Acknowledgment
"
 Acknowledgments
 The authors wish to thank Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq, Proc. N. 309762/2012-0 and 164913/2013-0) and Fundação de Amparo à Pesquisa do Estado de São Paulo (FAPESP, Proc. N. 2014/15299-4 and 2014/17561-8) for financial support and scholarships. 
",Acknowledgment
"
 Acknowledgment
 We are grateful to Guy Erlich for providing the commercial sample of 
  C. gileadensis essential oil.
 
",Acknowledgment
"
 Acknowledgements
 This work was supported by a grant provided by the Tunisian Ministry of Higher Education and Scientific Research. We are grateful to Dr. R. Abdelhadi for her help in statistical analysis.
 
  Funding
  This work received financial support from Tunisian Ministry of Higher Education and Scientific Research.
 
 
  Availability of data and materials
  All data generated or analysed during this study are included in this published article.
 
 
  Authors’ contributions
  MJ and JEM designed the experiments, analysed the data and drafted the manuscript. SA and SM conceived research and approaches and have given final approval of the manuscript to be published. All authors read and approved the final manuscript.
 
",Acknowledgment
"
 Acknowledgements
 One of the authors (SIM) acknowledges the fellowship from UGC, New Delhi under its MANF (Maulana Azad National Fellowship for Minorities) scheme. Financial support from UGC, New Delhi and DST, New Delhi for strengthening the research facilities in the School under the SAP-DRS and FIST programmes, respectively are gratefully acknowledged. The authors declare that there is no conflict of interests.
",Acknowledgment
"
 Acknowledgments
 The authors are grateful to FAPERJ, CNPq FOPESQ–UFF for financial support to the present work.
",Acknowledgment
"
 Acknowledgments
 The authors would like to thank Dean of research of Urmia University for the financial support of the present study.
",Acknowledgment
"
 Acknowledgments
 On this occasion, thank you to: (1) Directorate General of Higher Education that has funded this research; (2) Group Researchers and Entrepreneurial Agroindustry Atsiri (GUREAA) that gave a shelter for the research activities in essential oil.
",Acknowledgment
"
 Acknowledgements
 The authors express their gratitude to the Ministry of Higher Education and Scientific Research of Tunisia. The authors dedicate this manuscript to the memory of Prof. Imen Said, who passed away on August 2016, for providing constant support to the characterization of plant essential oils using HS-SPME.
 
  Funding
  This work received financial support from Tunisian Ministry of Higher Education and Scientific Research (Grant No. 11/TM06).
 
 
  Availability of data and materials
  All data generated or analysed during this study are included in this published article.
 
",Acknowledgment
"
 Authors’ contributions
 AL performed research and drafted the manuscript, VL performed the research, ELB, IS and DT analyzed the data results, MLDG and ER participated in writing and editing results, GS and ALiguori proposed the subject and designed the research. All authors read and approved the final manuscript.
 
  Acknowledgements
  Vanessa Leotta thanks Regione Calabria for awarding a fellowship.
 
 
  Competing interests
  The authors declare that they have no competing interests.
 
 
  Availability of data and materials
  Not applicable.
 
 
  Consent for publication
  Not applicable.
 
 
  Ethics approval and consent to participate
  Not applicable.
 
 
  Funding
  Calabria Region (PSR, Misura 1.2.4, 2013).
 
 
  Publisher’s Note
  Springer Nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations.
 
",Acknowledgment
"
 
  Acknowledgements
 
 We made our sincere and careful efforts to include and cite most of available reports and studies pertaining to radioprotection by aromatic plants and plant products however, exclusions if any, are regretted.
",Acknowledgment
"
 Acknowledgments
 This work was supported by the Award Fund of
   Beijing University of Chinese Medicine and 
  ENN Group (Anti-Fatigue Mechanism of Traditional Chinese Medicine Essential Oil Mixture, 2016-XAJLJJ-007); Key Subject Project of 
  Beijing University of Chinese Medicine (Traditional Chinese Medicine of Navigation, 522/0100604054); Science and Technology Department of
   Tibet Autonomous Region (2015XZOIG63).
 
",Acknowledgment
"
 We would like to thank the Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA), CAPES, and CNPq 405485/2016-6 for contributing to this work.
",Acknowledgment
"
 Acknowledgments
 The authors acknowledge the assistance of the technicians Mohamad Arar and Linda Esa and they acknowledge An-Najah National University and Birzeit University for their support.
",Acknowledgment
"
 Acknowledgments
 The authors gratefully acknowledge the support provided for this survey by the Biotechnology Development Council of the Islamic Republic of Iran (Grant no. 950503). The authors also would like to thank Dr. Pasquale Chiaiese, Lab Specialist of the Department of Agricultural Sciences, University of Naples Federico II, and Ms. Maryam Salehi, Ph. D. student of Plant Breeding Department, Faculty of Agriculture, Tarbiat Modares University, Tehran, for their helpful assistance and comments during the experiment.
",Acknowledgment
"
 Acknowledgement
 The authors thank Dr. Damani Bryant for technical advice regarding cell culture.
",Acknowledgment
"
 Acknowledgments
 This work was supported by EMBRAPA, UFRJ, FAPERJ, and CNPq (Process No. 453893/2014-7).
",Acknowledgment
"
 ACKNOWLEDGEMENTS
 Authors are grateful to Mr. Akeem A. Bello of Multi-Environmental Management Consultants Limited, Lagos, Nigeria for fatty acid, phospholipid and phytosterol analyses. Messers Nwunuji Baba and Godfrey S. Ngantem who are the Technologists in the Chemistry Laboratory of Federal University Wukari, Nigeria are also appreciated for their technical assistance.
",Acknowledgment
"
 Acknowledgements
 Reviews by Aaron Jubb (USGS), Robert L. Kleinberg (Schlumberger), and John Ratulowski (Schlumberger) improved this manuscript. Peter Warwick (USGS) contributed the New Albany shale sample. Paul R. Craddock (Schlumberger) provided suggestions toward spectral analysis. This research was funded in part by the USGS Energy Resources Program. Any use of trade, firm, or product names is for descriptive purposes only and does not imply endorsement by the U.S. Government.
",Acknowledgment
"
 None.
 
  Funding
  This work is supported and sponsored by the Shaanxi Science and Technology Commission (No. 2014JM2058), and Shaanxi Education Commission (No. 13JS005), the Key Project of Baoji University of Arts and Sciences (ZK 16053), the Innovation and Entrepreneurial Programme for Undergraduate (201610721019).
 
 
  Availability of data and materials
  Datasets supporting the results of this article are also included in the additional files.
 
",Acknowledgment
"
 Acknowledgments
 This work has been funded by the Valencia Regional Government (Generalitat Valenciana): PROMETEOII/2014/052; and the Spanish Ministerio de Educación y Cultura (AP2007-04606): FPU fellowship to I.M.-P.
",Acknowledgment
"
 Acknowledgments
 Dr F Saporito wishes to thank ABOCA Società Agricola S.p.A. for supporting her PhD grant. The authors wish to thank Dr F Riva for performing the bromodeoxyuridine (BrdU) test and Dr M Boiocchi (Centro Grandi Strumenti, University of Pavia) for TEM images.
",Acknowledgment
"
 Acknowledgments
 We are very grateful to the Master Program in Applied Chemistry of the Universidad Técnica Particular de Loja, Ecuador, for financial support.
",Acknowledgment
"
 Acknowledgments
 The authors thank Erin McClelland of Middle Tennessee State University for the providing 
  C. neoformans cells.
 
",Acknowledgment
"
 Acknowledgments
 The authors are thankful to the Science and Engineering Research Board (SERB), Department of Science and Technology (DST), New Delhi, Govt. of India for financial assistance. Thanks are due to D. S. Rawat, plant taxonomist, Department of Biological Science, GBPUAT Pantnagar for identifying the plant, while the Advanced Instrumentation Research Facility, Jawaharlal Nehru University, New Delhi is thankfully acknowledged for the gas chromatography/mass spectrometry analysis.
",Acknowledgment
"
 Acknowledgments
 The authors thank Exentiae s.r.l. for gifting rosemary essential oil.
",Acknowledgment
"
 Acknowledgements
 Not applicable.
 
  Funding
  Not applicable.
 
 
  Availability of data and materials
  All data generated or analyzed during this study are included within the article.
 
",Acknowledgment
"
 Acknowledgements
 The authors wish to thank FAPESP (13/12052-5, 14/50827-1), Capes (2032/2014-07), EPSRC-UK (EP/M028763/1) and Mateus Segatto.
",Acknowledgment
"
 The authors would like to extend their sincere appreciation to the Deanship of Scientific Research at king Saud University for its funding this Research group NO. (RG 1435-011).
 
  Funding
  The authors would like to extend their sincere appreciation to the Deanship of Scientific Research at king Saud University for its funding this Research Group NO. (RG 1435–011). This study was also supported by the Faculty of Agriculture, Alexandria University, Egypt.
 
 
  Availability of data and materials
  The datasets supporting the conclusions of this article are included within the article.
 
",Acknowledgment
"
 Acknowledgments
 Work carried out with a contribution of the LIFE financial instrument of the European Union for the project “Low pesticide IPM in sustainable and safe fruit production” (Contract No. LIFE13 ENV/HR/000580). 
",Acknowledgment
"
 Acknowledgments
 This work was supported by the grant RTA2014-00062-00-00 of the Spanish INIA, and the activity of the Consolidated Research Group A12 of Aragon.
",Acknowledgment
"
 Authors thank the Post-Graduation Program in Pharmaceutical Sciences, UFRGS, especially T. Tasca (*) from Laboratório de Pesquisa em Parasitologia, Faculdade de Farmácia, Universidade Federal do Rio Grande do Sul, Porto Alegre, RS, Brazil, for the helping with 
  T. 
  vaginalis protocols assays. We are thankful for the financial support from Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (Capes), Grant #1608/2011.
 
",Acknowledgment
"
 Acknowledgments
 This work was supported by São Paulo Research Foundation—FAPESP (2015/14278-6). The authors thank the botanist Inara Regiane Moreira Coneglian for plant identification; our collaborators Mário Machado Martins, Eduardo Bagagli, Vera Lúcia Mores Rall and Luiz Claudio Di Stasi for analysis tools, materials and helpful suggestions; Coordination for the Improvement of Higher Education Personnel—CAPES for the scholarship granted to Fabiana Barcelos Furtado.
",Acknowledgment
"
 Acknowledgements
 We thank the French Ambassador for a financial contribution and his personal implication in the project, the Batwa of Matara, ABEM, Aliksir, ALUMA, ACVE, and all the organizations that participated directly or indirectly in the financing. We would like to thank Mr. Marco Giulio Rigamonti for the optical microscope image.
",Acknowledgment
"
 Acknowledgements
 To the Faculty of Chemical Engineering at Universidad Autónoma de Yucatán, FEMSA Biotechnology Center at Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Monterrey and Instituto Tecnológico de Mérida for the facilities provided during the research. To the Herbarium at Natural Resources Unit of the Center of Scientific Research of Yucatán by the ease provided during the process of classification and identification of the specimens of plant material. Special thanks to the personnel in charge and technical staff of the Laboratory of Microbiology and Biotechnology, Laboratory of Cell Culture and Laboratory of Fermentations. To the Consejo Nacional de Ciencia y Tecnología (CONACYT) for the financial support through the scholarship number 222612.
 
  Funding
  CINVESTAV-IPN funded this project. Institutional financing consisted of the purchase of material, reagents, and payments of doctoral research stay.
 
 
  Availability of data and materials
  All the data obtained and materials analyzed in this research are available with the corresponding author.
 
",Acknowledgment
"
 Authors’ contributions
 ZS conducted the AFM experiments, was responsible for MIC determination and associated data analysis. AAG conceived the idea of using essential oils and provided intellectual input into the manuscript. TS designed all experiments and performed LSCM, cell wall stress experiments and wrote an initial draft of the paper. MW provided knock-out strains, JM clinical strains and each provided intellectual input into the data interpretation and manuscript. TESD wrote the initial research proposal, supervised the work, provided intellectual input and edited the manuscript. All authors read and approved the final manuscript.
 
  Acknowledgements
  We are grateful to Dr. Richard J. Bennett, Department of Molecular Microbiology and Immunology, Brown University, USA, for providing the RSY150 and RSY35 for this study. We thank Rebecca Jameson for the GC-FID and GC–MS analysis of the CNB oil and Cheghaf Madarati for images of glucanase treated 
   C. albicans.
  
 
 
  Competing interests
  The authors declare that they have no competing interests.
 
 
  Consent for publication
  Not applicable.
 
 
  Ethics approval and consent to participate
  Committees from the following institutions approved this study: University of Regina’s research ethics board and Regina Qu’Appelle Health Region. Samples were taken as part of routine care and anonymized, therefore according to ethical guidelines a wavier was granted for patient consent since this is no longer considered personal data.
 
 
  Funding
  This work was supported by National Science and Engineering Research Council (NSERC) grant to TESD (228206-07) and a NSERC Canada Research Chair to MW (950-228957). TESD was supported by the Canada Foundation for Innovation (CFI). TS was partially supported by the Faculty of Science and TESD’s CFI IOF. ZS was partially supported by the Faculty of Graduate Studies and Research at the University of Regina.
 
 
  Publisher’s Note
  Springer Nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations.
 
",Acknowledgment
"
 Acknowledgment
 This study was conducted as part of a Pharm.D. student thesis project in Faculty of Pharmacy, Pharmaceutical Sciences Branch of the Islamic Azad University, Tehran, Iran. The authors would like to thank the personnel of the Pharmacology and Toxicology Laboratories (Ms. Amiri) for their help.
",Acknowledgment
"
 We are grateful to Madame Maude Bourlet for her assistance to carry out the bioassays.
 
  Funding
  This work is partly supported by the Belgian Fund of Scientific Research (FNRS) T.0190.13.
 
 
  Availability of data and materials
  The plant materials and methods used were available upon request. All data obtained have been included into the manuscript.
 
 
  Author’s contributions
  AH collected plant material, extracted essential oils, tested the biological activities of essential oils and analyzed data; JB developed the methods; CB controlled experiments; GF identified chemical composition of essential oils; ZM identified the plant; YVH contributed to manuscript preparation and JQL supervised the study and edited the manuscript. All authors have read and approved the manuscript.
 
",Acknowledgment
"
 Acknowledgements
 We gratefully acknowledge financial support from the Research Council of the Islamic Azad University of Yazd.
",Acknowledgment
"
 Acknowledgements
 The authors would like to thank all of the colleagues and students who contributed to this study. The authors are indebted to Dr. Anouar Fendri, Associate Professor attached to Sfax University, for English language correction.
 
  Funding
  The authors declare that they have received no funding for the research reported.
 
 
  Availability of data and materials
  The complete data are all contained within the paper and are also available from the corresponding author on reasonable request.
 
",Acknowledgment
"
 ACKNOWLEDGEMENTS
 The authors sincerely thank Dr. Seyed Mansour Mirtadzadini; Biology Department; Shahid Bahonar University of Kerman.
",Acknowledgment
"
 Acknowledgements
 The authors are grateful to Dr. Oben Mbeng Lawrence for English revision.
 
  Funding
  Not applicable.
 
 
  Availability of data and materials
  The dataset supporting the conclusions of this article is included within the article.
 
",Acknowledgment
"
 Acknowledgments
 This work was supported by a grant from University Sidi Mohamed Ben Abdallah for Laboratory Physiology-Pharmacology & Environmental health. The authors would like to thank the Regional Center of Interface, University Sidi Mohamed Ben Abdellah, Fez, Morocco for providing GC/MS facilities.
",Acknowledgment
"
 Acknowledgment
 The authors are thankful to the Department of Biotechnology, Periyar University, Salem, Tamil Nadu, India, for providing facilities for carrying out this research work, and we would also like to thank the Institute of Vector Control Zoonoses (IVCZ), Banahalli, TN, India, for providing mosquito larvae.
",Acknowledgment
"
 Acknowledgments
 The authors would like to thank their colleagues from Division of Pathological Anatomy, the Cancer Diagnosis and Treatment Centre of Military Hospital 175 and Department of Analytical Chemistry, University of Science, Vietnam National University of Ho Chi Minh City for their assistance during this project.
",Acknowledgment
"
 Acknowledgments
 The authors are thankful to the Research Deputy of Kashan University of Medical Sciences, Kashan, Iran, for financial support.
",Acknowledgment
"
 Acknowledgments
 The author would like to acknowledge Malcolm Diack of Otago Locusts for his kind donation of 
  Locusta migraotria samples and Jenny Kim for her help during lipid analysis.
 
",Acknowledgment
"
 Acknowledgments
 Sergio Andrade-Ochoa and Karla Fabiola Chacón-Vargas would like to thank Consejo Nacional de Ciencia y Tecnología (CONACYT) for scholarship for their graduate studies. Sergio Andrade-Ochoa wishes to acknowledge the support of Intituto Chihuahuense de la Juventud (ICHIJUV) and Eric Contreras-Suarez in carrying out this work. 
",Acknowledgment
"
 Acknowledgments
 This work was carried out as part of the activities of the Aromatic Plant Research Center (APRC, 
  https://aromaticplant.org/). The authors are grateful to dōTERRA International (
  https://www.doterra.com/US/en) for financial support of the APRC.
 
",Acknowledgment
