sentences,label
"We are grateful to Sida SRL, who supported the chemical analyses and travel to Egypt for both H.R. El-Seedi and A.-K. Borg-Karlson; to HEC Pakistan for financial support to M. Azeem, to EU Mobilitas MTT2 “Chemical ecology” for support to A-.K. Borg-Karlson, to UM, Malaysia for support to H.R. El-Seedi and the Alexander von Humboldt foundation, Germany to M. A. Farag for support his laboratory. M. F. AlAjmi is very grateful to the generous support provided by deanship of research, King Saud University under research group number RGP-150. ",acknow
"The authors would like to thank CNPq and UFPI for the financial support and LAGO-UFPI for the chromatographic analyses, as well as Boris Timah and Lorenna Fonseca for grammatical revision.",acknow
IAO is grateful to Obafemi Awolowo University for study leave and Walter Sisulu University for post-doctoral fellowship.,acknow
N. 2014/15299-4 and 2014/17561-8) for financial support and scholarships.,acknow
We are grateful to Guy Erlich for providing the commercial sample of    C. gileadensis  essential oil.,acknow
We are grateful to Dr. R. Abdelhadi for her help in statistical analysis. This work received financial support from Tunisian Ministry of Higher Education and Scientific Research.,acknow
"One of the authors (SIM) acknownowledges the fellowship from UGC, New Delhi under its MANF (Maulana Azad National Fellowship for Minorities) scheme.Financial support from UGC, New Delhi and DST, New Delhi for strengthening the research facilities in the School under the SAP-DRS and FIST programmes, respectively are gratefully acknownowledged.",acknow
"The authors are grateful to FAPERJ, CNPq FOPESQ–UFF for financial support to the present work.",acknow
The authors would like to thank Dean of research of Urmia University for the financial support of the present study.,acknow
"The authors express their gratitude to the Ministry of Higher Education and Scientific Research of Tunisia. The authors dedicate this manuscript to the memory of Prof. Imen Said, who passed away on August 2016, for providing constant support to the characterization of plant essential oils using HS-SPME. This work received financial support from Tunisian Ministry of Higher Education and Scientific Research (Grant No.')",acknow
Vanessa Leotta thanks Regione Calabria for awarding a fellowship.,acknow
"This work was supported by the Award Fund of    Beijing University of Chinese Medicine  and    ENN Group  (Anti-Fatigue Mechanism of Traditional Chinese Medicine Essential Oil Mixture, 2016-XAJLJJ-007); Key Subject Project of    Beijing University of Chinese Medicine  (Traditional Chinese Medicine of Navigation, 522/0100604054); Science and Technology Department of    Tibet Autonomous Region  (2015XZOIG63).",acknow
The authors acknownowledge the assistance of the technicians Mohamad Arar and Linda Esa and they acknownowledge An-Najah National University and Birzeit University for their support.,acknow
The authors gratefully acknownowledge the support provided for this survey by the Biotechnology Development Council of the Islamic Republic of Iran (Grant no. 950503).,acknow
The authors thank Dr. Damani Bryant for technical advice regarding cell culture.,acknow
"The authors thank the Research Council of Shahrekord University of Medical Sciences and Shahrekord University, Iran for all supports provided.",acknow
"Authors are grateful to Mr. Akeem A. Bello of Multi-Environmental Management Consultants Limited, Lagos, Nigeria for fatty acid, phospholipid and phytosterol analyses., Messers Nwunuji Baba and Godfrey S. Ngantem who are the Technologists in the Chemistry Laboratory of Federal University Wukari, Nigeria are also appreciated for their technical assistance.",acknow
"Generally, it is assumed that the MVA pathway is responsible for providing precursors for the synthesis of sesquiterpenes and triterpenes, while the MEP pathway donates precursors for monoterpenes, diterpenes and tetraterpenes [  17 ].",not_acknow
This work has been funded by the Valencia Regional Government (Generalitat Valenciana): PROMETEOII/2014/052; and the Spanish Ministerio de EducaciÃ³n y Cultura (AP2007-04606): FPU fellowship to I.M.-P.,acknow
"We are very grateful to the Master Program in Applied Chemistry of the Universidad TÃ©cnica Particular de Loja, Ecuador, for financial support.",acknow
"Author Contributions All of the authors listed in this work provided academic contributions to the development of this manuscript: James Calva, Gianluca Gilardoni, and José Vinicio Montesinos collected the plant material and performed the hydrodistillation; James Calva performed the chemical analyses and wrote the article; Gianluca Gilardoni supervised the experiments and interpreted analytical data; Nicole Bec, Christian Larroque, and Luis Cartuche conducted the biological activity tests; Carlo Bicchi furnished enantiomerically pure standards and gave technical support to chiral analysis. All the authors have revised and approved the manuscript. ",acknow
The authors thank Erin McClelland of Middle Tennessee State University for the providing    C. neoformans  cells.,acknow
The authors thank Exentiae s.r.l. for gifting rosemary essential oil.,acknow
"The authors would like to extend their sincere appreciation to the Deanship of Scientific Research at king Saud University for its funding this Research group', 'The authors would like to extend their sincere appreciation to the Deanship of Scientific Research at king Saud University for its funding this Research Group NO.",acknow
The authors would like to thank Dr. Mahmoudian for his assistance.,acknow
acknownowledgments  Work carried out with a contribution of the LIFE financial instrument of the European Union for the project â€œLow pesticide IPM in sustainable and safe fruit productionâ€ (Contract No.,acknow
"Authors thank the Post-Graduation Program in Pharmaceutical Sciences, UFRGS, especially T. Tasca (*) from LaboratÃ³rio de Pesquisa em Parasitologia, Faculdade de FarmÃ¡cia, Universidade Federal do Rio Grande do Sul, Porto Alegre, RS, Brazil, for the helping with    T .', 'We are thankful for the financial support from CoordenaÃ§Ã£o de AperfeiÃ§oamento de Pessoal de NÃ­vel Superior (Capes), Grant #1608/2011.",acknow
"This work was supported by São Paulo Research Foundation—FAPESP (2015/14278-6). The authors thank the botanist Inara Regiane Moreira Coneglian for plant identification; our collaborators Mário Machado Martins, Eduardo Bagagli, Vera Lúcia Mores Rall and Luiz Claudio Di Stasi for analysis tools, materials and helpful suggestions; Coordination for the Improvement of Higher Education Personnel—CAPES for the scholarship granted to Fabiana Barcelos Furtado.",acknow
"To introduce NPL as a strategy to reduce mosquito bites requires governmental approval from several ministries (Health, Agriculture, Science and Education, Planning and Reconstruction), and collaborations from university (faculty of medicine, agriculture), UN agencies (WHO, Global Fund, UNICEF), foreign donors, governments, and agricultural cooperatives who devised the implementation strategy.",acknow
"We thank the French Ambassador for a financial contribution and his personal implication in the project, the Batwa of Matara, ABEM, Aliksir, ALUMA, ACVE, and all the organizations that participated directly or indirectly in the financing.",acknow
"acknownowledgements  To the Faculty of Chemical Engineering at Universidad Autónoma de Yucatán, FEMSA Biotechnology Center at Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Monterrey and  Instituto Tecnológico de Mérida for the facilities provided during the research, Special thanks to the personnel in charge and technical staff of the Laboratory of Microbiology and Biotechnology, Laboratory of Cell Culture and Laboratory of Fermentations,To the Consejo Nacional de Ciencia y Tecnología (CONACYT) for the financial support through the scholarship number 222612.",acknow
"We are grateful to Dr. Richard J. Bennett, Department of Molecular Microbiology and Immunology, Brown University, USA, for providing the RSY150 and RSY35 for this study., We thank Rebecca Jameson for the GC-FID and GCâ€“MS analysis of the CNB oil and Cheghaf Madarati for images of glucanase treated C. albicans .",acknow
The authors would like to thank the personnel of the Pharmacology and Toxicology Laboratories (Ms. Amiri) for their help.,acknow
Belgian Fund of Scientific Research (FNRS),acknow
Belgian Fund of Scientific Research (FNRS),acknow
"We are grateful to Madame, This work is partly supported by the Belgian Fund of Scientific Research (FNRS)",acknow
"Financial support grant from CONACYT (RTM, grant number RFT/249575) and CIC/UMSNH (Project 2.10 to RSG and 14.1 to AOZ).",acknow
We gratefully acknownowledge financial support from the Research Council of the Islamic Azad University of Yazd.,acknow
"This work was financially supported by the Research Council of the Islamic Azad University of Yazd, Iran.",acknow
The authors would like to thank all of the colleagues and students who contributed to this study.,acknow
The authors sincerely thank Dr. Seyed Mansour Mirtadzadini; Biology Department; Shahid Bahonar University of Kerman,acknow
A Cooperation of Toll-like receptor signals in innate immune defense,not_acknow
The authors are grateful to Dr. Oben Mbeng Lawrence for English revision.,acknow
"The authors would like to thank the Regional Center of Interface, University Sidi Mohamed Ben Abdellah, Fez, Morocco for providing GC/MS facilities.",acknow
"The authors are thankful to the Department of Biotechnology, Periyar University, Salem, Tamil Nadu, India, for providing facilities for carrying out this research work, and we would also like to thank the Institute of Vector Control Zoonoses (IVCZ), Banahalli, TN, India, for providing mosquito larvae.",acknow
"The authors would like to thank their colleagues from Division of Pathological Anatomy, the Cancer Diagnosis and Treatment Centre of Military Hospital 175 and Department of Analytical Chemistry, University of Science, Vietnam National University of Ho Chi Minh City for their assistance during this project.",acknow
"The authors are thankful to the Research Deputy of Kashan University of Medical Sciences, Kashan, Iran, for financial support.",acknow
"The authors disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This study received financial support from the Deputy of Research of Kashan University of Medical Sciences, Kashan, Iran (Grant No.: 95009).",acknow
"The authors disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This study was financially supported by Shiraz University of Medical Sciences (Grant Number 88-01-43-1807).",acknow
The author would like to acknownowledge Malcolm Diacknow of Otago Locusts for his kind donation of Locusta migraotria  samples and Jenny Kim for her help during lipid analysis.,acknow
" Sergio Andrade-Ochoa and Karla  Fabiola Chacón-Vargas would like to thank Consejo Nacional de Ciencia y TecnologÃ­a (CONACYT) for scholarship for their graduate studies., Sergio Andrade-Ochoa wishes to acknownowledge the support of Intituto Chihuahuense de la Juventud (ICHIJUV) and Eric Contreras-Suarez in carrying out this work.",acknow
The authors are grateful to dÅTERRA International (   https://www.doterra.com/US/en ) for financial support of the APRC.,acknow
O. compactum  is a small herbaceous aromatic plant endemic to Spain and Morocco (Emberger and Maire   1941 ) where it is particularly appreciated in cuisine to enhance the flavour of foods and as natural food preservative (Ghanmi et al.),not_acknow
Pranarom International and Universidad San Jorge are thanked for financial support.,acknow
How to illustrate the cooperation of different bacteria,not_acknow
We thank Taylor & Francis Editing Services and Dr. Mary Otieno from International Center for Tropical Agriculture (CIAT) for their linguistic assistance during the preparation of this manuscript.,acknow
"Synthetic ecology: a model system for cooperation ,    Proc.",not_acknow
"The authors kindly thank Prof. Stephan Nussberger (Institute of Biomaterials and Biomolecular Systems, Department of Biophysics, University of Stuttgart, Stuttgart, Germany) for his valuable comments on our article.",acknow
The authors thank Mr. Jailson Araujo Dantas and Mrs. Celia Regina Miranda for technical assistance.,acknow
"The authors would like to acknownowledge Karianne Skogland Enerstvedt, Mari MÃ¦land Nilsen, Azin Bayat, and Mads Busvold for their help with the exposure set-up and sampling.', 'The Research Council of Norway, PETROMAKS 2 (project # 229153), is gratefully acknownowledged for financial support.",acknow
International Arctic Petroleum Cooperation.,not_acknow
"http://dx.doi.org/10.13039/501100000288  Royal Society    Newton Fellowship, no number assigned   http://orcid.org/0000-0002-2723-0290   McCoy , This research is supported by a Royal Society Newton International Fellowship (no grant number assigned) to Victoria E. McCoy;    https://royalsociety.org/grants-schemes-awards/grants/newton-international/ .",acknow
"http://dx.doi.org/10.13039/501100000288  Royal Society    Newton Fellowship, no number assigned   http://orcid.org/0000-0002-2723-0290   McCoy', 'This research is supported by a Royal Society Newton International Fellowship (no grant number assigned) to Victoria E. McCoy;    https://royalsociety.org/grants-schemes-awards/grants/newton-international/ .",acknow
"We thank Argonne National Laboratory for synchrotron beamtime, A. Berg for preparing samples for sequencing, and R. Neumann for sequencing ,This paper was improved by helpful comments from N. Andre and one anonymous reviewer.",acknow
The authors would like to express their gratitude to Scientific Research Projects Coordination Unit of Urmia University for financial support (Project Number: 996/2015/D30).,acknow
"Financial support from the National Research, Development and Innovation Office (OTKA K115796), Economic Development and Innovation Operative Programme GINOP-2.3.2-15-2016-00012, and JÃ¡nos Bolyai Research Scholarship of the Hungarian Academy of Sciences are gratefully acknownowledged.",acknow
"The authors thank Prof. Paul M Mayer and Dr. Sharon Curtis of the John L. Holmes Mass Spectrometry Facility at the University of Ottawa (Ottawa, Canada) for facilitating the GC-MS analysis of oil samples.",acknow
Macau Science and Technology Development Fund   FDCT/042/2014/A1,acknow
Macau Science and Technology Development Fund   FDCT/042/2014/A1,acknow
"This work was supported by funding from the Macau Science and Technology Development Fund (FDCT/042/2014/A1), Ministry of Science and Technology of China (No. 2013DFM30080), University of Macau (MYRG2014-00162-ICMS-QRCM and MYRG2016-00046-ICMS-QRCM).",acknow
We thank Kevin Foley for his technical support.,acknow
"Rosemary has been widely used not only in cooking, especially to modify and enhance flavors, but also in traditional medicine, being a highly appreciated medicinal plant to prevent and cure colds, rheumatism, pain of muscles and joints [  56 ,  57 ].",not_acknow
"We thank Fapesp, CNPq and Capes agencies for their financial support and EMBRAPA (Brazilian Agricultural Research Corporation)/UNAERP for technical and scientific support.",acknow
"The content of this paper is extracted from the Ph.D. thesis (Grant No. 94/644) submitted by Mahboobeh Raeiszadeh which was financially supported by the Deputy of Research, Kerman University of Medical Sciences, Kerman, I.R. Iran.",acknow
"He is also thankful to TUBITAK for financial support during my thesis period.', 'Besides, the authors gratefully acknownowledge financial support from Faculty Member Training Program (Ã–YP).",acknow
The authors extend their appreciation to the Deanship of Scientific Research at King Khalid University for funding this work through General Research Project under grant number (G.R.P-267-38).,acknow
The authors would like to acknownowledge Open Access Centre for the Advanced Pharmaceutical and Health Technologies (Lithuanian university of Health Sciences) for the opportunity to use modern infrastructure and perform this research.,acknow
We thank Francesca Tavella and Giovanni Macaluso for their support during the collection of the plants.,acknow
"The authors thank the Cearense Foundation of Research Support (FUNCAP) and the National Council for Scientific and Technological Development (CNPq) for financial support for research, the Microbiology and Molecular Biology Laboratory and the Research Laboratory Natural Products.",acknow
We are grateful to Dr.V. Mozaffarian (Research Institute of Forests and Rangelands.,acknow
"The authors are grateful to Higher Education Commission Islamabad, Pakistan, for providing grant to conduct this research and Dr. B.B. Aggarwal for providing facilities to carry out this research work in his Cytokine Research Laboratory, Department of Experimental Therapeutics, MD Anderson Cancer Center, Houston, TX, USA.",acknow
"The authors would like to thank CAPES, a Brazilian Government's research funding agency, for its financial support.",acknow
Mr. Naveed Ahmad is very grateful to National Institute of Lasers and Optronics (NILOP) Islamabad for providing the necessary research facilities.,acknow
"The authors are grateful for financially supported by the National Natural Science Foundation of China (20676041).', 'The study was financially supported by the National Natural Science Foundation of China (20676041).",acknow
"The authors thank Lukeâ€™s laboratory technical staff for their assistance.', 'We are also grateful for funding from the Strategic Research Program (SRC) Academy of Finland (grant number 293045, Novel protein Sources of Food Security).",acknow
The authors would like to thank anonymous reviewers for valuable comments.,not_acknow
"IUCN Centre for Mediterranean Cooperation , Campanillas, MÃ¡laga .",not_acknow
The authors wish to thanks Akdeniz University Scientific Research Projects Unit (2008.01.0105.011) for financial support of this work.,acknow
Plants characterize a vast natural supply of appreciated compounds that might achieve primary importance for the expansion of novel drugs [  29 ].,not_acknow
The authors would like to thank the Ministry of Higher Education and Scientific Research of Algeria  for the offer of scholarship to the postgraduate (M. Khiari) and also the University Malaysia Sabah of Malaysia  for providing the necessary facilities.,acknow
B.    Oxidative stress in cell culture: an under-appreciated problem,not_acknow
We thank A. Richard from the â€œCentre de Microscopie Electroniqueâ€ of the University of OrlÃ©ans for assistance in SEM data acquisition.,not_acknow
"Author Contributions  D.P. conceived and designed the experiments; S.L.I., F.B. and C.C. performed the in vitro experiments; D.P., S.L.I. and F.B. analyzed the in vitro data; A.G. and R.G. performed the FTIR experiments; M.S.M.-H. and G.P. performed the SEM experiments; D.P., M.S.M.-H and S.L.I, analyzed the SEM data; D.P., A.G. and R.G. analyzed the FTIR data; G.P. and C.C. contributed to the financial support for the article processing charge; D.P. wrote the paper; all authors have read the final and revised version of the manuscript.",acknow
" Special thanks to Dr. Elisabeth Seigner, Dr. Martin MÃ¼ller and Stefanie Gellan of the Research Groups IPZ5c, IPZ1a and IPZ4a at the Bavarian State Research Center for Agriculture (LfL) for supply, guidance and assistance in the fluorescence-microscopy, to Dr. Dieter Treutterâ€  and Ina Tittel of the Technical University of Munich, TUM School of Life Sciences Weihenstephan, department of fruit science for supply, guidance and assistance in the histological techniques and light-microscopy.",acknow
"The authors would like to express their deepest gratitude to the Faculty of Nature and Life Sciences, University of Bejaia, Algeria, for their technical support.', 'All the authors express their sincere thanks to the staff of the Associated Laboratory in Marine and Aquaculture Ecosystems, Faculty of Nature and Life Sciences, University of Bejaia, for providing all necessary facilities to execute the research work.', 'The authors would like to express their deepest gratitude to the Faculty of Agronomy of Setif, Algeria, for their technical support.",acknow
"NK was grateful to the University Grants Commission (UGC), Government of India for providing the fellowship , The authors were thankful to Director, DFRL, and Joint Director, DRDO-BU Centre for Life Sciences for their kind support and encouragement.",acknow
"It constitutes an important step in the development of the organoleptic characteristics of the oil, in particular the typical hazelnut aroma appreciated by the consumer.",not_acknow
"The authors would like to thank Ms. Jamila Idbourrous, Director of UCFA Tissaliwine (argan products cooperative), Agadir, Morocco, for the extraction of argan oil.",acknow
"The authors would like to thank the Scientific and Technological Project in Jiangsu Province, China (Contract No.BE2007407), the Fundamental Research Funds for the Central Universities (No.2242016\xa0K40024), and the Key Research and Development projects of the Ministry of Science and Technology (No.2016YFD0400604-02) for financially supporting this research.', 'The study was supported by the Scientific and Technological Project in Jiangsu Province, China (Contract No.BE2007407), the Fundamental Research Funds for the Central Universities (No.2242016\xa0K40024), and the Key Research and Development projects of the Ministry of Science and Technology (No.2016YFD0400604â€“02).",acknow
This work was supported by the Scientific Research Fund Project of Science and Technology Department of Sichuan Province (Grant Nos.'),acknow
