Essoil DB Correction needed	Multi CAIDs	caid	caname	unique/synonym	uactivityMatch	uactivity	caName and Synonyms	ActivityClass	(Phytomedicinal Activity) ActionType	Activity Description (AMBRISH: Please try to extract the activity descriptions into a new column/field. These need to be verified somehow)	Specific ActivityTarget	Reported Uses (Diseases, Symptoms, etc.)	MannyNotes_Compound Activity	Route of use: Topical Oral Uncertain Both	VC Product Class	VC Utitlity		caname
		58	Anti-pruritic	F	F	Anaphylactic		Anti-Irritant | Itching	Anti-pruritic (Anti-Itching)	tending to relieve or prevent itching					RELIEVE	Good		Anti-pruritic
					F	and L. chagasi promastigotes and L. amazonensis amastigotes		Anti-Irritant | Itching	Anti-pruritic (Anti-Itching) | Phosphodiesterase (PDE) Inhibitor	Inhibits Phosphodiesterase (PDE)	Phosphodiesterase (PDE)				RELIEVE	Good		
					F	Anesthetic		Anti-Irritant | Temperature	Anti-pyretic | Hypothermic	Cooling Effect	Heat Sensation				RELIEVE	Good		
		63	Anti-septic	F	F	Anti-acetylcholinesterase		Anti-microbial	Anti-septic (Germicide)	A substance that destroys or inhibits germs and disease-causing organisms and is sufficiently nontoxic to cleanse wounds and prevent infections. (germicide)					FORMULA	Good		Anti-septic
					F	Anti-Acne		Anti-microbial	Anti-sporicidal						REMOVE	Good		
			Bacteriostatic	F	F	Anti-allergic		Anti-microbial	Bacteriostatic	A bacteriostatic agent or bacteriostat, abbreviated Bstatic, is a biological or chemical agent that stops bacteria from reproducing, while not necessarily killing them otherwise. Depending on their application, bacteriostatic antibiotics, disinfectants, antiseptics and preservatives can be distinguished.					FORMULA	Good		Bacteriostatic
		63	Anti-septic	S	F	Anti-aggregant		Anti-microbial (General Term)	Anti-septic	An antiseptic is applied to the body. Antiseptic substances inhibit the growth and reproduction of many microorganisms, including bacteria, as well as fungi, protozoa, and viruses					FORMULA	Good		Anti-septic
		48	Anti-microbial	F	F	Anti-alzheimeran		Anti-microbial (General Term)	Disinfectant	A substance that destroys or inhibits growth of disease-causing bacteria, viruses, fungi and other microorganisms. disinfectants are applied to nonliving surfaces, such as countertops and handrails. In a surgical setting, for example, a doctor will apply an antiseptic to the surgical site on a person's body and use a disinfectant to sterilize the operating table. 					REMOVE	Good		Anti-microbial
					F	Anti-anaphylactic		Anti-microbial | Amebicide	Amebicide (Anti-amebic)	An agent used to kill amebas to treat amebic infections.					REMOVE	Good		
			Anti-Acne	F		Anti-arachidonate		Anti-microbial | Anti-bacterial	Anti-Acne	Targets Dermatophytes	Cutibacterium Acnes	Acne			REMOVE	Good		Anti-Acne
			Anti-Acne	S	F	Anti-asthmatic		Anti-microbial | Anti-bacterial	Anti-Acne	Targets Dermatophytes	Propionibacterium Acnes (P. acnes)	Acne			REMOVE	Good		Anti-Acne
			Anti-Acne	S	F	Anti-bacillary		Anti-microbial | Anti-bacterial	Anti-Acne	Targets Dermatophytes	Staphylococcus Epiedermis	Acne			REMOVE	Good		Anti-Acne
		21	Anti-bacillary	S	F	Anti-bacterial		Anti-microbial | Anti-bacterial	Anti-bacillary	Kills any of a genus (Bacillus) of rod-shaped gram-positive usually aerobic bacteria producing endospores and including many saprophytes and some parasites (such as B. anthracis of anthrax) broadly: a straight rod-shaped bacterium	B. anthracis of anthrax	Anthrax			REMOVE	Good		Anti-bacillary
					F	Anti-cancer		Anti-microbial | Anti-bacterial	Anti-bacterial		Pseudomonas Aeruginosa	Hot Tub Folliculitis			REMOVE	Good		
		22	Anti-bacterial	F	F	Anti-cariogenic		Anti-microbial | Anti-bacterial	Anti-bacterial (Generic term)	A substance that kills or inhibits bacteria					REMOVE	Good		Anti-bacterial
		23	Anti-bacterial	S	F	Anti-cholinesterase		Anti-microbial | Anti-bacterial	Anti-bacterial (Generic term)	A substance that kills or inhibits bacteria					REMOVE	Good		Anti-bacterial
					F	Anti-convulsant		Anti-microbial | Anti-bacterial	Anti-biofilm (Generic term)						REMOVE	Good		
		62	Anti-salmonella	F	F	Anti-diarrheic		Anti-microbial | Anti-bacterial	Anti-salmonella	Kills Salmonella bacteria	Salmonella				REMOVE	Good		Anti-salmonella
			Anti-salmonella	S	F	Anti-dysenteric		Anti-microbial | Anti-bacterial	Anti-salmonella	Kills Salmonella bacteria	Salmonella				REMOVE	Good		Anti-salmonella
		67	Anti-staphylococcic	F	F	Anti-edemic		Anti-microbial | Anti-bacterial	Anti-staphylococcic	Kills Staphylococcic Bacteria	Staphylococcic				REMOVE	Good		Anti-staphylococcic
		193	Bactericidal	F	F	Anti-emetic		Anti-microbial | Anti-bacterial	Bactericidal (Generic term)	A substance that kills bacteria					REMOVE	Good		Bactericidal
		183	Vibriocide	F	F	Anti-estrogenic		Anti-microbial | Anti-bacterial	Vibriocide	protection against Vibrio cholerae.	Vibrio cholerae				REMOVE	Good		Vibriocide
					F	Anti-feedant		Anti-microbial | Anti-fungal	Anti-Dermatophyte	Anti-Dermatophyte. Dermatophytes are fungi that require keratin for growth. These fungi can cause superficial infections of the skin, hair, and nails. 	Curvularia Lunata	Keratitis, sinus or soft tissue infections, ulcers, and cysts			REMOVE	Good		
					F	Anti-fibrositic		Anti-microbial | Anti-fungal	Anti-Dermatophyte	Anti-Dermatophyte. Dermatophytes are fungi that require keratin for growth. These fungi can cause superficial infections of the skin, hair, and nails. 	Exophiala dermatitidis	Keratitis, sinus or soft tissue infections, ulcers, and cysts			REMOVE	Good		
					F	Anti-flu		Anti-microbial | Anti-fungal	Anti-Dermatophyte	Anti-Dermatophyte. Dermatophytes are fungi that require keratin for growth. These fungi can cause superficial infections of the skin, hair, and nails. 	Exophiala jeanselmei	Keratitis, sinus or soft tissue infections, ulcers, and cysts			REMOVE	Good		
					F	Anti-fungal		Anti-microbial | Anti-fungal	Anti-Dermatophyte	Anti-Dermatophyte. Dermatophytes are fungi that require keratin for growth. These fungi can cause superficial infections of the skin, hair, and nails. 	Malassezia Furfur (7 spec	Fungal Acne			REMOVE	Good		
					F	Anti-genotoxic		Anti-microbial | Anti-fungal	Anti-Dermatophyte	Anti-Dermatophyte. Dermatophytes are fungi that require keratin for growth. These fungi can cause superficial infections of the skin, hair, and nails. 	Malassezia globosa	Fungal Acne			REMOVE	Good		
					F	Anti-glutamaergic		Anti-microbial | Anti-fungal	Anti-Dermatophyte	Anti-Dermatophyte. Dermatophytes are fungi that require keratin for growth. These fungi can cause superficial infections of the skin, hair, and nails. 	Malassezia obtusa	Fungal Acne			REMOVE	Good		
					F	Anti-herpetic		Anti-microbial | Anti-fungal	Anti-Dermatophyte	Anti-Dermatophyte. Dermatophytes are fungi that require keratin for growth. These fungi can cause superficial infections of the skin, hair, and nails. 	Malassezia pachydermatous	Fungal Acne			REMOVE	Good		
					F	Anti-histaminic		Anti-microbial | Anti-fungal	Anti-Dermatophyte	Anti-Dermatophyte. Dermatophytes are fungi that require keratin for growth. These fungi can cause superficial infections of the skin, hair, and nails. 	Malassezia restricta	Fungal Acne			REMOVE	Good		
					F	Anti-inflammatory		Anti-microbial | Anti-fungal	Anti-Dermatophyte	Anti-Dermatophyte. Dermatophytes are fungi that require keratin for growth. These fungi can cause superficial infections of the skin, hair, and nails. 	Malassezia slooffiae	Fungal Acne			REMOVE	Good		
					F	Anti-irritant		Anti-microbial | Anti-fungal	Anti-Dermatophyte	Anti-Dermatophyte. Dermatophytes are fungi that require keratin for growth. These fungi can cause superficial infections of the skin, hair, and nails. 	Malassezia sympodialis	Fungal Acne			REMOVE	Good		
					F	Anti-keratotic		Anti-microbial | Anti-fungal	Anti-Dermatophyte		Trichophyton	Athletes foot, Ringworm, Jock Itch, and similar infections			REMOVE	Good		
					F	Anti-leishmanial Activity		Anti-microbial | Anti-fungal	Anti-Dermatophyte						REMOVE	Good		
		88	Candidicide	F	F	Anti-leukemic		Anti-microbial | Anti-fungal	Candidicide		Candida albicans				REMOVE	Good		Candidicide
		89	Candidistat	F	F	Anti-lithic		Anti-microbial | Anti-fungal	Candidistat		Candida albicans				REMOVE	Good		Candidistat
Ask GITA: Aren’t all fungicides mycopaths? If so, do we put mycopath in brackets for all?		116	Anti-fungal	F	F	Anti-lymphomic	Fungicide, Mycopath	Anti-microbial | Anti-fungal	Fungicide/Mycopath (Generic term)						REMOVE	Good		Anti-fungal
Changed to Fungicide		190	Anti-fungal	S	F	Anti-Malarial	Fungicide, Mycopath	Anti-microbial | Anti-fungal	Fungicide/Mycopath (Generic term)						REMOVE	Good		Anti-fungal
Changed to Fungicide		198	Anti-fungal	S	F	Anti-mange	Fungicide, Mycopath	Anti-microbial | Anti-fungal	Fungicide/Mycopath (Generic term)						REMOVE	Good		Anti-fungal
Changed to Fungicide		115	Anti-fungal	S	F	Anti-Melasmic	Fungicide, Mycopath	Anti-microbial | Anti-fungal	Fungicide/Mycopath (Generic term)						REMOVE	Good		Anti-fungal
		118	Fungistat	F	F	Anti-microbial		Anti-microbial | Anti-fungal	Fungistat	An agent that inhibits or kills the yeast, Candida albicans.					REMOVE	Good		Fungistat
			Anti-Malarial	F	F	Anti-mitotic		Anti-microbial | Anti-Malarial	Anti-Malarial	Prevents growth of Candida albicans	Plasmodium sp.	Malaria			REMOVE			Anti-Malarial
		47	Anti-mange	S	F	Anti-mutagenic		Anti-microbial | Anti-parasitic	Anti-mange	An agent that kills or inhibits the growth of fungi.	any of various persistent contagious skin diseases marked especially by eczematous inflammation and loss of hair, affecting domestic animals or sometimes humans, and caused by a minute parasitic mite — compare sarcoptic mange	Mange			REMOVE	Neutral		Anti-mange
			Anti-parasitic	F	F	Anti-neuralgic		Anti-microbial | Anti-parasitic	Anti-parasitic (Generic term)	An agent that kills or inhibits the growth of fungi.					REMOVE	Neutral		Anti-parasitic
		35	Anti-flu	F	F	Anti-nitrosaminic		Anti-microbial | Anti-viral	Anti-flu	An agent that kills or inhibits the growth of fungi.		Influenza, flu			REMOVE	Good		Anti-flu
					F	Anti-nitrosating		Anti-microbial | Anti-viral	Anti-herpetic	An agent that kills or inhibits the growth of fungi.	Herpes 6b (HHV-6B) and 7 (HHV-7)	Roseaola			REMOVE	Good		
			Anti-herpetic	F	F	Anti-obesity		Anti-microbial | Anti-viral	Anti-herpetic		Herpes Simplex Type 1	Herpes Simplex Type 1			REMOVE	Good		Anti-herpetic
			Anti-herpetic	S	F	Anti-oxidant		Anti-microbial | Anti-viral	Anti-herpetic		Herpes Zozter Type 3	Herpes Zoster (Shingles)			REMOVE	Good		Anti-herpetic
					F	Anti-parasitic		Anti-microbial | Anti-viral	Anti-herpetic		HHV Type 4	Mononucleosis (Epstein Barr Virus)			REMOVE	Good		
					F	Anti-plasmodial		Anti-microbial | Anti-viral	Anti-herpetic		HPV 1, 2, 4, 63	Plantar Warts			REMOVE	Good		
					F	Anti-pneumonic		Anti-microbial | Anti-viral	Anti-herpetic		HPV 2, 7, 22	Warts (Common)			REMOVE	Good		
					F	Anti-prostaglandin		Anti-microbial | Anti-viral	Anti-herpetic		HPV 3, 10, 28	Flat Warts			REMOVE	Good		
			Anti-herpetic	S	F	Anti-pruritic		Anti-microbial | Anti-viral	Anti-herpetic		HSV 1, 2	Herpes Simplex (Cold Sores and Genital Herpes, Eczema Herpeticum) |			REMOVE	Good		Anti-herpetic
					F	Anti-pyretic		Anti-microbial | Anti-viral	Anti-herpetic		Molluscum Contagiosum Virus	Molluscum Contagiosum			REMOVE	Good		
		37	Anti-herpetic	S	F	Anti-radicular		Anti-microbial | Anti-viral	Anti-herpetic	acting against a herpes virus or the symptoms caused by infection with a herpesvirus		Herpes			REMOVE	Good		Anti-herpetic
		75	Anti-viral	F	F	Anti-rheumatalgic		Anti-microbial | Anti-viral	Anti-herpetic	A substance that destroys or inhibits the growth and viability of infectious viruses.					REMOVE	Good		Anti-viral
		61	Anti-rhinoviral	F	F	Anti-rhinoviral		Anti-microbial | Anti-viral	Anti-rhinoviral	Rhinoviruses may also cause some sore throats, ear infections, and infections of the sinuses (openings in the bone near the nose and eyes). They may also cause pneumonia and bronchiolitis, but this is less common.	Rhinovirus	common cold			REMOVE	Good		Anti-rhinoviral
					F	Anti-salmonella		Anti-microbial | Anti-viral	Anti-viral		Parovirus B19	Fifth Disease			REMOVE	Good		
			Anti-herpetic	S	F	Anti-septic		Anti-microbial | Anti-viral	Anti-viral (Generic term)	Anogenital Warts | HPV 6, 11, 42, 44	HPV 6, 11, 42, 44	Anogenital Warts			REMOVE	Good		Anti-herpetic
		76	Anti-viral | Apoptotic	ME, S, F	F	Anti-shock		Anti-microbial | Anti-viral	Apoptotic	a genetically directed process of cell self-destruction that is marked by the fragmentation of nuclear DNA, is activated either by the presence of a stimulus or removal of a suppressing agent or stimulus, is a normal physiological process eliminating DNA-damaged, superfluous, or unwanted cells, and when halted (as by genetic mutation) may result in uncontrolled cell growth and tumor formation — called also cell suicide, programmed cell death.					REMOVE	Good		Anti-viral | Apoptotic
					F	Anti-spasmodic		Anti-microbial | Anti-viral Mediator	Anti-viral Mediator (Generic term)	Blocks Uncoating of the Virus Within the Cell and Thus Prevent the Release of Viral Rna into the Host Cell					REMOVE	Good		
					F	Anti-staphylococcic		Anti-microbial | Anti-viral Mediator	Blocks Virus from Activating (Outside Host Cells)	Blocks Virus from Activating (Outside Host Cells)					REMOVE	Good		
					F	Anti-thromboxane		Anti-microbial | Anti-viral Mediator	Blocks Virus from Being Released and Spreading to New Hosts	Blocks Virus from Being Released and Spreading to New Hosts					REMOVE	Good		
					F	Anti-TNF (Tumor Necrosis Factor)		Anti-microbial | Anti-viral Mediator	Blocks Virus from Entering Host Cells	Blocks Virus from Entering Host Cells					REMOVE	Good		
					F	Anti-tumor		Anti-microbial | Anti-viral Mediator	Blocks Virus from Replicating Inside Host Cells	Blocks Virus from Replicating Inside Host Cells					REMOVE	Good		
					F	Anti-tumor (Breast)		Anti-microbial | Anti-viral Mediator	Enzyme Inhibitor	Blocks the Viral DNA Polymerase Enzyme	Viral DNA Polymerase Enzyme				REMOVE	Good		
					F	Anti-tumor (Pancreas)		Anti-microbial | Anti-viral Mediator	Protease Inhibitor	Prevents viral replication and maturation so new viruses will infect other cells					REMOVE	Good		
		4	Acaricide	F	F	Anti-tumor (Prostate)		Anti-microbiall | Anti-parasitic	Acaricide	a substance poisonous to mites or ticks.	Mites or Ticks				REMOVE	Neutral		Acaricide
		192	Anti-plasmodial	F		Anti-tussive		Anti-microbiall | Anti-parasitic	Anti-plasmodial	That counters parasites of the genus Plasmodium	Plasmodium				REMOVE	Good		Anti-plasmodial
Deleted Activity from coname		43	Anti-leishmanial Activity	F	F	Anti-ulcer		Anti-microbiall | Anti-parasitic	Anti-protozoal	used or effective against leishmaniasis : destroying protozoa of the genus Leishmania	Leishmaniasis				REMOVE	Good		Anti-leishmanial Activity
Deleted Activity from coname					F	Anti-viral		Anti-microbiall | Anti-parasitic	Anti-protozoal	A substance that kills protozoa. (A large family of disease-causing single cell microscopic organisms.)					REMOVE	Good		
		175	Trichomonicide Activity	F				Anti-microbiall | Anti-parasitic	Trichomonicide	An agent that kills Trichomonas organisms, such as in treating vaginitis that is caused by Trichomonas vaginalis	Trichomonas vaginalis		cide = kills, stat = prevents		REMOVE	Good		Trichomonicide Activity
			Trichomonistat	F	F	Apifuge		Anti-microbiall | Anti-parasitic	Trichomonistat	An agent that prevents growth of Trichomonas organisms, such as in treating vaginitis that is caused by Trichomonas vaginalis. Trichomoniasis is an infection with a tiny parasite spread by sexual contact (sexually transmitted infection (STI)).	Trichomonas vaginalis		cide = kills, stat = prevents		REMOVE	Good		Trichomonistat
			Vermifuge	F		Apoptotic		Anti-microbiall | Anti-parasitic	Vermifuge/Anthelmintic	Vermifuge (Worm-expeller): A substance used to expel worms from the intestines.	Parasitic worms				REMOVE	Good		Vermifuge
		24	Anti-cancer	F	F	Bactericidal		Anti-mutagenic	Anti-carcinogenic	Anti-carcinogenic | Anti-Cancer/Tumor (Generic Term): A substance that kills or inhibits carcinomas (any cancer that arises in epithelium/tissue cells). An anticarcinogen (also known as a carcinopreventive agent) is a natural or laboratory-made substances to prevent or slow the development of cancer. Anticarcinoma agents (also known as anticancer or anti-neoplastic agents) are used to selectively destroy or inhibit cancer cells after cancer has developed.		Cancer/Tumors			REMEDY	Good		Anti-cancer
		69	Anti-tumor	F	F	Bacteriostatic		Anti-mutagenic	Anti-carcinogenic	Anti-carcinogenic | Anti-Cancer/Tumor (Generic Term): A substance that kills or inhibits carcinomas (any cancer that arises in epithelium/tissue cells). An anticarcinogen (also known as a carcinopreventive agent) is a natural or laboratory-made substances to prevent or slow the development of cancer. Anticarcinoma agents (also known as anticancer or anti-neoplastic agents) are used to selectively destroy or inhibit cancer cells after cancer has developed.		Cancer/Tumors			REMEDY	Good		Anti-tumor
		50	Anti-mutagenic	F	F	Barbiturate-Synergist		Anti-mutagenic	Anti-mutagenic (Cellular protector) | (Generic term)	Anti-mutagenic (Cellular protector) | (Generic term): An agent that can reduce, prevent or reverse cells from mutating. (ie, healthy cells mutate to cancer cells)   MECHANISM OF ANTIMUTAGENESIS. • Chemical or enzymatic inactivation • Prevention of formation of active species • Scavenging • Antioxidant free radical scavenging			Anti-mutagenic vs anticarcinogenic?		RENEW	Good		Anti-mutagenic
		52	Anti-nitrosating	F	F	Bronchoprotectant		Anti-mutagenic	Anti-nitrosating	(Powerful polyphenol-like action) A regular intake of polyphenolic agents widely found in fruits and vegetables is believed to decrease the incidence of certain forms of cancer, due in part to their ability to act as Anti-nitrosating agents capable of lowering the impact of toxic nitrosation processes and carcinogenic nitrosamine formation within the acidic environment of the stomach					RESTORE	Good		Anti-nitrosating
					F	Bronchorelaxant		Anti-mutagenic	Ornithine-Decarboxylase Inhibitor	Inhibits Ornithine-Decarboxylase	Ornithine-Decarboxylase				RENEW	Good		
					F	Calcium		Anti-mutagenic	Protomutagen Inhibitor	Inhibits Protomutagen	Protomutagen				RENEW	Good		
					F	Calcium-Antagonist		Anti-mutagenic		Repairs Damaged Proteins	Damaged DNA Proteins				RENEW	Good		
		36	Anti-genotoxic	F		Cancer Preventive		Anti-mutagenic | Anti-genotoxic	Anti-genotoxic	Inhibits the property of chemical agents that damages the genetic information within a cell causing mutations, which may lead to cancer. (While genotoxicity is often confused with mutagenicity, all mutagens are genotoxic, whereas not all genotoxic substances are mutagenic.)					RENEW	Good		Anti-genotoxic
		59	Anti-radicular	F	F	Candidicide	Anti-oxidant	Anti-mutagenic | Anti-oxidant	Anti-oxidant	Counters Anti-radicular enzymes.(including: copper and manganese superoxide dismutase, catalase and glutathion peroxydase)	Anti-radicular enzymes.(including: copper and manganese superoxide dismutase, catalase and glutathion peroxydase)				RENEW	Good		Anti-radicular
		54	Anti-oxidant	F	F	Candidistat	Anti-radicular	Anti-mutagenic | Anti-oxidant	Oxygen Scavenger	Oxygen Scavenger | (ORAC) Oxygen Radical Anti-oxidant Capacity: A substance that protects against free radical activity and lipid peroxidation by preventing oxidation. (Thought to protect body cells from the damaging effects of oxidation.)					RENEW	Good		Anti-oxidant
		151	Ozone-Scavenger	F	F	Carcinogenic		Anti-mutagenic | Anti-oxidant	Ozone-Scavenger	Ozone-Scavenger | (OZAC) Ozone-Specific Anti-oxidant Capacity: An agent that retains ozone from a gas stream.					RENEW	Good		Ozone-Scavenger
			Photoprotectant	F	F	Carcinogenic (Mild)		Anti-mutagenic | Photoprotectant	Photoprotectant	Absorbs the DNA-damaging ultraviolet radiation of the sun.					RENEW	Good		Photoprotectant
					F	Cardiotoxic		Anti-mutagenic | Photoprotectant	Photoprotectant						RENEW			
			Trypsin-Enhancer	F	F	Carminative		Bio-availability | Cellular Absorption Enhancer	Trypsin-Enhancer	Topical Delivery of Protein and Peptide Using Novel Cell Penetrating Peptide | https://www.nature.com/articles/srep26278	Trypsin				FORMULA	Good		Trypsin-Enhancer
					F	Chemopreventive		Bio-availability | Skin Penetration Enhancer	Permeability Modulator	Modifies Transdermal Permeability Coefficient					FORMULA	Good		
					F	Chinese drug-moxa		Bio-availability Enhancer	Bio-availability Enhancer (Generic term)						FORMULA	Good		
					F	Chloride		Bio-availability Enhancer	Cellular Absorption Enhancer						FORMULA	Good		
		174	Transdermal	F	F	Choleretic		Bio-availability Enhancer	Transdermal	Capable of entering through the dermis, or skin, as in administration of a drug applied to the skin in ointment or patch form. A route of administration wherein active ingredients are delivered across the skin for systemic distribution			transdermal what? is this the same as skin penetration enhancer		FORMULA	Good		Transdermal
		195	Flammable	F	F	Chromium		CAUTION!	Flammable	easily set on fire			Flammable? This is a chemical property, not a phyto-medicinal Activity		CAUTION	Bad		Flammable
		117	Fungiphilic	F	F	CNS-Depressant		CAUTION!	Fungiphilic	Caution - Fungiphilic | Attracts or promotes fungi growth: this might mean a lover of fungi or loved by fungi thus a symbiotic plant; this contradicts the entry for anti-fungal activity.  But it depends on the fungi, both could be true [Ref J. Agric. Food Chem. 43: 2283]	Fungiphilic				CAUTION	Bad		Fungiphilic
		199	Insect Attractant	F	F	CNS-Stimulant		CAUTION!	Insectiphile				Changed: added Undefined same as Insectiphile?		CAUTION	Bad		Insect Attractant
			Anaphylactic	F	F	Coleoptophile		CAUTION! - Adverse Reactions	Anaphylactic						CAUTION	Bad		Anaphylactic
		7	Allergenic	F	F	Convulsant		CAUTION! - Adverse Reactions	Anaphylactic (Allergenic)						CAUTION	Bad		Allergenic
		95	Convulsant	F	F	Copper		CAUTION! - Adverse Reactions	Convulsant	Attracts Insects - Undefined Types					CAUTION	Bad		Convulsant
		102	Deliriant	F	F	Cosmetic		CAUTION! - Adverse Reactions	Deliriant	Histaminic/Anaphylactic (Allergenic): Inducing the immune system to produce histamine. Pertaining to histamines, physiologically active amines found in plant and animal tissue and released from mast cells as part of an allergic reaction in humans. They stimulates gastric secretion and cause dilation of capillaries, constriction of bronchial smooth muscle, and decreased blood pressure			feels like this chould be in a sub-category		CAUTION	Bad		Deliriant
		99	Cytochrome-P450-Inhibitor	F	F	Counterirritant		CAUTION! - Adverse Reactions	Drug interactions	Anaphylactic: A substance that causes an allergic reaction.	Cytochrome-P450-Inhibitors (P450-2B1 and P4450)				CAUTION	Bad		Cytochrome-P450-Inhibitor
Was spelled incorrectly. I corrected it		110	Epileptogenic	F	F	COX-1-Inhibitor		CAUTION! - Adverse Reactions	Epileptogenic				Was spelled incorrectly. I corrected it		CAUTION	Bad		Epileptogenic
			Histaminic	F	F	COX-2-Inhibitor		CAUTION! - Adverse Reactions	Histaminic	Deliriant: producing or tending to produce delirium					CAUTION	Bad		Histaminic
			Hypoglycemic	F	F	Culicide		CAUTION! - Adverse Reactions	Hypoglycemic Agent	Drug interactions: The CYP450 enzymes are essential for the production of numerous agents including cholesterol and steroids. Additionally, these enzymes are necessary for the detoxification of foreign chemicals and the metabolism of drugs. numerous medications, nutrients, and herbal therapies are metabolized through the cytochrome P450 (CYP450) enzyme system. This system can be inhibited or induced by drugs, and once altered can be clinically significant in the development of drug-drug interactions that may cause unanticipated adverse reactions or therapeutic failures	lowers blood glucose levels				CAUTION	Bad		Hypoglycemic
		159	Prooxidant	F	F	Cytochrome P450-2B1-Inhibitor		CAUTION! - Adverse Reactions	Oxidation promotor | Promotes free radical oxidation	Epileptogenic: inducing or tending to induce epilepsy	Prooxidant				CAUTION	Bad		Prooxidant
		158	Photosensitizer	F		Cytochrome P450-Inducer		CAUTION! - Adverse Reactions	Photosensitizer	Histaminic/Anaphylactic (Allergenic): Inducing the immune system to produce histamine. Pertaining to histamines, physiologically active amines found in plant and animal tissue and released from mast cells as part of an allergic reaction in humans. They stimulates gastric secretion and cause dilation of capillaries, constriction of bronchial smooth muscle, and decreased blood pressure	Photosensitizer				CAUTION	Bad		Photosensitizer
		161	Prostatitigenic	F	F	Cytochrome-P450-Inhibitor		CAUTION! - Adverse Reactions	Prostatitigenic	Hypoglycemic Agent (Hypoglycaemic) | lowers blood glucose levels	Prostate				CAUTION	Bad		Prostatitigenic
