disease,count
angular cheilitis,1
denture stomatitis.,1
amyotrophic lateral sclerosis,1
familial hypercholesterolemia,1
neutropenia,1
retinal ischemia,1
angular cheilitis,,1
attention deficit hyperactivity disorder,,1
essential hypertension,,1
larynx cancer,1
bladder cancer,,1
paratyphoid fever,,1
visceral leishmaniasis.,1
visceral leishmaniasis,,1
skin cancer.,1
glioblastoma multiforme;,1
cholangitis,1
human granulocytic anaplasmosis,,1
major depressive disorder.,1
heart disease?,1
pyruvate dehydrogenase deficiency,1
infective endocarditis.,1
diabetic retinopathy,,1
hemoglobinuria,1
nephrotic syndrome,1
carpal tunnel syndrome,,1
gallstone,1
paroxysmal nocturnal hemoglobinuria,1
lymphoid leukemia,,1
sexual dysfunction.,1
yellow fever.,1
ascaridiasis,1
aortic valve stenosis,1
bacterial disease,1
rectal prolapse;,1
polycystic ovary syndrome.,1
astrocytoma,1
bone disease,1
dental abscess,,1
acute respiratory distress syndrome;,1
acne vulgaris.,1
essential hypertension,1
acute respiratory distress syndrome?,1
urinary tract obstruction,1
toxic shock syndrome.,1
ocular hypertension,1
trigeminal neuralgia,1
parasitic disease;,1
prolactinoma,1
peripheral neuropathy.,1
ulcerative colitis.,1
nephritis,1
respiratory disease,,1
duodenal ulcer,,1
autoimmune disease,,1
autoimmune disease;,1
allergic contact dermatitis,,1
fasciolosis,1
renovascular hypertension,1
chronic fatigue syndrome,,1
cholecystitis,1
spondylitis,1
osteonecrosis,1
severe acute respiratory syndrome,1
oculocutaneous albinism,,1
adrenoleukodystrophy,1
microcephaly,1
lactic acidosis,1
alcohol abuse,,1
chronic fatigue syndrome,1
fasciitis,1
parasitic disease,,1
metabolic acidosis,,1
