"Status of existing checking account";"Duration in months";"Credit history";"Purpose";"Credit amount";"Savings account/bonds";"Present employment since";"Installment rate in percentage of disposable income";"Personal status and sex";"Other debtors / guarantors";"Present residence since";"Property";"Age in years";"Other installment plans";"Housing";"Number of existing credits at this bank";"Job";"Number of people being liable to provide maintenance for";"Telephone";"Foreign worker";"Score"
"No checking account";30;"existing credits paid back duly till now";"radio/television";2333;"500 to 1000";"more than 7 years";4;"male (single)";"none";2;"car or other";30;"bank";"own";1;"management / self-employed / highly qualified employee / officer";1;"none";"Yes";"good"
"0 - 200";12;"existing credits paid back duly till now";"radio/television";1158;"500 to 1000";"1 to 4 years";3;"male (divorced/separated)";"none";1;"car or other";26;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"0 - 200";18;"delay in paying off in the past";"repairs";6204;"less than 100";"1 to 4 years";2;"male (single)";"none";4;"real estate";44;"none";"own";1;"unskilled - resident";2;"yes, registered under the customers name";"Yes";"good"
"Negative";30;"critical account/ other credits existing (not at this bank)";"car (used)";6187;"100 to 500";"4 to 7 years";1;"male (married/widowed)";"none";4;"car or other";24;"none";"rent";2;"skilled employee / official";1;"none";"Yes";"good"
"Negative";48;"critical account/ other credits existing (not at this bank)";"car (used)";6143;"less than 100";"more than 7 years";4;"female (divorced/separated/married)";"none";4;"unknown / no property";58;"stores";"for free";2;"unskilled - resident";1;"none";"Yes";"bad"
"No checking account";11;"critical account/ other credits existing (not at this bank)";"car (new)";1393;"less than 100";"less than 1 year";4;"female (divorced/separated/married)";"none";4;"car or other";35;"none";"own";2;"management / self-employed / highly qualified employee / officer";1;"none";"Yes";"good"
"No checking account";36;"existing credits paid back duly till now";"radio/television";2299;"500 to 1000";"more than 7 years";4;"male (single)";"none";4;"car or other";39;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"Negative";6;"existing credits paid back duly till now";"car (used)";1352;"500 to 1000";"Unemployed";1;"female (divorced/separated/married)";"none";2;"building society savings agreement/ life insurance";23;"none";"rent";1;"unemployed / unskilled - non-resident";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";11;"critical account/ other credits existing (not at this bank)";"car (new)";7228;"less than 100";"1 to 4 years";1;"male (single)";"none";4;"building society savings agreement/ life insurance";39;"none";"own";2;"unskilled - resident";1;"none";"Yes";"good"
"No checking account";12;"existing credits paid back duly till now";"radio/television";2073;"100 to 500";"1 to 4 years";4;"female (divorced/separated/married)";"co-Applicant";2;"real estate";28;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"0 - 200";24;"delay in paying off in the past";"furniture/equipment";2333;"unknown / no savings account";"less than 1 year";4;"male (single)";"none";2;"building society savings agreement/ life insurance";29;"bank";"own";1;"unskilled - resident";1;"none";"Yes";"good"
"0 - 200";27;"delay in paying off in the past";"car (used)";5965;"less than 100";"more than 7 years";1;"male (single)";"none";2;"car or other";30;"none";"own";2;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";12;"existing credits paid back duly till now";"radio/television";1262;"less than 100";"1 to 4 years";3;"male (single)";"none";2;"car or other";25;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"No checking account";18;"existing credits paid back duly till now";"car (used)";3378;"unknown / no savings account";"1 to 4 years";2;"male (single)";"none";1;"building society savings agreement/ life insurance";31;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"0 - 200";36;"delay in paying off in the past";"car (new)";2225;"less than 100";"more than 7 years";4;"male (single)";"none";4;"unknown / no property";57;"bank";"for free";2;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"bad"
"No checking account";6;"all credits at this bank paid back duly";"car (new)";783;"unknown / no savings account";"1 to 4 years";1;"male (single)";"guarantor";2;"real estate";26;"stores";"own";1;"unskilled - resident";2;"none";"Yes";"good"
"0 - 200";12;"existing credits paid back duly till now";"radio/television";6468;"unknown / no savings account";"Unemployed";2;"male (single)";"none";1;"unknown / no property";52;"none";"own";1;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"bad"
"No checking account";36;"critical account/ other credits existing (not at this bank)";"radio/television";9566;"less than 100";"1 to 4 years";2;"female (divorced/separated/married)";"none";2;"car or other";31;"stores";"own";2;"skilled employee / official";1;"none";"Yes";"good"
"Over 200";18;"existing credits paid back duly till now";"car (new)";1961;"less than 100";"more than 7 years";3;"female (divorced/separated/married)";"none";2;"car or other";23;"none";"own";1;"management / self-employed / highly qualified employee / officer";1;"none";"Yes";"good"
"Negative";36;"critical account/ other credits existing (not at this bank)";"furniture/equipment";6229;"less than 100";"less than 1 year";4;"female (divorced/separated/married)";"co-Applicant";4;"unknown / no property";23;"none";"rent";2;"unskilled - resident";1;"yes, registered under the customers name";"Yes";"bad"
"0 - 200";9;"existing credits paid back duly till now";"business";1391;"less than 100";"1 to 4 years";2;"male (married/widowed)";"none";1;"real estate";27;"bank";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"0 - 200";15;"critical account/ other credits existing (not at this bank)";"radio/television";1537;"unknown / no savings account";"more than 7 years";4;"male (single)";"guarantor";4;"real estate";50;"none";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"0 - 200";36;"no credits taken / all credits paid back duly";"business";1953;"less than 100";"more than 7 years";4;"male (single)";"none";4;"unknown / no property";61;"none";"for free";1;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"bad"
"0 - 200";48;"no credits taken / all credits paid back duly";"business";14421;"less than 100";"1 to 4 years";2;"male (single)";"none";2;"car or other";25;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"bad"
"No checking account";24;"existing credits paid back duly till now";"radio/television";3181;"less than 100";"less than 1 year";4;"female (divorced/separated/married)";"none";4;"building society savings agreement/ life insurance";26;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";27;"existing credits paid back duly till now";"repairs";5190;"unknown / no savings account";"more than 7 years";4;"male (single)";"none";4;"building society savings agreement/ life insurance";48;"none";"own";4;"skilled employee / official";2;"yes, registered under the customers name";"Yes";"good"
"No checking account";12;"existing credits paid back duly till now";"radio/television";2171;"less than 100";"less than 1 year";2;"female (divorced/separated/married)";"none";2;"car or other";29;"bank";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"0 - 200";12;"existing credits paid back duly till now";"car (new)";1007;"more than 1000";"1 to 4 years";4;"male (married/widowed)";"none";1;"real estate";22;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"No checking account";36;"existing credits paid back duly till now";"education";1819;"less than 100";"1 to 4 years";4;"male (single)";"none";4;"unknown / no property";37;"stores";"for free";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"bad"
"No checking account";36;"existing credits paid back duly till now";"radio/television";2394;"unknown / no savings account";"1 to 4 years";4;"female (divorced/separated/married)";"none";4;"car or other";25;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"No checking account";36;"existing credits paid back duly till now";"car (used)";8133;"less than 100";"1 to 4 years";1;"female (divorced/separated/married)";"none";2;"building society savings agreement/ life insurance";30;"bank";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"No checking account";7;"critical account/ other credits existing (not at this bank)";"radio/television";730;"unknown / no savings account";"more than 7 years";4;"male (single)";"none";2;"building society savings agreement/ life insurance";46;"none";"rent";2;"unskilled - resident";1;"yes, registered under the customers name";"Yes";"good"
"Negative";8;"critical account/ other credits existing (not at this bank)";"others";1164;"less than 100";"more than 7 years";3;"male (single)";"none";4;"unknown / no property";51;"bank";"for free";2;"management / self-employed / highly qualified employee / officer";2;"yes, registered under the customers name";"Yes";"good"
"0 - 200";42;"critical account/ other credits existing (not at this bank)";"business";5954;"less than 100";"4 to 7 years";2;"female (divorced/separated/married)";"none";1;"real estate";41;"bank";"own";2;"unskilled - resident";1;"none";"Yes";"good"
"Negative";36;"existing credits paid back duly till now";"education";1977;"unknown / no savings account";"more than 7 years";4;"male (single)";"none";4;"unknown / no property";40;"none";"own";1;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"bad"
"Negative";12;"critical account/ other credits existing (not at this bank)";"car (used)";1526;"less than 100";"more than 7 years";4;"male (single)";"none";4;"unknown / no property";66;"none";"for free";2;"management / self-employed / highly qualified employee / officer";1;"none";"Yes";"good"
"Negative";42;"existing credits paid back duly till now";"radio/television";3965;"less than 100";"less than 1 year";4;"male (single)";"none";3;"car or other";34;"none";"own";1;"skilled employee / official";1;"none";"Yes";"bad"
"0 - 200";11;"delay in paying off in the past";"radio/television";4771;"less than 100";"4 to 7 years";2;"male (single)";"none";4;"building society savings agreement/ life insurance";51;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"No checking account";54;"no credits taken / all credits paid back duly";"car (used)";9436;"unknown / no savings account";"1 to 4 years";2;"male (single)";"none";2;"building society savings agreement/ life insurance";39;"none";"own";1;"unskilled - resident";2;"none";"Yes";"good"
"0 - 200";30;"existing credits paid back duly till now";"furniture/equipment";3832;"less than 100";"less than 1 year";2;"male (married/widowed)";"none";1;"building society savings agreement/ life insurance";22;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"No checking account";24;"existing credits paid back duly till now";"radio/television";5943;"unknown / no savings account";"less than 1 year";1;"female (divorced/separated/married)";"none";1;"car or other";44;"none";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"bad"
"No checking account";15;"existing credits paid back duly till now";"radio/television";1213;"500 to 1000";"more than 7 years";4;"male (single)";"none";3;"building society savings agreement/ life insurance";47;"stores";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";18;"existing credits paid back duly till now";"business";1568;"100 to 500";"1 to 4 years";3;"female (divorced/separated/married)";"none";4;"building society savings agreement/ life insurance";24;"none";"rent";1;"unskilled - resident";1;"none";"Yes";"good"
"Negative";24;"existing credits paid back duly till now";"others";1755;"less than 100";"more than 7 years";4;"female (divorced/separated/married)";"guarantor";4;"real estate";58;"none";"own";1;"unskilled - resident";1;"yes, registered under the customers name";"Yes";"good"
"Negative";10;"existing credits paid back duly till now";"radio/television";2315;"less than 100";"more than 7 years";3;"male (single)";"none";4;"real estate";52;"none";"own";1;"unskilled - resident";1;"none";"Yes";"good"
"No checking account";12;"critical account/ other credits existing (not at this bank)";"business";1412;"less than 100";"1 to 4 years";4;"female (divorced/separated/married)";"guarantor";2;"real estate";29;"none";"own";2;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"good"
"0 - 200";18;"critical account/ other credits existing (not at this bank)";"furniture/equipment";1295;"less than 100";"less than 1 year";4;"female (divorced/separated/married)";"none";1;"building society savings agreement/ life insurance";27;"none";"own";2;"skilled employee / official";1;"none";"Yes";"good"
"0 - 200";36;"existing credits paid back duly till now";"education";12612;"100 to 500";"1 to 4 years";1;"male (single)";"none";4;"unknown / no property";47;"none";"for free";1;"skilled employee / official";2;"yes, registered under the customers name";"Yes";"bad"
"Negative";18;"existing credits paid back duly till now";"car (new)";2249;"100 to 500";"4 to 7 years";4;"male (single)";"none";3;"car or other";30;"none";"own";1;"management / self-employed / highly qualified employee / officer";2;"yes, registered under the customers name";"Yes";"good"
"Negative";12;"no credits taken / all credits paid back duly";"repairs";1108;"less than 100";"4 to 7 years";4;"male (single)";"none";3;"real estate";28;"none";"own";2;"skilled employee / official";1;"none";"Yes";"bad"
"No checking account";12;"critical account/ other credits existing (not at this bank)";"radio/television";618;"less than 100";"more than 7 years";4;"male (single)";"none";4;"real estate";56;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"Negative";12;"critical account/ other credits existing (not at this bank)";"car (used)";1409;"less than 100";"more than 7 years";4;"male (single)";"none";3;"real estate";54;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"No checking account";12;"critical account/ other credits existing (not at this bank)";"radio/television";797;"unknown / no savings account";"more than 7 years";4;"female (divorced/separated/married)";"none";3;"building society savings agreement/ life insurance";33;"bank";"own";1;"unskilled - resident";2;"none";"Yes";"bad"
"Over 200";24;"critical account/ other credits existing (not at this bank)";"furniture/equipment";3617;"unknown / no savings account";"more than 7 years";4;"male (single)";"co-Applicant";4;"unknown / no property";20;"none";"rent";2;"skilled employee / official";1;"none";"Yes";"good"
"0 - 200";12;"existing credits paid back duly till now";"car (new)";1318;"more than 1000";"more than 7 years";4;"male (single)";"none";4;"real estate";54;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"0 - 200";54;"no credits taken / all credits paid back duly";"business";15945;"less than 100";"less than 1 year";3;"male (single)";"none";4;"unknown / no property";58;"none";"rent";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"bad"
"No checking account";12;"critical account/ other credits existing (not at this bank)";"education";2012;"unknown / no savings account";"4 to 7 years";4;"female (divorced/separated/married)";"none";2;"car or other";61;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"0 - 200";18;"existing credits paid back duly till now";"business";2622;"100 to 500";"1 to 4 years";4;"male (single)";"none";4;"car or other";34;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"0 - 200";36;"critical account/ other credits existing (not at this bank)";"radio/television";2337;"less than 100";"more than 7 years";4;"male (single)";"none";4;"real estate";36;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"0 - 200";20;"delay in paying off in the past";"car (used)";7057;"unknown / no savings account";"4 to 7 years";3;"male (single)";"none";4;"building society savings agreement/ life insurance";36;"bank";"rent";2;"management / self-employed / highly qualified employee / officer";2;"yes, registered under the customers name";"Yes";"good"
"No checking account";24;"existing credits paid back duly till now";"car (new)";1469;"100 to 500";"more than 7 years";4;"male (married/widowed)";"none";4;"real estate";41;"none";"rent";1;"unskilled - resident";1;"none";"Yes";"good"
"0 - 200";36;"existing credits paid back duly till now";"radio/television";2323;"less than 100";"4 to 7 years";4;"male (single)";"none";4;"car or other";24;"none";"rent";1;"skilled employee / official";1;"none";"Yes";"good"
"No checking account";6;"delay in paying off in the past";"radio/television";932;"less than 100";"1 to 4 years";3;"female (divorced/separated/married)";"none";2;"real estate";24;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"0 - 200";9;"critical account/ other credits existing (not at this bank)";"furniture/equipment";1919;"less than 100";"4 to 7 years";4;"male (single)";"none";3;"car or other";35;"none";"rent";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";12;"existing credits paid back duly till now";"car (used)";2445;"unknown / no savings account";"less than 1 year";2;"male (married/widowed)";"none";4;"car or other";26;"none";"rent";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"0 - 200";24;"critical account/ other credits existing (not at this bank)";"others";11938;"less than 100";"1 to 4 years";2;"male (single)";"co-Applicant";3;"car or other";39;"none";"own";2;"management / self-employed / highly qualified employee / officer";2;"yes, registered under the customers name";"Yes";"bad"
"No checking account";18;"all credits at this bank paid back duly";"car (new)";6458;"less than 100";"more than 7 years";2;"male (single)";"none";4;"unknown / no property";39;"bank";"own";2;"management / self-employed / highly qualified employee / officer";2;"yes, registered under the customers name";"Yes";"bad"
"0 - 200";12;"existing credits paid back duly till now";"car (new)";6078;"less than 100";"4 to 7 years";2;"male (single)";"none";2;"car or other";32;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"Negative";24;"existing credits paid back duly till now";"furniture/equipment";7721;"unknown / no savings account";"less than 1 year";1;"female (divorced/separated/married)";"none";2;"building society savings agreement/ life insurance";30;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"No";"good"
"0 - 200";14;"existing credits paid back duly till now";"business";1410;"500 to 1000";"more than 7 years";1;"male (married/widowed)";"none";2;"real estate";35;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"0 - 200";6;"delay in paying off in the past";"business";1449;"100 to 500";"more than 7 years";1;"male (divorced/separated)";"none";2;"car or other";31;"bank";"own";2;"skilled employee / official";2;"none";"Yes";"good"
"Over 200";15;"existing credits paid back duly till now";"education";392;"less than 100";"less than 1 year";4;"female (divorced/separated/married)";"none";4;"building society savings agreement/ life insurance";23;"none";"rent";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"0 - 200";18;"existing credits paid back duly till now";"car (new)";6260;"less than 100";"4 to 7 years";3;"male (single)";"none";3;"real estate";28;"none";"rent";1;"unskilled - resident";1;"none";"Yes";"good"
"No checking account";36;"critical account/ other credits existing (not at this bank)";"car (new)";7855;"less than 100";"1 to 4 years";4;"female (divorced/separated/married)";"none";2;"real estate";25;"stores";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"bad"
"Negative";12;"existing credits paid back duly till now";"radio/television";1680;"500 to 1000";"more than 7 years";3;"male (married/widowed)";"none";1;"real estate";35;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"No checking account";48;"critical account/ other credits existing (not at this bank)";"radio/television";3578;"unknown / no savings account";"more than 7 years";4;"male (single)";"none";1;"real estate";47;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"Negative";42;"existing credits paid back duly till now";"radio/television";7174;"unknown / no savings account";"4 to 7 years";4;"female (divorced/separated/married)";"none";3;"car or other";30;"none";"own";1;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"bad"
"Negative";10;"critical account/ other credits existing (not at this bank)";"furniture/equipment";2132;"unknown / no savings account";"less than 1 year";2;"female (divorced/separated/married)";"co-Applicant";3;"real estate";27;"none";"rent";2;"skilled employee / official";1;"none";"No";"good"
"Negative";33;"critical account/ other credits existing (not at this bank)";"furniture/equipment";4281;"500 to 1000";"1 to 4 years";1;"female (divorced/separated/married)";"none";4;"car or other";23;"none";"own";2;"skilled employee / official";1;"none";"Yes";"bad"
"0 - 200";12;"critical account/ other credits existing (not at this bank)";"car (new)";2366;"500 to 1000";"4 to 7 years";3;"male (divorced/separated)";"none";3;"car or other";36;"none";"own";1;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"good"
"Negative";21;"existing credits paid back duly till now";"radio/television";1835;"less than 100";"1 to 4 years";3;"female (divorced/separated/married)";"none";2;"real estate";25;"none";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"bad"
"No checking account";24;"critical account/ other credits existing (not at this bank)";"car (used)";3868;"less than 100";"more than 7 years";4;"female (divorced/separated/married)";"none";2;"car or other";41;"none";"rent";2;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";12;"existing credits paid back duly till now";"furniture/equipment";1768;"less than 100";"1 to 4 years";3;"male (single)";"none";2;"real estate";24;"none";"rent";1;"unskilled - resident";1;"none";"Yes";"good"
