DAVEid	PlantMatHistCat1	PlantMatHistCat2	SearchTerm	wikidataID
DAVE.PlantMaterialHistory.47	Plant Material Selection	Breed	species comparision	
DAVE.PlantMaterialHistory.48	Plant Material Selection	Breed	variety comparision	
DAVE.PlantMaterialHistory.49	Plant Material Selection	Breed	wild breed	
DAVE.PlantMaterialHistory.50	Plant Material Selection	Other	non-fruiting trees	
DAVE.PlantMaterialHistory.51	Plant Material Selection	Plant Material	fresh plant	
DAVE.PlantMaterialHistory.52	Plant Material Selection	Sex	female plant	Q43445
DAVE.PlantMaterialHistory.53	Plant Material Selection	Sex	male plant	Q44148
DAVE.PlantMaterialHistory.54	Post-Harvest Treatment	Drying method	Spray drying	Q1066303
DAVE.PlantMaterialHistory.55	Post-Harvest Treatment	Drying method	food dehydrator	Q1807716
DAVE.PlantMaterialHistory.56	Post-Harvest Treatment	Drying method	supercritical drying	Q332585
DAVE.PlantMaterialHistory.57	Post-Harvest Treatment	Drying method	Indirect or contact drying	Q38018232
DAVE.PlantMaterialHistory.58	Post-Harvest Treatment	Drying method	Drum Drying	Q38018232
DAVE.PlantMaterialHistory.59	Post-Harvest Treatment	Drying method	Vacuum Drying	Q38018232
DAVE.PlantMaterialHistory.60	Post-Harvest Treatment	Drying method	Convection drying	Q38018232
DAVE.PlantMaterialHistory.61	Post-Harvest Treatment	Drying method	oven-dried	Q38018232
DAVE.PlantMaterialHistory.62	Post-Harvest Treatment	Drying method	sun-dried	Q51504589
DAVE.PlantMaterialHistory.63	Post-Harvest Treatment	Drying method	air-drying	Q57712541
DAVE.PlantMaterialHistory.64	Post-Harvest Treatment	Drying method	microwave vacuum drying	Q58232462
DAVE.PlantMaterialHistory.65	Post-Harvest Treatment	Drying method	Microwave Drying	Q58232462
DAVE.PlantMaterialHistory.66	Post-Harvest Treatment	Drying method	Dielectric Drying	Q63385598
DAVE.PlantMaterialHistory.67	Post-Harvest Treatment	Drying method	microwave-dried	Q63385598
DAVE.PlantMaterialHistory.68	Post-Harvest Treatment	Drying method	lyophilization	Q723912
DAVE.PlantMaterialHistory.69	Post-Harvest Treatment	Drying method	freeze-dried	Q723912
DAVE.PlantMaterialHistory.70	Post-Harvest Treatment	Drying method	desiccated	Q903071
DAVE.PlantMaterialHistory.71	Post-Harvest Treatment	Drying method	desiccation	Q903071
DAVE.PlantMaterialHistory.72	Post-Harvest Treatment	Drying method	Radio Frequency Drying	
DAVE.PlantMaterialHistory.73	Post-Harvest Treatment	Drying method	Shelf-drying	
DAVE.PlantMaterialHistory.74	Post-Harvest Treatment	Drying method	Infrared radiation drying	
DAVE.PlantMaterialHistory.75	Post-Harvest Treatment	Drying method	Combined thermal hybrid drying	
DAVE.PlantMaterialHistory.76	Post-Harvest Treatment	Drying method	shade-dried	
DAVE.PlantMaterialHistory.77	Post-Harvest Treatment	EO extraction method	steam distillation	Q1164392
DAVE.PlantMaterialHistory.78	Post-Harvest Treatment	EO extraction method	headspace solid phase microextraction	Q34147320
DAVE.PlantMaterialHistory.79	Post-Harvest Treatment	EO extraction method	solid-phase microextraction	Q34147320
DAVE.PlantMaterialHistory.80	Post-Harvest Treatment	EO extraction method	micro-steam distillation	Q42591795
DAVE.PlantMaterialHistory.81	Post-Harvest Treatment	EO extraction method	microdistillation	Q42591795
DAVE.PlantMaterialHistory.82	Post-Harvest Treatment	EO extraction method	headspace solvent microextraction	Q43844354
DAVE.PlantMaterialHistory.83	Post-Harvest Treatment	EO extraction method	supercritical extraction	Q4410204
DAVE.PlantMaterialHistory.84	Post-Harvest Treatment	EO extraction method	supercritical fluid extraction	Q4410204
DAVE.PlantMaterialHistory.85	Post-Harvest Treatment	EO extraction method	solvent extraction	Q866399
DAVE.PlantMaterialHistory.86	Post-Harvest Treatment	EO extraction method	cold pressed	
DAVE.PlantMaterialHistory.87	Post-Harvest Treatment	EO extraction method	hexane extraction	
DAVE.PlantMaterialHistory.88	Post-Harvest Treatment	EO extraction method	hydrodistillation	
DAVE.PlantMaterialHistory.89	Post-Harvest Treatment	EO extraction method	microwave distillation	
DAVE.PlantMaterialHistory.90	Post-Harvest Treatment	EO extraction method	superheated water extraction	
DAVE.PlantMaterialHistory.91	Post-Harvest Treatment	EO extraction method	water distillation	
DAVE.PlantMaterialHistory.92	Post-Harvest Treatment	EO extraction solvent	supercritical co2	"Q332582
"
DAVE.PlantMaterialHistory.93	Post-Harvest Treatment	Plant Material	dried	
DAVE.PlantMaterialHistory.94	Post-Harvest Treatment	Plant Material	powdered	
DAVE.PlantMaterialHistory.95	Post-Harvest Treatment		rehydration	Q56355737
DAVE.PlantMaterialHistory.96			autolysis	Q787099
