PMCID	activity	section_1	section_2	table_1	table_column_1	table_2	table_column_2	micro-organisms
PMC5590067				Table 1: Target strains used for antimicrobial activity assays.	Strains	Table 4: Minimum inhibitory concentrations (MICs) for Z. monogynum essential oil and positive control (fluconazole) both expressed in mg/mL. Numbers in parenthesis represent the average percentage inhibition for each MIC followed by the standard deviation.	Species	Candida dubliniensis, Candida tropicalis, Candida glabrata, Candida parapsilosis, Candida krusei, Candida albicans, Cryptococcus grubii, Cryptococcus neoformans, Saccharomyces cerevisiae, Escherichia coli, Serratia marcescens, Pseudomonas aeruginosa
PMC5590070	antibacterial	Results and Discussion						E. coli, S. aureus
PMC5592951	antibacterial			Table 6: Optimal MIC for inhibiting the bacteria activity	Bacteria			Escherichia coli, Pseudomonas aeruginosa, Bacillus cereus, Proteus vulgaris, Enterococcus faecalis, Staphylococcus aureus, Clostridium perfringens,Candida albicans, Salmonella typhimurium, Klebsiella pneumonia, Streptococcus paeumoniae, Listeria plantarum, Yersinia enterocolitica, Acinetobacter lwoffii, Candida krusei, Bacillus subtilis, Listeria monocytogenes
PMC5602041								
PMC5603114								
PMC5613177	antibacterial	Materials and methods						Listeria monocytogenes, Bacillus cereus, Staphylococcus aureus, Micrococcus flavus, Escherichia coli,Pseudomonas aeruginosa
PMC5615139								
PMC5615285								
PMC5620597								
PMC5622382								
PMC5622390	antifungal	Materials and methods						Cladosporium cladosporioides, C. sphaerospermum
PMC5622397								
PMC5622398	antibacterial, antifungal	Biological Activities						Salmonella choleraesuis, Shigella sonnei, Yersinia enterocolitica, Staphylococcus aureus, Bacillus cereus, Clostridium perfringens, Aeromonas hydrophila, and Photobacterium phosphoreum, Staphylococcus aureus, Bacillus cereus, Escherichia coli, Enterobacteriaceae, Brochothrix thermosphacta
PMC5622401								
PMC5622403	antimicrobial	Antimicrobial Properties of Artemisia Essential Oils	Efficacy of Artemisia Oils against Insect Pests					Aspergillus flavus, A. niger, A. ochraceus, Rhizoctonia solani, Sclerotium rolfsii, Macrophomina phaseolina, Colletotrichum fragariae, C. gloeosporioides, C. acutatum, Aspergillus, Alternaria and Fusarium species, Tiarosporella phaseolina , Fusarium moniliforme,  F. oxysporum, Alternaria alternata, Botrytis cinerea, F. graminearum, Penicillium citrinum, P. viridicatum, Aspergillus niger, Rhyzopertha dominica, Callosobruchus maculatus, Sitophilus oryzae, Tribolium castaneum, T. castaneum, Sitophilus zeamais, L. serricorne, L. bostrychophila, 
PMC5625792	antibacterial	Methods						Staphylococcus aureus, Staphylococcus epidermidis
PMC5641611	larvicidal	Materials and methods						Anopheles stephensi, Ades aegypti, Culex quinquefasciatus
PMC5651092	acaricidal	Materials and methods						Rhipicephalus microplus, 
PMC5653886	antibacterial	Materials and methods	Results	Table 3: Antibacterial activity of M. officinalis and D. moldavica Eos determined by agar disk diffusion assay and micro-well dilution assay	Bacteria			E. coli, S. typhimurium, S. aureus, L. monocytogenes
PMC5660901								
PMC5661929								
PMC5668225								
PMC5669080	antimicrobial	Materials and methods		Table 3: Results of the antimicrobial testing of the essential oil of Ferula tingitana L	Microorganisms			Pseudomonas aeruginosa , Escherichia coli, Neisseria gonorrhea, Aspergillus flavus, Candida albicans
PMC5669111								
PMC5674267								
PMC5684592								
PMC5694497								
PMC5694587	antibacterial, antifungal	Medical Uses of Essential Oils in Human Diseases						Bacillus megaterium de Bary, Clavibacter michiganensis Smith, Xanthomonas campestris Pammel, Pseudomonas savastanoi Janse, P. syringae pv. phaseolicola Van Hall, S. aureus, P. aeruginosa, E. coli, B. cinerea, Aspergillus spp., Fusarium spp., Penicillium spp., C. gloeosporioides Penz., Monilinia laxa, M. fructicola, M. fructigena,  
PMC5694875								
PMC5694611								
PMC5694991								
PMC5699893								
PMC5702407	insecticidal	Materials and methods						Tribolium confusum
PMC5702920								
PMC5717781	antibacterial	BIOLOGICAL EFFECTS OF ECHINOPHORA GENUS						Staphylococcus aureus, Escherichia coli, Bacillus cereus, Shigella dysenteriae, Listeria monocytogenes, Candida albicans, E. cinerea, E. coli, Bacillus subtilis, Aspergillus niger, S. typhimurium, P. aeruginosa, Aspergillus flavus, Penicillium expansum,  Trichophyton verrucosum, Trichophyton schoenleinii, Trichophyton mentagrophytes, Microsporum canis,  Epidermophyton floccosum, Candida tropicalis, Robrardoterolla, Rhodotorula mucilaginosa, Fusarium graminearum 
PMC5723952								
PMC5725564								
PMC5735349								
PMC5736702								
PMC5742650								
PMC5745743								
PMC5746745								
PMC5747963	antimicrobial	Methods		Table 2 : MIC values against Staphylococcus aureus and Streptococcus pyogenes for eucalyptus essential oil and NLC o/e	Strain			Staphylococcus aureus , Streptococcus pyogenes
PMC5748641	Antimicrobial	Materials and Methods	Results and Discussion	Table 3 : Strains used for biological tests.	Microorganism			Enterococcus faecalis, Staphylococcus aureus, Candida albicans, Escherichia coli, Micrococcus luteus, 
PMC5750594	antifungal	Materials and Methods						Candida albicans, Cryptococcus neoformans, Aspergillus niger
PMC5750605								
PMC5750654								
PMC5751248								
PMC5761127								
PMC5772139								
PMC5778200								
PMC5778779	antibacterial, antifungal	Methods						Bacillus cereus, Listeria monocytogenes, Micrococcus flavus, Staphylococcus aureus, Dickeya solani, Escherichia coli, Pectobacterium atrosepticum, Pectobacterium carotovorum subsp. carotovorum , Pseudomonas aeruginosa, Aspergillus flavus, A. ochraceus, A. niger, Candida albicans, Penicillium funiculosum, P. ochrochloron
PMC5788217		Results		Table 2 : Survival population (log CFU/ mL) of Staph. aureus and Salm. Typhimurium treated with ZEO and SNP alone and in combination during 15 min contact time at room temperature.	Microorganism			Staph. aureus, Salm. Typhimurium
PMC5789270		Results and Discussion		Table 1 : GenBank accession numbers of ITS sequences of some pathogenic isolates from nectarines ‘Sweet Red’.	Isolated Strains			Monilinia fructicola, Botrytis cinerea, Alternaria spp.
PMC5794096								
PMC5795983	antibacterial, antifungal	Results and Discussion		Table 3 : Minimal inhibitory concentration (μg·mL−1) for tested fungi.	Fungi Strains	Table 4: Minimal inhibitory concentration 90% (μg·mL−1) for tested bacteria.	Bacterial Strains	Candida spp., Cryptococcus neoformans, Microsporum canis,Trichophyton mentagrophytes, Paracoccidioides brasiliensis,  Staphylococcus aureus, E. coli, P. aeruginosa
PMC5797122								
PMC5806308	antimicrobial	Methods						Staphylococcus aureus, Bacillus subtilis, Pseudomonas aeruginosa , Candida albicans
PMC5807769		Results						C. albicans
PMC5811758								
PMC5813356	anti-leishmanial	Methods						Trypanosoma brucei brucei, L. amazonensis, L. major
PMC5822514								
PMC5830750	antibacterial, antimicrobial	Material and methods	Results	Table 2: Antibacterial activity of flower, leaf and root oils of Echinops ilicifolius. IZ: inhibition zone (mm); MIC: minimum inhibitory concentration (µg ml−1); values were expressed as mean ± s.d. (n = 3), values in the same line with different superscripts (a–e) are differences as significant at p < 0.05 by the Duncan test using SPSS.				Enterococcus faecalis, Staphylococcus aureus, Staphylococcus epidermidis, Proteus mirabilis, Escherichia coli, Pseudomonas aeruginosa,
PMC5838999								
PMC5842484								
PMC5846372	antimicrobial	Material and methods	Results and Discussion					Staphylococcus aureus, Staphylococcus epidermidis, Streptococcus mutans, Streptococcus viridans, Escherichia coli, Enterobacter cloacae, Klebsiella pneumoniae, Pseudomonas aeruginosa, Candida albicans, C. tropicalis, C. glabrata 
PMC5848570								
PMC5849894								
PMC5849899								
PMC5849928	antimicrobial	Results and Discussion		Table 2 : Minimum inhibitory concentration of anise essential oil (AEO)				Staphylococcus aureus, Escherichia coli, Salmonella Typhimurium 
PMC5852288								
PMC5855832								
PMC5858069	antimicrobial	MATERIALS AND METHODS						Enterococcus faecalis, Staphylococcus aureus, Dracocephalum moldavica, Streptococcus mutans, Micrococcus luteus, S. aureus, Candida albicans, Escherichia coli, Bacillus subtilis
PMC5859817	Antibacterial	Material and methods	Results and Discussion					P. mirabilis, Streptococci spp., P. aeruginosa, E. coli, Salmonella, Klebsiella spp.
PMC5867545								
PMC5867556								
PMC5871051		Results and Discussion		Table 4 : Effects of Bunium persicum, Eucalyptus globulus, and Rose Water in MIC Concentrations on Cell Constituents’ Release of Listeria spp Isolated From Seafood.*	Medicinal Plants			Listeria monocytogenes, Listeria grayi
PMC5871294	Antimicrobial	Materials and Methods	Results	Table 2: Antibacterial Activity (MIC and MBC) of Essential Oil Distilled From Salvia mirzayanii.				Candida albicans, Candida tropicalis, Candida krusei, Candida glabrata, Candida dubliniensis, Candida parapsilosis, Staphylococcus aureus, Enterococcus faecalis, Escherichia coli, enterohemorrhagic, Streptococcus mutans, Streptococcus pneumonia, Streptococcus pyogenes, Salmonella enterica, Shigella flexneri 
PMC5872285								
PMC5872290	larvicidal	Materials and Methods	Results					Culex quinquefasciatus
PMC5874608	antibacterial, antimicrobial, antileishmanial	Biological Activities						Staphylococcus aureus, S. epidermidis, Aspergillus niger, B. cinerea, Candida albicans, Leishmania amazonensis
PMC5876267	nematicidal,  insecticidal, 	Discussion						Staphylococcus aureus, Pseudomonas aeruginosa, Listeria spp., Alternaria alternata, Aspergillus niger, Botrytis cinerea , Ditylenchus dipsaci , Spodoptera littoralis, Musca domestica, Mayetiola destructor, Bulinus truncatus
PMC5876298								
PMC5877547								
PMC5878871								
PMC5879832								
PMC5884000	antimicrobia	The potential efficacy of N. sativa fixed oil in treatment of sinusitis						C. albicans, C. krusei, C. tropicalis, Epidermophyton fluccosum, Microsporum canis, M. gypseum, Trichophyton interdigitale, T. mentagrophytes,T. rubrum
PMC5884125		Results		Table 1 : NCBI GenBank accession numbers for the identified isolates.	Identification			Bacillus licheniformis, Bacillus foraminis, Bacillus firmus, Bacillus halodurans , Bacillus subtilis, Paenibacillus ehimensis
PMC5885327	antitrichomonal	Materials and Methods						Trichomonas gallinae
PMC5886561		Discussion						Escherichia coli, Pseudomonas aeruginosa, Lactobacillus plantarum, Enterococcus faecalis
PMC5896384								
PMC5896386								
PMC5897738								
PMC5901951								
PMC5902937								
PMC5905184								
PMC5905380	Ovicidal,  Larvicidal	Materials and Methods	Results and Discussion	Table 3 : LC50 and LC95 values for garlic essential oil, asafoetida essential oil, their combination, and one of their components (allyl disulfide) against Cx. pipiens and Cx. restuans larvae	Species			Culex, Cx. pipiens, Cx. restuans
