PMCID	table_identifier	caption	Plant	Compound_column_title	Compound	Compound_dictionary_lookpup	E2.0_compound_identifiers	notes_for_lookup_in_compound_dictionary	wikidata_identifier	
					α-terpineol	(+)-alpha-terpineol ; (-)-alpha-terpineol ; 1-alpha-terpineol	C785 ; C763 ;  C1365	stereo-isomers of the compounds are there.	Q27105290 ; Q27105253 ; Q27109437	
PMC5132230	Table 1	Chemical composition of the Aeollanthus suaveolens essential ...	Aeollanthus suaveolens	Compounds	β-myrcene	beta-myrcene	C345		Q424577	
					limonene	(+)-limonene ; (-)-limonene	C792 ; C773	stereo-isomers of the compounds are there.	Q27888324 ; Q27089405	
					1,8-Cineole	1.8-cineole	C1604		Q161572	
					β –ocimene	(Z)-beta-ocimene	C1229		Q26777005	
					Linalol	linalol	C5311		Q410932	
					Borneol		C361		Q27103499	
					α- Terpineol	(-)-alpha-terpineol ; (-)-alpha-terpineol ; 1-alpha-terpineol	C763 ; C785 ; C1365	stereo-isomers of the compounds are there.	Q27105253 ; Q27105290 ; Q27109437	
					Nerol			not present.		
					Geraniol	cis-geraniol ; (E)-geraniol	C424 ; C977	stereo-isomers of the compounds are there.	Q415359 ; Q410836	
					Linalyl acetate			not present.		
					Geraniol formate (CAS)	geraniol formate	C4730		Q15726045	
					α-Santalene	alpha-santalene	C270		Q29529955	
					(E)-α-Bergamoteno			not present.		
					(E)-β-Farnesene	(E)-beta-farnesene	C22		Q27108631	
					Massoia lactona			not present.		
					(Z), (E)- α-farnesene	(E)-alpha-farnesene 	C923 		Q419814	
					(E)–caryophyllene	alpha-caryophyllene ;  beta-caryophyllen	C3062 ; C3275	stereo-isomers of the compounds are there.	Q1995108 ; Q27106968	
					δ- decalactone					
PMC5203915	Table 1	Percentage of composition of essential oils from Rhaponticum ...	Rhaponticum carthamoides	Constituent	α-Pinene	alpha-pinene	C2849		Q27104380	
					Oct-1-en-3-ol			not present.		
					2-Pentylfuran			not present.		
					α-Phellandrene	alpha-phellandrene	C2848		Q19606345	
					p-Cymene			not present.		
					β-Phellandrene	beta-phellandrene	C3426		Q19606727	
					Limonene	(+)-limonene ; (-)-limonene	C792 ; C773	stereo-isomers of the compounds are there.	Q27888324 ; Q27089405	
					(E)-Oct-2-enal			not present.		
					p-Cymenene	dehydro-p-cymene	C481			
					(E)-Non-2-enal			not present.		
					p-Cymen-9-ol	p-cymen-9-ol	C5939		NA	
					Thymol			not present.		
					Carvacrol	carvacrol	C384		Q225543	
					(E,E)-Deca-2,4-dienal			not present.		
					Cyprotene	cyprotene	C4127		NA	
					13-Norcypera-1(5),11(12)-diene			not present.		
					α-Longipinene	alpha-longipinene	C261		Q27132145	
					Cyperadiene			not present.		
					Cyclosativene	cyclosativene	C468		NA	
					α-Copaene	alpha-copaene	C244		NA	
					α-Funebrene			not present.		
					Petasitene	petasitene	C6142		NA	
					β-Elemene	beta-elemene	C3237		Q27132237	
					Thymol methyl ether	thymol methyl ether	C6555		Q27292012	
					Cyperene	Cyperene	C470		NA	
					Dehydroisolongifolene			not present.		
					α-Cedrene	alpha-cedrene	C3080		Q27108601	
					β-Caryophyllene	beta-caryophyllen	C3275		Q27106968	
					trans-α-Bergamotene	alpha-bergamotene ; (E)-alpha-bergamotene ; bergamotene	C230 ; C919  ; C309	stereo-isomers of the compounds are there.	Q27132146 ; Q27132147 ; NA	
					Sesquisabinene A			not present.		
					β-Helmiscapene			not present.		
					α-Helmiscapene			not present.		
					(Z)-β-Farnesene	beta farnesene	C3439		NA	
					α-Humulene	isohumulene ; gamma-humulene	C5119 ; C4686	stereo-isomers of the compounds are there.	Q27121604 ; Q27121606	
					β-Santalene	beta-santalene	C352		Q27108639	
					Selina-3,7-diene			not present.		
					Rotundene	rotundene	C7041		NA	
					α-Acoradiene	acoradiene	C217		NA	
					γ-Gurjunene	gamma-gurjunene	C576		NA	
					Selina-4,11-diene			not present.		
					Dauca-4(11),8-diene			not present.		
					Nardosina-1(10),11-diene			not present.		
					β-Selinene	gamma-selinene ; delta-selinene ; (-)-alpha-selinene	C579 ; C494 ; C833	stereo-isomers of the compounds are there.	NA ; Q27121587 ; NA	
					Pentadec-1-ene			not present.		
					α-Muurolene	alpha-muurolene	C3078		Q27133436	
					Isorotundene	isorotundene	C5200		NA	
					β-Bisabolene	beta-bisabolene	C315		Q11595687	
					(Z)-γ-Bisabolene	(E)-gamma-bisabolene	C32		Q27121554	
					Premnaspirodiene	premnaspirodiene	C7034		Q27104582	
					δ-Cadinene	d-cadinene	C4128		Q27089406	
					Cyperene oxide			not present.		
					α-Calacorene	alpha-calacorene	C237		NA	
					(E)-Nerolidol	(E)-nerolidol	C37			
					β-Caryophyllene oxide			not present.		
					α-Corocalene	alpha-corocalene	C2938		NA	
					Longifolene aldehyde			not present.		
					2,5,8-Trimethyl-1-naphthol			not present.		
					β-Himachalol	himachalol	C645		Q27106868	
					Cadalene	cadalene	C366		Q2692437	
					Aplotaxene	aplotaxene	C3130		Q27155122	
					Cyperotundone	cyperotundone	C4126		NA	
					Palmitic acid			not present.		
PMC5237462	Table 1	Major constituents of the essential oils of M. piperita	M. piperita	Components	Thuja-2,4(10)-diene			not present.		
					Verbenene	verbenene	C7156		NA	
					β-Pinene	(-)-beta-pinene	C767		Q27103655	
					Mentha-2,8-diene			not present.		
					β-Ocimene	(E)-beta-ocimene	C932		Q26777012	
					Linalool	(-)-linalool ; (+)-linalool	C774 ; C793	stereo-isomers of the compounds are there.	Q27105200 ; Q27105233	
					Epizonarene	epizonarene	C532		NA	
					Epoxyocimene	trans-epoxyocimene	C6670		NA	
					Sesquiphellandrene	sesquiphellandrene	C6383		NA	
					Cadinene	alpha-cadinene ; gamma-cadinene ; beta-cadinene	C235 ; C570 ; C3236	stereo-isomers of the compounds are there.	Q27149802 ; Q27132468 ; Q27103285	
					Germacrene B	germacrene b	C599		Q27106722	
PMC5248495	Table 1	Chemical composition of essential oils of Ocimum basilicum v ...	Ocimum basilicum	Chemical components	1-octen-3-ol	1-octen-3-ol	C124		Q161667	
					1-8- Cineole	1.8-cineole	C1604		Q161572	
					(Z) -β-Ocimene			not present.		
					γ-Terpinene	beta-terpinene	C355		Q23057921	
					Fenhone			not present.		
					Linalool	(+)-linalool ; (-)-linalool	C793 ; C774	stereo-isomers of the compounds are there.	Q27105233 ; Q27105200	
					Camphor	camphore	C3624		NA	
					α - Terpineol	(+)-alpha-terpineol	C785		Q27105290	
					Methyl chavicol	estragole (methyl chavicol)	C4472		NA	
					Nerol			not present.		
					Neral			not present.		
					Geraniol	(E)-geraniol ; cis-geraniol 	C977 ; C424	stereo-isomers of the compounds are there.	Q410836 ; Q415359	
					Geranial	isogeranial	C5114		NA	
					Bornyl acetate	bornyl acetate	C362		Q780165	
					Neryl acetate			not present.		
					Methyl cinnamate	(E)-methyl cinnamate	C35		Q204178	
					β-Elemene	beta-elemene	C3237		Q27132237	
					β -Caryophyllene	(-)-beta-caryophyllene	C765		Q421614	
					β –Copaene	beta-copaene	C3302		Q27133439	
					trans-α-Bergamotene	alpha-bergamotene	C230		Q27132146	
					α-Humulene	gamma-humulene	C4686		Q27121606	
					cis- β-Farnesene	beta farnesene	C3439		NA	
					Germacrene d	germacrene d	C4793		Q27121450	
					β-Cubebene	beta-cubebene	C327		Q27108624	
					α-Bulnesene	alpha-bulnesene	C234		Q27132629	
					α-Amorphen	delta-amorphene	C4191		NA	
					δ-Cadinene	d-cadinene	C4128		Q27089406	
					Aromadendrene	aromadendrene epoxide	C3159		NA	
					Spathulenol	(-)-spathulenol	C780		Q27136312	
					Caryophyllene oxide	(-)-caryophyllene oxide ; isocaryophyllene oxide	C769 ; C5087	stereo-isomers of the compounds are there.	Q27136294 ; NA	
					α –Bisabolene	(Z)-alpha-bisabolene	C59		Q27121555	
					β - Bisabolenene			not present.		
					α-Bisabolol	bisabolol	C3480		NA	
PMC5307246	Table 5	Carotenoid, tocopherol, and sterol contents of Lannea kersti ...	Lannea kerstingii	Carotenoids	cis-Lutein			not present.		
					trans-β-Carotene			not present.		
					α-Tocopherol			not present.		
					β-Tocopherol			not present.		
					γ-Tocopherol			not present.		
					δ-Tocopherol			not present.		
					Campesterol			not present.		
					β-Sitosterol			not present.		
PMC5307902	Table 3	Percentage chemical composition of the essential oil from leaves of P. amboinicus by gas chromatography-mass spectrometry.	P. amboinicus	Compounds	alpaha-Thujene			not present.		
					alpha-Pinene	alpha-pinene	C2849		Q27104380	
					Camphene	camphene	C376		Q416775	
					Vinyl amyl carbinol			not present.		
					beta-Myrcene	beta-myrcene	C345		Q424577	
					alpha-Phellandrene	alpha-phellandrene	C2848		Q19606345	
					alpha-Terpinene	alpha-terpinen	C3035		Q423851	
					p-Cymene	dehydro-p-cymene ; cymene	C481 ; C4118	Other cymene are present as 'm-cymenene', 'dehydro-p-cymene', 'o-cymene'	Q27162104 ; Q284072	
					Limonene	(+)-limonene ; (-)-limonene ;	C792 ; C773	stereo-isomers of the compounds are there.	Q27888324 ; Q27089405	
					gamma-Terpinene	beta-terpinene	C355		Q23057921	
					alpha-terpinolene	alpha-terpinolene	C3067		Q2405051	
					Linalool	(-)-linalool ; (+)-linalool     	C774 ;   C793  	stereo-isomers of the compounds are there.	Q27105200 ; Q27105233	
					L-4-terpineol			not present.		
					Carvacrol	carvacrol	C384		Q225543	
					E-Caryophyllene	beta-caryophyllene	C3275		Q27106968	
					gamma-Bergamotene	bergamotene	C309		NA	
					alpha-Humulene	isohumulene ; gamma-humulene	C5119 ; C4686	stereo-isomers of the compounds are there.	Q27121604 ; Q27121606	
					Caryophyllene oxide	(-)-caryophyllene oxide ; isocaryophyllene oxide	C769 ; C5087	stereo-isomers of the compounds are there.	Q27136294 ; C5087	
					Acid Phthalic			not present.		
PMC5324201	Table 9	Compound composition (% w/w) in the essential oil and water ...	Anethum sowa	Name of Compounds	Ethylene oxide			not present.		
					Glycidol			not present.		
					n-Pentanal			not present.		
					Isobutyl acetate			not present.		
					β-Butyrolactone			not present.		
					2,3,3-Trimethyl hexane			not present.		
					Toluene	Toluene	C6571		Q15779	
					n-Hexanal			not present.		
					Furfural	3-furfural	C2159		Q27159772	
					n-Heptanal	heptanal	C624		Q425827	
					p-Xylene	p-xylene	C6076		Q3314420	
					n-Octanal	n-octanal	C6959		Q416673	
					2-Phenyl-acetaldehyde			not present.		
					p-Cymen-8-ol	cymen-8-ol ; m-cymen-8-ol	C4117 ; C5370	stereo-isomers of the compounds are there.	Q27265496 ; NA	
					4-Thujen-2-alpha-yl acetate			not present.		
					Cyclohexane, 3-hexyl			not present.		
					2-Aminoundecane			not present.		
					m-Diaminobenzene			not present.		
					(+/-)-Norephedrine			not present.		
					Thymol acetate	thymol acetate	C7093		Q27108438	
					Myristicin	myristicin	C751		Q414057	
					Elemicin	elemicin	C518		Q417746	
					Apiol	apiole	C286		Q21071561	
					3,4-Dimethyl-benzoic acid 4-tert-bytyl-phenyl ester			not present.		
PMC5330108	Table 1	Phytochemical constituents of Mentha piperita essential oil by gas chromatography-mass spectrometry analysis	Mentha piperita	Compound name	3-hexadecene , (Z)			not present.		
					Menthol, acetate					
					I-Menthone	1-menthone ; iso-menthone	C1421 ; C677	stereo-isomers of the compounds are there.	Q424902 ; Q27104381	
					D-alloisoleucine			not present.		
					Pulegone	pulegone	C7038		Q27109902	
					Piperitone	isopiperitone	C5174		Q2041498	
					Methomenthene			not present.		
					9-octadecene, (E)			not present.		
					Menthol	l-(-)-menthol	C5252		Q407418	
					o-menth-8-ene	o-menth-8-ene	C6984		NA	
					Piperitenone	piperitenone	C7019		Q27102310	
					eugenol	eugenol	C557		Q423357	
					Copaene	alpha-copaene ; beta-copaene	C244 ; C3302	stereo-isomers of the compounds are there.	NA ; Q27133439	
					Cyclodecane			not present.		
					Caryophyllene	alpha-caryophyllene; beta-caryophyllene	C3062 ; C3275	stereo-isomers of the compounds are there.	Q1995108 ; Q27106968	
					(+)-epibicyclosesquiphellandrene			not present.		
					Methyl pivalate			not present.		
					delta-cadinene			not present.		
					Caryophyllene oxide	(-)-caryophyllene oxide ; isocaryophyllene oxide	C769 ; C5087	stereo-isomers of the compounds are there.	Q27136294 ; Q67879947	
					Fomepizole			not present.		
					Thujopsene			not present.		
PMC5344628	Table 3	The composition of the selected commercial essential oils fr ...		Chemical Compound	α-Thujene	alpha thujene	C3075		NA	
					α-Pinene	(-)-alpha-pinene ; (-)-beta-pinene	C762 ; C767	stereo-isomers of the compounds are there.	Q300852 ; Q27103655	
					Camphene	camphene	C376		Q416775	
					β-Pinene	(-)-beta-pinene	C767		Q27103655	
					β-Myrcene	beta-myrcene	C345		Q424577	
					2-Carene	2-carene	C1720		NA	
					p-Cymene	dehydro-p-cymene ; cymene	C481 ; C4118	Other cymene are present as 'm-cymenene', 'dehydro-p-cymene', 'o-cymene'	Q27162104 ; Q284072	
					Limonene	(+)-limonene ; (-)-limonene	C792 ; C773	stereo-isomers of the compounds are there.	Q27888324 ; Q27089405	
					Eucalyptol			not present.		
					γ-Terpinene			not present.		
					α-Terpinene			not present.		
					Linalol	linalol	C5311		Q410932	
					Camphor	camphor	C378		Q181559	
					Borneol	borneol	C361		Q27103499	
					4-Terpineol	4-terpineol	C188		Q416114	
					α-Terpineol	(-)-alpha-terpineol	C763		Q27105253	
					Thymol			not present.		
					Carvacrol	carvacrol	C384		Q225543	
					Eugenol	eugenol	C557		Q423357	
					β-Caryophyllene	beta-caryophyllene alcohol	C320		NA	
					α-Caryophyllene	alpha-caryophyllene	C3062		Q1995108	
					Aromadendrene	alpha-aromadendrene	C229		NA	
					Ledene	(+)-ledene ; isoledene	C791 ; C673	stereo-isomers of the compounds are there.	Q27132626 ; NA	
					Eugenol acetate			not present.		
					δ-Cadinene	d-cadinene	C4128		Q27089406	
					Caryophyllene oxide	(-)-caryophyllene oxide ; isocaryophyllene oxide	C769 ; C5087	stereo-isomers of the compounds are there.	Q27136294 ; Q27136294	
PMC5364420	Table 1	Chemical composition of essential oil from C. rotundus rhizo ...	Cyperus rotundus	Compounds	α-Pinene	(-)-alpha-pinene ; (-)-beta-pinene	C762 ; C767	stereo-isomers of the compounds are there.	Q300852 ; Q27103655	
					Camphene	camphene	C376		Q416775	
					β-Thujene	(-)-alpha-thujene ; (+)-alpha-thujene	C764 ; C786	stereo-isomers of the compounds are there.	Q27121815 ; Q27121804	
					β-Pinene	(-)-beta-pinene	C767		Q27103655	
					ρ-Cymene	dehydro-p-cymene ; cymene	C481 ; C4118	Other cymene are present as 'm-cymenene', 'dehydro-p-cymene', 'o-cymene'	Q27162104 ; Q284072	
					(d)-Limonene	(+)-limonene ; (-)-limonene	C792 ; C773	stereo-isomers of the compounds are there.	Q27888324 ; Q27089405	
					1,8-Cineole	1.8-cineole	C1604		Q161572	
					Linalool	(-)-linalool ; (+)-linalool     	C774 ;   C793  	stereo-isomers of the compounds are there.	Q27105200 ; Q27105233	
					Pinocarveol	cis-pinocarveol ; pinocarveol	C3988 ; C6198	stereo-isomers of the compounds are there.	NA ; Q27103091	
					Terpinenol			not present.		
					trans-pinocarveol	pinocarveol	C6198		Q27103091	
					pinocarvone	pinocarvone	C7018		Q27104017	
					terpinen-4-ol	terpinen-4-ol	C795		Q27280168	
					allo-aromadendrene	allo-aromadendrene	C223		NA	
					Terpineol	1-terpineol	C1482		Q27276701	
					p-Cymen-8-ol	cymen-8-ol ; m-cymen-8-ol	C4117 ; C5370	stereo-isomers of the compounds are there.	Q27265496 ; NA	
					Myrtenol			not present.		
					Verbenone	verbenone	C7158		Q421151	
					trans-Carveol			not present.		
					Carvone	carvone	C386		Q416800	
					Bornyl acetate	bornyl acetate	C362		Q780165	
					Trans-anethole	(Z)-anethole	C62		Q27147814	
					α-Copaene	alpha-copaene	C244		NA	
					β-Elemene	beta-elemene	C3237		Q27132237	
					Cyperene	Cyperene	C470		NA	
					Gurjunene	gurjunene	C4828		NA	
					γ-Muurolene	gamma-muurolene	C577		Q27133437	
					α-Selinene	alpha-selinene	C272		Q7448480	
					β-Selinene			not present.		
					α-Muurolene	alpha-muurolene	C3078		Q27133436	
					γ-Cadinene	gamma-cadinene	C570		Q27132468	
					Isolongifolen-5-one	isolongifolen-5-one	C5127		NA	
					α-Cadinene	alpha-cadinene	C235		Q27149802	
					α-Calacorene	alpha-calacorene	C237		NA	
					Spathulenol	(-)-spathulenol	C780		Q27136312	
					β-Caryophyllene oxide	(-)-caryophyllene oxide ; isocaryophyllene oxide	C769 ; C5087	stereo-isomers of the compounds are there.	Q27136294 ; Q27136294	
					α-Cyperone	alpha-cyperone	C2950		NA	
					Aristolone	aristolone	C288		NA	
					Nootkanone			not present.		
					α-Cubebene	alpha-cubebene	C3082		Q27108605	
					Caryophyllane-2-6-β-oxide			not present.		
					α-Humulene	isohumulene ; gamma-humulene	C5119 ; C4686	stereo-isomers of the compounds are there.	Q27121604 ; Q27121606	
					Vulgarol B	vulgarol b	C6891		NA	
					T-Calamenene	trans-calamenene	C7111		NA	
					Caryophyllenol			not present.		
					Isorotundene	isorotundene	C5200		NA	
					Isocyperol	isocyperol	C5098		NA	
					Cyperol	cyperol	C4124		Q27149854	
					T-Cadinol	cadinol	C371	stereo-isomers of the compounds are there.	NA	
					Muurolol	alpha-epi-muurolol	C2958	stereo-isomers of the compounds are there.	Q63409422	
					α-Cadinol	alpha-cadinol	C3061		Q4734900	
					Mustakone	mustakone	C5614		NA	
					Cyperotundone	cyperotundone	C4126		NA	
					Calamanene			not present.		
					Nardol			not present.		
					Humulene epoxide	humulene epoxide	C4933		NA	
					Eudesma 5-en-11-α-ol			not present.		
					epi-Cubenol	epi-cubenol	C530		NA	
					Intermediol			not present.		
										
