PMCID	raw_table_number	raw_filename 	raw_table_title	extracted_subtable_name 	matches20191121	matches20191121_notes	matches20191121_compound	matches20191121_percent	original composition	extracted compoisition	error* (optional column)	graphic_table	compound_col_name	percent_col_name 	additional_percent_col_names	notes	FN	FP
PMC5592951	Table 4	table_4.xml	Compounds of the EOs after the EOROT reduction process	FN			FN	FN	BODY 173 FOOTER 0	Not extracted.			FN	FN		Titles are not regular..	Vital compounds in the EO ; Compound percentage in the EO	
PMC5597067	Table 1	table_1.xml	Peak Identification and Weight Percentage for the Components ...	FN	FN		FN	FN	BODY 55 FOOTER 1	Not extracted.			FN	FN		EO composition is not extracted.	Compounds  ; VD Oil c and UF Oil d and HD Oil e and Ref Oil f	
PMC5602841	Table 2	table_2.xml	Chemical characterization of the essential oil extracted fro ...	FN	FN		FN	FN	BODY 8 FOOTER 1	Not extracted.			FN	FN		EO composition is not extracted. 	Components ; %	
PMC5602041	Table 2	table_2.xml	Chemical characterization of the essential oil extracted fro ...	FN	FN		FN	FN	BODY 115 FOOTER 3	Not extracted.			FN	FN		Titles are not regular. Two EO tables are there.	Components ; %	
PMC5603114	Table 1	table_1.xml	Chemical composition of resin essential oil of P. heptaphyll ...	FN					BODY 23 FOOTER 0	BODY 23 FOOTER 0			Constituents		Area (%) EOPh  Com. resins ; Area (%) EOPh  Nat. resins	Two EO profiles.		
PMC5613177	Table 2	table_2.xml	Means of leaves major essential oils constitutes in two succ ...	FN	FN		FN	FN	Non-standard	Not extracted.			FN	FN		Non-standard table. 		
PMC5615139	Table 1	table_1.xml	Chemical Composition of essential oil of fresh rhizome of Cu ...	composition_extracted_1.html					BODY 23 FOOTER 0	BODY 23 FOOTER 0			Compounds	% Area				
PMC5615285	Table 1	table_1.xml	Chemical composition of the essential oil of Foeniculum vulg ...	composition_extracted_1.html					BODY 33 FOOTER 4	BODY 33 FOOTER 4			Compounds	% *				
PMC5620597	Table 2	table_2.xml	Chemical composition of the essential oils from O. basilicum L. varieties, violetto, latifolia, minimum and lettuce, cultivated in the greenhouse conditions.	composition_extracted_1.html				FN	BODY 91 FOOTER 1	BODY 91 FOOTER 0*	Extra percent composition.		Compound	FN		Titles are not regular. Two EO tables are there.	OCK1; OCK2; OCK3; OCP4; OCP5; OCS6; OCS7; OCM8; OCM9; OCM10	
PMC5620597	Table 3	table_3.xml	Chemical composition of the essential oils from O. basilicum L. varieties latifolia, minimum, lettuce and cinnamon, cultivated in the field conditions.	composition_extracted_2.html				FN	BODY 96 FOOTER 1	BODY 96 FOOTER 0*			Compound	FN		Titles are not regular. Two EO tables are there.	OCP11; OCP12; OCP13; OCP14; OCS15; OCS16; OCS17; OCM18; OCM19; OCM20; OCC21; OCC22; OCC23	
PMC5622382	Table 1	table_1.xml	Chemical compositions of leaf essential oil of Salvia offici ...	composition_extracted_1.html				FN	BODY 55 FOOTER 6	BODY 55 FOOTER 6			Compound	FN		Percent composition column is not extracted.	Percent Composition c	
PMC5622390	Table 1	table_1.xml	Chemical composition of Hedyosmum brasiliense essential oils ...	composition_extracted_1.html					BODY 51 FOOTER 8	BODY 51 FOOTER 8			Compound	Relative Amount (%)		Two EO tables are there.		
PMC5622390	Table 2	table_2.xml	Chemical composition of the active antifungal fractions of H ...	composition_extracted_2.html					BODY 23 FOOTER 2	BODY 24* FOOTER 1*			Compound		FwF (%) ; LeF (%)	Two EO tables are there. Two EO profiles.		
PMC5622397	TN								BODY 96 FOOTER 1	BODY 25 FOOTER 0								
PMC5622398	TN								BODY 96 FOOTER 1	BODY 25 FOOTER 0								
PMC5622401	Table 1	table_1.xml	Chemical compositions of the essential oils of wild and comm ...	composition_extracted_1.html				FN	BODY 117 FOOTER 6	BODY 117 FOOTER 6			Compounds	FN		Titles are not regular. Multiple column headers.	Wild Plant Parts ( Stem ; Leaf ; Fruit ) , Commercial ( Oil )	
PMC5622403	Table 1	table_1.xml	A literature report from 2012–2017 on chemical composition o ...	composition_extracted_1.html			FN		Multiple records in each row.	Multiple records in each row.			Major Components (%)	Major Components (%)				
PMC5625792	Table 1	table_1.xml	Chemical composition of ROEO	FN					BODY 36 FOOTER 1	BODY 37* FOOTER 0*			Compounda	Area percentage (%)*				
PMC5641611	TN																	
PMC5651092	Table 1	table_1.xml	Percentage composition of Citrus limonum and Piper nigrum oi ...	composition_extracted_1.html					BODY 60 FOOTER 1	BODY 61* FOOTER 0*			Constituents		Citrus limonum(%) ; Piper nigrum(%)	Two EO profiles are there.		
PMC5653886	Table 1	table_1.xml	Chemical compositions of M. officinalis by gas chromatograph ...	composition_extracted_1.html			FN		BODY 37 FOOTER 1	BODY 25 FOOTER 0			Components	(%)		Two EO tables are there.		
PMC5653886	Table 2	table_2.xml	Chemical compositions of D. moldavica determined by gas chro ...	composition_extracted_2.html			FN		BODY 22 FOOTER 1	BODY 22 FOOTER 1			Components	(%)		Two EO tables are there.		
PMC5660901	TN																	
PMC5661929	Table 2	table_2.xml	Chemical composition (GC–MS) of Pittosporum tobira seed obta ...	composition_extracted_2.html		FP - table:  Proximate composition, mineral content and phytochemical composition of Pittosporum tobira seeds			BODY 30 FOOTER 0	BODY 30 FOOTER 0			Compounds*	% RC				
PMC5668225	Table 3		Composition of BEO and gaseous phase in equilibrium with the liquid at 0 °C	FN	FN		FN	FN	BODY 18 FOOTER 0	Not extracted.			FN	FN		EO table is in 3_floats_group. Two EO tables are there.	Compound ; Essential oil composition; Gaseous phase composition at 0 °C	
PMC5668225	Table 4		Composition of BEO and gaseous phase in equilibrium with the liquid at 0, 22 and 40 °C	FN	FN		FN	FN	BODY 18 FOOTER 0	Not extracted.			FN	FN		EO table is in 3_floats_group. Two EO tables are there.	Compound; Essential oil composition ; Gaseous phase composition at 0 °C; Gaseous phase composition at 22 °C; Gaseous phase composition at 40 °C	
PMC5669080	Table 2	table_2.xml	Identified components in the hydrodistilled essential oil of flower and leaves of Ferula tingitana	FN	FN		FN	FN	BODY 45 FOOTER 7	Not extracted.		YES	FN	FN		EO composition is not extracted.	Compound; F; L	
PMC5669111	Table 1	table_1.xml	Essential oil composition of Cinnamomum zeylanicum identified by gas chromatography/mass spectroscopy	FN	FN		FN	FN	BODY 12 FOOTER 1	Not extracted.		YES	FN	FN		EO table is not extraced.	Compound ; Peak area (%)	
PMC5674267	TN															No EO table.		
PMC5684592	TN															No EO table.		
PMC5694497	Table 2	table_2.xml	Major components (%) identified in the essential oil extract ...	composition_extracted_1.html				FN	BODY 96 FOOTER 1	BODY 97* FOOTER 0*			Compounds	FN		Titles are not regular.	V. capitata ; V. megapotamica ; V. gardneriana ; V. rufescens	
PMC5694587	Table 2	table_2.xml	Chemical composition of some common Mediterranean plant esse ...	composition_extracted_1.html					BODY 51 FOOTER 1	BODY 51 FOOTER 1			Some of mainSingle constituents	Percentagec 				
PMC5694611	Table 1	table_1.xml	Chemical composition, concentrations (%), and calculated ret ...	composition_extracted_1.html					BODY 19 FOOTER 8	BODY 19 FOOTER 8			Compound		% of total essential oil from Hebron ; % of total essential oil from Jerusalem ; % of total essential oil from Jenin	Three EO profiles.		
PMC5694875	TN								BODY 96 FOOTER 1	BODY 25 FOOTER 0								
PMC5694991	Table 3	table_3.xm	Chemical composition of the essential oil of two studied Ira ...	composition_extracted_1.html					BODY 45 FOOTER 4	BODY 29* FOOTER 0*			Compounds%	Compounds%				
PMC5699893	TN																	
PMC5702407	Table 1	table_1.xml	Main chemical compounds of essential oil obtained from aeria ...	FN	FN		FN	FN	BODY 27 FOOTER 6	Not extracted.			FN	FN		Composition is not extracted. 	Compoundsa ; Untreated control ; N, P, and K fertilizer ; Mycorrhizal inoculation	
PMC5702920	Table 2	table_2.xml	Relative (%) chemical composition of the collected air after 1 and 15 minutes of nebulization of each formulation.	composition_extracted_2.html		FP - table:  Sample codes, identified species for each collected sample [ 5], formulation's composition, and major compounds in the essential oils of each formulation.		FN	BODY 58 FOOTER 4	BODY 58* FOOTER 4	Compound - not extracted.		Formulations according to major compounds	FN		Title is not regular. Sub-header is Substance and Percentage (%). Multiple column header.	Percentage (%) (is sub-header)	
PMC5717781	Table 1	table_1.xml	Reported major constituents of Echinophora genus essential o ...	FN	FN		FN	FN	BODY 23 FOOTER 0	Not extracted.		YES	FN	FN		No EO composition columns are extracted.		
PMC5723952	Table 1	table_1.xml	Compounds identified by GC-MS technique in the Rudbeckia tri ...	FN	FN		FN	FN	BODY 54 FOOTER 6	Not extracted.			FN	FN		Percent composition is not regular. Multiple column headers.	Compound ; Composition b (%)	
PMC5725564	TN								BODY 96 FOOTER 1	BODY 25 FOOTER 0						Article is of fatty acids composition.		
PMC5735349	Table 1	table_1.xml	Chemical composition of the essential oil from Lindera eryth ...	FN	FN		FN	FN	BODY 15 FOOTER 1	Not extracted.		YES	FN	FN		No composition columns are extracted.	 constituents ; Pear area ( % )	
PMC5736702	TN																	
PMC5742650	TN																	
PMC5745743	TN																	
PMC5746745	TN					FP - table:  Main components of spike lavender leaf essential oil from lines HMGR5 and WT extracted with chloroform-d and determined by GC/MS. The percentage is referred to the area of the 15 main peaks of each sample. Rt: retention time; SD: standard deviation; h: hours.												
PMC5747963	TN																	
PMC5748641	Table 1	table_1.xml	Chemical composition of Niphogeton dissecta essential oil of ...	composition_extracted_1.html			FN		BODY 54 FOOTER 6	BODY 54 FOOTER 6			Component	%c				
PMC5750594	Table 2	table_2.xml	Chemical composition of the oleoresin essential oil of Proti ...	composition_extracted_1.html					BODY 54 FOOTER 1	BODY 54 FOOTER 1			Compound	%				
PMC5750605	Table 1	table_1.xml	Comparative chart on seasonally GC/MS analysis of Acorus calamus leaves and rhizome essential oils.	FN	FN		FN	FN	BODY 34 FOOTER 2	Not extracted.			FN	FN		Titles are not regular.There are multiple table headers.	Compounds ; ACLEO	
PMC5750654	TN																	
PMC5751248	TN																	
PMC5761127	Table 1	table_1.xml	Chemical composition (%) of leaves essential oil from Tunisi ...	composition_extracted_1.html					BODY 26 FOOTER 4	BODY 26 FOOTER 4			Compounds	Percentage (%)				
PMC5772139	TN																	
PMC5778200	Table 1	table_1.xml	The influence of different pretreatments on the chemical com ...	composition_extracted_1.html				FN	BODY 10 FOOTER 0	BODY 10 FOOTER 0			Compound			No percent composition column is present into the table.		
PMC5778779	Table 1	table_1.xml	Essential oil constituents of C. macrocarpa branchlets and C ...	FN	FN		FN	FN	BODY 29 FOOTER 0	Not extracted.			FN	FN		Title are not regular.	Constituent ; Percentage C. macrocarpa ; Percentage C. citriodora	
PMC5788217	Table 1	table_1.xml	Chemical composition of ZEO.	FN			FN	FN	BODY 13 FOOTER 1	Not extracted.			FN	FN		EO composition is not extracted. 	Compounds ; Area (%)	
PMC5789270	Table 2	table_2.xml	Thyme essential oil composition and volatilized compounds in ...	FN	FN		FN	FN	BODY 16 FOOTER 0	Not extracted.			FN	FN		Two EO tables are there. titles are not regular.	EO * Components ; DI ** (%); Savory 10%; Savory 1%	
PMC5789270	Table 3	table_3.xml	Savory essential oil composition and volatilized compounds in storage cabinet at 1, 14 and 28 days.	FN	FN		FN	FN	BODY 16 FOOTER 0	Not extracted.			FN	FN		Two EO tables are there. titles are not regular.	EO * Components ; DI ** (%); Thyme 10%; Thyme 1%	
PMC5789316	TN																	
PMC5794096	Table 1	table_1.xml	Volatile compounds identified by gas chromatography followed ...	FN	FN		FN	FN	BODY 13 FOOTER 0	Not extracted.			FN	FN		No EO composition is extracted.	Compound ; Area (%)	
PMC5795983	Table 1	table_1.xml	Chemical composition of the essential oil of the leaves from ...	composition_extracted_1.html					BODY 36 FOOTER 1	BODY 37* FOOTER 0*			Compound	%				
PMC5797122	Table 1	table_1.xml	The main components of N. cataria species depends on agricul ...	composition_extracted_1.html					BODY 15 FOOTER 0	BODY 15 FOOTER 0			 		Compound 1 ; Compound 2 ; Compound 3	Composition is reported into same column. Three EO profiles.		
PMC5806308	TN																	
PMC5807769	TN																	
PMC5811758	TN																	
PMC5813356	Table 1	table_1.xml	Chemical composition of the essential oil of Haplophyllum tu ...	FN			FN	FN	BODY 67 FOOTER 6	Not extracted.			FN	FN		No composition columns are extracted.	Constituents and EO 2013 (Anlz1) ; EO 2013 (Anlz2) ; EO 2015 (Anlz3)	
PMC5822514	Table 1	table_1.xml	Major compounds identified and quantified in the essential o ...	FN	FN		FN	FN	BODY 6 FOOTER 0	Not extracted.		YES	FN	FN		No composition columns are extracted. 	Compound name ; Content (%)	
PMC5830750	TN																	
PMC5838999	Table 1	table_1.xml	Composition of the essential oil of R. acaule	composition_extracted_1.html					BODY 26 FOOTER 7	BODY 26 FOOTER 7			Constituentsa	(%)c				
PMC5842484	Table 2	table_2.xml	GC-MS analyses of Origanum vulgare L. essential oil.	FN	FN				BODY 77 FOOTER 1	Not extracted.		YES	FN	FN		No composition columns are extracted.	Compound ; Chemical composition (%)	
PMC5846372	TN																	
PMC5848570	TN																	
PMC5849894	TN					FP - table:  Changes in proximate composition of walnut seeds during processing ; table:  Changes in mineral composition of walnut during processing												
PMC5849899	TN																	
PMC5849928	Table 1	table_1.xml	Chemical compounds of anise essential oil (AEO)	FN	FN				BODY 12 FOOTER 1	Not extracted.			FN	FN		No EO composition columns are extracted. 	Compound name ; Percent	
PMC5852288	TN																	
PMC5855832	TN																	
PMC5858069	TN																	
PMC5858457	TN																	
PMC5859817	TN																	
PMC5867545	TN																	
PMC5867556	Table 1	table_1.xml	Molecular composition of the various propolis preparations determined by high-performance liquid chromatography-UV-electrospray ionization mass (HPLC-UV-ESI-MS).	FN					BODY 29 FOOTER 4	Not extracted.			FN	FN		Titles are not regular. Multiple column header. 	Polyphenols Species ; Oily Extract ; Glycolic Extract ; Glyceric Extract ;Hydroalcoholic Extract	
PMC5871051	TN																	
PMC5871294	TN																	
PMC5872285	TN					FP - table:  Fatty acid composition of L. migratoria ; table:  Proximate composition of L. migratoria (% based on dry weight).												
PMC5872290	TN					FP - table:  Oviposition deterrent activity of P. anisum, L. berlandieri and C.aurantifolia essential oils and their major components against gravid female Culex quinquefasciatus. ; table:  LC 50 and LC 90 (µg/mL) of the major constituents of the essential oils at III instar and pupal of Culex quinquefasciatus after 24 h of exposure.												
PMC5874608	Table 2	table_2.xml	Chemical composition of essential oils of Conradina species.	composition_extracted_1.html				FN	BODY 08 FOOTER 0	BODY 08 FOOTER 0			Major Oil Components (%) ; Unique Component(s)	Major Oil Components (%)				
PMC5876267	Table 1	table_1.xml	Chemical composition of the Origanum compactum essential oil ...	composition_extracted_1.html			FN	FN	BODY 7 FOOTER 5	BODY 7 FOOTER 5			Componenta	FN		Percent composition is not extracted.	Percentd	
PMC5876298	TN																	
PMC5877547	TN																	
PMC5878871	Table 1	table_1.xml	Chemical composition of essential oil of LEO.	composition_extracted_1.html					BODY 28 FOOTER 0	BODY 28 FOOTER 0			Compounds	% RAb		No EO composition is extracted. There is mapping of composition columns but no extraction. columns are Compounds  and % RAb.	Compounds ; % RAb	
PMC5879832	TN																	
PMC5884000	TN																	
PMC5884125	TN																	
PMC5885327	Table 3	table_3.xml	Chemical composition of P . roseum essential oil.	composition_extracted_1.html					BODY 26 FOOTER 0	BODY 26 FOOTER 0			Compounds		% Constituents ofP. roseumEO ; % Constituents ofP. roseumEO	Two EO profiles.	Compounds; % Constituents of P. roseum EO	
PMC5886561	TN															No EO composition into article.		
PMC5896384	TN															No EO composition into article. It is based on fatty acids composition.		
PMC5896386	Table 1	table_1.xml	Chemical composition of the volatile oil of T.minuta	FN			FN	FN	BODY 24 FOOTER 5	Not extracted.			FN	FN		No EO composition is extracted.		
PMC5897738	Table 2	table_2.xml	Chemical composition of RC essential oil.	composition_extracted_1.html					BODY 28 FOOTER 1	BODY 29 FOOTER 0			Compoundsa	% in samples		No EO composition columns are extracted. These are mapped into composition_extracted*.html - compound=(Compoundsa), percentage=(% in samples). Composition columns are Compoundsa and % in samples.	Compoundsa; % in samples	
PMC5901951	TN															No EO composition is into article.		
PMC5902937	TN					FP - table:  Policosanol composition of milk thistle oil extracted from mature seeds										No EO composition in the article.		
PMC5905184	TN															No EO composition in the article.		
PMC5905380	Table 1		Chemical composition of garlic and asafoetida essential oils	FN	FN		FN	FN	BODY 19 FOOTER 0	Not extracted.			FN	FN		Table is extracted into 3_floats-group section.	Compound ; Garlic (%) ; Asafoetida (%).	
PMC5905578	TN															No EO composition is in article.		
