PMCID	raw_table_number	raw_filename 	raw_table_title	extracted_subtable_name 	compound_col_name	percent_col_name 	additional_percent_col_names	notes	FN	FP
PMC5527698	Table 1	table_1.xml	Chemical composition of Mentha piperita essential oil	FN	FN	FN		EO table is present into article but not extracted. Composition columns - Constituents ; Picsaera ( %) are not extracted. Table is into graphics mode.	Constituents ; Picsaera ( %) 	
PMC5535876										
PMC5543433	Table 1	table_1.xml	Chemical composition of essential oil isolated by hydrodisti ...	composition_extracted_1.html	aComponents	d%				
PMC5546729	Table 1	table_1.xml	The essential oil composition of Iranian and Indian Nigella ...	composition_extracted_1.html	compound		SFE, % ; Hex, % ; Met, %  ; Hex/Met, % 	Multiple profile of EO.		
PMC5551175	Table 1	table_1.xml	Chemical composition of the essential oils from Azadirachta ...	composition_extracted_1.html	Component a	% d				
PMC5568258	Table 1	table_1.xml	Essential oil components identified by GC-MS and GC/FID	FN	Compound	Essential Oil (%)				
PMC5569441	Table 1	table_1.xml	Chemical composition of cinnamon in the essential oil of cin ...	composition_extracted_1.html	Compound	Concentration (%)				
PMC5575638	Table 2	table_2.xml	Essential oil compositions of garlic ( Allium sativum) obtai ...	FN	Compound			NO mapping of columns are there. Percentage composition columns are not extracted. Table is non-standard - contains sub-header for extraction techniques. Percent composition column is Percent Composition ( Clevenger-Type Hydrodistillation; Industrial Steam Distillation ; Industrial Hydrodistillation )	Percent Composition ( Clevenger-Type Hydrodistillation; Industrial Steam Distillation ; Industrial Hydrodistillation )	
PMC5575638	Table 3	table_3.xml	Essential oil compositions of wild garlic ( Allium vineale) ...	FN	Compound			NO mapping of columns are there. Percentage composition column - Percent Composition is not extracted. 	Percent Composition. Percentage composition columns are not extracted. 	
PMC5577677								NO EO for plants.		
PMC5585972	Table 3	table_3.xml	Chemical composition of the cinnamon essential oil	composition_extracted_2.html	Compound	% composition				
PMC5585972	Table 4	table_4.xml	Chemical composition of clove essential oil	composition_extracted_2.html	Compound	% composition				
PMC5590060	Table 1	table_1.xml	Composition of E. foetidum essential oils.	FN	FN	FN		Composition columns are not extracted - Compound and Leaf (%) and Stem (%) and Root (%)	Compound ; Leaf (%); Stem (%); Root (%)	
PMC5590062	Table 1	table_1.xml	Composition of the essential oils from the leaves of A. scha ...	composition_extracted_1.html	Compounds	%				
PMC5590063	Table 1	table_1.xml	Identification of constituents of the essential oil from lea ...	FN	Compound a	Content (as % of Total Oil) + SD				
PMC5590065	Table 1	table_1.xml	Composition of A. danielli essential oils.	composition_extracted_1.html	Compound		Leaf (%) ; Stem (%)			QI (%)
PMC5590065	Table 2	table_2.xml	Percentage composition of classes of compounds in A. danielli essential oils.	composition_extracted_2.html	Compound Class		Leaf (%) ; Stem (%)			
PMC5590066	Table 1	table_1.xml	Chemical composition of EO of wild Achillea millefolium L. ( ...	composition_extracted_1.html	Compounds	(%) c				
PMC5590067	Table 2	table_2.xml	Chemical composition of the essential oil of Z. monogynum.	composition_extracted_1.html	Compound	%				
PMC5590070	Table 1	table_1.xml	Chemical composition of T. vulgare essential oil from northe ...	composition_extracted_1.html	Identified Compounds	Relative CONCENTRATION (%)				
PMC5592951	Table 4	table_4.xml	Compounds of the EOs after the EOROT reduction process	FN	Vital compounds in the EO	Compound percentage in the EO				Antibacterial degree of the compound ; Number of compounds after reduction ; Percentage of compounds after reduction
PMC5597067	Table 1	table_1.xml	Peak Identification and Weight Percentage for the Components ...	FN	Compounds	FN		Percent composition columns are not extrcated - VD Oil c; UF Oil d; HD Oil e; Ref Oil f.	VD Oil c; UF Oil d; HD Oil e; Ref Oil f	
PMC5602041	Table 2	table_2.xml	Chemical characterization of the essential oil extracted fro ...	FN	Components	%				
PMC5603114	Table 1	table_1.xml	Chemical composition of resin essential oil of P. heptaphyll ...	FN	Constituents		Area (%) EOPh Com. resins ; Area (%) EOPh Nat. resins			
PMC5613177	Table 2	table_2.xml	Means of leaves major essential oils constitutes in two succ ...	FN	FN	FN		Non-standard table. 		Total phenolic composition (% of DW) ; Total phenolic composition (% of DW)Total carbohydrates contents (% of DW)
PMC5615139	Table 1	table_1.xml	Chemical Composition of essential oil of fresh rhizome of Cu ...	composition_extracted_1.html	Compounds	% Area				
PMC5615285	Table 1	table_1.xml	Chemical composition of the essential oil of Foeniculum vulg ...	FN	Compounds	% *				
PMC5620597	Table 2	table_2.xml	Chemical composition of the essential oils from O. basilicum L. varieties, violetto, latifolia, minimum and lettuce, cultivated in the greenhouse conditions.	FN	Compound	FN		Percent composition columns are not extracted - OCK1; OCK2; OCK3; OCP4; OCP5; OCS6; OCS7; OCM8; OCM9; OCM10	OCK1; OCK2; OCK3; OCP4; OCP5; OCS6; OCS7; OCM8; OCM9; OCM10	
PMC5620597	Table 3	table_3.xml	Chemical composition of the essential oils from O. basilicum L. varieties latifolia, minimum, lettuce and cinnamon, cultivated in the field conditions.	FN	Compound			Percent composition columns are not extracted - OCP11; OCP12; OCP13; OCP14; OCS15; OCS16; OCS17; OCM18; OCM19; OCM20; OCC21; OCC22; OCC23	OCP11; OCP12; OCP13; OCP14; OCS15; OCS16; OCS17; OCM18; OCM19; OCM20; OCC21; OCC22; OCC23	
PMC5622382	Table 1	table_1.xml	Chemical compositions of leaf essential oil of Salvia offici ...	FN	Compound			Percent composition column is not extracted - Percent Composition c.	Percent Composition c	
PMC5622390	Table 1	table_1.xml	Chemical composition of Hedyosmum brasiliense essential oils ...	composition_extracted_1.html	Compound	Relative Amount (%)				
PMC5622390	Table 2	table_2.xml	Chemical composition of the active antifungal fractions of H ...	composition_extracted_2.html	Compound		FwF (%) ; LeF (%)			
PMC5622397										
PMC5622398										
PMC5622401	Table 1	table_1.xml	Chemical compositions of the essential oils of wild and comm ...	composition_extracted_1.html	Compounds			Table is non-standard. Extracted FP column is Wild Plant Parts - (Stem; Leaf; Fruit ); Commercial Oil		Wild Plant Parts - (Stem; Leaf; Fruit ); Commercial Oil
PMC5622401	Table 2	table_2.xml	Enantiomeric distribution [(+):(−)] of monoterpenoids from Commiphora gileadensis and Boswellia species essential oils.	FN	Compounds					
PMC5622403	Table 1	table_1.xml	A literature report from 2012–2017 on chemical composition o ...	composition_extracted_1.html	Major Components (%)			Article and reported EO composition is based on literature survey.		
PMC5625792	Table 1	table_1.xml	Chemical composition of ROEO	FN	Compound a	Area percentage (%)*		Extracted FP column is Peak number		Peak number
PMC5641611										
PMC5651092	Table 1	table_1.xml	Percentage composition of Citrus limonum and Piper nigrum oi ...	composition_extracted_1.html	Constituents		Citrus limonum (%); Piper nigrum (%)			
PMC5651092	Table 1	table_1.xml	Percentage composition of Citrus limonum and Piper nigrum oi ...	composition_extracted_1.html	Constituents		Citrus limonum (%); Piper nigrum (%)			
PMC5653886	Table 1	table_1.xml	Chemical compositions of M. officinalis by gas chromatograph ...	composition_extracted_1.html	Components	(%)				
PMC5653886	Table 2	table_2.xml	Chemical compositions of D. moldavica determined by gas chro ...	composition_extracted_2.html	Components	(%)				
PMC5660901										
PMC5661929	Table 2	table_2.xml	Chemical composition (GC–MS) of Pittosporum tobira seed obta ...	composition_extracted_2.html	Compounds *	% RC				
PMC5668225	Table 3		Composition of BEO and gaseous phase in equilibrium with the liquid at 0 °C	FN	FN	FN		Composition columns are not extracted - Compound and Essential oil composition and  Gaseous phase composition at 0 °C. Multiple column header.	Compound ; Essential oil composition; Gaseous phase composition at 0 °C	
PMC5668225	Table 4		Composition of BEO and gaseous phase in equilibrium with the liquid at 0, 22 and 40 °C	FN	FN	FN		Composition columns are not extracted - Compound and Essential oil composition and Gaseous phase composition at 0 °C and Gaseous phase composition at 22 °C and Gaseous phase composition at 40 °C.	Compound; Essential oil composition; Gaseous phase composition at 0 °C; Gaseous phase composition at 22 °C; Gaseous phase composition at 40 °C	
PMC5669080	Table 2	table_2.xml	Identified components in the hydrodistilled essential oil of flower and leaves of Ferula tingitana	FN	FN	FN		Composition columns are not extracted - Compound; F; L. Table is in graphics mode.	Compound; F; L	
PMC5669111	Table 1	table_1.xml	Essential oil composition of Cinnamomum zeylanicum identified by gas chromatography/mass spectroscopy	FN				EO table is not extraced - graphics or image file.		
PMC5674267								No EO table.		
PMC5684592								No EO table.		
PMC5694497	Table 2	table_2.xml	Major components (%) identified in the essential oil extract ...	composition_extracted_1.html	Compounds	FN		Percent composition columns are not extracted - V. capitata ; V. megapotamica ; V. gardneriana ; V. rufescens	V. capitata ; V. megapotamica ; V. gardneriana ; V. rufescens	
PMC5694587	Table 2	table_2.xml	Chemical composition of some common Mediterranean plant esse ...	composition_extracted_1.html	Some of main Single constituents	Percentage c				
PMC5694611	Table 1	table_1.xml	Chemical composition, concentrations (%), and calculated ret ...	composition_extracted_1.html	Compound		% of total essential oil from Hebron ; % of total essential oil from Jerusalem ; % of total essential oil from Jenin			
PMC5694875										
PMC5694991	Table 3	table_3.xm	Chemical composition of the essential oil of two studied Ira ...	composition_extracted_1.html	compound	percentage				
PMC5699893										
PMC5702407	Table 1	table_1.xml	Main chemical compounds of essential oil obtained from aeria ...					No EO table is extracted.		
PMC5702920	Table 2	table_2.xml	Relative (%) chemical composition of the collected air after 1 and 15 minutes of nebulization of each formulation.	composition_extracted_1.html	FN	FN		Extracted compound column title is part of the column header. Sub-header is Substance and Percentage (%). Multiple column header.	Substance ; Percentage (%)	compound
PMC5717781	Table 1	table_1.xml	Reported major constituents of Echinophora genus essential o ...	FN				No EO composition columns are extracted.		
PMC5723952	Table 1	table_1.xml	Compounds identified by GC-MS technique in the Rudbeckia tri ...	FN	Compound	Composition b (%)				
PMC5725564								Article is of fatty acids composition.		
PMC5735349	Table 1	table_1.xml	Chemical composition of the essential oil from Lindera eryth ...					No composition columns are extracted.		
PMC5736702										
PMC5742650										
PMC5745743										
PMC5746745	Table 5	table_5.xml	Main components of spike lavender leaf essential oil from li ...							
PMC5747963										
PMC5748641	Table 1	table_1.xml	Chemical composition of Niphogeton dissecta essential oil of ...	composition_extracted_1.html	Component	% c				
PMC5750594	Table 2	table_2.xml	Chemical composition of the oleoresin essential oil of Proti ...	composition_extracted_1.html	Compounds	Relative % ; ee (%); ed [(+) to (−)] (%)				
PMC5750605	Table 1	table_1.xml	Comparative chart on seasonally GC/MS analysis of Acorus calamus leaves and rhizome essential oils.	FN	Compounds	FN		Percent composition column - ACLEO is not extracted. Table is non-stabdard. There are multiple table headers.	ACLEO	
PMC5750654										
PMC5751248										
PMC5761127	Table 1	table_1.xml	Chemical composition (%) of leaves essential oil from Tunisi ...	composition_extracted_1.html	Compounds	Percentage (%)		Extra column - Peak is FP.		Peak
PMC5772139										
PMC5778200	Table 1	table_1.xml	The influence of different pretreatments on the chemical com ...	composition_extracted_1.html	Compound					
PMC5778779	Table 1	table_1.xml	Essential oil constituents of C. macrocarpa branchlets and C ...	FN	Constituent	FN	Percentage C. macrocarpa; Percentage C. citriodora	NO percent cmposition columns - Percentage C. macrocarpa; Percentage C. citriodora are extracted.		
PMC5788217	Table 1	table_1.xml	Chemical composition of ZEO.							
PMC5789270	Table 2	table_2.xml	Thyme essential oil composition and volatilized compounds in ...		EO * Components		DI ** (%); Savory 10%; Savory 1%			
PMC5789270	Table 3	table_3.xml	Savory essential oil composition and volatilized compounds in storage cabinet at 1, 14 and 28 days.		EO * Components		DI ** (%); Thyme 10%; Thyme 1%			
PMC5789316	Table 1	table_1.xml	Tocopherol homologue concentration in almond kernel and kern ...					No EO compositions are extracted. 		
PMC5794096	Table 1	table_1.xml	Volatile compounds identified by gas chromatography followed ...		Compound	Area (%)				
PMC5795983	Table 1	table_1.xml	Chemical composition of the essential oil of the leaves from ...	composition_extracted_1.html	Compound	%				
PMC5797122	Table 1	table_1.xml	The main components of N. cataria species depends on agricul ...	composition_extracted_1.html			Compound 1 ; Compound 2 ; Compound 3	Compounds and percent composition is reported into same column.		
PMC5806308										
PMC5811758										
PMC5813356	Table 1	table_1.xml	Chemical composition of the essential oil of Haplophyllum tu ...	FN				No composition columns are extracted.		
PMC5822514	Table 1	table_1.xml	Major compounds identified and quantified in the essential o ...	FN				No composition columns are extracted.		
PMC5830750										
PMC5838999	Table 1	table_1.xml	Composition of the essential oil of R. acaule	composition_extracted_1.html	Constituents a	(%) c				
PMC5842484	Table 2	table_2.xml	GC-MS analyses of Origanum vulgare L. essential oil.	FN				No composition columns are extracted.		
PMC5846372										
PMC5848570										
PMC5849894										
PMC5849899										
PMC5849928	Table 1	table_1.xml	Chemical compounds of anise essential oil (AEO)	FN				No EO composition columns are extracted.		
PMC5852288										
PMC5855832	Table 1	table_1.xml	Constituents of Syzygium aromaticum Essential Oil and their ...	FN				No EO composition columns are extracted.		
PMC5858069										
PMC5858457	Table 5	table_5.xml	Chemical constituents GC-MS analysis of A. nilotica seed ess ...	FN	Compound Name	Area %		Extra column - Area as FP.		Area
PMC5859817	Table 1		Identification of some bioactive compounds in essential oil ...	FN	Compound name			Table does not contain percent composition.		
PMC5867545										
PMC5867556	Table 1	table_1.xml	Molecular composition of the various propolis preparations determined by high-performance liquid chromatography-UV-electrospray ionization mass (HPLC-UV-ESI-MS).	FN	FN			No EO composition coulmns are extracted. Multiple column header.		
PMC5871051	Table 2		The Chemical Components of Bunium persicum, Eucalyptus globulus Essential Oils, and Rose Water.					No EO composition table is there. 		
PMC5871294	Table 1		Chemical Composition of the Essential Oil From Salvia mirzayanii. Salvia mirzayanii.					No EO composition table is there. 		
PMC5872285										
PMC5872290										
PMC5874608	Table 2	table_2.xml	Chemical composition of essential oils of Conradina species.	composition_extracted_1.html	Unique Component(s)	Major Oil Components (%) 				
										
										
										
										
