Compound	WIKIDATA_query_id	notes
(z)-α-bisabolene	(Z)-α-bisabolene (Q27121560)	
(z)-α-farnesene	(3Z,6Z)-α-farnesene (Q27119782)	
(z)-α-santalol	α-santalol (Q10859742)	
(z)-β-farnesene	(6Z)-β-farnesene (Q27119785)	
(z)-β-ocimene	(3Z)-β-ocimene (Q26777005)	
(z)-β-ocimenol		
(z)-β-ocymene		
(z)-γ-bisabolene	(Z)-γ-bisabolene (Q4039091)	
(z, z , z) 9,12,15-octadecatrienonic acid-methyl ester	(6Z,9Z)-octadecadienoic acid (Q27156276)	Check for isomer.
(z, z)-9,12-octadecadienoic acid		
(z, z)-farnesol	farnesol (Q60194891)	
(z,e)-npl		
(−)-allo-aromadendrene	allo-aromadendrene (Q67879598)	
(−)-spathulenol	(-)-spathulenol (Q27136312)	
1, 8-cineole		
1,1-dimethoxy decane		
1,10-di-epi-cubenol		
1,13-tetradecadiene		
1,15-hexadecadiene		
1,2-dihydronaphthalene	1,2-dihydronaphthalene (Q2092736)	
1,3,4-trimethyl-3-cyclohexene-1-carboxaldehyde		
1,3,7-octatriene, 3,7-dimethyl-		
1,3,8-p-menthatriene	p-mentha-1,3,8-triene (Q27161428)	
1,3-nonadiene		
1,4-cineole	1,4-Cineole (Q12470088)	
1,4-dimethyl tetrasulfide		
1,5,5-trimethyl-6-methylene-cyclohexene	1,5,5-Trimethyl-6-methylene-cyclohexene (Q24819025)	
1,5-cyclodecadiene		
1,5-heptadiene		
1,6,10-dodecatrien-3-ol, 3,7,11-trimethyl-, [s-(z)]-		
1,6-cyclodecadiene, 1-methyl-5-methylene-8-(1-methylethyl)-, [s-(e,e)]-		
1,8-cineol		
1,8-cineole	1,4-Cineole (Q12470088)	Check for isomer.
1,8‐cineol		
1-(1,3-dimethyl-buta-1.3-dienyl)-3,7,7-trimethyl-2-oxa-bicyclo[3.2.0]hept-3-ene		
1-8-cineole		
1-benzothiepin, 2,3,4,5-tetrahydro		
1-decanol	decyl alcohol (Q47118) : n-decan-1-ol	
1-eicosanol	icosan-1-ol (Q4783532)	
1-isopropenyl-3,3-dimethyl-5-(3-methyl-1-oxo-2-butenyl) cyclopentane		
1-octen-3 yl acetate	1-octen-3-yl acetate (Q15927659)	
1-octen-3-0l (1-)		
1-phenylpenta-2,4-diyne		
1.3.6-octatriene		
10-epi-γ-eudesmol		
11-isopropylidenetricyclo[4.3.1.1(2,5)]undec-3-en-10-one		
12-norcyercene-b		
13-norcypera-1(5),11(12)-diene		
14-hydroxy-(z)-caryophyllene		
1h–cycloprop[e]azulen-4-ol, decahydro-1,1,4,7-tetramethyl-, [1ar-(1aα, 4β, 4aβ,7α, 7aβ, 7bα]-		
1h–imidazole, 2-ethyl-4-methyl-		
1h–pyrazole, 4,5-dihydro-5,5-dimethyl-4-isopropylidene-		
2,2':5',2"-terthiophene		
2,2,6-trimethyl-1-(3-methylbuta-1, 3-dienyl)-7-oxabicyclo [4.1.0] heptan-3-ol		
2,3,3-trimethyl hexane		
2,3-pinanediol	2,3-pinanediol (mixed isomers) (Q27237348)	
2,4,6-octatriene, 2,6-dimethyl-,e,z)-		
2,4-cyclohexadien-1-one, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-		
2,4-heptadienal	(2E,4E)-2,4-heptadienal (Q27292092)	
2,4-heptanedione, 6-methyl-		
2,5,8-trimethyl-1-naphthol		
2,5-dimethoxy-p-cymene	2,5-Dimethoxy-p-cymene (Q28457222)	
2,6,10,14-hexadecatetraen-1-ol, 3, 7,11,15-tetramethyl-, acetate, (e, e,e)-		
2,6,6-trimethyl-1-cyclohexene-1-acetaldehyde		
2,6-diisopropylnaphthalene	2,6-diisopropylnaphthalene (Q424809)	
2,6-dimethyl-1,3,5,7-octatetraene, e,e-		
2-(1z)-propenyl-phenol		
2-acetyl-6-methoxynaphthalene	2-acetyl-6-methoxynaphthalene (Q27263377)	
2-aminoundecane		
2-carone		
2-cyclohexen-1-ol, 2-methyl-5-(1-m ethylethenyl)-, cis		
2-cyclohexen-1-one, 4-(3-hydroxybutyl)-3,5,5-trimethyl-		
2-cyclopenten-1-one, 3,4-dimethyl-		
2-decenal	dec-2-enal (Q27131349)	
2-fenchanol	(-)-α-fenchyl alcohol (Q27089421) : (1S,2-endo)-1,3,3-trimethylnorbornan-2-ol	
2-hexenal	(2E)-2-hexenal (Q209405)	
2-hexenal, (e)-		
2-isobutylnorbornane		
2-isopropylidene-3-methylhexa-3,5-dienal		
2-isopropyltoluene	p-cymene (Q284072) : p-isopropyltoluene	
2-methyl butyl acetate	isobutyl acetate (Q420657)	
2-methyl naphthalene		
2-methyl-3-phenyl-propanal		
2-methyl-6-methylen-octa-1,7-dien-3-one		
2-methylbutyl acetate	2-methylbutyl acetate (Q2823828)	
2-methylbutyl angelate		
2-methylbutyl isobutyrate	2-methylbutyl isobutyrate (Q27291007)	
2-methyldodecan-1-ol		
2-methyltetradecane		
2-pentadecanone, 6,10,14-trimethyl		
2-pentyl acetate	2-pentyl acetate (Q2180922)	
2-pentylfuran	2-amylfuran (Q27161382)	
2-phenyl-acetaldehyde	(2E)-2-phenyl-2-butenal (Q27162088)	
2.6-dimethyle-5-heptanal		
2.6-octadienoic acid		
2‐amino‐4,6‐dihydroxypyrimidine,n,o,o′‐tris(trifluoroacetyl)		
3,3-dimethylbutan-2-yl (e)-2-methylbut-2-enoate		
3,4-dimethyl-benzoic acid 4-tert-bytyl-phenyl ester		
3,4-dimethylbenzyl alcohol	α,α-dimethylbenzyl alcohol (Q15726116)	
3,5-dimethoxytoluene	3,5-Dimethoxytoluene (Q72468632)	No chemical compound.
3,7,7-trimethyl-1,3,5-cycloheptatriene		
3,7-dimethyl-1,3,6-octatrien	ocimene (Q412945)	
3,7-dimethyl-2,6-octadienal	geranial (Q410888)	
3,7-dimethyl-6-octenal	(R)-(+)-citronellal (Q413787)	
3-(4,8,12-trimethyltridecyl) furan		
3-cyclohexen-1-carboxaldehyde, 3,4-dimethyl-		
3-hexadecene, (z)		
3-iso-thujanol		
3-methyl pentyl angelate		
3-methyl-2-(2-methyl-2-butenyl		
3-methyl-2-butenoic acid, 2-methyl		
3-methyl-2-butenoic acid, 2-methyloct-5-yn-4-yl ester		
3-methylamyl isobutyrate		
3-oxo-β-ionone		
3-tetradecene, (z)	(3Z)-3-tetradecene (Q27262878)	
3-vinyl-[4h]-1,2-dithiin		
3.6-octadienoic acid		
3‐methyl‐buten‐2‐al.		
4,5,9,10-dehydroisolongifolene		
4,5-epoxy-trans-carene		
4-carene	(+)-4-Carene (Q27162117)	Check for isomer.
4-methyl-1,3-heptadiene		
4-thujen-2-alpha-yl acetate		
4as,7s,7ar-npl (92 %) 4as,7s,7ar-npl (17 %)		
4aα,7α,7aα-npl		
4aα,7α,7aβ-npl		
5,7-octadien-4-one, 2,6-dimethyl-, (e)-		
5,7-octadien-4-one, 2,6-dimethyl-, (z)-		
5-hepten-1-ol		
5-oxobornyl acetate		
6,10,14-trimethyl 2-pentadecanone		
6,10,14-trimethyl pendadecanone		
6,10,14-trimethyl-2-pentadecanone		
6,10,14-trimethyl-5,9,13-pentadecatrien-2-one		
6,9-guaiadiene		
6-methyl-3,5-heptadiene-2-one	6-Methyl-3,5-heptadien-2-one (Q27162192)	
6-methylheptan-2-ol	(2S)-6-Methylheptan-2-ol (Q72491123)	
6-oxobornyl acetate		
6.10,14-trimethyl-2-pentadecanone		
6z-2,5,5,10-tetramethyl-undeca-2,6,9-trien-8-one		
7-epi-α-eudesmol		
7-epi-α-selinene		
7-tetracyclo [6.2.1.0 (3.8)0(3.9)] undecanol, 4,4,11,11-tetramethyl-		
7-tetracyclo [6.2.1.0(3.8)0(3.9)] undecanol, 4,4,11,11-tetramethyl		
7‐epi‐alpha‐selinene	(-)-7-epi-alpha-selinene (Q27131695)	
8,11,14-eicosatrienoic acid. (z.z.z)-		
9-epi-β-caryophyllene		
9-isopropyl-1-methyl-2-methylene-5-oxatricyclo[5.4.0.0(3,8)]undecane		
9-octadecene, (e)	trans-octadec-9-ene (Q27117204)	
a-phellandrene	α-phellandrene (Q19606345)	
a-pinene	(-)-alpha-pinene (Q300852)	
absinthium: camphor		
acetate neryl	neryl acetate (Q1368877)	
acetonyl acetone	acetonylacetone (Q209264) : Acetonyl acetone	
acorenone b		
acétate geranyl	geranyl acetate (Q426437)	
all-ocimene		
allo himachalol		
alloaromadendrene epoxide		
alloaromadendrene oxide		
alloaromadendrene oxide-(1)		
alloaromadendrene oxide-(2)		
allyl methacrylate	allyl methacrylate (Q2718014)	
allyl trisulfide	allyl trisulfide (Q17148332)	
allyltoluene		
alpha cis-ocimene		
alpha-bisabolol	levomenol (Q179896) : bisabolol	
alpha-longyi pinene		
alpha-thujene	alpha-thujene (Q27121796)	
alpha-tumerone		
amorpha-4,9-dien-2-ol		
and carvone	(±)-carvone (Q416800)	
and germacrene d	germacrene D (Q27121451)	
androstane	androstane (Q2846975)	
anisyl methyl ketone		
anthraniate méthyl		
apiol	apiole (Q21071561) : apiol	
apocarotenes		
ar-curcumene	α-curcumene (Q27132148)	
aristola‐1(10).8‐diene		
aromadendrene	allo-aromadendrene (Q67879598)	
aromandendrene		
artemisia ketone		
asaturated		
ascabiol		
ascaridole	ascaridole (Q419442)	
ascorbic acid	DL-ascorbic acid (Q193598)	
b-cymene	p-cymene (Q284072)	
benzaldehyde, 3,4-dimethoxy-		
benzene acetaldehyde		
benzene –dimethoxymethyl	4-Bromobenzaldehyde dimethyl acetal (Q72451464) : 1-Bromo-4-(dimethoxymethyl)benzene	
benzenepropanal		
benzoyl benzoate	benzoic anhydride (Q11567424) : benzoyl anhydride	
benzo[b]naphtho[2,3-d]thiophene,8-dimethyl-		
bergamiol		
beta pinene	beta-pinene (Q300928)	
beta-caryophyllene	caryophyllene (Q421614)	
beta-caryophyllene oxide		
beta-farnesene		
beta-tumerone		
bicyclo [2.2.1] heptane, 7,7-dimethy l-2-methylene-		
bicyclo [3.1.0] hexane, 4-methylene-1-(1-methylethyl)-		
bicyclo [7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-,[1r-(1r*,4z, 9s*)]-		
bicyclo(2.2.1)heptane-2-ol		
bicyclo(2.2.1)hepten-2-one		
bicyclo(3.1.1)heptane		
bicyclo[3.1.1]heptane, 2,6,6-trimethyl-,(1α,2β,5α)		
biformene		
bomeol		
bornan-2-one		
bornyl-acetate		
bornylacetate		
bpoly-unsaturated		
butanoic acid	butyric acid (Q193213)	
butanoic acid, 2-methyl-, ethyl ester	ethyl 2-methylbutyrate (Q1371466)	
butanoic acid, 3-hexenyl ester, (e)-	Property	
butanoic acid-butyl ester	butyl butyrate (Q2212471)	
byciclo-germacrene		
cadina-4,10(15)-dien-3-one		
cadinene	cadinene (Q414529)	
calamanene		
calamenene		
cameroonan-7-α-ol		
campholene aldehyde		
camphor	camphor (Q181559)	
car-3-en-2-one		
caranone <cis‐4‐>		
carbonic acid, 4-isopropylphenyl propargyl ester		
carene<δ-2->	carene (Q19414)	
carvacrola,b		
caryophylla-4(12),8(13)-dien-5-olh		
caryophylla-4(12),8(13)-dien-5α-ol		
caryophylla-4(12),8(13)-dien-5β-ol		
caryophyllane-2-6-β-oxide		
caryophyllene	caryophyllene (Q421614)	
caryophyllene <e‐>	caryophyllene (Q421614)	
caryophyllene oxide	β-caryophyllene oxide (Q27136294)	
caryophyllene(e)	caryophyllene (Q421614)	
caryophyllene-oxide	β-caryophyllene oxide (Q27136294)	
caryophylleneoxide		
caryophyllenol	caryophyllenol i (Q27236187)	
cedr-8(15)-en-10-ol		cedr-8(15)-en-9-ol (Q27158322)
cedr-8(15)-en-9-α-ol		
cedrol	cedrol (Q1052617)	
chlorine compounds	chlorine compound (Q72695611)	
cholestane	5α/β-cholestane (Q3682585)	
cholesterol		
chrysanthenone	Chrysanthenone (Q5114549)	
chrysanthenyl cis-acetate	cis-chrysanthenyl acetate (Q67879791)	
cinnamaldehyde	(E)-cinnamaldehyde (Q204036)	
cinnamaldehyde diethyl acetal	Cinnamaldehyde diethyl acetal (Q72460879)	
cis-(z)-α-bisabolene epoxide		
cis-5-dodecenoic acid	cis-5-dodecenoic acid (Q27159277)	
cis-anethole	anethole (Q27105777)	
cis-cadina-1(6),4-diene		
cis-calamenene		
cis-carveol	(+)-cis-carveol (Q27105278)	check for stereoisomers.
cis-cinnamaldehyde	(Z)-3-Phenyl-2-propenal (Q27161918) : cis-Cinnamaldehyde	
cis-davanone		
cis-geraniol (nerol)	nerol (Q415359)	
cis-geranylacetone		
cis-jasmone		
cis-limonene		
cis-limonene oxide	cis-(-)-limonene oxide (Q27253522)	cis-(+)-limonene oxide (Q27093910)
cis-linalool oxide (furanoid)	cis-linalool oxide (Q27160941)	
cis-linalool oxide acetate (pyranoid)		
cis-muurola-3,5-diene	cis-muurola-3,5-diene (Q27131289)	
cis-muurola-3.5-diene	cis-muurola-3,5-diene (Q27131289)	
cis-muurola-4(14),5-diene	cis-muurola-4(14),5-diene (Q27131290)	
cis-nuciferol		
cis-ocimene	(3Z)-β-ocimene (Q26777005)	
cis-p-mentha-1(7),8-dien-2-ol		
cis-p-mentha-2,8-dien-1-ol		
cis-pinocamphone		
cis-rho-menth-2-en-1-ol		
cis-α-ambrinol		
cis-α-bergamotene	(-)-endo-alpha-bergamotene (Q27131278)	
cis-β-farnesene	(6Z)-β-farnesene (Q27119785)	
cis-β-guaiene		
cis-β-ocimene	(3Z)-β-ocimene (Q26777005)	
cis-β-terpineol	cis-β-terpineol (Q27288363)	
cis‐carveol	(+)-cis-carveol (Q27105278)	cis-(-)-carveol (Q27891515)
cis‐limonene oxide	cis-(-)-limonene oxide (Q27253522)	cis-(+)-limonene oxide (Q27093910)
cis‐p‐mentha‐1(7),8‐dien‐2‐ol		
cis‐p‐mentha‐2,8‐dien‐1‐ol		
citral	citral (Q60176530)	
citral (29), caryophyllene		
citronella		
citronellol	(+/-)-β-citronellol (Q27122080)	(S)-β-citronellol (Q27105229) ; (R)-β-citronellol (Q418813)
citronellol acetate	citronellyl acetate (Q27138814)	
cmono-unsaturated		
coahuilensol		
compounds		
compoundsa		
copaene	copaene (Q5168276)	
criptone		
cubenol		6-epi-cubenol (Q67879643)
culmorin	culmorin (Q73402129)	
cumarin	coumarin (Q111812) : CumarinLow German 	
cuminal	cuminaldehyde (Q419952) : cuminal	
cuminaldehyde	cuminaldehyde (Q419952)	
cuminaldeyde		
curlone		
cyclohexane, (2-nitro-2-propenyl)-		
cyclohexane, 3-hexyl		
cyclohexene, 1-methyl-4-(5-methyl-1-methylene-4-hexenyl)		
cyclooctanone	cyclooctanone (Q20054504)	
cyclopentadiene	cyclopentadiene (Q424390)	
cyclopentanone, 2-cyclopentylidene		
cyclopropane	cyclopropane (Q80250)	
cyclopropanemethanol, α., 2‐di methyl‐2‐(4‐methyl‐3‐pentenyl)		
cymeme		
cymene 2.5‐dimethoxy‐para		
cyperadiene		
cyperene oxide		
d-camphor	camphor (Q181559)	(R)-camphor (Q27089415)
d-carvone	(±)-carvone (Q416800)	
d-limonene	(+)-limonene (Q27888324)	check for stereoisomers.
d-verbenone	verbenone (Q421151)	(-)-verbenone (Q6535827)
d.pteronyssinus		
data not available		
dauca-4(11),8-diene		
davanone d		
davanones	davanone b (Q67879825)	
decanoic acid	capric acid (Q422613)	Synonyms
decyne	1-decyne (Q3486511)	
deet	diethyltoluamide (Q408389) : DEET	synonym. check for terpene.
dehydro-1,8-cineole		
dehydro-neotigogenin benzoate		
dehydro-sabina ketone		
dehydroaromadendrane		
dehydroisolongifolene		
dehydrosesquicineol		
delta-cadinene	(+)-δ-cadinene (Q27089406)	Check for isonerism.
di-epi-.alpha.-cedrene		
di-epi-α-cedrene		
diallyl disulfide	allyl disulfide (Q419633)	
dihydrochamazulene isomer		
dihydroedulan ia		
dihydroedulan iia	(-)-dihydroedulan II (Q27159863)	Check for isonerism.
diisobutyl phthalate	diisobutyl phthalate (Q162259)	
dl-camphor	DL-Camphor (Q72515036)	Check for isonerism.
d‐limonene	(+)-limonene (Q27888324)	Check for isonerism.
e,e-farnesal	(2E,6E)-farnesal (Q27098285)	
e,e-farnesylacetate		
e,e-α-farnesene	α-farnesene (Q419814)	
e-2-hexenal	(2E)-2-hexenal (Q209405)	
e-asarone		
e-caryophyllene	caryophyllene (Q421614)	Check for isonerism.
e-cinnamaldehyde	(E)-cinnamaldehyde (Q204036)	
e-cinnamoyl acetate		
e-cinnamyl alcohol	(E)-cinnamyl alcohol (Q204030)	
e-methoxi-cinnamaldehyde		
e-nerolidol	(6E)-(+/-)-nerolidol (Q415421)	
e-β-farnesene	(6E)-β-farnesene (Q27108631)	
e-β-ocimene	(3E)-β-ocimene (Q26777012)	
e.e-farnesyl acetone	(5E,9E)-farnesyl acetone (Q27135719)	
elemene <beta‐>	β-elemene (Q27132237)	
elemol	elemol (Q27282855)	
endo-fenchol	(1R)-endo-(+)-fenchol (Q64224715)	
endo-fenchyl acetate		
endobornylacetate		
epi-zonarene		
epi-α-cadinol		
epi-α-muurolol		
epi-β-bisabolol		
epoxyocimene	trans-epoxyocimene (Q67880127)	
essential oil		
esters	ester (Q101487)	
estragole	estragole (Q419495)	
ethyl cinnamate	ethyl cinnamate (Q204182)	
ethylene oxide	ethylene oxide (Q407473)	
ethylhexanol	2-ethylhexanol (Q209388)	
eucalyptol	eucalyptol (Q161572)	
eucalyptol(1,8) cineole		
eucalyptole		
eudesm-4(15),7-dien-1α-ol		
eudesma 5-en-11-α-ol		
eudesma-4(15),7-dien-1-β-ol		
eudesma-4(15),7-dien-1β-ol		
eudesma-4,11-dien-2-ol		
eugenol acetate	eugenol acetate (Q27116129)	
eugenolmethylether		
eugenyl acetate		
exo-2-hydroxycineole	2-endo-hydroxy-1,8-cineole (Q27116588)	
farnesol	farnesol (Q60194891)	
fatty acids		
fenchone	Fenchone (Q414784)	
fenchyl butanoate		
fenchyl isobutanoate		
fenhone		
ferula lactone i		
fumaric acid, heptadecyl 2,2,2-trifluoroethyl ester		
furan, 2,3-dihydro-3-methyl-		
furan, 2-pentyl-		
furazan, 3-(dimethylaminomethylenamino)-4-(1,2,4-triazol-3-yl)-		
furfural	furfural (Q412429)	
gamma-terpinene	γ-terpinene (Q423975)	
geranial	geranial (Q410888)	
geraniol	geraniol (Q410836)	
geraniol acetate		
geraniol formate (cas)	geranyl formate (Q15726045)	
geranyl acetate	geranyl acetate (Q426437)	
geranyl bromide	trans-Geranyl bromide (Q72480173)	Check for isonerism.
geranyl propionate	geranyl propionate (Q10869283)	
geranyl-n-butyrate	Geranyl butyrate (Q10864413)	
geranylisobutyrate		
germacerene-d		
germacra-4(15),5,10(14)-trien-1-α-ol		
germacra-4(15),5,10(14)-trien-1α-ol		
germacrene d	germacrene D (Q27121451)	
germacrene-a	germacrene A (Q27116867)	
germacreneb		
glycidol	glycidol (Q418265)	
grouped components		
grouped compounds		
guaia-1(10)-11-diene		
gurjunene <beta‐>	beta-Gurjunene (Q27154913)	
heptadiene	1,6-heptadiene (Q19833899)	
heptanol<2,6-dimethyl-2->	2,6-dimethyl-2-heptanol (Q27272159)	
hepten-2-one(6-methyl-5)	6-methyl-5-hepten-2-one (Q3209146)	
hexadecanol	cetyl alcohol (Q161632) : 1-hexadecanol	
hexan-1-ol	1-hexanol (Q76933)	
hexane, 1,6-dibromo-		
hexane-2,3-dione	acetonylacetone (Q209264) : hexane-2,5-dione	
himachalene	β-himachalene (Q27121532)	gamma-himachalene (Q27121544). Check for isonerism.
humulene	humulene (Q1995108)	
hydrocarbon monoterpenoid		
hydrocarbon sesquiterpenes		
hydrocarbons		
hydrocinnamic alcohol	3-phenyl-1-propanol (Q27160792) : Dihydrocinnamal alcohol	
hydrodistillation: camphor		
identified components		
imonene-10-al		
indol	indole (Q319541) : Indol	
intermediol		
iso spathuelenol		
iso-borneol		
iso-dihydro carveol acetate		
iso-elemicin		
iso-longifolene		
iso-pinocamphone		
iso-spathulenol		
isoamyl propionate	isoamyl propionate (Q10869280)	
isoborneol	(+)-borneol (Q412435) : isoborneol	
isobornyl propionate	isobornyl propionate (Q27268818)	
isobutyl 2-methylbutyrate	Isobutyl 2-methylbutanoate (Q72485061)	
isobutyl acetate	isobutyl acetate (Q420657)	
isobutyl angelate	isobutyl angelate (Q27268651)	
isocaryophyllene	isocaryophyllene (Q27106968)	
isopentyl acetate	isoamyl acetate (Q221307)	
isopentyl hexanoate	isoamyl hexanoate (Q27159714)	
isopentyl isovalerate		
isovaleric acid	isovaleric acid (Q415536)	
khusinol		
l-4-terpineol	(+/-)-4-terpineol (Q416114)	
l-borneol	(-)-borneol (Q27089413)	
l-calamenene		
l-carvone	(-)-carvone (Q27089417)	
l-limonene	(-)-limonene (Q27089405)	
l-phellandrene	(-)-α-phellandrene (Q25933788)	(-)-β-phellandrene (Q27105254). Check for isonerism.
lactone	lactone (Q59078)	
leaves: chamazulene		
ledene	ledene (Q27132626)	
ledene oxide-(i)		
ledene oxide-(ii)		
levomenol	levomenol (Q179896)	
ligustrazin		
limonene	(±)-limonene (Q278809)	
limonene (14), verbenone		
limonene <dioxide 2‐>		
limonene epoxide	limonene 1,2-epoxide (Q27101901)	(4S)-Limonene-1,2-epoxide (Q27155805). Check for isonerism.
limoneneoxide		
limonone		
linalool	(+/-)-linalool (Q410932)	(+)-linalool (Q27105233). Check for isonerism.
linalool oxide	cis-linalool oxide (Q27160941)	
linalool-l	(-)-linalool (Q27105200)	
linalyl acetate	(±)-linalyl acetate (Q188314)	
linalylpropionate	linalyl propionate (Q27274686)	
linoleic acidb,c		
longifolene aldehyde		
longipinocarveol, trans-		
longipinocarvone		
m-diaminobenzene		
massoia lactona		
mentha-2,8-diene		
menthatriene <1.3.8‐para‐>	p-mentha-1,3,8-triene (Q27161428) : 1,3,8-p-Menthatriene	
menthone	Menthone (Q54015201)	
methallyl angelate		
methyl 3-(1-formyl-3,4-methylenedioxy)benzoate		
methyl chavicol	estragole (Q419495) : Methyl chavicole	
methyl cinnamate	methyl cinnamate (Q204178)	
methyl citronelate		
methyl decyl ketone	2-dodecanone (Q27161470) : Methyl decyl ketone	
methyl eugenol	methyl eugenol (Q419829)	
methyl eugenold		
methyl hinokiate		
methyl-eugenol	methyl eugenol (Q419829)	
methylchavicol	estragole (Q419495) : Estragol (methylchavicol)	
methyleugenol	methyl eugenol (Q419829) : O-Methyleugenol	Check for isonerism.
methylgeranate		
mint sulfide		
mintsulfide		
modheph-2-ene		
monoterpene hydrocarbon	monoterpene (Q32528)	
monoterpene hydrocarbons		
monoterpenes	monoterpene (Q32528)	
monoterpenes hydrocarbon		
monoterpenes oxygenates		
monoterpenoid hydrocarbons		
murolan-3,9(11)-diene-10-peroxy		
muurola-4,10(14)-dien-1β-ol		
muurolol		
myltayl-4(12)-ene		
myrcene	myrcene (Q424577)	
myristic acidb,c		
myrtenol	Myrtenol (Q15425810)	
n-decanal	decanal (Q903525)	
n-decane	decane (Q150717)	
n-heptanal	heptanal (Q425827)	
n-hexanal	hexanal (Q420698)	
n-hexanol	1-hexanol (Q76933)	
n-hexyl acetate	hexyl acetate (Q418672)	
n-nonanal	nonanal (Q419668)	
n-octylacetate		
n-pentanal	pentanal (Q420652)	
naphthalene, 1,2,3,4,4a,5,6,7-octa hydro-4a-methyl-		
naphthalene, 1,2,3,5,6,7,8,8a–octa hydro-1,8a–dimethyl-7-(1-methylethenyl)-, [1r-(1α,7β,8aα)]-		
naphthalene, 1,2,3,5,6,8a–hexahydro-4,7-dimethyl-1-(1-methylethyl)-, (1s–cis)-		
nardol		
nardosina-1(10),11-diene		
neo phytadiene		
neo-intermedeol		
neo-iso-3-thujanol		
neo-iso-menthol		
neoisomentol		
neomenthol	(+)-neomenthol (Q27089418)	Check for isonerism.
neral	neral (Q27104033)	
nerol	nerol (Q415359)	
nerol acetate		
nerolidol	Nerolidol (Q72494054)	
nerolidol <e‐>	(6E)-(+/-)-nerolidol (Q415421)	
