species,frequency,WIKIDATA_ID
Musca domestica,1,Q166111
Mycobacterium avium,1,Q310728
Mycobacterium smegmatis,1,Q606230
Myrtus communis,1,Q6122027
Neisseria gonorrhea,1,Q131129
Paenibacillus ehimensis,1,Q21399878
Pantoea sp.,1,Q7131869
Paracoccidioides brasiliensis,1,Q310186
Pectobacterium atrosepticum,1,Q3373933
Pectobacterium carotovorum,1,Q164586
Penicillium citrinum,1,Q10622902
Penicillium corylophilum,1,Q10622912
Penicillium expansum,1,Q147358
Penicillium funiculosum,1,Q1948480
Penicillium ochrochloron,1,Q10623007
Penicillium purpurogenum,1,Q7162871
Penicillium spp.,1,Q843136
Penicillium viridicatum,1,Q22285993
Photobacterium phosphoreum,1,Q7187716
Proteus vulgaris,3,Q2701588
Pseudomonas aeruginosa,23,Q31856
Pseudomonas savastanoi,1,Q309784
Pseudomonas syringae,1,Q311202
Rhipicephalus microplus,1,Q4808965
Rhizoctonia solani,2,Q54363941
Rhizopus stolonifer,1,Q1500736
Rhodotorula mucilaginosa,1,Q10653339
Rhodotorula rubra,1,Q10653342
Rhyzopertha dominica,1,Q1312676
Saccharomyces cerevisiae,3,Q719725
Salmonella agona,1,Q12970368
Salmonella choleraesuis,1,Q62897310
Salmonella enterica,4,Q2264864
Salmonella enteritidis,3,Q62897324
Salmonella paratyphi,1,Q62897340
Salmonella spp.,1,Q150839
Salmonella typhimurium,13,Q166491
Sclerotium rolfsii,1,Q148911
Serratia marcescens,2,Q140004
Shigella boydii,1,Q4892937
Shigella dysenteriae,2,Q265094
Shigella flexneri,1,Q1644417
Shigella sonnei,1,Q6382438
Shigella spp.,1,Q131029
Sitophilus oryzae,1,Q219224
Sitophilus zeamais,1,Q3272137
Spodoptera frugiperda,1,Q2715913
Spodoptera littoralis,2,Q2453196
Staphylococcus aureus,39,Q188121
Staphylococcus epidermidis,9,Q131915
Streptococcus agalactiae,1,Q132949
Streptococcus mutans,2,Q131452
Streptococcus paeumoniae,1,Q221179
Streptococcus pneumonia,1,Q7205992
Streptococcus pyogenes,3,Q131271
Streptococcus sp.,1,Q190161
Streptococcus uberis,1,Q310707
Tiarosporella phaseolina,1,Q3018557
Tribolium castaneum,2,Q837947
Tribolium confusum,1,Q4501895
Trichoderma spp.,1,Q135322
Trichomonas gallinae,1,Q2715006
Trichophyton interdigitale,1,Q7840903
Trichophyton mentagrophytes,3,Q7840903
Trichophyton rubrum,1,Q138834
Trichophyton schoenleinii,1,Q3998699
Trichophyton spp.,1,Q310925
Trichophyton verrucosum,1,Q2452678
Tricophyton mentagrophytes,1,Q7840903
Trypanosoma brucei,1,Q33244
Verticillium dahliae,1,Q2699339
Vibrio spp.,1,Q753490
Xanthomonas campestris,1,Q3753551
Yersinia enterocolitica,2,Q135177
