Compound	Cleaned_cmpnames	WIKIDATA_query	WIKIDATA_id	PubChem_CID
"(e,e) 2,6-dimethyl-3,5,7-octatriene-2-ol"	"(E,E)-2,6-dimethyl-3,5,7-octatriene-2-ol"	6-dimethyl-3		
"(e,e)-deca-2,4-dienal"	"(E,E)-deca-2,4-dienal"	4-dienal		
"(e,e)-farnesol"	"(E,E)-farnesol"	"(E,E)-farnesol"	Q420449	
"(e, e)-farnesyl acetate"	"(E,E)-farnesyl acetate"	"(E,E)-farnesyl acetate"	Q27276136	
"(e,e)-geranyl linalool"	"(E,E)-geranyl linalool"	"(E,E)-geranyl linalool"	Q27144589	
(e)-2-isopropyl-5-methylphenyl 2-methylbut-2-enoate	(E)-2-isopropyl-5-methylphenyl 2-methylbut-2-enoate			91698167
"butanoic acid, 3-hexenyl ester, (e)-"	(E)-3-hexenyl ester-butanoic acid			
(e)-5-octadecene	(E)-5-octadecene			5364598
"5,7-octadien-4-one, 2,6-dimethyl-, (e)-"	"(E)-5,7-octadien-4-one-2,6-dimethyl"			
"9-octadecene, (e)"	(E)-9-octadecene	(E)-9-octadecene	Q27117204	
(e)-9-octadecenoic acid	(E)-9-octadecenoic acid	glyceryl trielaidate	Q27124197	637517
(e)-α-bergamoteno	(E)-alpha-bergamoteno	bergamottin	Q568006	
(e)-β-damascenone	(E)-beta-damascenone	β-damascenone	Q416126	5366074
(e)-β-ionone	(E)-beta-ionone	trans-β-ionone	Q27114873	638014
(e)-β-ocymene	(E)-beta-ocymene			
(e)-β-terpineol	(E)-beta-terpineol	cis-β-terpineol	Q27288363	8748
(e)-chrysanthenyl acetate	(E)-chrysanthenyl acetate	cis-chrysanthenyl acetate	Q67879791	162747
(e)-dihydrocarvone	(e)-dihydrocarvone	(-)-dihydrocarvone	Q27105270	22227
(e)-hex-3-en-1-ol	(E)-hex-3-en-1-ol	(3Z)-3-hexen-1-ol	Q300850	5284503
(e)-non-2-enal	(E)-non-2-enal	(2E)-2-nonenal	Q4596912	5283335
(e)-ocimenone	(E)-ocimenone			6428431
(e)-oct-2-enal	(E)-oct-2-enal	(2E)-2-octenal	Q2448755	5283324
"(e)-p-mentha-2,8-dien-1-ol"	"(E)-p-mentha-2,8-dien-1-ol"	"(E)-p-mentha-2,8-dien-1-ol"	Q2920205	
(s)-cis-verbenol	(S)-cis-verbenol	(S)-cis-verbenol	Q27293968	87839
"(z), (e)-α-farnesene"	"(Z,E)-alpha-farnesene"	"(Z,E)-alpha-farnesene"	Q27119780	
z(e)-alpha-farnesene	"(Z,E)-alpha-farnesene"			
"(z,e)-npl"	"(Z,E)-npl"	"(Z,E)-npl"		
"8,11,14-eicosatrienoic acid. (z.z.z)-"	"(Z,Z,Z)-8,11,14-eicosatrienoic acid"	14-eicosatrienoic acid. (z.z.z)-	Q415398	
"5,7-octadien-4-one, 2,6-dimethyl-, (z)-"	"(Z)-2,6-dimethyl-5,7-octadien-4-one"			
"(z)-9,17-octadecadienal"	"(Z)-9,17-octadecadienal"	"(Z)-9,17-octadecadienal"		
(z)-α-farnesene	(Z)-alpha-farnesene	"(3Z,6Z)-α-farnesene"	Q27119782	
(z)-α-santalol	(Z)-alpha-santalol	α-santalol	Q10859742	11085337
(z)-β-ocimenol	(Z)-beta-ocimenol	trans-ocimenol	Q67880137	
(z)-β-ocymene	(Z)-beta-ocymene			
(z)-dihydro-apofarnesol	(Z)-dihydro-apofarnesol			
(z)-falcarinol	(Z)-falcarinol	panaxynol	Q413192	
(z)-γ-bisabolene	(Z)-gamma-bisabolene	(Z)-γ-bisabolene	Q4039091	3033866
(z)-jasmane	(Z)-jasmane			
(z)-nerolidol acetate	(Z)-nerolidol acetate	Nerolidol acetate	Q72494057	
"(z)-p-mentha-2,8-dien-1-ol"	"(Z)-p-mentha-2,8-dien-1-ol"	"(Z)-p-mentha-2,8-dien-1-ol"	Q27294536	
(z)-p-menthan-2-one	(Z)-p-menthan-2-one			
"1-(1,3-dimethyl-buta-1.3-dienyl)-3,7,7-trimethyl-2-oxa-bicyclo[3.2.0]hept-3-ene"	"1-(1,3-dimethyl-buta-1,3-dienyl)-3,7,7-trimethyl-2-oxa-bicyclo[3.2.0]hept-3-ene"			
1-decanol	1-decanol	decyl alcohol	Q47118	8174
1-eicosanol	1-eicosanol	icosan-1-ol	Q4783532	12404
"cyclohexene, 1-methyl-4-(5-methyl-1-methylene-4-hexenyl)"	1-methyl-4-(5-methyl-1-methylene-4-hexenyl)-cyclohexene	1-methyl-4-(5-methyl-1-methylene-4-hexenyl)-cyclohexene	Q11595687	
1-octen-3 yl acetate	1-octen-3-yl acetate	1-octen-3-yl acetate	Q15927659	17121
"1-phenylpenta-2,4-diyne"	"1-phenylpenta-2,4-diyne"	"1-phenylpenta-2,4-diyne"		
"1,1-dimethoxy decane"	"1,1-dimethoxy decane"	"1,1-dimethoxy decane"		
"1,10-di-epi-cubenol"	"1,10-di-epi-cubenol"	"1,10-di-epi-cubenol"		
"1,13-tetradecadiene"	"1,13-tetradecadiene"	"1,13-tetradecadiene"		
"1,15-hexadecadiene"	"1,15-hexadecadiene"	"1,15-hexadecadiene"		
"1,2-dihydronaphthalene"	"1,2-dihydronaphthalene"	"1,2-dihydronaphthalene"	Q2092736	
"1,3-nonadiene"	"1,3-nonadiene"	"1,3-nonadiene"		
"1,3,4-trimethyl-3-cyclohexene-1-carboxaldehyde"	"1,3,4-trimethyl-3-cyclohexene-1-carboxaldehyde"	4-trimethyl-3-cyclohexene-1-carboxaldehyde		
"1,3,8-p-menthatriene"	"1,3,8-p-menthatriene"	8-p-menthatriene	Q27161428	
"1,4-cineole"	"1,4-cineole"	"1,4-cineole"		
"1,4-dimethyl tetrasulfide"	"1,4-dimethyl tetrasulfide"	"1,4-dimethyl tetrasulfide"		
"1,5-cyclodecadiene"	"1,5-cyclodecadiene"	"1,5-cyclodecadiene"		
"1,5-heptadiene"	"1,5-heptadiene"	"1,5-heptadiene"		
"1,5,5-trimethyl-6-methylene-cyclohexene"	"1,5,5-trimethyl-6-methylene-cyclohexene"	5-trimethyl-6-methylene-cyclohexene	Q24819025	
"eucalyptol(1,8) cineole"	"1,8-cineole"	"1,8-cineole"		
1-8-cineole	"1,8-cineole"			
10-epi-γ-eudesmol	10-epi-gamma-eudesmol			6430754
"11-isopropylidenetricyclo[4.3.1.1(2,5)]undec-3-en-10-one"	"11-isopropylidenetricyclo[4.3.1.1(2,5)]undec-3-en-10-one"	"11-isopropylidenetricyclo[4.3.1.1(2,5)]undec-3-en-10-one"		
12-norcyercene-b	12-norcyercene b			
"13-norcypera-1(5),11(12)-diene"	"13-norcypera-1(5),11(12)-diene"	"13-norcypera-1(5),11(12)-diene"		
14-hydroxy-(z)-caryophyllene	14-hydroxy-(Z)-caryophyllene			
2-(1z)-propenyl-phenol	2-(1Z)-propenyl-phenol			
2-acetyl-6-methoxynaphthalene	2-acetyl-6-methoxynaphthalene	2-acetyl-6-methoxynaphthalene	Q27263377	77506
2-aminoundecane	2-aminoundecane			114476
2-carone	2-carone			
"cyclopentanone, 2-cyclopentylidene"	2-cyclopentylidene cyclopentanone	2-cyclopentylidene cyclopentanone		69995
2-decenal	2-decenal	dec-2-enal	Q27131349	5283345
2-hexenal	2-hexenal	(2E)-2-hexenal	Q209405	5281168
2-isobutylnorbornane	2-isobutylnorbornane			565405
"2-isopropylidene-3-methylhexa-3,5-dienal"	"2-isopropylidene-3-methylhexa-3,5-dienal"	"2-isopropylidene-3-methylhexa-3,5-dienal"		
2-methyl naphthalene	2-methyl naphthalene			7055
"3-methyl-2-butenoic acid, 2-methyl"	2-methyl-3-methyl-2-butenoic acid	2-methyl-3-methyl-2-butenoic acid		
2-methyl-3-phenyl-propanal	2-methyl-3-phenyl-propanal			95593
"phenol, 2-methyl-4-(1,1,3,3-tetramethylbutyl)-"	"2-methyl-4-(1,1,3,3-tetramethylbutyl)-phenol"			
"2-methyl-6-methylen-octa-1,7-dien-3-one"	"2-methyl-6-methylen-octa-1,7-dien-3-one"	"2-methyl-6-methylen-octa-1,7-dien-3-one"		
2-methylbutyl angelate	2-methylbutyl angelate			6427119
2-methylbutyl isobutyrate	2-methylbutyl isobutyrate	2-methylbutyl isobutyrate	Q27291007	97883
2-methyldodecan-1-ol	2-methyldodecan-1-ol			42265
"3-methyl-2-butenoic acid, 2-methyloct-5-yn-4-yl ester"	2-methyloct-5-yn-4-yl ester-3-methyl-2-butenoic acid	2-methyloct-5-yn-4-yl ester-3-methyl-2-butenoic acid		
2-methyltetradecane	2-methyltetradecane			15268
2-pentyl acetate	2-pentyl acetate	2-pentyl acetate	Q2180922	12278
2-pentylfuran	2-pentylfuran	2-amylfuran	Q27161382	19602
2-phenyl-acetaldehyde	2-phenyl-acetaldehyde	(2E)-2-phenyl-2-butenal	Q27162088	998
"2,2,6-trimethyl-1-(3-methylbuta-1, 3-dienyl)-7-oxabicyclo [4.1.0] heptan-3-ol"	"2,2,6-trimethyl-1-(3-methylbuta-1, 3-dienyl)-7-oxabicyclo [4.1.0] heptan-3-ol"	6-trimethyl-1-(3-methylbuta-1		
"furan, 2,3-dihydro-3-methyl-"	"2,3-dihydro-3-methyl-furan"			
"2,3-pinanediol"	"2,3-pinanediol"	"2,3-pinanediol"	Q27237348	
"1-benzothiepin, 2,3,4,5-tetrahydro"	"2,3,4,5-tetrahydro-1-benzothiepin"			
"phenol, 2,3,5,6-tetramethyl-"	"2,3,5,6-tetramethyl-phenol"			
"2,5-dimethoxy-p-cymene"	"2,5-dimethoxy-p-cymene"	"2,5-dimethoxy-p-cymene"	Q28457222	
"2,5,8-trimethyl-1-naphthol"	"2,5,8-trimethyl-1-naphthol"	8-trimethyl-1-naphthol		
"2,6-diisopropylnaphthalene"	"2,6-diisopropylnaphthalene"	"2,6-diisopropylnaphthalene"	Q424809	
"2,4,6-octatriene, 2,6-dimethyl-,e,z)-"	"2,6-dimethyl-(E,Z)-2,4,6-octatriene"	6-octatriene		
"heptanol<2,6-dimethyl-2->"	"2,6-dimethyl-2-heptanol"	"2,6-dimethyl-2-heptanol"	Q27272159	
2.6-dimethyle-5-heptanal	"2,6-dimethyle-5-heptanal"			
2.6-octadienoic acid	"2,6-octadienoic acid"			
"2,6,6-trimethyl-1-cyclohexene-1-acetaldehyde"	"2,6,6-trimethyl-1-cyclohexene-1-acetaldehyde"	6-trimethyl-1-cyclohexene-1-acetaldehyde		
"2‐amino‐4,6‐dihydroxypyrimidine,n,o,o′‐tris(trifluoroacetyl)"	"2‐amino‐4,6‐dihydroxypyrimidine,n,o,o′‐tris(trifluoroacetyl)"			
undecanone <2‐>	2‐undecanone 		Q2024187	
"cyclohexane, 3-hexyl"	3-hexyl-cyclohexane	3-hexyl-cyclohexane		
3-iso-thujanol	3-iso-thujanol			
3-methyl pentyl angelate	3-methyl pentyl angelate			
3-methyl-2-(2-methyl-2-butenyl	3-methyl-2-(2-methyl-2-butenyl)			
3-methylamyl isobutyrate	3-methylamyl isobutyrate			
3-oxo-β-ionone	3-oxo-beta-ionone			5363876
"3-vinyl-[4h]-1,2-dithiin"	"3-vinyl-[4h]-1,2-dithiin"	"3-vinyl-[4h]-1,2-dithiin"		
"3,3-dimethylbutan-2-yl (e)-2-methylbut-2-enoate"	"3,3-dimethylbutan-2-yl (E)-2-methylbut-2-enoate"	"3,3-dimethylbutan-2-yl (E)-2-methylbut-2-enoate"		
"benzaldehyde, 3,4-dimethoxy-"	"3,4-dimethoxy-benzaldehyde"			
"3,4-dimethyl-benzoic acid 4-tert-bytyl-phenyl ester"	"3,4-dimethyl-benzoic acid 4-tert-bytyl-phenyl ester"	"3,4-dimethyl-benzoic acid 4-tert-bytyl-phenyl ester"		
"phenol, 3,4-dimethyl-"	"3,4-dimethyl-phenol"		Q27077049	
"3,4-dimethylbenzyl alcohol"	"3,4-dimethylbenzyl alcohol"	"3,4-dimethylbenzyl alcohol"	Q15726116	
"3,5-dimethoxytoluene"	"3,5-dimethoxytoluene"	"3,5-dimethoxytoluene"	Q72468632	
3.6-octadienoic acid	"3,6-octadienoic acid"	(2E)-geranic acid	Q4381113	
"3,7-dimethyl-1,3,6-octatrien"	"3,7-dimethyl-1,3,6-octatrien"		Q412945	
"1,3,7-octatriene, 3,7-dimethyl-"	"3,7-dimethyl-1,3,7-octatriene"	7-octatriene		
"3,7-dimethyl-6-octenal"	"3,7-dimethyl-6-octenal"	"3,7-dimethyl-6-octenal"	Q413787	
"3,7,7-trimethyl-1,3,5-cycloheptatriene"	"3,7,7-trimethyl-1,3,5-cycloheptatriene"	7-trimethyl-1		
3‐methyl‐buten‐2‐al.	3‐methyl‐buten‐2‐al.			
4-carene	4-carene	(+)-4-Carene	Q27162117	530422
"4-methyl-1,3-heptadiene"	"4-methyl-1,3-heptadiene"	"4-methyl-1,3-heptadiene"		
4-thujen-2-alpha-yl acetate	4-thujen-2-alpha-yl acetate			
"7-tetracyclo [6.2.1.0 (3.8)0(3.9)] undecanol, 4,4,11,11-tetramethyl-"	"4,4,11,11-tetramethyl-7-tetracyclo[6.2.1.0 (3.8)0(3.9)]undecanol"			
"4,5-epoxy-trans-carene"	"4,5-epoxy-trans-carene"	"4,5-epoxy-trans-carene"		
"4,5,9,10-dehydroisolongifolene"	"4,5,9,10-dehydro isolongifolene"			
5-hepten-1-ol	5-hepten-1-ol			6307600
5-oxobornyl acetate	5-oxobornyl cetate			281960
"2,4-heptanedione, 6-methyl-"	"6-methyl-2,4-heptanedione"	6-methyl-	Q27285507	
"6-methyl-3,5-heptadiene-2-one"	"6-methyl-3,5-heptadiene-2-one"	"6-methyl-3,5-heptadiene-2-one"	Q27162192	
6-methylheptan-2-ol	6-methylheptan-2-ol	(2S)-6-Methylheptan-2-ol	Q72491123	96476
6-oxobornyl acetate	6-oxobornyl acetate			91748881
"6,10,14-trimethyl 2-pentadecanone"	"6,10,14-trimethyl 2-pentadecanone"	14-trimethyl 2-pentadecanone		
"6,10,14-trimethyl pendadecanone"	"6,10,14-trimethyl pendadecanone"	14-trimethyl pendadecanone		
"6,10,14-trimethyl-2-pentadecanone"	"6,10,14-trimethyl-2-pentadecanone"	14-trimethyl-2-pentadecanone		
"6.10,14-trimethyl-2-pentadecanone"	"6,10,14-trimethyl-2-pentadecanone"	"6,10,14-trimethyl-2-pentadecanone"		
"6,10,14-trimethyl-5,9,13-pentadecatrien-2-one"	"6,10,14-trimethyl-5,9,13-pentadecatrien-2-one"	14-trimethyl-5		
"2-pentadecanone, 6,10,14-trimethyl"	"6,10,14-trimethylpentadecan-2-one"			
"6,9-guaiadiene"	"6,9-guaiadiene"	"6,9-guaiadiene"		
"6z-2,5,5,10-tetramethyl-undeca-2,6,9-trien-8-one"	"6Z-2,5,5,10-tetramethyl-undeca-2,6,9-trien-8-one"			
7-epi-α-eudesmol	7-epi-alpha-eudesmol			12304196
7-epi-α-selinene	7-epi-alpha-selinene			10726905
7‐epi‐alpha‐selinene	7‐epi‐alpha‐selinene	(-)-7-epi-alpha-selinene	Q27131695	
9-epi-β-caryophyllene	9-epi-beta-caryophyllene			5498519
"phenol, 2-methoxy-4-(2-propenyl)-, acetate"	acetate-2-methoxy-4-(2-propenyl)-phenol  			
acetonyl acetone	acetonyl acetone	acetonylacetone	Q209264	8035
acorenone b	acorenone b			21674978
allo himachalol	allo himachalol			
alloaromadendrene epoxide	alloaromadendrene epoxide			
alloaromadendrene oxide	alloaromadendrene oxide			
alloaromadendrene oxide-(1)	alloaromadendrene oxide-(1)			
alloaromadendrene oxide-(2)	alloaromadendrene oxide-(2)			
allyl methacrylate	allyl methacrylate	allyl methacrylate	Q2718014	7274
allyl trisulfide	allyl trisulfide	allyl trisulfide	Q17148332	16315
allyltoluene	allyltoluene			15317
alpha cis-ocimene	alpha cis-ocimene			
α-7-epi-selinene	alpha-7-epi-selinene			
α-acoradiene	alpha-acoradiene			90351
α-acorenol	alpha-acorenol			
α-amorphen	alpha-amorphen	cadinene	Q414529	6430797
α-amorphene	alpha-amorphene	(-)-alpha-amorphene	Q74417798	
α –bisabolene	alpha-bisabolene	(E)-α-bisabolene	Q27121558	5352653
alpha-bisabolol	alpha-bisabolol	levomenol		1549992
α-bourbonene	alpha-bourbonene	alpha-Bourbonene	Q22162855	530816
α-cadinene	alpha-cadinene	(+)-α-cadinene	Q27149802	12306048
α-cadinol	alpha-cadinol	(-)-α-cadinol	Q4734900	10398656
α-calacorene	alpha-calacorene	"3,4-Dihydrocadalene"	Q27160655	12302243
α-campholenal	alpha-campholenal	α-campholenal	Q27121498	1252759
α-campholenealdehyde	alpha-campholene aldehyde			98497
α-camphonelal	alpha-camphonelal			
α-caryophyllene	alpha-caryophyllene	caryophyllene	Q421614	5281520
α-cedrene	alpha-cedrene	cedr-8-ene	Q27108601	6431015
α-copaene	alpha-copaene	copaene	Q5168276	70678558
α-corocalene	alpha-corocalene			5316074
α-cubebene	alpha-cubebene	(-)-α-cubebene	Q27108605	442359
α-curcumene	alpha-curcumene	α-curcumene	Q27132148	92139
α-cyclocitral	alpha-cyclocitral	α-cyclocitral	Q27266437	94143
α-cyperone	alpha-cyperone	alpha-Cyperone	Q27151420	6452086
α-ethyl-p-methoxybenzyl alcohol	alpha-ethyl-p-methoxybenzyl alcohol			92218
α-eudesmol	alpha-eudesmol	α-eudesmol	Q27108609	92762
α-farnesene	alpha-farnesene	α-farnesene	Q419814	5281516
α-fenchene	alpha-fenchene	(−)-α-fenchene	Q24791131	28930
α-fenchol	alpha-fenchol	(-)-α-fenchyl alcohol	Q27089421	439711
α-fenchyl acetate	alpha-fenchyl acetate	fenchyl acetate	Q27280577	107217
α-funebrene	alpha-funebrene			6552024
α-guaiene	alpha-guaiene	alpha-guaiene	Q5613309	5317844
α-gurjunene	alpha-gurjunene	(-)-alpha-gurjunene	Q27131296	15560276
α-helmiscapene	alpha-helmiscapene			12309809
α-himachalene	alpha-himachalene	(-)-α-himachalene	Q27121538	11830551
α-isocomene	alpha-isocomene	Isocomene	Q6085540	57501472
α-limonene	alpha-limonene	(±)-limonene	Q278809	22311
α-longipinene	alpha-longipinene	(+)-α-longipinene	Q27132143	520957
alpha-longyi pinene	alpha-longyi pinene	(+)-α-longipinene	Q27132143	
α-maaliene	alpha-maaliene			102361380
α-methylcynnamaldehyde	alpha-methylcynnamaldehyde			
α-muurolene	alpha-muurolene	alpha-muurolene	Q27133436	12306047
α-muurolol (torreyol)	alpha-muurolol 			100949538
α-ocimene	alpha-ocimene	(3E)-α-ocimene	Q26776996	5320249
α-panasinsen	alpha-panasinsen	(+/-)-α-terpinyl acetate	Q75063773	
α-phellandren-8-ol	alpha-phellandren-8-ol			
α –phellandrene	alpha-phellandrene	(-)-α-phellandrene	Q25933788	7460
α-phellandrene epoxide	alpha-phellandrene epoxide	α-phellandrene		
α–pinene	alpha-pinene	(+)-α-pinene	Q2095629	6654
α-pinene oxide	alpha-pinene oxide	alpha-pinene oxide	Q27104051	91508
α-santalene	alpha-santalene	(+)-alpha-santalene	Q27131275	94164
α-selinene	alpha-selinene	α-selinene	Q7448480	10856614
α-terpenyl acetate	alpha-terpenyl acetate			
α-terpinene	alpha-terpinene	α-terpinene	Q423851	7462
α-terpineol acetate	alpha-terpineol acetate	(+/-)-α-terpinyl acetate	Q4456134	111037
alpha-tumerone	alpha-tumerone			
α-ylangene	alpha-ylangene	Ylangene	Q27160535	442409
α-zingiberene	alpha-zingiberene	Zingiberene	Q4117486	11127403
α‐bulnesene	alpha‐bulnesene			
α‐terpineol	alpha‐terpineol	m-tert-butyl-phenol	Q15724770	
androstane	androstane	androstane	Q2846975	6857536
anisyl methyl ketone	anisyl methyl ketone			31231
apiol	apiol	apiole	Q21071561	10659
aristola‐1(10).8‐diene	aristola-1(10)-8 diene			15625232
aromadendrene	aromadendrene	allo-aromadendrene	Q67879598	91354
artemisia ketone	artemisia ketone			68346
ascabiol	ascabiol			2345
ascaridole	ascaridole	ascaridole	Q419442	10545
ascorbic acid	ascorbic acid	DL-ascorbic acid	Q193598	54670067
b-cymene	b cymene	p-cymene	Q284072	
benzene acetaldehyde	benzene acetaldehyde			
benzene –dimethoxymethyl	benzene-dimethoxymethyl		Q72451464	
benzenepropanal	benzenepropanal			7707
benzoyl benzoate	benzoyl benzoate		Q11567424	7167
bergamiol	bergamiol			8294
beta pinene	beta pinene	beta-pinene		14896
"β-1,7-di-epi cedrene"	"beta-1,7-di-epi cedrene"			
β-allylanisole	beta-allylanisole			
β-atlantone	beta-atlantone	beta-atlantone	Q67879712	181580
β-bisabolene	beta-bisabolene	β-bisabolene	Q11595687	10104370
β-bisabolenene	beta-bisabolenene			
β-bisabolol	beta-bisabolol	β-bisabolol	Q27283109	27208
β-bourbonene	beta-bourbonene	beta-Bourbonene	Q27160892	62566
β-butyrolactone	beta-butyrolactone	β-butyrolactone	Q27155863	18303
β-cadinene	beta-cadinene	β-cadinene	Q27103285	10657
β-calacorene	beta-calacorene	beta-calacorene	Q67879717	529621
β-caryophyllene oxide	beta-caryophyllene oxide	β-caryophyllene oxide	Q27136294	1742210
β-cedrene	beta-cedrene	Cedrene	Q1956285	11106485
β-cedrene epoxide	beta-cedrene epoxide	Cedrene epoxide	Q72516568	
β-chamigrene	beta-chamigrene	(-)-beta-chamigrene	Q27108622	442353
β-citronellol	beta-citronellol	(+/-)-β-citronellol	Q27122080	8842
β –copaene	beta-copaene	β-copaene	Q27277937	57339298
β-cubebene	beta-cubebene	beta-cubebene	Q27108624	93081
β-curcumene	beta-curcumene	(-)-beta-curcumene	Q27132151	14014430
β-cymene	beta-cymene	cymenes	Q2672403	10812
β-elemene	beta-elemene	beta-elemene	Q72470661	6918391
β-ethyl-p-methoxybenzyl alcohol	beta-ethyl-p-methoxybenzyl alcohol			
β-eudesmol	beta-eudesmol	β-eudesmol	Q27108630	91457
β-funebrene	beta-funebrene			60147454
β-guaiene	beta-guaiene	"(1S,4S)-β-guaiene"	Q27252250	6949
β-gurjunene	beta-gurjunene	beta-Gurjunene	Q27154913	6450812
β-helmiscapene	beta-helmiscapene			12309814
β-himachalol	beta-himachalol	himachalol	Q27106868	
βinocarvone	beta-inocarvone			
β-isocomene	beta-isocomene	beta-isocomene	Q67879723	10910652
β-maaliene	beta-maaliene	beta-maaliene	Q67879726	101596917
"β-mentha-1,5-dien-8-ol"	"beta-mentha-1,5-dien-8-ol"			
β-myrcene	beta-myrcene	myrcene	Q424577	31253
β-oplopenone	beta-oplopenone	beta-oplopenone	Q67879728	14038847
β-oploplenone	beta-oploplenone			
β-patchoulene	beta-patchoulene			101731
β-phellandren-8-ol	beta-phellandren-8-ol			522161
β-phellandrene	beta-phellandrene	β-phellandrene	Q19606727	11142
β-santalene	beta-santalene	(-)-beta-santalene	Q27108639	10889018
β-selinene	beta-selinene	(+)-beta-selinene	Q27108640	442393
β-sesquiphellandrene	beta-sesquiphellandrene	beta-sesquiphellandrene	Q27133237	12315492
β-sinensal	beta-sinensal	"(2E,6E)-β-sinensal"	Q27108641	5281535
β-spathulenol	beta-spathulenol	spathulenol	Q1376658	13854255
β-thujene	beta-thujene	beta-thujene	Q408209	520384
β-transocimene	beta-transocimene			
beta-tumerone	beta-tumerone			
elemene <beta‐>	beta‐elemene 	β-elemene	Q27132237	
β‐pinene	beta‐pinene	2-tridecanone		
β‐selinene	beta‐selinene	(+)-α-pinene	Q27108640	
byciclo-germacrene	bicyclo-germacrene			
bicyclo(2.2.1)heptane-2-ol	bicyclo(2.2.1)heptane-2-ol			
bicyclo(2.2.1)hepten-2-one	bicyclo(2.2.1)hepten-2-one			
bicyclo(3.1.1)heptane	bicyclo(3.1.1)heptane			638057
biformene	biformene	(Z)-biformene	Q27133189	23252995
bornan-2-one	bornan-2-one	(S)-camphor	Q27095844	2537
bornyl-acetate	bornyl-acetate	(±)-bornyl acetate	Q780165	93009
bornylacetate	bornylacetate			
butanoic acid	butanoic acid	butyric acid	Q193213	264
butanoic acid-butyl ester	butanoic acid-butyl ester	butyl butyrate	Q2212471	
"cadina-4,10(15)-dien-3-one"	"cadina-4,10(15)-dien-3-one"	"cadina-4,10(15)-dien-3-one"		
calamanene	calamanene			
cameroonan-7-α-ol	cameroonan-7-alpha-ol			
campholene aldehyde	campholene aldehyde			
car-3-en-2-one	car-3-en-2-one			13901618
"carvacrola,b"	carvacrol	carvacrol		10364
"caryophylla-4(12),8(13)-dien-5-olh"	"caryophylla-4(12),8(13)-dien-5-olh"	"caryophylla-4(12),8(13)-dien-5-olh"		
"caryophylla-4(12),8(13)-dien-5α-ol"	"caryophylla-4(12),8(13)-dien-5.alpha.-ol"	"caryophylla-4(12),8(13)-dien-5.alpha.-ol"		
"caryophylla-4(12),8(13)-dien-5β-ol"	"caryophylla-4(12),8(13)-dien-5.beta.-ol"	"caryophylla-4(12),8(13)-dien-5.beta.-ol"		
caryophyllane-2-6-β-oxide	caryophyllane-2-6-beta-oxide			
caryophylleneoxide	caryophyllene oxide			
caryophyllenol	caryophyllenol	caryophyllenol i	Q27236187	61125
cedr-8(15)-en-10-ol	cedr-8(15)-en-10-ol			91749627
cedr-8(15)-en-9-α-ol	cedr-8(15)-en-9-alpha-ol			
cholestane	cholestane	5Î±/Î²-cholestane	Q3682585	6857534
cholesterol	cholesterol	cholesterol	Q43656	5997
