Primary Identifier,Defline,Organism,Classification,Synonyms,,,,,,,
MDP0000322688,(1 of 1) 4.2.3.27 - Isoprene synthase / ISPS,M. domestica,monoterpene,MdTPS27-GD,,,,,,,
MDP0000398063,(1 of 6) K15086 - (3S)-linalool synthase (TPS14),M. domestica,monoterpene,MdTPS52-GD,,,,,,,
MDP0000400627,(1 of 12) 4.2.3.106 - (E)-beta-ocimene synthase / Beta-ocimene synthase,M. domestica,monoterpene,MdTPS28-GD,,,,,,,
MDP0000441513,(1 of 4) K04121 - ent-kaurene synthase (E4.2.3.19),M. domestica,diterpene,MdTPS45-GD,,,,,,,
MDP0000470357,(1 of 9) 4.2.3.105 - Tricyclene synthase,M. domestica,sesquiterpene,,,,,,,,
MDP0000470358,(1 of 9) 4.2.3.105 - Tricyclene synthase,M. domestica,monoterpene,,,,,,,,
MDP0000497279,"(1 of 17) 4.2.3.48 - (3S,6E)-nerolidol synthase / Nerolidol synthase",M. domestica,sesquiterpene,,,,,,,,
MDP0000500542,(1 of 21) 4.2.3.22 - Germacradienol synthase / Germacradienol/germacrene-D synthase,M. domestica,sesquiterpene,Terpenoid cyclases/Protein prenyltransferases,,AT3G25810,,,,,
MDP0000522972,(1 of 21) 4.2.3.22 - Germacradienol synthase / Germacradienol/germacrene-D synthase,M. domestica,sesquiterpene,,,,,,,,
MDP0000543394,(1 of 4) K04120 - ent-copalyl diphosphate synthase (E5.5.1.13),M. domestica,diterpene,,,,,,,,
MDP0000561715,"(1 of 17) 4.2.3.48 - (3S,6E)-nerolidol synthase / Nerolidol synthase",M. domestica,monoterpene,MdTPS53-GD,,,,,,,
MDP0000562091,(1 of 1) 4.2.1.133 - Copal-8-ol diphosphate hydratase,M. domestica,diterpene,,,,,,,,
MDP0000562538,(1 of 6) K15086 - (3S)-linalool synthase (TPS14),M. domestica,monoterpene,MdTPS54-GD,,,,,,,
MDP0000580210,(1 of 21) 4.2.3.22 - Germacradienol synthase / Germacradienol/germacrene-D synthase,M. domestica,sesquiterpene,MdTPS18-GD,,,,,,,
MDP0000598846,(1 of 9) 4.2.3.105 - Tricyclene synthase,M. domestica,sesquiterpene,MdTPS18-GD,,,,,,,
MDP0000605270,(1 of 21) 4.2.3.22 - Germacradienol synthase / Germacradienol/germacrene-D synthase,M. domestica,sesquiterpene,,,,,,,,
MDP0000651689,(1 of 6) K15086 - (3S)-linalool synthase (TPS14),M. domestica,monoterpene,,,,,,,,
MDP0000670935,(1 of 21) 4.2.3.22 - Germacradienol synthase / Germacradienol/germacrene-D synthase,M. domestica,sesquiterpene,MdTPS19-GD,,,,,,,
MDP0000685346,"(1 of 17) 4.2.3.48 - (3S,6E)-nerolidol synthase / Nerolidol synthase",M. domestica,monoterpene,MdTPS55-GD,,,,,,,
MDP0000700416,(1 of 9) 4.2.3.105 - Tricyclene synthase,M. domestica,sesquiterpene,,,,,,,,
MDP0000702120,(1 of 13) 4.2.3.119 - (-)-alpha-pinene synthase / (-)-alpha-pinene/(-)-camphene synthase,M. domestica,sesquiterpene,MdTPS20-GD,,,,,,,
MDP0000720799,(1 of 21) 4.2.3.22 - Germacradienol synthase / Germacradienol/germacrene-D synthase,M. domestica,sesquiterpene,,,,,,,,
MDP0000726012,(1 of 6) K15086 - (3S)-linalool synthase (TPS14),M. domestica,monoterpene,,,,,,,,
MDP0000726014,"(1 of 17) 4.2.3.48 - (3S,6E)-nerolidol synthase / Nerolidol synthase",M. domestica,sesquiterpene,,,,,,,,
MDP0000735507,(1 of 21) 4.2.3.22 - Germacradienol synthase / Germacradienol/germacrene-D synthase,M. domestica,sesquiterpene,,,,,,,,
MDP0000746466,(1 of 21) 4.2.3.22 - Germacradienol synthase / Germacradienol/germacrene-D synthase,M. domestica,sesquiterpene,MdTPS21-GD,,,,,,,
MDP0000788134,"(1 of 17) 4.2.3.48 - (3S,6E)-nerolidol synthase / Nerolidol synthase",M. domestica,monoterpene,,,,,,,,
MDP0000797223,"(1 of 17) 4.2.3.48 - (3S,6E)-nerolidol synthase / Nerolidol synthase",M. domestica,monoterpene,,,,,,,,
MDP0000828007,(1 of 4) K04121 - ent-kaurene synthase (E4.2.3.19),M. domestica,diterpene,MdTPS46-GD,,,,,,,
MDP0000846375,(1 of 1) 4.2.3.110 - (+)-sabinene synthase,M. domestica,sesquiterpene,,,,,,,,
MDP0000885704,(1 of 21) 4.2.3.22 - Germacradienol synthase / Germacradienol/germacrene-D synthase,M. domestica,sesquiterpene,"ATTPS-CIN,TPS-CIN, MdTPS22-GD",,AT3G25820.1,,,,,
MDP0000894066,(1 of 12) 4.2.3.106 - (E)-beta-ocimene synthase / Beta-ocimene synthase,M. domestica,sesquiterpene,MdTPS29-GD,,,,,,,
MDP0000916065,(1 of 10) 5.5.1.13 - Ent-copalyl diphosphate synthase / Ent-kaurene synthetase A,M. domestica,diterpene,,,,,,,,
MDP0000919962,(1 of 13) 4.2.3.119 - (-)-alpha-pinene synthase / (-)-alpha-pinene/(-)-camphene synthase,M. domestica,sesquiterpene,"TPS21, MdTPS23-GD",,"AT5G23960**, ",,,,,
,,,,,,,,,,,
MDP0000236236,(1 of 23) 4.2.3.75 - (-)-germacrene D synthase,M. domestica,sesquiterpene,MdTPS10-GD,,,,https://doi.org/10.1104/pp.112.208249,,,‘Golden Delicious’ genome 
MDP0000185520,(1 of 12) 4.2.3.46 - Alpha-farnesene synthase / AFS1,M. domestica,monoterpene,MdTPS36-GD,,,,,,,‘Golden Delicious’ genome 
MDP0000289229,(1 of 12) 4.2.3.46 - Alpha-farnesene synthase / AFS1,M. domestica,monoterpene,MdTPS37-GD,,,,,,,‘Golden Delicious’ genome 
MDP0000194565,(1 of 12) 4.2.3.46 - Alpha-farnesene synthase / AFS1,M. domestica,monoterpene,MdTPS41-GD,,,,,,,‘Golden Delicious’ genome 
MDP0000290705,(1 of 12) 4.2.3.46 - Alpha-farnesene synthase / AFS1,M. domestica,monoterpene,MdTPS43-GD,,,,,,,‘Golden Delicious’ genome 
MDP0000267906,,M. domestica,,MdTPS48-GD,,,,,,,‘Golden Delicious’ genome 
