EID	SYNONYM
C298	phenyl-methanone
C298	Benzene methylal
C298	Aromatic aldehyde
C298	Ben zoyl hydride
C298	(phenyl)methanone
C298	Benzaldehyde,(S)
C298	Benzaldehyde Natural
C298	Natural Benzaldehyde
C298	2vj1
C298	bitter almond oil synthetic
C298	Artifical essential oil of almond
C3196	benzene
C3196	benzol
C3196	benzole
C3196	Cyclohexatriene
C3196	Pyrobenzole
C3196	Benzine
C3196	Phenyl hydride
C3196	Pyrobenzol
C3196	Benzen
C3196	Phene
C3196	Mineral naphtha
C3196	Coal naphtha
C3196	Bicarburet of hydrogen
C3196	Benzolene
C3196	Benzin
C3196	[6]Annulene
C3196	Motor benzol
C3196	Carbon oil
C3196	Benzeen
C3196	Benzolo
C3196	Fenzen
C3196	Nitration benzene
C3196	(6)Annulene
C3196	Benzol 90
C3196	Benzine (Obs.)
C3196	Benzin (Obs.)
C3196	Benzol diluent
C3196	1,3,5-cyclohexatriene
C3196	Benzene (including benzene from gasoline)
C3196	2,5-cyclohexadien-1,4-ylene
C3196	Benzinum
C3196	Benzolum
C3196	Aromatic alkane
C3196	benzene-
C3196	1hyz
C3196	1swi
C3196	{[6]Annulene}
C3196	Ph-H
C3196	2z9g
C3196	4i7j
C3196	Benzene + aniline combo
C3196	1l83
C3196	trans-N-Methylphenylcyclopropylamine
C3196	Benzene,SpectrophotometricGrade,99.5+%
C3196	erythro-Phenyl-2-piperidyl-carbinol,(-)
C3201	benzoic acid
C3201	Dracylic acid
C3201	benzenecarboxylic acid
C3201	Carboxybenzene
C3201	Benzeneformic acid
C3201	phenylformic acid
C3201	Benzenemethanoic acid
C3201	Phenylcarboxylic acid
C3201	Retardex
C3201	Benzoesaeure GK
C3201	Benzoesaeure GV
C3201	Retarder BA
C3201	Tenn-Plas
C3201	Acide benzoique
C3201	Salvo liquid
C3201	Solvo powder
C3201	Benzoesaeure
C3201	Flowers of benzoin
C3201	Flowers of benjamin
C3201	HA 1 (acid)
C3201	Kyselina benzoova
C3201	Benzoic acid (natural)
C3201	HA 1
C3201	Diacylic acid
C3201	Oracylic acid
C3201	Benzenemethonic acid
C3201	Diacylate
C3201	Carboxypolystyrene
C3201	phenyl formic acid
C3201	Benzoic acid Natural
C3201	Aromatic carboxylic acid
C3201	Benzeneformate
C3201	Tennplas
C3201	Benzenemethanoate
C3201	Phenylcarboxylate
C3201	Benzenecarboxylate
C3201	Retarded BA
C3201	Phenyl carboxylic acid
C3201	Acido benzoico
C3201	Benzoic acid (TN)
C3201	phenylcarboxy
C3201	Dracylate
C3201	benzoic aicd
C3201	benzoic-acid
C3201	bezoic acid
C3201	Aromatic acid
C3201	Salvo powder
C3201	benzoic- acid
C3201	MP Benzoic acid
C3201	1gyx
C3201	1kqb
C3201	Sodium benzoic acid
C3201	Benzoic Acid,(S)
C3201	Natural Benzoic Acid
C3201	Benzoic acid,medicinal
C3201	benzene-2-carboxylic acid
C3201	ScavengePore&trade; benzoic acid
C302	benzyl alcohol
C302	phenylmethanol
C302	benzenemethanol
C302	phenylcarbinol
C302	Benzoyl alcohol
C302	Hydroxytoluene
C302	Benzenecarbinol
C302	Phenylmethyl alcohol
C302	alpha-Toluenol
C302	(Hydroxymethyl)benzene
C302	benzylalcohol
C302	Phenolcarbinol
C302	Benzal alcohol
C302	Alcool benzylique
C302	Benzylicum
C302	alpha-hydroxytoluene
C302	Phenylcarbinolum
C302	Phenyl-Methanol
C302	hydroxymethylbenzene
C302	Bentalol
C302	benzylic alcohol
C302	Phenyl Methanol
C302	.alpha.-Toluenol
C302	Benzyl alcohol (natural)
C302	Itch-X
C302	alcoholum benzylicum
C302	benzenmethanol
C302	.alpha.-Hydroxytoluene
C302	Benzylalkohol
C302	Aromatic primary alcohol
C302	Benzyl alkohol
C302	Aromatic alcohol
C302	Methanol benzene
C302	Benzene Carbinol
C302	phenylmethan-1-ol
C302	aplha-Hydroxytoluene
C302	Benzyl alcohol Natural
C302	Ulesfia
C302	Alcool benzilico
C302	Alcohol bencilico
C302	Ulesfia (TN)
C302	enzylalcohol
C302	Benzalalcohol
C302	Benzalcohol
C302	Benzencarbinol
C302	Bentanol
C302	Alcoolbenzylique
C302	benzene-methanol
C302	Benzyl Alcohole
C302	a-Hydroxytoluene
C302	a-Toluenol
C302	BnOH
C302	Sunmorl BK 20
C302	Nat. Benzyl Alcohol
C302	Bn-OH
C302	Hydroxymethyl polystyrene
C302	(Hydroxymethyl)polystyrene
C302	Benzyl alcohol polymer-bound
C302	Benzyl alcohol (Synonyms: Benzenemethanol)
C3516	butyraldehyde
C3516	butanal
C3516	n-butyraldehyde
C3516	Butyral
C3516	1-butanal
C3516	Butyric aldehyde
C3516	Butanaldehyde
C3516	Butaldehyde
C3516	Butylaldehyde
C3516	Butalyde
C3516	Butal
C3516	n-Butanal
C3516	Butyraldehyd
C3516	Butyl aldehyde
C3516	Aldeide butirrica
C3516	Aldehyde butyrique
C3516	Butyrylaldehyde
C3516	n-Butyl aldehyde
C3516	butan-1-al
C3516	Butyraldehyde (crude)
C3516	butyr-aldehyde
C3516	n-Butylaldehyde
C3516	n -butyraldehyde
C3516	1-butanone
C3516	n- butanal
C1369	1-butanol
C1369	butanol
C1369	Butan-1-ol
C1369	n-butanol
C1369	Butyl alcohol
C1369	n-butyl alcohol
C1369	1-hydroxybutane
C1369	Propylcarbinol
C1369	Butyl hydroxide
C1369	Propylmethanol
C1369	Methylolpropane
C1369	Hemostyp
C1369	Butyric alcohol
C1369	n-Butan-1-ol
C1369	1-Butyl alcohol
C1369	Butanolo
C1369	Propyl carbinol
C1369	Alcool butylique
C1369	Butylowy alkohol
C1369	BuOH
C1369	Butanolen
C1369	Normal primary butyl alcohol
C1369	Butyl alcohol (natural)
C1369	Butyric or normal primary butyl alcohol
C1369	n-Butylalkohol
C1369	butanol-1
C1369	n-Propyl carbinol
C1369	Tin tetrabutanolate
C1369	n-BuOH
C1369	Butyl alcohol (NF)
C1369	Butanols
C1369	1 Butanol
C1369	butaneol
C1369	butylalcohol
C1369	Butalcohol
C1369	Butyralcohol
C1369	Hydroxybutane
C1369	butyl-alcohol
C1369	n-butylalcohol
C1369	normal butanol
C1369	Butylic alcohol
C1369	Butyryl alcohol
C1369	Butyl hydrate
C1369	1-butylalcohol
C1369	n-Butanolbutanolen
C1369	nBuOH
C1369	1 -butanol
C1369	1- butanol
C1369	1-n-Butanol
C1369	N-Butyl Alcohol,(S)
C1369	Nat. Butanol (Butyl alcohol)
C1369	Aqualine&trade; Standard 5.1
C1369	Aqualine&trade; Standard 10.1
C1369	Butyl Alcohol (Fragrance Grade)
C1369	Butyl Alcohol (Industrial Grade)
C3544	butyric acid
C3544	butanoic acid
C3544	n-Butyric acid
C3544	n-Butanoic acid
C3544	propylformic acid
C3544	ethylacetic acid
C3544	1-propanecarboxylic acid
C3544	Butanic acid
C3544	butyrate
C3544	1-Butyric acid
C3544	Buttersaeure
C3544	butanoate
C3544	Kyselina maselna
C3544	Butyric acid (natural)
C3544	Propanecarboxylic acid
C3544	1-butanoic acid
C3544	butoic acid
C3544	Ethyacetic Acid
C3544	2-butanoate
C3544	butanate
C3544	1-butanoate
C3544	propanecarboxylate
C3544	1-butyrate
C3544	Sodium n-butyrate
C3544	C4:0
C3544	1-propanecarboxylate
C3544	acide butyrique
C3544	Butyric Acid (Normal)
C3544	acide butanoique
C3544	Honey robber
C3544	Butyricum acidum
C3544	ethyl acetic acid
C3544	1ugp
C3544	3umq
C3544	Nat. Butyric Acid
C3544	C4:0 (Lipid numbers)
C454	coumarin
C454	2H-Chromen-2-one
C454	2H-1-Benzopyran-2-one
C454	1,2-Benzopyrone
C454	cumarin
C454	Rattex
C454	Tonka bean camphor
C454	Coumarinic anhydride
C454	chromen-2-one
C454	Coumarine
C454	Benzo-alpha-pyrone
C454	cis-o-Coumarinic acid lactone
C454	o-Hydroxycinnamic acid lactone
C454	o-Hydroxycinnamic lactone
C454	2-Oxo-1,2-benzopyran
C454	Coumarinic lactone
C454	Kumarin
C454	Benzo-a-pyrone
C454	5,6-Benzo-2-pyrone
C454	5,6-Benzo-alpha-pyrone
C454	2H-Benzo(b)pyran-2-one
C454	2H-Benzo[b]pyran-2-one
C454	1-Benzopyran-2-one
C454	o-Coumaric acid lactone
C454	o-Hydroxyzimtsaure-lacton
C454	cis-o-Coumaric acid anhydride
C454	benzopyranone
C454	Benzopyrone
C454	Benzopyran-2-one
C454	Benzo-.alpha.-pyrone
C454	2H-Benzopyran-2-one
C454	o-hydroxycinnamic acid delta-lactone
C454	2-oxo-2H-1-benzopyran
C454	3-(2-Hydroxyphenyl)-2-propenoic delta-lactone
C454	chromenone
C454	chromen-one
C454	d-lactone
C454	coumarinac lactone
C454	Benzo-2-pyrone
C454	benzopyrylium olate
C454	Venalot mono (TN)
C454	Coumarinic acid lactone
C454	Coumarinic  acid lactone
C454	2H-Chromen-2-one #
C454	3-(2-hydroxyphenyl)-
C454	2H-1-benzopyran-2-on
C454	2-oxo-1,2-benzopy ran
C454	cis-O-coumaric acid lactone
C454	{2H-Benzo[b]pyran-2-one}
C454	1,2-Benzopyrone; 1-Benzopyran-2-one; 2H-Chromen-2-one
C459	4-isopropylbenzyl alcohol
C459	Cumic alcohol
C459	Cuminol
C459	cuminyl alcohol
C459	(4-Isopropylphenyl)methanol
C459	cuminic alcohol
C459	Cumyl alcohol
C459	p-Cymen-7-ol
C459	p-Isopropylbenzyl alcohol
C459	p-cumic alcohol
C459	4-(1-Methylethyl)benzenemethanol
C459	para-cymen-7-ol
C459	Cuminylalcohol
C459	[4-(Propan-2-Yl)Phenyl]Methanol
C459	p-cymene-7-ol
C459	p-Cumin-7-ol
C459	4-(1-methylethyl)-benzenemethanol
C459	4-(1-methylethyl)benzene methanol
C459	(4-propan-2-ylphenyl)methanol
C459	P-Mentha-1,3,5-trien-7-ol
C459	[4-(methylethyl)phenyl]methan-1-ol
C459	4-isopropylbenzylalcohol
C459	p-Isopropyl-Benzyl alcohol
C459	4-Isopropyl benzyl alcohol
C459	Cuminol ( p-cymen-7-ol)
C459	(4-Isopropylphenyl)methanol #
C460	4-isopropylbenzaldehyde
C460	cuminaldehyde
C460	cuminic aldehyde
C460	cumaldehyde
C460	cuminal
C460	p-cumic aldehyde
C460	Cumic aldehyde
C460	Cuminyl aldehyde
C460	p-Isopropylbenzenecarboxaldehyde
C460	4-(1-Methylethyl)benzaldehyde
C460	P-isopropyl benzaldehyde
C460	p-Cuminic aldehyde
C460	4-(Propan-2-Yl)Benzaldehyde
C460	4-(Methylethyl)benzaldehyde
C460	4-Isopropylbenzenecarboxylate
C460	4-Isopropyl-benzaldehyde
C460	4-propan-2-ylbenzaldehyde
C460	Cuminadlehyde
C460	Cuminaldehyd
C460	Cumal
C460	Cumin aldehyde
C460	4-iPr-Benzaldehyde
C460	4isopropylbenzaldehyde
C460	p-iso-Propylbenzaldehyde
C460	p-isopropyl-Benzaldehyde
C460	4(isopropyl)benzaldehyde
C460	4-isopropyl benzaldehyde
C460	4-(isopropyl)benzaldehyde
C460	4(2-propyl)-benzaldehyde
C460	p-(1-methylethyl)benzaldehyde
C460	4-Isopropylphenylcarboxaldehyde
C460	(4-isopropyl-phenyl)-methanone
C460	Cuminal  p-(1-methylethyl)benzaldehyde
C1806	2-Methoxy-4-vinylphenol
C1806	4-vinylguaiacol
C1806	4-Hydroxy-3-methoxystyrene
C1806	p-Vinylguaiacol
C1806	p-Vinyl guaiacol
C1806	para-vinylguaiacol
C1806	o-methoxy-p-vinylphenol
C1806	4-Hydroxy-3-methoxyvinylbenzene
C1806	4-vinyl-2-methoxyphenol
C1806	2-methoxy-4-vinyl phenol
C1806	4-ethenyl-2-methoxy-phenol
C1806	varamol
C1806	Allspice
C1806	Pimenta
C1806	Jamaica pepper
C1806	Pimenta berry
C1806	Vinyl guaiacol
C1806	p-Vinyl guaicol
C1806	4-vinylguaiacole
C1806	4-vinyl guaiacol
C1806	4-Ethenylguaiacol
C1806	Pimenta officinalis
C1806	4-Vinyl-O-guaiacol
C1806	2-Methoxy-vinylphenol
C1806	2-Metoxy-4-vinyl-phenol
C1806	3-Methoxy-4-hydroxystyrene
C1806	p-Vinicatechol-o-methyl ether
C1806	4-hydroxy-3-methoxyphenylethene
C1806	2-(4-hydroxy-3-methoxyphenyl)ethene
C1806	Allspice (Pimenta officinalis LindL.)
C1806	2-methoxy-4-vinylphenol (vinylguaiacol)
C1806	Vinylguaiacol (4-vinyl-2-methoxyphenol)
C1806	2-Methoxy-4-vinylphenol (4-vinylguaiacol)
C1806	4-Vinyl-2-methoxyphenol (4-vinylguaiacol)
C1806	4-Hydroxy-3-methoxystyrene; 4-Vinylguaiacol
C1806	4-Vinyl-2-methoxyphenol ( p-vinylguaiacol)
C1878	o-cresol
C1878	2-Methylphenol
C1878	2-hydroxytoluene
C1878	2-Cresol
C1878	o-methylphenol
C1878	Orthocresol
C1878	o-Cresylic acid
C1878	o-Oxytoluene
C1878	o-Toluol
C1878	o-Hydroxytoluene
C1878	o-Methylphenylol
C1878	1-Hydroxy-2-methylbenzene
C1878	ortho-cresol
C1878	o-Kresol
C1878	2-methyl phenol
C1878	2-Hydroxy-1-methylbenzene
C1878	Cresylic acid
C1878	hydroxy toluene
C1878	2-methyl-phenol
C1878	1-Methyl-2-hydroxybenzene
C1878	ortho cresol
C1878	Methyl phenol
C1878	2-methyiphenol
C1878	O-Cresol,(S)
C1878	2-Methylphenol (o-cresol)
C1878	ortho-cresol,2-methylphenol
C6299	salicylic acid
C6299	2-Hydroxybenzoic acid
C6299	o-hydroxybenzoic acid
C6299	2-Carboxyphenol
C6299	o-Carboxyphenol
C6299	Rutranex
C6299	Salonil
C6299	Retarder W
C6299	Keralyt
C6299	Duoplant
C6299	Freezone
C6299	Saligel
C6299	Ionil
C6299	Psoriacid-S-stift
C6299	salicylate
C6299	Stri-Dex
C6299	Salicylic acid soap
C6299	Salicylic acid collodion
C6299	Verrugon
C6299	Phenol-2-carboxylic acid
C6299	Acidum salicylicum
C6299	Trans-Ver-Sal
C6299	Orthohydroxybenzoic acid
C6299	2-Hydroxybenzenecarboxylic acid
C6299	Acido salicilico
C6299	Ionil-Plus
C6299	Kyselina salicylova
C6299	Clear away wart remover
C6299	Duofil wart remover
C6299	Domerine
C6299	Sebucare
C6299	Duofilm
C6299	Sebulex
C6299	Salicyclic acid
C6299	Ionil plus
C6299	Dr. Scholl's corn removers
C6299	Dr. Scholl's callus removers
C6299	Dr. Scholl's wart remover kit
C6299	Kyselina 2-hydroxybenzoova
C6299	Occlusal
C6299	Advanced pain relief corn removers
C6299	Advanced pain relief callus removers
C6299	Salicylic acid & Sulfur Soap
C6299	2-hydroxy-benzoic acid
C6299	Mediplast pads
C6299	Akurza Lotion
C6299	Hydrisalic Gel
C6299	Akurza Cream
C6299	Salex Lotion
C6299	Salex Cream
C6299	DuoPlant Gel
C6299	P&S Shampoo
C6299	Acido o-idrossibenzoico
C6299	Durasal
C6299	ortho-Hydroxybenzoic Acid
C6299	salicylicum acidum
C6299	Propa pH Peel-Off Acne Mask
C6299	2-hydroxy(1-14c)benzoic acid
C6299	Salicylic acid (TN)
C6299	salicylic
C6299	salicylic-acid
C6299	Anti-blemish
C6299	hydroxy-benzoic acid
C6299	ortho-salicylic acid
C6299	Duofilm Wart Remover
C6299	Phenol-2-carboxylate
C6299	Salicylic Acid,(S)
C6299	Natural Salicylic Acid
C6299	o-hydroxy benzoic acid
C6299	2-hydroxy benzoic acid
C6299	Salicylic acid,medicinal
C6299	Sulfasalazine Impurity H
C6299	Bazuka Extra Strength Gel
C6299	2-Hydroxybenzenecarboxylate
C717	m-cresol
C717	3-methylphenol
C717	Metacresol
C717	meta-cresol
C717	3-hydroxytoluene
C717	m-methylphenol
C717	3-cresol
C717	m-kresol
C717	m-oxytoluene
C717	m-toluol
C717	1-hydroxy-3-methylbenzene
C717	m-cresylic acid
C717	m-Hydroxytoluene
C717	Franklin Cresolis
C717	meta-cresylic acid
C717	Rover's Dog Shampoo
C717	hydroxy-3-methylbenzene
C717	m-cresylic
C717	m-Cresole
C717	3-methyl-1-hydroxybenzene
C717	1-Methyl-3-hydroxybenzene
C717	Celcure Dry Mix (chemicals for wood preserving)
C717	Metacresol (3-Methylphenol)
C717	meta cresol
C717	3-methyl phenol
C717	3methylphenol
C717	3-methyl-phenol
C717	Cresol,m-
C717	m-Cresol;
C717	m-Cresol compd. with p-cresol (2:1)
C5683	octane
C5683	n-octane
C5683	Oktan
C5683	Oktanen
C5683	Ottani
C5683	n-Oktan
C5683	Normal octane
C5683	octan
C3635	octanoic acid
C3635	caprylic acid
C3635	n-octanoic acid
C3635	n-caprylic acid
C3635	Octylic acid
C3635	octoic acid
C3635	n-octylic acid
C3635	n-Octoic acid
C3635	neo-fat 8
C3635	1-heptanecarboxylic acid
C3635	Enantic acid
C3635	Octic acid
C3635	C-8 acid
C3635	Caprylsaeure
C3635	capryloate
C3635	Kaprylsaeure
C3635	Acido octanoico
C3635	0ctanoic acid
C3635	Acide octanoique
C3635	Acidum octanocium
C3635	Caprylic acid (natural)
C3635	Kyselina kaprylova
C3635	octylate
C3635	Octansaeure
C3635	1-octanoic acid
C3635	C8:0
C3635	Lunac 8-95
C3635	caprilate
C3635	n-caprylate
C3635	n-octoate
C3635	n-octylate
C3635	FA(8:0)
C3635	1-heptanecarboxylate
C3635	octanoicacid
C3635	octanic acid
C3635	Caprilic acid
C3635	acidum octanoicum
C3635	octanoate radical
C3635	Acid C8
C3635	Octanoic acid radical
C3635	Caprylic acid (NF)
C3635	Neo-Fat 8S
C3635	n-heptanecarboxylic acid
C3635	Lunac 8-98
C3635	C8:0 (Lipid numbers)
C3635	Heptane-1-carboxylic acid
C3635	Octanoic acid (mixed isomers)
C6959	Octanal
C6959	Caprylaldehyde
C6959	n-Octanal
C6959	Caprylic aldehyde
C6959	1-octanal
C6959	n-Octyl aldehyde
C6959	n-Octaldehyde
C6959	n-Caprylaldehyde
C6959	Octanaldehyde
C6959	n-Octylal
C6959	Aldehyde C-8
C6959	Octanoic aldehyde
C6959	C-8 aldehyde
C6959	Octaldehyde
C6959	Octyl aldehyde
C6959	1-Octylaldehyde
C6959	1-Octaldehyde
C6959	1-Caprylaldehyde
C6959	n-Octanaldehyde
C6959	Antifoam-LF
C6959	Aldehyde C8
C6959	Oktylaldehyd
C6959	Oktanal
C6959	Octanal (natural)
C6959	Caprylaldehyd
C6959	Kaprylaldehyd
C6959	Octylaldehyd
C6959	Octyl aldehydes
C6959	Albumin tannate
C6959	n -octanal
C6959	octan-8-one
C1811	guaiacol
C1811	2-Methoxyphenol
C1811	o-Methoxyphenol
C1811	2-Hydroxyanisole
C1811	Pyrocatechol monomethyl ether
C1811	Methylcatechol
C1811	Guaiastil
C1811	Guaicol
C1811	1-Hydroxy-2-methoxybenzene
C1811	Pyroguaiac acid
C1811	o-Guaiacol
C1811	o-Hydroxyanisole
C1811	Guaicolina
C1811	Anastil
C1811	Guajol
C1811	Guasol
C1811	Catechol monomethyl ether
C1811	O-Methyl catechol
C1811	Methoxyphenol
C1811	Guajakol
C1811	Wood creosote
C1811	2-Methoxy-Phenol
C1811	Guajacol
C1811	Methyl Catechol
C1811	Guaiacol (natural)
C1811	Hydroxyanisole
C1811	Methylcatachol
C1811	Creodon
C1811	ortho-Guaiacol
C1811	Pyrocatechol methyl ester
C1811	2-methoxy phenol
C1811	Creodon (TN)
C1811	Guaiacol (2-Methoxyphenol)
C1811	Creosote
C1811	Beechwood creosote
C1811	guiacol
C1811	methoxy phenol
C1811	6-methoxyphenol
C1811	Nat.Guaiacol
C1811	O-methylcatechol
C1811	o-Guiacol
C1811	o--methoxyphenol
C1811	orthomethoxyphenol
C1811	o-methoxy-Phenol
C1811	Beechwood creosote (Fagus spp.)
C1811	Creosote (wood)
C1811	2-methoxyphenol;
C1811	ortho-methoxyphenol
C1811	Guaiacol,(S)
C1811	2-(methyloxy)phenol
C1811	Creosote (wood tar)
C1811	2-methoxyl-4-vinylphenol
C1811	Catechol mono methyl ether
C1811	2-methoxyphenol (guaiacol)
C1811	1- hydroxy-2-methoxybenzene
C1811	guaiacol (liquid) extra pure
C1811	a hydroxlyated aryl lignin fragment
C1811	2-Methoxyphenol; Catechol monomethyl ether; Pyrocatechol monomethyl ether
C4251	dibenzofuran
C4251	Dibenzo[b,d]furan
C4251	diphenylene oxide
C4251	Dibenzofurans
C4251	2,2'-Biphenylene oxide
C4251	2,2'-Biphenylylene oxide
C4251	Dibenzo(b,d)furan
C4251	Dibenzol(b,d)furan
C4251	dibenzofurane
C4251	(1,1'-Biphenyl)-2,2'-diyl oxide
C4251	[1,1'-Biphenyl]-2,2'-diyl oxide
C4251	8-oxatricyclo[7.4.0.0^{2,7}]trideca-1(9),2(7),3,5,10,12-hexaene
C4251	Dibenzo[b]furan
C4251	biphenylene oxide
C4251	[1,2'-diyl oxide
C4251	Industry fluorene oxide
C4251	2,2 inverted exclamation mark -biphenyleneoxide
C4251	2,2 inverted exclamation mark -biphenylyleneoxide
C4251	8-oxatricyclo[7.4.0.0(2),]trideca-1(9),2(7),3,5,10,12-hexaene
C4251	8-oxatricyclo[7.4.0.0?,?]trideca-1(9),2(7),3,5,10,12-hexaene
C4251	(1,1 inverted exclamation mark -biphenyl)-2,2 inverted exclamation mark -diyloxide
C4246	2,3-butanedione
C4246	diacetyl
C4246	biacetyl
C4246	Butane-2,3-dione
C4246	dimethylglyoxal
C4246	2,3-diketobutane
C4246	Dimethyl glyoxal
C4246	Butanedione
C4246	dimethyl diketone
C4246	2,3-Butadione
C4246	2,3-dioxobutane
C4246	butadione
C4246	2,3-butandione
C4246	Diacetyl (natural)
C4246	Butan-2,3-dione
C4246	2.3-butanedione
C4246	2,3 butandione
C4246	Buta-2,3-dione
C4292	dihydrocoumarin
C4292	3,4-dihydrocoumarin
C4292	hydrocoumarin
C4292	chroman-2-one
C4292	melilotin
C4292	2-chromanone
C4292	Benzodihydropyrone
C4292	melilotol
C4292	1,2-benzodihydropyrone
C4292	melilotic lactone
C4292	Melilotine
C4292	Oxochroman
C4292	3,4-Dihydro-2H-1-benzopyran-2-one
C4292	Melilotic acid lactone
C4292	Dihydrobenzopyrone
C4292	Usaf do-12
C4292	Meliotine
C4292	2-Hydroxydihydrocinnamic acid lactone
C4292	3,4-Dyhydrocoumarin
C4292	3,4-Dihydro-1-benzopyran-2-one
C4292	3,4-dihydro-2H-chromen-2-one
C4292	o-hydroxydihydrocinnamic acid lactone
C4292	2-oxo-chroman
