PMCID	Location	Plant	LiteratureActivities	TargetOrganisms	Target species	Activity table	Activity figure	EO composition table
PMC5694497	 Brazil 	 V. capitata, V. megapotamica, V. gardneriana, and V. rufescens 						Table 2 - Major components (%) identified in the essential oil extracted from leaves of Vitex capitata, V. megapotamica, V. gardneriana and V. rufescens from northeastern Brazil a.
PMC5694587			 fungicidal	B. cinerea, Aspergillus,  Fusarium, Penicillium,  C. gloeosporioides , B. cinerea, M. fructigena, P. expansum, and Phlyctema vagabunda , M. laxa, M. fructigena, and M. fructicola 			Figure 2: In vitro antifungal activity of the four single substances of O. vulgare EO against M. laxa, M. fructicola, and M. fructigena. Bars with different letters indicate mean values significantly different at p < 0.05 according to Tukey test. Data are expressed as mean of three replicates ± SE. 50, 150, and 250 are the concentrations of each single substance in ppm; PDA is potato dextrose agar.	Table 2: Chemical composition of some common Mediterranean plant essential oils.
PMC5694611	Palestine	Ruta chalepensis	Antimicrobial and Antioxidant			Table 2: The antioxidant activity (IC50) and percentage of inhibition for R. chalepensis essential oils from three regions according to the Trolox a reference compound. Table 3: Antimicrobial activities for R. chalepensis three studied essential oils.	Figure 1: The antioxidant activity of Trolox standard and the three studied R. chalepensis essential oils.	Table 1: Chemical composition, concentrations (%), and calculated retention indices of R. chalepensis essential oils as characterized by GC-MS analysis.
PMC5694875	 Federal University of Technology Akure, Nigeria	 Tetracarpidium conophorum						
PMC5694991	Iran	Cuminum cyminum						Table 3: Chemical composition of the essential oil of two studied Iranian superior cumin landraces.
PMC5699893								Table 1: Main chemical compounds of essential oil obtained from aerial part of Moroccan M. suaveolens subsp. timija cultivated under mineral and biological fertilizers.
PMC5702407	Faculty of Science Semlalia in Marrakech	Mint Timija	antispasmodic and carminative					Table 1: Main chemical compounds of essential oil obtained from aerial part of Moroccan M. suaveolens subsp. timija cultivated under mineral and biological fertilizers.
PMC5702920	(Spectrum Brasil, São Paulo, SP, Brazil	Protium spp.	antinociceptive and sedative					Table 1: Sample codes, identified species for each collected sample [5], formulation’s composition, and major compounds in the essential oils of each formulation.   Table 2: Relative (%) chemical composition of the collected air after 1 and 15 minutes of nebulization of each formulation. 
PMC5717781	Iran	Echinophora Species 	antifungal, antibacterial, antioxidant					Table 1: Reported major constituents of Echinophora genus essential oil from Iran
PMC5723952	Bucharest, Romania	Rudbeckia triloba	Antioxidant			Table 4: Total antioxidant capacity of extracts obtained from different aerial parts of Rudbeckia triloba.		Table 1: Compounds identified by GC-MS technique in the Rudbeckia triloba. Table 3: Correlations between total phenolic content and flavonoids content of extracts obtained from different aerial parts of Rudbeckia triloba.
PMC5725564	Zing local government area, Taraba State, Nigeria	Haematostaphis Barteri						
PMC5735349	Jeju Island, Korea	Lindera erythrocarpa	 anti-inflammatory					Table 1 - The chemical composition and retention indices of the constituents of LEO are presented.
PMC5736702	 Middle Devonian-Lower Mississippian New Albany Shale							
PMC5742650	 Arak and Isfahan Universities	Rosmarinus officinalis						Table 1 - Concentrations of the essential oil of Rosemary compounds obtained by different methods.
PMC5745743	Baoji University of Art and Science (106Â°18â€² E, 33Â°35â€™N, 618 m altitude), Baoji, China	Osmanthus fragrans	anti-tumor and neuroprotective					
PMC5746745 	Valencia, Spain							
PMC5747963 	Aboca S.p.A., Sansepolcro, Italy		wound healing	Staphylococcus aureus, Pseudomonas aeruginosa, Streptococcus pyogenes, and some Clostridium strains)				
PMC5748641 		Niphogeton dissecta	antimicrobial, antifungal, and anticholinesterase					Table 1 - Chemical composition of Niphogeton dissecta essential oil of province of Loja, Ecuador.
PMC5750594	Quito, Ecuador	Protium amazonicum	antifungal	Candida albicans, Aspergillus niger, and Cryptococcus neoformans				Table 1 - A brief review of Protium oleoresin traditional medicinal uses, biological properties, and essential oil compositions.  Table 2 - Chemical composition of the oleoresin essential oil of Protium amazonicum from Ecuador.
PMC5750605 	Uttarakhand Himalayas in India	Acorus calamus						Table 1 - Comparative chart on seasonally GC/MS analysis of Acorus calamus leaves and rhizome essential oils. Table 2- Phenylpropanoids in ACLEO and ACREO in different seasons from different altitudes.  Table 3 - Classes of compounds identified in ACLEO from four seasons. Table 4 - Classes of compounds identified in ACREO from four seasons.
PMC5750654	Sigma-Aldrich (Milan, Italy)	Rosmarinus officinalis	antioxidant, anti-inflammatory, antimicrobial, fungicidal, and anticancer					
PMC5751248				Bifidobacterium, Lactobacillus, Bacteroides, Clostridium, Escherichia, Streptococcus, Ruminococcus, F. prausnitzii, B. adolescentis, D. invisus,  R. gnavus. F. prausnitzii 		Table 2 - Summarized studies investigating the omega-3 influence on animal and human gut microbiota.	Figure 1 - Omega-3 polyunsaturated fatty acid (PUFA) potential action in restoring eubiosis in gut microbiota. 	
PMC5761127 	Sfax (Tunisia)	Mentha piperita	antioxident					Table 1 - Chemical composition (%) of leaves essential oil from Tunisian M.piperita as identified by GC/MS analysis 
PMC5772139 			antioxidants, antifungals, bioformulations					
PMC5778200 	Golestan, Iran	Nigella sativa						Table 1 - The influence of different pretreatments on the chemical composition of black cumin seed oil.
PMC5778779	Egypt	Cupressus macrocarpa, Corymbia citriodora	antioxidant and antibacterial	P. funiculosum		Table 3 - Minimum inhibitory concentration (MIC) and fungicidal concentration (MFC) of different leaf extracts (mg/mL) of Corymbia citriodora and Cupressus macrocarpa.		Table 1 - Essential oil constituents of C. macrocarpa branchlets and C. citriodora leaves.
PMC5788217 	Pars Nano Nasb Co (Tehran, Iran)	Zataria multiflora	antimicrobial					Table 1 - Chemical composition of ZEO. 
PMC5789270 	Soave (Turin, Italy)	Thymus vulgaris, Satureja montana						Table 2 - Thyme essential oil composition and volatilized compounds in storage cabinet at 1, 14 and 28 days. Table 3- Savory essential oil composition and volatilized compounds in storage cabinet at 1, 14 and 28 days. 
PMC5789316		Almond	antioxidant					Table 1 - Tocopherol homologue concentration in almond kernel and kernel oil.
PMC5794096 	Brazil	Brazilian propolis						Table 1 - Volatile compounds identified by gas chromatography followed by mass spectrometry (GC-MS) of the Brazilian red propolis essential oil.
PMC5795983 	Botucatu City, Brazil	Blepharocalyx salicifolius	antifungal and antibacterial	Paracoccidioides brasiliensis,				Table 1 - Chemical composition of the essential oil of the leaves from Blepharocalyx salicifolius.
PMC5797122 	Nigeria	Nepeta cataria	repellent	Aedes aegypti, Anopheles quadrimaculatus, and Anopheles albimanus	Aedes aegypti, Anopheles quadrimaculatus, and Anopheles albimanus			
PMC5806308 		Ocimum micranthum	antimicrobial , antiproliferative	Staphylococcus aureus, Bacillus subtilis, Pseudomonas aeruginosa and Candida albicans		Table 1 Antimicrobial activity of essential oil and extracts of Ocimum micranthum Willd leaves		
PMC5807769 	(Now foods, USA)	Cinnamomum zeylanicum 	antifungal	C. albicans 				
PMC5811758	 Bashagard village, Jask County, Hormozgan Province, Iran	Pycnocycla bashagardiana	Anti-inflammatory, antinociceptive					Table 3 - GC/MS analysis of the essential oil from the fruits of Pycnocycla bashagardiana 
PMC5813356	Oman, Iran and the United Arab Emirates	Haplophyllum tuberculatum 	 antileishmanial and cytotoxicity	 L. mexicana mexicana		Table 2 - Anti-leishmanial (IC 50 Â±SD) and cytotoxic activity (CC 50 Â±SD) of essentials oils, some of their components and the positive controls 	.	Table 1 - Chemical composition of the essential oil of Haplophyllum tuberculatum vegetal parts. 
PMC5822514	Nuevo San Juan Parangaricutiro, MichoacÃ¡n, Mexico 	Satureja macrostema	antioxidant				 	Table 1 - Major compounds identified and quantified in the essential oil of Satureja macrostema obtained by hydrodistillation using gas chromatographymass spectrometry 
PMC5830750	Mehriz County, Province of Yazd, Iran 	Echinops ilicifolius 	antibacterial, antifungal, antiprotozoal, antipyretic, reproductive, hepatoprotective, anti-cancer, antioxidant, antifeedant, anti-inflammatory and antibacterial 			Table 2 - Antibacterial activity of flower, leaf and root oils of Echinops ilicifolius. 		Table 1 - Comparative percentage compositions of the HD and HS-SPME extract from flowers, leaves and roots of Echinops ilicifolius.
PMC5838999	(Sousse-Tunisia).	Rhaponticum acaule	antioxidant and enzyme inhibition 			Table 2 - Antioxidant activity of the R. acaule essential oil 		Table 1 - Composition of the essential oil of R. acaule.
PMC5842484 	Yazd Province, Iran	Origanum vulgare 	anti-anxiety					Table 2: GC-MS analyses of Origanum vulgare L. essential oil.
PMC5846372	 Lesvos Island (Greece)	Kainari, a Unique Greek Traditional Herbal Tea	Antioxidant and Antimicrobial 	 S. aureus and S. epidermidis,  E. coli, E. cloacae, K. pneumoniae, and P. aeruginosa, S. mutans and S. viridans, Candida albicans, C. tropicalis, and C. glabrata				Table 1: Comparative table for the powders of KN1, KN2, and KN3 with HS-SPME. 
PMC5848570	FISH OIL							
PMC5849894	Kumba, Southâ€West region, Cameroon	Tetracarpidium conophorum						
PMC5849899	Chenaran Industrial Estate, Mashhad, Iran	Zataria multiflora and Syzygium aromaticum		Aspergillus flavus				
PMC5849928	Institute of Forestry and Rangeland Research in Kashan	Pimpinella anisum	antimicrobial 	S. aureus, E. coli				Table 1 -  
 Chemical compounds of anise essential oil (AEO)
