"Species";"Kingdom";"Phylum";"Class";"Order";"Family";"System";
"Centaurea diffusa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Centaurea melitensis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Centaurea solstitialis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Cerastium fontanum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Caryophyllales";"Caryophyllaceae";"Terrestrial";
"Ceratophyllum demersum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Nymphaeales";"Ceratophyllaceae";"Terrestrial";
"Cestrum nocturnum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Solanales";"Solanaceae";"Terrestrial";
"Cestrum parqui";"Plantae";"Magnoliophyta";"Magnoliopsida";"Solanales";"Solanaceae";"Terrestrial";
"Chromolaena odorata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Chrysanthemoides monilifera";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Chrysobalanus icaco";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rosales";"Chrysobalanaceae";"Terrestrial";
"Cinchona pubescens";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rubiales";"Rubiaceae";"Terrestrial";
"Cinnamomum camphora";"Plantae";"Magnoliophyta";"Magnoliopsida";"Laurales";"Lauraceae";"Terrestrial";
"Cinnamomum verum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Laurales";"Lauraceae";"Terrestrial";
"Cirsium arvense";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Cirsium vulgare";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Citharexylum spinosum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Lamiales";"Verbenaceae";"Terrestrial";
"Clematis terniflora";"Plantae";"Magnoliophyta";"Magnoliopsida";"Ranunculales";"Ranunculaceae";"Terrestrial";
"Clematis vitalba";"Plantae";"Magnoliophyta";"Magnoliopsida";"Ranunculales";"Ranunculaceae";"Terrestrial";
"Clidemia hirta";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Melastomataceae";"Terrestrial";
"Coccinia grandis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Violales";"Cucurbitaceae";"Terrestrial";
"Codium fragile ssp. tomentosoides";"Plantae";"Chlorophyta";"Chlorophyceae";"Bryopsidales";"Codiaceae";"Marine";
"Colubrina asiatica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rhamnales";"Rhamnaceae";"Terrestrial";
"Commelina benghalensis";"Plantae";"Magnoliophyta";"Liliopsida";"Commelinales";"Commelinaceae";"Terrestrial";
"Conyza floribunda";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Coronilla varia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Cortaderia jubata";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Cortaderia selloana";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Cotinus coggygria";"Plantae";"Magnoliophyta";"Magnoliopsida";"Sapindales";"Anacardiaceae";"Terrestrial";
"Crassula helmsii";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rosales";"Crassulaceae";"Terrestrial";
"Cryptostegia grandiflora";"Plantae";"Magnoliophyta";"Magnoliopsida";"Gentianales";"Asclepiadaceae";"Terrestrial";
"Cryptostegia madagascariensis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Gentianales";"Asclepiadaceae";"Terrestrial";
"Cupaniopsis anacardioides";"Plantae";"Magnoliophyta";"Magnoliopsida";"Sapindales";"Sapindaceae";"Terrestrial";
"Cuphea ignea";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Lythraceae";"Terrestrial";
"Cyathea cooperi";"Plantae";"Pteridophyta";"Filicopsida";"Polypodiales";"Cyatheaceae";"Terrestrial";
"Cynanchum rossicum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Gentianales";"Asclepiadaceae";"Terrestrial";
"Cynara cardunculus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Cynodon dactylon";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Cynoglossum officinale";"Plantae";"Magnoliophyta";"Magnoliopsida";"Lamiales";"Boraginaceae";"Terrestrial";
"Cyperus rotundus";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Cyperaceae";"Terrestrial";
"Cytisus scoparius";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Cytisus striatus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Dactylis glomerata";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Dalbergia sissoo";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Delairea odorata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Dichrostachys cinerea";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Didymosphenia geminata";"Plantae";"Bacillariophyta";"Bacillariophyceae";"Cymbellales";"Gomphonemataceae";"Freshwater";
"Dioscorea bulbifera";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Dioscoreaceae";"Terrestrial";
"Dioscorea oppositifolia";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Dioscoreaceae";"Terrestrial";
"Dipogon lignosus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Duchesnea indica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Terrestrial";
"Dyssodia tenuiloba";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Egeria densa";"Plantae";"Magnoliophyta";"Liliopsida";"Hydrocharitales";"Hydrocharitaceae";"Terrestrial";
"Eichhornia crassipes";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Pontederiaceae";"Terrestrial";
"Elaeagnus angustifolia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rhamnales";"Elaeagnaceae";"Terrestrial";
"Elaeagnus pungens";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rhamnales";"Elaeagnaceae";"Terrestrial";
"Elaeagnus umbellata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rhamnales";"Elaeagnaceae";"Terrestrial";
"Elaeis guineensis";"Plantae";"Magnoliophyta";"Liliopsida";"Arecales";"Arecaceae";"Terrestrial";
"Elephantopus mollis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Elettaria cardamomum";"Plantae";"Magnoliophyta";"Liliopsida";"Zingiberales";"Zingiberaceae";"Terrestrial";
"Elodea canadensis";"Plantae";"Magnoliophyta";"Liliopsida";"Hydrocharitales";"Hydrocharitaceae";"Terrestrial";
"Epipremnum pinnatum";"Plantae";"Magnoliophyta";"Liliopsida";"Arales";"Araceae";"Terrestrial";
"Erigeron karvinskianus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Eriobotrya japonica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Terrestrial";
"Erodium cicutarium";"Plantae";"Magnoliophyta";"Magnoliopsida";"Geraniales";"Geraniaceae";"Terrestrial";
"Eugenia uniflora";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Myrtaceae";"Terrestrial";
"Euonymus alata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Celastrales";"Celastraceae";"Terrestrial";
"Euonymus fortunei";"Plantae";"Magnoliophyta";"Magnoliopsida";"Celastrales";"Celastraceae";"Terrestrial";
"Eupatorium cannabinum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Euphorbia esula";"Plantae";"Magnoliophyta";"Magnoliopsida";"Euphorbiales";"Euphorbiaceae";"Terrestrial";
"Euryops multifidus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Falcataria moluccana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Ficus microcarpus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Urticales";"Moraceae";"Terrestrial";
"Ficus rubiginosa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Urticales";"Moraceae";"Terrestrial";
"Flacourtia indica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Violales";"Flacourtiaceae";"Terrestrial";
"Flemingia strobilifera";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Fragaria vesca";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Terrestrial";
"Frangula alnus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rhamnales";"Rhamnaceae";"Terrestrial";
"Fraxinus floribunda";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Oleaceae";"Terrestrial";
"Fuchsia boliviana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Onagraceae";"Terrestrial";
"Fuchsia magellanica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Onagraceae";"Terrestrial";
"Funtumia elastica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Gentianales";"Apocynaceae";"Terrestrial";
"Furcraea foetida";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Agavaceae";"Terrestrial";
"Genista monspessulana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Glyceria maxima";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Gracilaria gracilis";"Plantae";"Rhodophycota";"Rhodophyceae";"Gigartinales";"Gracilariaceae";"Marine";
"Gracilaria salicornia";"Plantae";"Rhodophycota";"Rhodophyceae";"Gigartinales";"Gracilariaceae";"Marine";
"Gracilaria vermiculophylla";"Plantae";"Rhodophycota";"Rhodophyceae";"Gigartinales";"Gracilariaceae";"Marine";
"Grevillea robusta";"Plantae";"Magnoliophyta";"Magnoliopsida";"Proteales";"Proteaceae";"Terrestrial";
"Gunnera manicata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Haloragales";"Gunneraceae";"Terrestrial";
"Gunnera tinctoria";"Plantae";"Magnoliophyta";"Magnoliopsida";"Haloragales";"Gunneraceae";"Terrestrial";
"Gymnocoronis spilanthoides";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Gymnodinium catenatum";"Plantae";"Pyrrophycophyta";"Dinophyceae";"Gymnodiniales";"Gymnodiniaceae";"Marine";
"Haematoxylum campechianum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Halophila stipulacea";"Plantae";"Magnoliophyta";"Liliopsida";"Hydrocharitales";"Hydrocharitaceae";"Terrestrial";
"Hedera helix";"Plantae";"Phaeophycophyta";"Phaeophyceae";"Laminariales";"Alariaceae";"Terrestrial";
"Hedychium coccineum";"Plantae";"Magnoliophyta";"Liliopsida";"Zingiberales";"Zingiberaceae";"Terrestrial";
"Hedychium coronarium";"Plantae";"Magnoliophyta";"Liliopsida";"Zingiberales";"Zingiberaceae";"Terrestrial";
"Hedychium flavescens";"Plantae";"Magnoliophyta";"Liliopsida";"Zingiberales";"Zingiberaceae";"Terrestrial";
"Hedychium gardnerianum";"Plantae";"Magnoliophyta";"Liliopsida";"Zingiberales";"Zingiberaceae";"Terrestrial";
"Heliotropium curassavicum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Lamiales";"Boraginaceae";"Terrestrial";
"Heracleum mantegazzianum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Apiales";"Apiaceae";"Freshwater";
"Heteropogon contortus";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Hieracium aurantiacum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Hieracium floribundum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Hieracium pilosella";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Hiptage benghalensis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Polygalales";"Malpighiaceae";"Terrestrial";
"Holcus lanatus";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Houttuynia cordata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Piperales";"Saururaceae";"Terrestrial";
"Hydrilla verticillata";"Plantae";"Magnoliophyta";"Liliopsida";"Hydrocharitales";"Hydrocharitaceae";"Terrestrial";
"Hydrocharis morsus-ranae";"Plantae";"Magnoliophyta";"Liliopsida";"Hydrocharitales";"Hydrocharitaceae";"Terrestrial";
"Hygrophila polysperma";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Acanthaceae";"Terrestrial";
"Hypericum perforatum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Theales";"Clusiaceae";"Terrestrial";
"Hypnea musciformis";"Plantae";"Rhodophycota";"Rhodophyceae";"Gigartinales";"Hypneaceae";"Marine";
"Hypochaeris radicata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Impatiens glandulifera";"Plantae";"Magnoliophyta";"Magnoliopsida";"Geraniales";"Balsaminaceae";"Terrestrial";
"Impatiens walleriana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Geraniales";"Balsaminaceae";"Terrestrial";
"Imperata cylindrica";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Ipomoea aquatica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Solanales";"Convolvulaceae";"Terrestrial";
"Ipomoea cairica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Solanales";"Convolvulaceae";"Terrestrial";
"Iris pseudacorus";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Iridaceae";"Terrestrial";
"Ischaemum polystachyum";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Ischaemum timorense";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Jatropha gossypiifolia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Euphorbiales";"Euphorbiaceae";"Terrestrial";
"Juncus tenuis";"Plantae";"Magnoliophyta";"Liliopsida";"Juncales";"Juncaceae";"Terrestrial";
"Juniperus bermudiana";"Plantae";"Coniferophyta";"Coniferopsida";"Coniferales";"Cupressaceae";"Terrestrial";
"Kalanchoe pinnata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rosales";"Crassulaceae";"Terrestrial";
