"Species";"Kingdom";"Phylum";"Class";"Order";"Family";"System";
"Bambusa vulgaris";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Banana bunchy top virus (BBTV)";"Virus";"";"";"";"Circoviridae";"Terrestrial";
"Batillaria attramentaria";"Animalia";"Mollusca";"Gastropoda";"Neotaenioglossa";"Batillariidae";"Marine";
"Batrachochytrium dendrobatidis";"Fungi";"Chytridiomycota";"Chytridiomycetes";"Chytridiales";"";"Undefined";
"Beak and feather disease virus (BFDV)";"Virus";"";"";"";"Circoviridae";"Terrestrial";
"Begonia cucullata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Violales";"Begoniaceae";"Terrestrial";
"Bellis perennis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Bemisia tabaci";"Animalia";"Arthropoda";"Insecta";"Homoptera";"Aleyrodidae";"Terrestrial";
"Berberis buxifolia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Ranunculales";"Berberidaceae";"Terrestrial";
"Berberis darwinii";"Plantae";"Magnoliophyta";"Magnoliopsida";"Ranunculales";"Berberidaceae";"Terrestrial";
"Berberis thunbergii";"Plantae";"Magnoliophyta";"Magnoliopsida";"Ranunculales";"Berberidaceae";"Terrestrial";
"Bidens pilosa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Boa constrictor imperator";"Animalia";"Chordata";"Reptilia";"Squamata";"Boidae";"Terrestrial";
"Boehmeria penduliflora";"Plantae";"Magnoliophyta";"Magnoliopsida";"Urticales";"Urticaceae";"Terrestrial";
"Boiga irregularis";"Animalia";"Chordata";"Reptilia";"Squamata";"Colubridae";"Terrestrial";
"Boonea bisuturalis";"Animalia";"Mollusca";"Gastropoda";"Heterostropha";"Pyrmidellidae";"Marine";
"Bos taurus";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Bovidae";"Terrestrial";
"Bothriochloa pertusa";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Branta canadensis";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Freshwater_terrestrial";
"Brassica elongata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Capparales";"Brassicaceae";"Terrestrial";
"Brassica tournefortii";"Plantae";"Magnoliophyta";"Magnoliopsida";"Capparales";"Brassicaceae";"Terrestrial";
"Bromus inermis";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Bromus rubens";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Bromus tectorum";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Brontispa longissima";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Chrysomelidae";"Terrestrial";
"Bubalus bubalis";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Bovidae";"Terrestrial";
"Bubo virginianus";"Animalia";"Chordata";"Aves";"Strigiformes";"Strigidae";"Terrestrial";
"Bubulcus ibis";"Animalia";"Chordata";"Aves";"Ciconiiformes";"Ardeidae";"Terrestrial";
"Buddleja davidii";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Buddlejaceae";"Terrestrial";
"Buddleja madagascariensis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Buddlejaceae";"Terrestrial";
"Bugula neritina";"Animalia";"Ectoprocta";"Gymnolaemata";"Cheilostomata";"Bugulidae";"Marine";
"Bursaphelenchus xylophilus";"Animalia";"Nemata";"Secernentea";"Aphelenchida";"Aphelenchidae";"Terrestrial";
"Butomus umbellatus";"Plantae";"Magnoliophyta";"Liliopsida";"Alismatales";"Butomaceae";"Terrestrial";
"Bythotrephes longimanus";"Animalia";"Arthropoda";"Branchiopoda";"Diplostraca";"Cercopagidae";"Freshwater";
"Cabomba caroliniana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Nymphaeales";"Cabombaceae";"Terrestrial";
"Cactoblastis cactorum";"Animalia";"Arthropoda";"Insecta";"Lepidoptera";"Pyralidae";"Terrestrial";
"Caesalpinia decapetala";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Caiman crocodilus";"Animalia";"Chordata";"Reptilia";"Crocodilia";"Alligatoridae";"Freshwater_terrestrial";
"Calliphora vicina";"Animalia";"Arthropoda";"Insecta";"Diptera";"Calliphoridae";"Terrestrial";
"Callithrix geoffroyi";"Animalia";"Chordata";"Mammalia";"Primates";"Callitrichidae";"Terrestrial";
"Callithrix jacchus";"Animalia";"Chordata";"Mammalia";"Primates";"Callitrichidae";"Terrestrial";
"Callithrix penicillata";"Animalia";"Chordata";"Mammalia";"Primates";"Callitrichidae";"Terrestrial";
"Calluna vulgaris";"Plantae";"Magnoliophyta";"Magnoliopsida";"Ericales";"Ericaceae";"Terrestrial";
"Camelina sativa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Capparales";"Brassicaceae";"Terrestrial";
"Camelus dromedarius";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Camelidae";"Terrestrial";
"Candidatus Liberibacter africanus";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Rhizobiaceae";"Terrestrial";
"Candidatus Liberibacter americanus";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Rhizobiaceae";"Terrestrial";
"Candidatus Liberibacter asiaticus";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Rhizobiaceae";"Terrestrial";
"Canis latrans";"Animalia";"Chordata";"Mammalia";"Carnivora";"Canidae";"Terrestrial";
"Canis lupus";"Animalia";"Chordata";"Mammalia";"Carnivora";"Canidae";"Terrestrial";
"Canna indica";"Plantae";"Magnoliophyta";"Liliopsida";"Zingiberales";"Cannaceae";"Terrestrial";
"Capra hircus";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Bovidae";"Terrestrial";
"Carassius auratus";"Animalia";"Chordata";"Actinopterygii";"Cypriniformes";"Cyprinidae";"Freshwater";
"Carcinus maenas";"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Portunidae";"Marine_terrestrial";
"Cardamine flexuosa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Capparales";"Brassicaceae";"Terrestrial";
"Cardamine glacialis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Capparales";"Brassicaceae";"Terrestrial";
"Cardiospermum grandiflorum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Sapindales";"Sapindaceae";"Terrestrial";
"Carduus nutans";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Carijoa riisei";"Animalia";"Cnidaria";"Anthozoa";"Alcyonacea";"Clavulariidae";"Marine";
"Carpobrotus edulis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Caryophyllales";"Aizoaceae";"Terrestrial";
"Carpodacus mexicanus";"Animalia";"Chordata";"Aves";"Passeriformes";"Fringillidae";"Terrestrial";
"Castilla elastica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Urticales";"Moraceae";"Terrestrial";
"Castor canadensis";"Animalia";"Chordata";"Mammalia";"Rodentia";"Castoridae";"Freshwater_terrestrial";
"Casuarina equisetifolia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Casuarinales";"Casuarinaceae";"Terrestrial";
"Caulerpa taxifolia";"Plantae";"Chlorophyta";"Chlorophyceae";"Caulerpales";"Caulerpaceae";"Marine";
"Caulerpa webbiana";"Plantae";"Chlorophyta";"Chlorophyceae";"Caulerpales";"Caulerpaceae";"Marine";
"Cavia porcellus";"Animalia";"Chordata";"Mammalia";"Rodentia";"Caviidae";"Terrestrial";
"Cecropia peltata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Urticales";"Cecropiaceae";"Terrestrial";
"Cecropia schreberiana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Urticales";"Cecropiaceae";"Terrestrial";
"Cedrela odorata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Sapindales";"Meliaceae";"Terrestrial";
"Celastrus orbiculatus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Celastrales";"Celastraceae";"Terrestrial";
"Cenchrus ciliaris";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Cenchrus clandestinus";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Cenchrus echinatus";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Cenchrus macrourus";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Cenchrus polystachios";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Cenchrus setaceus";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Centaurea biebersteinii";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Centaurea diffusa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Centaurea melitensis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Centaurea solstitialis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Cerastium fontanum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Caryophyllales";"Caryophyllaceae";"Terrestrial";
"Ceratitis capitata";"Animalia";"Arthropoda";"Insecta";"Diptera";"Tephritidae";"Terrestrial";
"Ceratocystis platani";"Fungi";"Ascomycota";"Sordariomycetes";"Microascales";"Ceratocystidaceae";"Terrestrial";
"Ceratophyllum demersum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Nymphaeales";"Ceratophyllaceae";"Terrestrial";
"Ceratostoma inornatum";"Animalia";"Mollusca";"Gastropoda";"Neogastropoda";"Muricidae";"Marine";
"Cercopagis pengoi";"Animalia";"Arthropoda";"Branchiopoda";"Diplostraca";"Cercopagidae";"Brackish";
"Cercopithecus mona";"Animalia";"Chordata";"Mammalia";"Primates";"Cercopithecidae";"Terrestrial";
"Cervus elaphus";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Cervidae";"Terrestrial";
"Cervus elaphus subsp. canadensis";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Cervidae";"Terrestrial";
"Cervus nippon";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Cervidae";"Terrestrial";
"Cervus timorensis russa";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Cervidae";"Terrestrial";
"Cestrum nocturnum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Solanales";"Solanaceae";"Terrestrial";
"Cestrum parqui";"Plantae";"Magnoliophyta";"Magnoliopsida";"Solanales";"Solanaceae";"Terrestrial";
"Chamaeleo jacksonii";"Animalia";"Chordata";"Reptilia";"Squamata";"Chamaeleonidae";"Terrestrial";
"Channa argus";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Channidae";"Freshwater";
"Channa marulius";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Channidae";"Freshwater";
"Charybdis hellerii";"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Portunidae";"Marine_terrestrial";
"Charybdis japonica";"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Portunidae";"Marine_terrestrial";
"Chromolaena odorata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Chronic Wasting Disease (CWD)";"Virus";"";"";"";"";"Terrestrial";
"Chrysanthemoides monilifera";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Chrysobalanus icaco";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rosales";"Chrysobalanaceae";"Terrestrial";
"Chthamalus proteus";"Animalia";"Arthropoda";"Maxillopoda";"Sessilia";"Chthamalidae";"Terrestrial";
"Cichla ocellaris";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Cichlidae";"Freshwater";
"Cichlasoma urophthalmus";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Cichlidae";"Freshwater";
"Cinara cupressi";"Animalia";"Arthropoda";"Insecta";"Homoptera";"Aphididae";"Terrestrial";
"Cinchona pubescens";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rubiales";"Rubiaceae";"Terrestrial";
"Cinnamomum camphora";"Plantae";"Magnoliophyta";"Magnoliopsida";"Laurales";"Lauraceae";"Terrestrial";
"Cinnamomum verum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Laurales";"Lauraceae";"Terrestrial";
"Ciona intestinalis";"Animalia";"Chordata";"Ascidiacea";"Enterogona";"Cionidae";"Marine";
"Cipangopaludina chinensis";"Animalia";"Mollusca";"Gastropoda";"Architaenioglossa";"Viviparidae";"Freshwater";
"Circus approximans";"Animalia";"Chordata";"Aves";"Ciconiiformes";"Accipitridae";"Terrestrial";
"Cirsium arvense";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Cirsium vulgare";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Citharexylum spinosum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Lamiales";"Verbenaceae";"Terrestrial";
"Civettictis civetta";"Animalia";"Chordata";"Mammalia";"Carnivora";"Viverridae";"Terrestrial";
"Clarias batrachus";"Animalia";"Chordata";"Actinopterygii";"Siluriformes";"Clariidae";"Freshwater";
"Clarias gariepinus";"Animalia";"Chordata";"Actinopterygii";"Siluriformes";"Clariidae";"";
"Clematis terniflora";"Plantae";"Magnoliophyta";"Magnoliopsida";"Ranunculales";"Ranunculaceae";"Terrestrial";
"Clematis vitalba";"Plantae";"Magnoliophyta";"Magnoliopsida";"Ranunculales";"Ranunculaceae";"Terrestrial";
"Clidemia hirta";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Melastomataceae";"Terrestrial";
"Coccinia grandis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Violales";"Cucurbitaceae";"Terrestrial";
"Codium fragile ssp. tomentosoides";"Plantae";"Chlorophyta";"Chlorophyceae";"Bryopsidales";"Codiaceae";"Marine";
"Colubrina asiatica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rhamnales";"Rhamnaceae";"Terrestrial";
"Columba livia";"Animalia";"Chordata";"Aves";"Columbiformes";"Columbidae";"Terrestrial";
"Commelina benghalensis";"Plantae";"Magnoliophyta";"Liliopsida";"Commelinales";"Commelinaceae";"Terrestrial";
"Conyza floribunda";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Coptotermes formosanus";"Animalia";"Arthropoda";"Insecta";"Isoptera";"Rhinotermitidae";"Terrestrial";
"Corbicula fluminea";"Animalia";"Mollusca";"Bivalvia";"Veneroida";"Corbiculidae";"Freshwater";
"Coronilla varia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Cortaderia jubata";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Cortaderia selloana";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
